step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under
3000,-60,0,5356,1.3625,205.54,91.47,-15.88,2,-15.20,0.000,30.200
3000,-60,1,2376,0.2804,123.18,573.79,-18.05,1,-17.45,0.000,32.452
3000,-60,2,2,0.0179,0.01,2.32,-14.98,0,-5.04,0.000,20.042
3000,-50,0,7155,170.2578,400.66,95.44,-3.48,18,-5.14,0.000,20.550
3000,-50,1,1539,77.7218,178.54,466.58,-20.52,11,-5.99,0.000,21.346
3000,-50,2,4,0.0001,0.00,6.42,-10.77,0,0.12,0.000,15.318
3000,-40,0,6347,462.8388,457.01,62.04,6.34,91,6.31,0.701,12.848
3000,-40,1,1732,256.1216,278.02,625.21,-11.75,67,4.62,0.542,14.067
3000,-40,2,2,0.0000,0.00,2.34,27.50,0,9.71,0.359,9.391
3000,-30,0,4331,509.8403,318.76,87.81,12.09,198,15.51,3.827,8.928
3000,-30,1,3235,698.3499,533.87,1512.56,2.95,205,15.36,3.991,9.236
3000,-30,2,611,79.8727,40.61,867.94,-1.79,38,17.99,5.007,8.091
3000,-20,0,1819,334.1880,280.33,41.44,14.49,72,23.99,8.197,6.318
3000,-20,1,2506,638.4974,335.19,1068.33,19.88,263,23.76,8.119,6.455
3000,-20,2,3894,520.5886,245.73,11158.69,6.93,360,23.12,7.914,6.771
3000,-10,0,1811,619.3737,618.67,24.50,12.59,46,31.50,12.709,4.431
3000,-10,1,2058,883.4441,415.61,916.36,31.37,259,32.02,12.959,4.303
3000,-10,2,4355,551.8312,284.41,15911.14,11.08,471,29.23,11.571,5.250
3000,0,0,1825,545.3590,657.25,30.59,24.16,5,37.41,16.495,3.150
3000,0,1,1745,985.4678,1033.92,844.44,37.49,42,37.90,16.780,3.076
3000,0,2,4797,825.5170,608.00,15260.50,16.99,405,34.46,14.927,4.116
3000,10,0,3026,593.5949,730.98,50.09,35.83,13,40.63,18.682,2.575
3000,10,1,2748,1100.1333,1237.90,1368.77,39.59,17,40.90,18.911,2.604
3000,10,2,3671,585.2568,477.01,9691.69,10.42,245,35.66,15.945,4.091
3000,20,0,4005,520.5405,641.53,61.68,30.01,24,39.70,18.275,2.973
3000,20,1,3295,975.4415,1055.20,1559.79,23.74,39,40.39,18.650,2.791
3000,20,2,1145,160.7884,117.04,2023.56,18.17,64,36.78,16.550,3.783
3000,30,0,6758,856.5654,968.90,84.84,23.69,25,38.74,17.388,3.022
3000,30,1,2293,547.0469,612.77,986.84,33.33,14,41.06,18.617,2.288
3000,30,2,223,110.1550,109.54,247.92,36.98,0,39.23,17.346,2.607
3000,40,0,6694,655.6729,685.90,62.39,19.30,51,36.45,15.410,3.132
3000,40,1,1249,355.4646,251.90,498.56,39.83,54,39.59,16.999,2.119
3000,40,2,227,113.9434,106.35,272.95,41.55,6,38.35,16.455,2.533
3000,50,0,5128,462.0606,517.69,13.07,12.37,17,31.96,11.949,3.647
3000,50,1,577,275.8541,136.81,147.86,37.17,19,36.75,14.451,2.160
3000,50,2,11,6.8855,5.04,14.62,40.85,2,34.40,12.649,2.345
3000,60,0,3853,176.0603,235.46,0.78,12.87,2,28.19,8.396,3.506
3000,60,1,2,3.7114,4.26,0.35,1.61,0,27.47,7.910,3.407
3000,70,0,4656,90.0053,95.94,0.15,24.33,0,29.38,6.019,1.140
3000,80,0,3564,37.5026,33.73,0.06,32.21,0,31.98,4.100,0.008
4000,-60,0,5423,1.1287,126.74,93.57,-7.67,1,-14.97,0.000,29.966
4000,-60,1,2309,0.2634,68.77,539.29,-9.62,1,-17.28,0.000,32.281
4000,-60,2,2,0.0134,0.01,2.22,5.87,0,-4.86,0.000,19.856
4000,-50,0,7183,190.7779,373.03,94.51,3.24,20,-4.82,0.000,20.255
4000,-50,1,1511,108.0415,177.43,448.00,15.77,12,-5.38,0.000,20.784
4000,-50,2,4,0.0001,0.00,6.21,12.12,0,0.40,0.000,15.037
4000,-40,0,6354,518.4783,491.59,61.68,17.35,194,6.76,0.742,12.573
4000,-40,1,1725,362.8582,341.58,618.41,29.81,35,5.27,0.584,13.641
4000,-40,2,2,0.0000,0.00,2.32,-2.46,0,8.90,0.334,9.875
4000,-30,0,4331,457.8269,277.72,87.44,27.66,196,15.97,3.945,8.735
4000,-30,1,3222,728.0514,403.54,1506.60,36.69,228,15.94,4.156,9.002
4000,-30,2,624,149.1843,95.54,891.71,45.18,60,18.77,5.294,7.818
4000,-20,0,1815,361.3498,246.51,41.10,42.85,143,24.94,8.596,6.025
4000,-20,1,2489,522.3206,288.04,1055.53,38.95,170,24.01,8.214,6.375
4000,-20,2,3915,601.5809,293.29,11238.78,44.80,439,23.74,8.219,6.634
4000,-10,0,1813,703.4354,689.30,24.48,59.98,152,32.79,13.429,4.176
4000,-10,1,2047,524.9565,381.60,910.22,44.56,70,32.15,13.002,4.259
4000,-10,2,4364,586.1912,282.09,15984.02,51.18,548,29.83,11.936,5.171
4000,0,0,1829,676.6328,862.49,30.55,61.83,59,38.74,17.349,2.968
4000,0,1,1745,1029.3090,1160.38,845.16,45.01,36,37.98,16.773,3.021
4000,0,2,4793,848.5326,703.88,15285.00,55.31,410,35.05,15.328,4.062
4000,10,0,3037,674.3802,922.47,50.34,57.53,23,41.92,19.570,2.427
4000,10,1,2778,1354.7091,1750.19,1391.92,42.73,6,40.97,18.881,2.549
4000,10,2,3630,649.5266,569.82,9637.19,56.90,210,35.87,16.132,4.105
4000,20,0,4090,635.9769,813.43,64.40,59.91,9,40.95,19.082,2.785
4000,20,1,3251,1317.1713,1372.52,1506.80,51.08,59,40.60,18.801,2.784
4000,20,2,1104,179.3337,123.22,1967.91,43.42,33,36.25,16.321,3.988
4000,30,0,6774,1042.8281,1127.87,83.57,54.05,59,39.31,17.750,2.937
4000,30,1,2277,936.2952,984.29,974.18,45.99,18,41.46,18.911,2.257
4000,30,2,223,167.5636,192.34,248.16,57.93,0,40.79,18.424,2.403
4000,40,0,6706,849.0902,890.74,60.81,50.98,119,36.92,15.685,3.055
4000,40,1,1232,503.4891,473.18,495.59,44.85,28,40.33,17.525,2.018
4000,40,2,232,184.7387,198.95,280.83,51.67,4,39.76,17.382,2.348
4000,50,0,5125,475.9622,629.86,12.69,48.53,32,32.47,12.213,3.543
4000,50,1,580,297.2999,147.93,152.22,50.19,42,37.97,15.254,2.003
4000,50,2,11,4.0714,0.03,15.14,28.92,3,34.94,12.997,2.245
4000,60,0,3853,146.5555,253.04,0.77,41.02,5,28.63,8.577,3.395
4000,60,1,2,4.2875,5.95,0.37,54.07,0,28.69,8.388,3.080
4000,70,0,4656,51.7751,97.93,0.14,33.90,0,29.68,6.149,1.103
4000,80,0,3564,19.1001,34.77,0.05,30.58,0,32.10,4.159,0.006
5000,-60,0,5472,32.8440,101.13,94.35,-13.64,2,-9.07,0.000,24.141
5000,-60,1,2260,13.7402,52.46,510.42,-15.16,2,-11.49,0.000,26.517
5000,-60,2,2,0.1135,0.11,2.15,-8.91,0,-0.86,0.000,16.250
5000,-50,0,7199,416.7391,455.28,93.63,-7.31,78,0.84,0.134,16.133
5000,-50,1,1495,235.3410,221.78,437.75,-5.90,48,0.39,0.113,16.502
5000,-50,2,4,0.0084,0.01,6.07,-6.09,0,4.05,0.026,12.724
5000,-40,0,6358,583.4844,475.74,61.38,0.99,235,11.80,2.312,10.340
5000,-40,1,1721,530.7120,417.59,615.52,2.50,183,10.46,2.011,11.138
5000,-40,2,2,0.0000,0.00,2.32,25.20,1,12.83,1.548,8.366
5000,-30,0,4326,568.1798,338.77,86.90,11.61,331,20.25,6.059,7.316
5000,-30,1,3214,772.8690,365.19,1506.82,10.39,384,20.23,6.242,7.539
5000,-30,2,637,198.2251,90.77,917.67,11.43,98,22.70,7.318,6.563
5000,-20,0,1810,217.8805,110.36,40.57,11.98,67,27.63,10.224,5.288
5000,-20,1,2468,536.2854,239.84,1037.43,22.05,226,27.40,10.191,5.498
5000,-20,2,3941,459.5315,200.47,11322.12,17.10,390,27.08,10.123,5.693
5000,-10,0,1812,476.8646,500.79,24.08,13.18,19,33.98,14.182,3.846
5000,-10,1,2041,660.6787,489.61,903.09,31.20,97,34.12,14.331,3.889
5000,-10,2,4371,426.2413,204.08,16017.88,22.22,477,31.95,13.245,4.643
5000,0,0,1838,664.8351,963.66,31.06,14.12,7,38.23,16.974,2.971
5000,0,1,1748,1080.1965,1403.93,851.12,38.59,14,38.45,17.157,2.974
5000,0,2,4781,780.8350,679.76,15258.91,24.80,372,35.60,15.668,3.921
5000,10,0,3045,719.2624,1046.24,50.22,12.39,5,39.63,17.943,2.734
5000,10,1,2808,1537.7707,2184.79,1411.31,41.07,10,39.78,18.105,2.773
5000,10,2,3592,605.2073,607.16,9571.10,32.64,287,35.47,15.857,4.219
5000,20,0,4102,743.3020,795.78,64.17,12.54,3,37.30,16.560,3.390
5000,20,1,3242,1553.8554,1639.22,1495.63,36.14,59,38.09,17.054,3.230
5000,20,2,1101,187.9221,92.49,1955.81,41.28,88,34.99,15.501,4.315
5000,30,0,6796,1260.9067,1526.50,83.43,22.89,60,34.75,14.719,3.825
5000,30,1,2253,1180.0019,830.30,965.31,28.85,155,37.08,15.895,3.023
5000,30,2,225,188.0703,40.36,251.56,-1.62,65,34.39,14.151,3.532
5000,40,0,6702,1026.2994,1140.17,60.10,20.98,150,30.83,11.830,4.398
5000,40,1,1227,531.7856,214.10,493.12,14.74,135,33.64,13.101,3.274
5000,40,2,241,221.4260,49.39,293.85,-2.37,92,32.69,12.808,3.684
5000,50,0,5123,526.0139,711.95,12.50,12.58,32,24.64,7.787,5.653
5000,50,1,582,188.9439,26.63,156.34,-0.23,64,29.35,9.895,3.768
5000,50,2,11,0.6867,0.00,15.58,18.16,2,29.23,9.427,3.407
5000,60,0,3853,143.9824,257.91,0.76,4.64,2,18.42,3.766,6.742
5000,60,1,2,3.4707,6.32,0.38,6.62,0,22.00,4.855,4.841
5000,70,0,4656,30.4789,82.39,0.14,-1.63,0,14.79,1.142,6.379
5000,80,0,3564,4.0019,23.82,0.05,-1.84,0,15.07,0.173,3.927
6000,-60,0,5487,287.6928,259.35,94.39,16.72,63,2.50,0.235,14.938
6000,-60,1,2245,173.5180,149.50,501.73,14.59,24,0.20,0.095,16.479
6000,-60,2,2,0.1802,0.00,2.13,26.76,0,7.56,0.345,10.995
6000,-50,0,7203,742.3706,424.56,93.33,29.37,233,11.81,2.256,10.297
6000,-50,1,1491,276.0908,97.76,437.98,15.69,103,10.54,1.990,11.042
6000,-50,2,4,0.0170,0.00,6.04,33.40,0,11.88,1.260,8.861
6000,-40,0,6356,571.2414,276.37,61.01,37.17,284,21.25,6.439,6.901
6000,-40,1,1722,324.4182,66.65,618.36,21.04,164,19.15,5.706,7.893
6000,-40,2,3,1.3484,0.12,3.38,30.49,1,22.22,5.703,5.333
6000,-30,0,4317,471.3865,249.43,86.32,38.62,193,27.84,10.281,5.221
6000,-30,1,3204,517.3653,215.41,1507.85,29.38,246,27.09,10.103,5.629
6000,-30,2,656,166.2842,85.91,952.93,29.48,77,28.78,10.956,5.037
6000,-20,0,1803,194.4250,176.66,39.71,54.13,26,33.14,13.713,4.115
6000,-20,1,2440,422.3237,273.03,1009.24,29.68,59,32.53,13.478,4.350
6000,-20,2,3976,496.6276,259.64,11407.63,30.03,387,31.69,13.075,4.649
6000,-10,0,1811,491.7192,624.96,23.73,55.10,9,36.67,16.116,3.433
6000,-10,1,2038,665.6079,658.95,895.67,31.86,8,36.81,16.245,3.419
6000,-10,2,4375,419.0457,247.81,16010.57,28.55,343,34.08,14.781,4.263
6000,0,0,1844,745.0684,1170.16,31.27,61.09,5,38.52,17.314,3.045
6000,0,1,1753,1115.3795,1521.70,855.44,35.85,3,38.62,17.366,3.016
6000,0,2,4770,782.0303,591.01,15215.01,29.07,300,35.06,15.491,4.129
6000,10,0,3056,911.8371,1301.73,50.59,64.13,31,37.40,16.529,3.255
6000,10,1,2829,1815.2387,2539.82,1429.77,37.42,111,37.17,16.397,3.324
