step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under
1000,-60,0,5237,1201.1171,615.75,88.00,1.83,292,2.52,0.210,14.827
1000,-60,1,2495,1176.6079,431.07,644.03,0.93,318,0.38,0.062,16.088
1000,-60,2,2,1.3741,0.00,2.51,22.54,0,8.90,0.044,8.729
1000,-50,0,7092,1601.1688,726.47,95.54,15.06,424,11.86,2.182,10.159
1000,-50,1,1601,886.6339,274.57,498.83,14.14,254,10.55,1.597,10.464
1000,-50,2,5,3.2717,0.00,7.80,29.42,1,12.63,0.380,6.654
1000,-40,0,6338,1174.5593,500.42,63.05,26.41,322,21.32,6.365,6.797
1000,-40,1,1741,874.3695,154.96,635.55,23.27,346,19.24,4.999,7.082
1000,-40,2,2,0.7838,0.00,2.39,13.17,0,22.13,3.656,3.370
1000,-30,0,4323,951.4849,355.32,88.01,33.45,272,27.92,10.208,5.094
1000,-30,1,3255,1372.6335,392.65,1520.50,29.61,484,27.14,9.043,4.655
1000,-30,2,599,230.3374,36.18,844.86,34.76,97,28.75,8.263,2.808
1000,-20,0,1820,380.5712,107.60,41.40,55.87,47,33.35,13.735,3.973
1000,-20,1,2521,1097.4923,322.29,1071.12,30.03,324,32.55,12.414,3.476
1000,-20,2,3878,1796.6899,395.00,11057.32,33.07,897,31.46,8.585,1.375
1000,-10,0,1808,369.4454,104.81,24.35,65.26,62,36.97,16.245,3.329
1000,-10,1,2073,951.3927,275.96,921.11,35.06,145,36.85,15.124,2.565
1000,-10,2,4343,2277.7620,652.83,15831.81,34.84,1625,33.82,9.436,0.657
1000,0,0,1825,364.2005,129.66,31.21,72.11,10,38.85,17.468,2.948
1000,0,1,1739,820.1172,225.40,841.80,40.68,80,38.62,16.164,2.147
1000,0,2,4803,2449.6784,566.95,15257.38,38.05,1505,34.85,10.583,0.781
1000,10,0,3014,869.5157,327.82,51.72,74.60,72,37.73,16.705,3.171
1000,10,1,2709,1573.4048,517.18,1338.73,44.81,298,37.14,15.191,2.449
1000,10,2,3722,2070.2657,411.81,9755.52,22.85,1140,32.00,9.522,1.679
1000,20,0,3994,733.8889,272.58,62.11,62.26,152,32.28,13.459,4.615
1000,20,1,3278,1775.8561,510.27,1560.85,36.39,497,32.22,12.292,3.674
1000,20,2,1173,737.6159,157.83,2055.87,8.26,370,29.28,8.836,2.942
1000,30,0,6744,1271.9949,463.24,85.09,37.43,380,26.43,9.860,6.027
1000,30,1,2310,1403.3485,374.63,1004.21,42.41,467,29.15,10.073,4.067
1000,30,2,220,185.1375,92.50,242.93,71.00,43,26.02,7.166,3.902
1000,40,0,6695,1141.1102,516.75,63.83,28.38,245,19.87,6.093,7.779
1000,40,1,1252,810.9464,277.34,492.05,49.77,234,23.56,6.622,5.261
1000,40,2,223,176.3169,69.20,262.08,65.79,41,23.26,5.476,4.432
1000,50,0,5138,447.4161,352.68,13.83,19.39,22,11.20,2.307,10.931
1000,50,1,567,261.4588,100.95,138.70,53.69,67,17.48,3.587,7.107
1000,50,2,11,9.9883,8.02,13.68,35.34,2,18.83,2.547,4.783
1000,60,0,3853,71.1128,68.98,0.77,11.91,0,2.35,0.233,15.057
1000,60,1,2,1.3187,1.12,0.32,20.07,0,9.27,0.485,9.931
1000,70,0,4656,4.0420,5.14,0.16,8.42,0,-5.43,0.001,20.728
1000,80,0,3564,0.0238,0.47,0.06,4.84,0,-11.91,0.000,26.913
2000,-60,0,5295,61.3981,368.49,89.88,-15.57,11,-8.97,0.000,24.028
2000,-60,1,2437,27.8422,196.87,609.45,-19.23,19,-11.24,0.000,26.256
2000,-60,2,2,0.0027,0.00,2.43,-6.37,1,0.39,0.000,14.736
