step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
2000,10,0,3018,375.7985,400.20,51.56,24.91,10,40.19,18.284,2.651,0.1967,456.697
2000,10,1,2733,934.6645,974.29,1359.33,33.80,2,39.78,18.152,2.804,0.3477,781.156
2000,10,2,3694,613.7043,463.33,9743.99,57.89,226,35.83,16.131,4.175,0.6058,886.586
2000,20,0,3997,412.7790,487.69,61.76,30.00,16,37.77,16.883,3.354,0.1467,259.228
2000,20,1,3278,710.6522,732.16,1555.59,49.18,24,38.29,17.244,3.245,0.3499,635.806
2000,20,2,1170,196.9132,156.28,2059.35,66.05,51,35.24,15.639,4.219,0.5306,711.008
2000,30,0,6747,635.7856,621.56,85.00,43.10,74,35.06,14.968,3.826,0.1900,255.760
2000,30,1,2301,532.0831,514.45,995.49,42.29,88,37.24,16.027,3.027,0.3659,522.109
2000,30,2,226,33.5676,25.80,250.65,19.24,13,35.14,14.587,3.405,0.5481,628.225
2000,40,0,6690,514.1851,381.48,63.38,43.94,155,31.11,12.075,4.414,0.1967,165.607
2000,40,1,1253,288.8408,195.53,495.32,28.54,90,33.94,13.298,3.231,0.5218,457.785
2000,40,2,227,47.5941,33.43,269.99,16.88,14,33.30,13.140,3.566,0.6600,588.430
2000,50,0,5132,415.0677,367.11,13.43,41.77,58,24.99,8.038,5.644,0.1461,61.269
2000,50,1,573,264.5274,142.71,143.41,18.66,71,29.84,10.179,3.702,0.7086,360.496
2000,50,2,11,5.6121,1.35,14.09,26.53,2,28.47,9.094,3.678,0.9209,429.064
2000,60,0,3853,162.5415,162.49,0.77,34.55,3,18.77,3.947,6.704,0.0913,14.815
2000,60,1,2,2.3844,2.03,0.34,35.46,0,21.43,4.747,5.302,0.9202,167.863
2000,70,0,4656,49.5504,44.88,0.15,26.53,0,15.11,1.227,6.292,0.0639,2.573
2000,80,0,3564,7.3564,6.88,0.06,26.15,0,15.33,0.201,3.831,0.0540,0.033
3000,-60,0,5356,0.6362,177.34,91.47,-15.88,0,-15.20,0.000,30.200,0.5392,5.360
3000,-60,1,2376,0.3300,143.70,573.79,-18.05,0,-17.45,0.000,32.452,0.9640,5.559
3000,-60,2,2,0.0000,0.00,2.32,-14.98,0,-5.04,0.000,20.042,0.9997,24.251
3000,-50,0,7155,179.2797,384.21,95.44,-3.48,22,-5.14,0.000,20.550,0.4313,12.157
3000,-50,1,1539,68.9951,134.95,466.58,-20.52,9,-5.99,0.000,21.346,0.7984,20.298
3000,-50,2,4,0.2127,0.20,6.42,-10.77,0,0.12,0.000,15.318,0.9771,36.415
3000,-40,0,6347,411.7424,424.97,62.04,6.34,121,6.31,0.701,12.848,0.3986,35.303
3000,-40,1,1732,198.8898,176.78,625.21,-11.75,32,4.62,0.542,14.067,0.7092,52.773
3000,-40,2,2,0.0430,0.00,2.34,27.50,0,9.71,0.359,9.391,0.9836,121.028
3000,-30,0,4331,505.3527,416.31,87.79,12.09,159,15.51,3.827,8.928,0.4353,89.019
3000,-30,1,3235,566.6284,296.00,1512.58,2.95,270,15.36,3.991,9.236,0.6489,136.238
3000,-30,2,611,138.0673,82.07,867.94,-1.79,72,17.99,5.007,8.091,0.8656,225.533
3000,-20,0,1819,445.6982,372.29,41.44,14.49,96,23.99,8.197,6.318,0.3886,182.238
3000,-20,1,2506,565.5437,241.41,1068.28,19.88,182,23.76,8.119,6.455,0.5745,258.737
3000,-20,2,3894,814.1504,453.47,11158.53,6.93,521,23.12,7.914,6.771,0.9007,391.719
3000,-10,0,1811,546.6079,507.23,24.50,12.59,70,31.50,12.709,4.431,0.3388,340.548
3000,-10,1,2058,1019.7213,578.71,916.34,31.37,187,32.02,12.959,4.303,0.4773,483.458
3000,-10,2,4355,773.3058,437.86,15911.60,11.08,511,29.23,11.571,5.250,0.8614,694.958
3000,0,0,1824,500.6443,514.75,30.48,24.15,59,37.41,16.494,3.151,0.2301,425.221
3000,0,1,1746,1103.8976,931.50,844.52,37.49,156,37.91,16.781,3.075,0.3812,693.176
3000,0,2,4797,991.4459,658.91,15262.34,16.99,519,34.46,14.927,4.116,0.6949,948.455
3000,10,0,3026,515.9826,581.50,49.90,35.83,11,40.63,18.682,2.575,0.1709,432.692
3000,10,1,2748,1342.9322,1407.47,1368.73,39.59,82,40.90,18.911,2.604,0.3071,755.170
3000,10,2,3671,716.3507,475.77,9694.62,10.42,297,35.66,15.945,4.091,0.5751,933.279
3000,20,0,4005,557.3827,703.79,61.68,30.01,10,39.70,18.275,2.973,0.1202,280.053
3000,20,1,3295,1089.2722,1255.08,1559.78,23.74,44,40.39,18.650,2.791,0.2855,685.372
3000,20,2,1145,267.4769,225.83,2023.56,18.17,60,36.78,16.550,3.783,0.4529,778.895
3000,30,0,6758,808.2609,922.39,84.84,23.69,34,38.74,17.388,3.022,0.1427,299.229
3000,30,1,2293,701.8104,806.70,986.85,33.33,28,41.06,18.617,2.288,0.2722,598.881
3000,30,2,223,56.8143,58.20,247.92,36.98,0,39.23,17.346,2.607,0.4455,813.709
3000,40,0,6694,457.5963,475.77,62.59,19.30,28,36.45,15.410,3.132,0.1375,209.555
3000,40,1,1249,301.8749,257.29,498.56,39.83,9,39.59,16.999,2.119,0.4010,626.107
3000,40,2,227,64.3063,66.34,272.95,41.55,2,38.35,16.455,2.533,0.5485,815.007
3000,50,0,5128,402.8858,435.14,13.07,12.37,26,31.96,11.949,3.647,0.1006,88.177
3000,50,1,577,287.1335,224.62,147.86,37.17,18,36.75,14.451,2.160,0.5784,575.612
3000,50,2,11,2.0772,0.47,14.62,40.85,0,34.40,12.649,2.345,0.8754,666.790
3000,60,0,3853,160.0667,199.78,0.78,12.87,7,28.19,8.396,3.506,0.0598,24.032
3000,60,1,2,3.8637,0.00,0.35,1.61,1,27.47,7.910,3.407,0.8878,312.177
3000,70,0,4656,90.0932,97.36,0.15,24.33,0,29.38,6.019,1.140,0.0303,3.781
3000,80,0,3564,36.0210,32.58,0.06,32.21,0,31.98,4.100,0.008,0.0216,0.008
4000,-60,0,5423,0.5155,108.59,93.57,-7.67,3,-14.97,0.000,29.966,0.5455,4.710
4000,-60,1,2309,0.2259,83.92,539.29,-9.62,1,-17.28,0.000,32.281,0.9660,4.930
4000,-60,2,2,0.0000,0.00,2.22,5.87,0,-4.86,0.000,19.856,0.9995,20.502
