step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown,deaths_wound,kill_intake,flesh_intake,blocks_kept,water_drunk,water_air,water_sweat,water_dead,water_born,water_spill,born_dry,water_bodies,water_err
1000,11227,8345,126556,751282,716969,613886,10840,56649,192,1,196328,4130803,181853.521,76771.416,1.0361,64058.421,0.236,0.248,0.289,0.228,0.628,0.334,316,0.0269,0.6759,0.104,14.1,49.1,99.2,48.33,4.42,5.61,3.37,34.93,7.99,1.061,0.110,0.082,0.084,23.905,0.636,0.0024,135,441,1859,4934,76,0,0.000,5512,3429,2978,4820,788,3810,6629,0.00,0.65,12983,35.3705,66712,9594,540193,3438.8,-0.0,463214,54.462,2631075.518,9.73e-15,0.00093,30.00,224286,101.527,2.464,98.228,0.835,101.531,8873,706,1648,0.3896,0.862,1.038,1.305,1.057,0.926,1.143,37576.417,11717.858,174491.664,38083.650,33336.628,7791.739,2850.036,2071.220,0.691,0.559,0.503,0.876,0.727,0.634,7025,52898,0.6870,0.6220,0.5848,0.9999,0.0506,0.0530,0.5247,0.7284,0.7468,0.1027,0.0464,0.0340,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,17515,0.9999,0.6739,0.6790,0.9993,0.0506,0.0530,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1929,5.1808,5.1536,0.1136,0.2401,0.1956,0.438,0.467,0.507,0.389,8628,0.1659,0.0096,0.0126,0.00238,0.00162,0.00152,23.31,28.05,28.09,83.2221,0.0217,70.6543,33.3695,21.0922,1080593,1531876,0.6953,0.0068,1718.5,83.2221,21.62,0,0,0,0,0,0,3710,12712.995,11725.300,0.9833,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,7.23e-15
2000,12271,2612,59838,128776,119858,67673,1265,22484,59,0,165902,1714084,36207.760,23168.802,1.0922,11843.778,0.164,0.433,0.178,0.225,0.522,0.350,304,0.0432,0.6405,0.077,11.6,39.1,83.4,39.09,2.31,7.45,1.56,27.77,7.80,1.112,0.200,0.098,0.100,8.705,0.348,0.0033,93,917,965,10982,18,0,0.000,5657,956,2588,8727,539,1116,10616,0.00,4.15,13226,14.3221,66813,10356,499916,4768.2,-0.0,523676,20.259,2631075.518,3.36e-15,0.00070,25.34,41288,30.366,2.373,27.268,0.725,30.369,2882,3189,6200,0.3145,0.916,1.067,1.348,1.175,0.934,1.174,15270.998,12866.533,11976.093,15280.210,20795.236,5941.176,1713.101,3670.748,0.508,0.565,0.508,0.495,0.568,0.517,13311,22180,0.6084,0.4636,0.4447,0.9999,0.0545,0.0486,0.5271,0.7665,0.8506,0.1327,0.0267,0.0255,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,7056,0.9986,0.6808,0.7546,0.9996,0.0545,0.0486,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.1984,4.8801,4.9765,0.0474,0.1600,0.1371,0.276,0.204,0.246,0.254,2021,0.1025,0.0021,0.0023,0.00225,0.00099,0.00075,26.16,28.12,27.41,302.7270,0.0445,36.3075,13.0034,7.2554,1094325,1527708,1.4679,0.0575,2901.0,302.7270,26.00,0,0,0,0,0,0,4994,11325.024,10299.690,0.9684,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14
3000,10073,2301,72780,129361,115299,55173,1408,30344,242,0,262338,2684877,33787.747,27125.426,1.0002,10725.637,0.106,0.650,0.118,0.125,0.494,0.343,852,0.1120,0.7021,0.064,10.1,40.2,76.0,32.66,2.95,10.10,0.54,19.08,7.25,1.208,0.245,0.205,0.207,6.905,0.319,0.0040,84,330,699,22621,60,0,0.000,5058,36,1710,8327,343,1349,8381,1.00,9.94,15297,16.8759,66738,13138,466971,2002.5,-0.0,558668,14.654,2631075.518,1.20e-14,0.00166,14.43,41271,28.921,2.406,26.119,0.396,28.924,3414,2365,4294,0.2693,0.960,1.190,1.519,1.298,0.961,1.271,12029.824,13143.615,11716.294,11927.753,20869.338,6800.432,2435.502,7163.855,0.491,0.522,0.479,0.456,0.423,0.426,15262,27856,0.7455,0.4348,0.4015,0.9996,0.0407,0.0411,0.5576,0.9891,0.9126,0.1604,0.0326,0.0355,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,5421,0.9985,0.8802,0.8505,0.9986,0.0407,0.0411,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5425,4.9430,5.3571,0.0445,0.0736,0.0630,0.104,0.099,0.090,0.107,1261,0.0710,0.0042,0.0045,0.00204,0.00076,0.00069,22.31,27.40,27.31,991.8423,0.0756,33.1536,4.8840,9.7698,1096526,1528275,1.9737,0.1099,3245.1,991.8423,22.38,0,0,0,0,0,0,9854,16399.789,14606.221,0.9549,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.47e-14
4000,10930,2516,86496,173435,156340,85668,1271,31540,229,0,357383,3340427,44673.301,36363.852,1.0206,13567.981,0.106,0.718,0.108,0.069,0.520,0.331,1014,0.1078,0.6733,0.056,10.7,43.6,74.9,32.12,3.50,10.30,0.53,17.79,6.92,1.268,0.242,0.291,0.296,6.726,0.304,0.0039,77,308,640,18782,54,0,0.000,5900,37,2326,8567,289,1659,8982,2.00,9.32,15201,17.7817,66779,11941,438478,3101.5,0.0,589826,13.819,2631075.518,2.48e-15,0.00123,37.93,57052,32.487,2.393,29.554,0.540,32.490,4297,2393,4240,0.2378,0.973,1.266,1.654,1.345,0.958,1.365,15550.356,16859.258,17204.777,15390.617,25645.888,11658.153,3073.863,8063.855,0.548,0.538,0.487,0.519,0.479,0.497,15541,35948,0.6892,0.4075,0.3302,0.9991,0.0326,0.0446,0.5635,0.8803,0.8929,0.1818,0.0434,0.0459,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,5143,0.9991,0.7753,0.7785,0.9979,0.0326,0.0446,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6087,5.0435,5.3865,0.0408,0.0795,0.0610,0.097,0.102,0.082,0.114,1351,0.0660,0.0041,0.0031,0.00223,0.00096,0.00096,26.74,26.95,26.96,2180.8030,0.1074,41.5565,5.2348,8.5840,1098419,1525907,2.0457,0.1288,2492.3,2180.8030,25.42,0,0,0,0,0,0,11428,22795.871,20349.283,0.9430,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,1.37e-14
5000,10240,2519,66580,116428,103681,49076,772,28192,128,0,270884,3165282,31980.775,27714.757,1.1260,8652.084,0.075,0.763,0.082,0.080,0.526,0.342,309,0.0954,0.6774,0.065,15.1,43.1,71.6,31.96,3.35,9.97,0.71,17.93,6.96,1.270,0.241,0.297,0.302,6.613,0.328,0.0038,87,364,619,13889,85,6,0.637,5422,71,2133,8036,361,1819,8060,3.00,9.70,18154,18.3565,66771,15522,417630,1930.1,-0.0,616552,12.827,2631075.518,1.49e-14,0.00049,12.68,38189,27.355,2.375,24.505,0.475,27.358,4130,2150,3960,0.2269,0.978,1.245,1.663,1.336,0.968,1.365,11754.057,11095.267,12391.420,11656.092,16585.347,10538.565,2403.681,6120.427,0.555,0.537,0.493,0.461,0.388,0.427,21764,25534,0.6662,0.3264,0.3122,0.9994,0.0337,0.0495,0.5715,0.9152,0.9071,0.1761,0.0343,0.0485,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,4958,0.9986,0.7440,0.8280,0.9986,0.0337,0.0496,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5974,5.1323,5.3776,0.0383,0.0848,0.0702,0.158,0.116,0.149,0.130,919,0.0417,0.0051,0.0035,0.00236,0.00065,0.00064,25.60,26.89,27.13,1982.0607,0.0981,28.6410,4.8276,7.9991,1100393,1524526,1.4571,0.0947,2123.9,1982.0607,23.03,0,0,0,0,0,0,7539,19062.673,17077.809,0.9481,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.15e-15
6000,11704,2984,70290,144789,131402,73615,884,28336,125,0,266389,3181693,40189.607,30666.276,1.1792,11032.646,0.090,0.736,0.105,0.069,0.515,0.357,282,0.0810,0.6623,0.077,12.8,45.5,74.9,30.27,3.67,9.61,0.41,16.58,6.79,1.397,0.232,0.323,0.334,6.776,0.288,0.0036,92,367,618,16189,91,10,0.499,6623,424,2211,9069,1648,2067,7989,3.00,9.77,16946,20.3429,66782,17132,394815,2304.6,-0.0,646248,13.444,2631075.518,1.33e-14,0.00013,23.20,48039,30.919,2.345,27.834,0.740,30.922,5826,1340,4538,0.1253,0.999,1.345,1.942,1.390,0.976,1.531,12158.562,13584.379,19404.730,12026.679,19790.845,11785.386,1879.963,5968.281,0.534,0.503,0.505,0.550,0.474,0.501,27421,27589,0.5886,0.2231,0.3512,0.9993,0.0339,0.0484,0.5631,0.9946,0.9901,0.1638,0.0440,0.0570,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,4069,0.9994,0.8480,0.8638,0.9985,0.0340,0.0485,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6285,5.0708,5.8066,0.0357,0.0672,0.0514,0.091,0.054,0.066,0.089,1021,0.0513,0.0040,0.0033,0.00221,0.00080,0.00069,22.76,26.14,27.18,1821.6276,0.1008,32.2734,5.5892,7.8551,1100647,1523063,0.7707,0.0306,1960.4,1821.6276,19.40,0,0,0,0,0,0,7686,19633.630,17542.727,0.9361,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.03e-15
7000,13005,3192,84463,185002,168605,99311,1228,29666,500,0,325266,4163094,45993.743,38280.442,1.1882,14124.780,0.081,0.758,0.099,0.062,0.543,0.342,438,0.0788,0.6788,0.061,10.0,35.2,71.3,26.48,2.89,8.43,0.47,14.69,7.06,1.412,0.232,0.288,0.301,6.412,0.292,0.0032,84,377,616,25268,60,15,0.200,7518,1173,2094,9738,1152,1621,10232,1.75,7.98,13189,19.1439,66851,16871,368581,3580.0,-0.0,681081,14.598,2631075.518,1.50e-14,0.00032,24.47,65331,38.359,2.326,34.908,1.125,38.362,5003,1947,6055,0.1610,0.979,1.342,1.990,1.407,0.956,1.564,11811.421,17250.203,23161.065,11660.582,25296.876,12896.769,1382.101,9876.792,0.540,0.494,0.557,0.576,0.567,0.505,30434,33090,0.6127,0.2131,0.3846,0.9995,0.0345,0.0432,0.5757,0.9648,1.0638,0.1615,0.0350,0.0569,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,3077,0.9994,0.8526,0.8868,0.9988,0.0346,0.0433,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6745,5.5453,6.5493,0.0376,0.0684,0.0571,0.091,0.090,0.131,0.087,1737,0.0698,0.0032,0.0028,0.00212,0.00078,0.00073,26.67,26.25,27.05,1641.6235,0.1081,37.4535,7.8079,6.7903,1103024,1520544,0.5903,0.0147,1978.8,1641.6235,21.78,0,0,0,0,0,0,15092,24155.662,21006.628,0.9246,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,2.28e-14
8000,10662,2314,83227,166335,150039,82040,1068,28478,550,0,297425,3818446,41083.383,33822.752,1.1014,13348.785,0.059,0.766,0.087,0.087,0.537,0.346,406,0.0914,0.6958,0.058,11.4,37.9,72.5,31.11,2.95,6.82,0.43,20.91,7.94,1.393,0.196,0.239,0.246,6.368,0.299,0.0034,79,346,547,22267,32,13,0.254,5652,903,1393,8366,736,1016,8910,1.50,9.18,12567,17.2961,66751,16342,344465,2778.4,0.0,709694,13.166,2631075.518,0.00e0,0.00165,7.77,62413,38.013,2.322,34.865,0.826,38.016,3523,1699,5440,0.1995,0.949,1.324,1.999,1.361,0.915,1.563,11473.967,16714.297,18530.240,11295.667,24606.261,10219.102,1113.783,9141.082,0.523,0.514,0.550,0.568,0.512,0.447,31224,36095,0.5837,0.0859,0.2362,0.9998,0.0357,0.0379,0.5596,0.7311,0.8855,0.1809,0.0219,0.0494,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,2942,0.9984,0.7250,0.8266,0.9989,0.0357,0.0379,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6600,5.2407,6.2762,0.0341,0.0687,0.0529,0.086,0.065,0.080,0.083,1392,0.0618,0.0037,0.0031,0.00223,0.00090,0.00069,25.34,27.68,27.42,1431.0125,0.0896,36.4002,5.6635,7.5020,1105792,1519053,1.0494,0.1057,2188.4,1431.0125,16.84,0,0,0,0,0,0,16113,20473.967,17478.929,0.9357,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,3.39e-15
9000,7957,2001,62630,111203,98039,47738,835,21447,401,0,204806,3207468,27871.540,23011.574,1.1209,8663.649,0.051,0.815,0.071,0.063,0.546,0.343,310,0.0964,0.7145,0.057,12.0,42.6,71.2,30.59,3.00,8.75,0.69,18.16,7.72,1.382,0.213,0.295,0.301,6.678,0.311,0.0033,76,340,422,11979,42,11,0.535,4426,48,1598,6311,186,1366,6405,2.75,10.98,18083,19.0875,66745,17830,331243,1822.2,-0.0,724346,9.785,2631075.518,2.62e-14,0.00023,30.68,41802,31.258,2.327,28.498,0.432,31.260,3269,1396,3292,0.1856,0.980,1.353,1.999,1.381,0.968,1.559,7799.336,12574.808,10160.022,7743.898,18631.269,7340.270,892.282,6115.373,0.497,0.494,0.586,0.395,0.496,0.422,35989,30288,0.6500,0.0741,0.2299,0.9997,0.0282,0.0409,0.5779,0.8653,0.8389,0.1788,0.0213,0.0358,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,1822,0.9991,0.7730,0.8357,0.9986,0.0282,0.0409,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5541,5.3986,6.0527,0.0373,0.0750,0.0610,0.105,0.088,0.124,0.130,1057,0.0629,0.0038,0.0028,0.00249,0.00049,0.00064,25.38,26.81,27.19,1611.9883,0.0783,26.7355,3.9917,5.7932,1107537,1518618,1.9216,0.1899,2197.9,1611.9883,18.95,0,0,0,0,0,0,10320,14347.925,12265.105,0.9455,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,5.42e-15
10000,10287,2230,60391,120250,109818,59265,594,18434,100,0,212803,2511245,34388.607,24874.151,1.1627,9410.012,0.057,0.787,0.102,0.054,0.517,0.361,169,0.0679,0.6518,0.054,16.5,43.6,74.2,31.73,2.51,9.07,0.43,19.72,7.09,1.379,0.224,0.261,0.269,6.221,0.273,0.0032,73,334,432,9508,53,7,0.437,5816,54,1559,8674,487,2022,7778,3.00,11.11,21146,22.1620,66757,19928,320387,3170.8,-0.0,735589,9.205,2631075.518,1.38e-14,0.00183,11.37,43946,25.290,2.325,22.248,0.717,25.293,4322,1655,4310,0.1797,0.981,1.386,1.815,1.406,0.958,1.514,7441.499,16013.980,14734.671,7376.021,21687.927,9114.714,792.225,5557.200,0.539,0.493,0.507,0.486,0.442,0.519,39138,30512,0.5491,0.1098,0.2744,0.9993,0.0297,0.0566,0.5932,0.9043,0.8797,0.1356,0.0108,0.0373,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1554,0.9993,0.8646,0.8209,0.9982,0.0297,0.0566,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3275,5.6099,5.5813,0.0324,0.0642,0.0472,0.065,0.072,0.077,0.070,1362,0.0831,0.0036,0.0030,0.00234,0.00046,0.00086,26.50,26.71,27.71,1792.0118,0.0805,29.5443,4.5213,4.6841,1108213,1516649,2.3439,0.1950,2054.9,1792.0118,19.36,0,0,0,0,0,0,6099,15464.139,13737.463,0.9442,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0,0.0,9.82e-15
