step,year,land_temp,land_rain,land_evap,sea_evap,sea_rain,to_sea,water,water_err,a,b,a_err,b_err,weathered_a,weathered_b,river_a,river_b,buried_a,buried_b,rivers,lakes,storms,land_water,land_biomass,sea_biomass,land_cover,sea_cover,land_height,litter,eaters,eater_cells,gpp,resp,transp,eaten,decayed,burnt,burnt_cells,genotypes,eater_genotypes,leading,matter,c_err,ms_step
130680,11,21.086,1969.7,1790.8,6.866600e7,4.923797e7,173.7,1.801799e7,7.857e-15,1.605640e5,3.176096e5,8.664e-14,8.852e-14,4.515957e4,5.092587e4,3.805824e4,2.982710e4,3.300375e4,2.506282e4,1841,329,141,1.178218e7,0.00228,0.00291,0.0241,0.2417,0.862,0.00154,1.0636e-7,171788,1.257577e3,1.536490e2,2.4,2.587903e-1,2.126722e2,0.000000e0,0,539,72,256,1.130491e3,6.764e-12,2.212
142560,12,21.175,1993.3,1798.8,6.937711e7,4.948897e7,179.2,1.808449e7,6.592e-15,1.899482e5,3.579536e5,1.980e-13,7.838e-14,4.545309e4,5.074675e4,3.167765e4,2.641318e4,1.606894e4,1.040282e4,2061,315,155,1.191964e7,0.00963,0.01406,0.1516,0.2714,0.920,0.00448,3.3355e-8,41746,9.169756e3,8.938217e2,14.1,4.817543e-2,7.099797e2,1.309988e0,15,828,82,256,4.657326e3,1.474e-12,2.134
154440,13,21.117,1978.2,1739.0,6.995221e7,4.902831e7,190.0,1.799355e7,8.902e-15,2.288190e5,4.041038e5,2.395e-13,2.368e-13,4.531557e4,5.027965e4,2.135473e4,2.058655e4,6.444712e3,4.129429e3,2139,328,162,1.196005e7,0.02554,0.02338,0.2893,0.2741,0.974,0.00844,4.6676e-6,15868,1.968137e4,2.170031e3,48.8,1.969971e1,2.305354e3,9.698700e0,78,1374,161,255,9.259412e3,7.502e-13,2.036
166320,14,21.038,1947.9,1678.9,6.957881e7,4.928175e7,182.7,1.808148e7,4.533e-15,2.696272e5,4.513728e5,4.274e-13,1.707e-13,4.503882e4,4.999041e4,1.576847e4,1.190287e4,4.230621e3,2.721400e3,2131,344,173,1.182289e7,0.04682,0.02955,0.3983,0.2733,1.125,0.01236,2.5689e-5,9838,2.719287e4,3.272168e3,87.5,1.231660e2,3.982091e3,2.455176e1,236,2042,315,254,1.394904e4,3.617e-13,1.956
178200,15,21.007,1973.9,1664.6,7.045724e7,4.935597e7,186.6,1.853490e7,1.327e-14,3.118328e5,5.002424e5,4.017e-13,3.474e-13,4.552451e4,5.091448e4,1.359643e4,8.787404e3,3.318887e3,2.044866e3,2119,345,182,1.220211e7,0.07126,0.03358,0.4863,0.2719,1.290,0.01602,3.3741e-5,11918,3.185962e4,4.151929e3,119.2,2.999914e2,5.471638e3,4.246753e1,334,2882,487,251,1.856866e4,2.549e-13,1.908
190080,16,21.184,1984.5,1648.7,7.037698e7,4.989286e7,187.3,1.830303e7,7.124e-15,3.549225e5,5.501086e5,1.834e-13,2.211e-13,4.619219e4,5.158878e4,1.329122e4,7.168776e3,3.102544e3,1.722596e3,1944,342,201,1.170929e7,0.09709,0.03769,0.5612,0.2701,1.474,0.01958,2.4777e-5,14210,3.626542e4,4.986870e3,153.0,2.683149e2,6.760011e3,6.510588e1,488,3881,651,251,2.331045e4,2.611e-13,1.896
201960,17,21.298,1995.3,1644.2,6.970077e7,4.925839e7,182.6,1.854937e7,3.414e-15,3.983332e5,6.004082e5,1.374e-14,5.817e-14,4.644294e4,5.186309e4,1.255467e4,6.115591e3,3.032215e3,1.563499e3,2004,348,211,1.198407e7,0.12401,0.04188,0.6203,0.2684,1.651,0.02310,2.8206e-5,15963,3.976614e4,5.684257e3,166.1,2.411196e2,7.906310e3,9.124206e1,616,4968,727,250,2.817321e4,2.039e-13,1.818
213840,18,21.338,2063.1,1658.2,6.924760e7,4.790632e7,193.0,1.854025e7,9.846e-15,4.423608e5,6.516004e5,4.974e-14,4.020e-14,4.673958e4,5.257680e4,1.165212e4,5.403149e3,2.711953e3,1.384564e3,2227,379,225,1.193214e7,0.15446,0.04568,0.6688,0.2665,1.802,0.02635,3.0560e-5,17012,4.361654e4,6.551809e3,212.4,2.676140e2,9.264435e3,1.226942e2,813,6148,818,248,3.329990e4,2.279e-13,1.796
225720,19,21.348,2036.7,1607.6,6.905946e7,4.810212e7,192.2,1.823822e7,1.266e-14,4.855506e5,7.017939e5,7.540e-14,1.111e-14,4.561559e4,5.142752e4,1.067929e4,4.756488e3,2.425879e3,1.234083e3,2012,397,237,1.176483e7,0.18293,0.04922,0.7036,0.2649,1.994,0.03059,3.4314e-5,18252,4.622235e4,7.142514e3,238.4,2.614879e2,1.000159e4,1.921604e2,1065,7442,977,247,3.839237e4,2.071e-13,1.777
237600,20,21.214,1982.1,1527.5,6.951630e7,4.834465e7,195.0,1.783249e7,2.716e-15,5.266857e5,7.498692e5,1.167e-13,5.154e-14,4.370618e4,4.918535e4,1.139621e4,4.055087e3,2.571020e3,1.110007e3,1769,404,247,1.129913e7,0.20980,0.05240,0.7293,0.2630,2.208,0.03502,3.5240e-5,19289,4.894740e4,7.602273e3,263.8,2.917498e2,1.089052e4,3.432736e2,1533,8710,1093,246,4.321218e4,3.991e-14,1.767
249480,21,21.151,1955.1,1476.6,7.043025e7,4.841427e7,197.6,1.798593e7,2.195e-14,5.671550e5,7.975382e5,4.352e-14,5.605e-14,4.329782e4,4.873258e4,9.196608e3,3.621224e3,2.828546e3,1.063638e3,1714,389,264,1.154770e7,0.24225,0.05565,0.7517,0.2614,2.341,0.03813,3.5622e-5,20194,5.052743e4,8.164606e3,278.6,3.036145e2,1.193891e4,4.362432e2,1709,10014,1147,246,4.801997e4,1.411e-13,1.752
261360,22,21.308,1956.0,1445.7,7.075503e7,4.822058e7,202.6,1.811128e7,1.399e-14,6.084556e5,8.460640e5,1.701e-13,3.165e-14,4.386731e4,4.957407e4,9.154529e3,3.566880e3,2.566749e3,1.048235e3,1887,417,277,1.160497e7,0.27377,0.05858,0.7720,0.2592,2.477,0.04148,3.4204e-5,20786,5.385869e4,8.881973e3,307.1,2.818131e2,1.307818e4,4.012554e2,1809,11403,1143,245,5.306686e4,8.789e-14,1.762
273240,23,21.442,1916.0,1407.4,6.924193e7,4.832831e7,188.2,1.819982e7,2.456e-14,6.492066e5,8.935555e5,5.451e-14,1.187e-13,4.308036e4,4.850041e4,8.602147e3,3.303592e3,2.329315e3,1.008883e3,1759,427,288,1.179614e7,0.30167,0.06112,0.7874,0.2574,2.632,0.04514,3.6397e-5,21258,5.524772e4,9.272141e3,318.7,3.009035e2,1.364315e4,5.955315e2,2345,12749,1238,245,5.768137e4,1.413e-14,1.744
285120,24,21.252,1928.6,1408.8,6.980394e7,4.921697e7,186.6,1.814080e7,7.187e-15,6.900970e5,9.413017e5,1.370e-13,1.892e-14,4.303900e4,4.873755e4,8.486577e3,3.414978e3,2.148609e3,9.913609e2,1671,424,294,1.147196e7,0.33444,0.06356,0.7988,0.2557,2.726,0.04847,4.0347e-5,22109,5.803729e4,9.936111e3,336.1,3.282711e2,1.485140e4,4.882908e2,2262,14355,1295,245,6.279939e4,1.375e-13,1.759
297000,25,21.323,1944.1,1407.0,7.014087e7,4.970521e7,187.8,1.779789e7,3.454e-14,7.312064e5,9.891807e5,1.575e-13,1.097e-13,4.307297e4,4.884623e4,8.162359e3,3.107862e3,1.963526e3,9.671921e2,1741,417,313,1.125572e7,0.36508,0.06566,0.8085,0.2540,2.824,0.05142,5.2600e-5,23310,5.996231e4,1.051256e4,351.3,3.812919e2,1.571873e4,6.612130e2,2560,15977,1378,245,6.754408e4,4.180e-14,1.773
308880,26,21.319,1954.1,1391.2,6.975768e7,4.842409e7,188.0,1.833235e7,2.642e-14,7.727195e5,1.037114e6,1.085e-14,7.880e-14,4.338679e4,4.885405e4,8.251092e3,2.948188e3,1.873723e3,9.207440e2,2040,434,328,1.175366e7,0.39695,0.06760,0.8170,0.2523,2.920,0.05410,5.4465e-5,24152,6.230329e4,1.122759e4,370.4,4.183910e2,1.683999e4,6.346287e2,2690,17506,1528,245,7.228361e4,3.644e-14,1.744
320760,27,21.365,1965.9,1381.6,7.046000e7,4.848070e7,204.0,1.774548e7,2.981e-14,8.136651e5,1.084730e6,9.143e-14,4.121e-14,4.287460e4,4.851958e4,8.359658e3,2.915058e3,1.929017e3,9.032547e2,2147,434,342,1.130285e7,0.42546,0.06954,0.8230,0.2507,3.075,0.05749,5.2389e-5,24858,6.360696e4,1.175827e4,384.4,4.254493e2,1.737338e4,6.427686e2,2607,19121,1591,244,7.684437e4,1.085e-13,1.733
332640,28,21.194,1889.0,1298.5,6.957885e7,4.777516e7,199.0,1.753017e7,2.699e-14,8.535754e5,1.131223e6,1.026e-13,1.624e-13,4.186046e4,4.740743e4,8.069146e3,2.835759e3,1.950187e3,9.150602e2,2076,411,351,1.095014e7,0.45279,0.07158,0.8295,0.2492,3.198,0.06162,6.2817e-5,25639,6.560558e4,1.199647e4,394.7,4.395150e2,1.774727e4,1.057355e3,3341,20669,1637,245,8.141261e4,1.090e-14,1.745
344520,29,21.201,1845.8,1251.7,7.031996e7,4.875554e7,197.3,1.727108e7,2.243e-14,8.939163e5,1.177508e6,7.462e-14,1.562e-13,4.225239e4,4.717358e4,8.150342e3,2.832650e3,1.911399e3,8.881366e2,2114,415,360,1.100510e7,0.47813,0.07343,0.8351,0.2481,3.307,0.06488,6.0920e-5,26141,6.608336e4,1.211321e4,396.3,4.780290e2,1.852412e4,1.031249e3,3380,22319,1768,244,8.552714e4,3.981e-14,1.751
356400,30,20.889,1846.7,1265.4,6.880081e7,4.893270e7,172.4,1.806763e7,3.918e-14,9.355893e5,1.224791e6,2.186e-13,3.561e-13,4.356530e4,4.814947e4,8.460989e3,2.818215e3,1.892310e3,8.670151e2,2063,390,373,1.139797e7,0.50955,0.07534,0.8404,0.2469,3.351,0.06745,7.7976e-5,26728,6.877609e4,1.251430e4,405.4,5.318825e2,1.976912e4,9.470649e2,3189,23887,1868,244,9.023648e4,2.196e-13,1.738
368280,31,20.943,1901.0,1298.5,6.965362e7,4.976403e7,179.0,1.815816e7,3.631e-14,9.776970e5,1.272287e6,3.303e-13,3.166e-13,4.408092e4,4.834994e4,9.295047e3,3.052773e3,1.973237e3,8.537826e2,2070,392,386,1.184762e7,0.54121,0.07768,0.8456,0.2454,3.452,0.06991,8.6687e-5,27400,7.006141e4,1.289764e4,419.5,6.306029e2,2.040037e4,1.078438e3,3305,25226,1977,243,9.438801e4,1.127e-13,1.735
380160,32,21.015,1914.4,1285.6,6.953891e7,4.913305e7,187.8,1.779165e7,4.062e-14,1.018784e6,1.318924e6,2.900e-13,2.185e-13,4.309254e4,4.748658e4,8.701987e3,3.794354e3,2.005384e3,8.496179e2,2054,424,394,1.145205e7,0.56833,0.07979,0.8495,0.2442,3.538,0.07318,8.7345e-5,28094,7.191607e4,1.352474e4,444.6,6.105450e2,2.105832e4,1.151602e3,3455,26613,2130,243,9.871288e4,1.636e-13,1.742
392040,33,21.203,1940.7,1287.2,6.937424e7,4.806764e7,190.2,1.805516e7,2.455e-14,1.059571e6,1.365502e6,2.942e-13,3.136e-13,4.272765e4,4.744151e4,8.524840e3,3.167910e3,1.940751e3,8.629686e2,2158,433,405,1.203472e7,0.59763,0.08166,0.8535,0.2433,3.584,0.07492,8.9007e-5,28597,7.290920e4,1.405374e4,458.0,6.161142e2,2.186704e4,1.354205e3,3801,28086,2167,242,1.029448e5,2.650e-13,1.727
403920,34,21.041,1919.1,1269.5,6.910136e7,4.835208e7,185.0,1.834266e7,2.843e-14,1.100818e6,1.412807e6,3.646e-13,3.416e-13,4.318816e4,4.818668e4,8.214134e3,3.122500e3,1.940882e3,8.815254e2,2114,431,418,1.184135e7,0.62567,0.08360,0.8572,0.2420,3.620,0.07741,1.0991e-4,29229,7.514712e4,1.465627e4,466.4,7.338834e2,2.277311e4,1.349715e3,3827,29424,2271,241,1.071703e5,2.880e-13,1.726
415800,35,21.059,1906.7,1253.9,6.946305e7,4.891194e7,191.3,1.773074e7,2.941e-14,1.141368e6,1.459909e6,3.776e-13,2.423e-13,4.250026e4,4.801105e4,8.436790e3,3.176228e3,1.950649e3,9.098156e2,1702,413,437,1.161153e7,0.64656,0.08534,0.8604,0.2411,3.709,0.08052,1.1859e-4,29932,7.508345e4,1.517988e4,463.6,8.195547e2,2.314105e4,1.392422e3,3929,30757,2383,241,1.106948e5,2.615e-13,1.738
427680,36,20.979,1852.5,1189.6,7.131081e7,4.948145e7,201.0,1.732778e7,3.569e-14,1.179457e6,1.504278e6,4.369e-13,3.976e-13,4.011680e4,4.528982e4,8.071077e3,3.178273e3,2.027779e3,9.209329e2,1616,414,449,1.091748e7,0.66340,0.08722,0.8640,0.2398,3.767,0.08463,8.8426e-5,30512,7.544227e4,1.541797e4,468.2,6.998360e2,2.266140e4,2.505288e3,5268,32001,2524,241,1.139796e5,3.070e-13,1.734
439560,37,20.948,1860.9,1192.5,7.157799e7,4.965985e7,197.8,1.736461e7,5.020e-14,1.217529e6,1.549008e6,5.626e-13,4.912e-13,4.012827e4,4.565050e4,8.270640e3,3.360722e3,2.056633e3,9.200832e2,1554,417,456,1.122411e7,0.68438,0.08913,0.8665,0.2389,3.807,0.08664,9.6372e-5,30933,7.540950e4,1.582136e4,467.9,6.171610e2,2.347415e4,2.430058e3,5233,33280,2582,241,1.173003e5,4.078e-13,1.719
451440,38,20.916,1917.6,1244.5,7.217103e7,5.054786e7,185.6,1.845746e7,3.936e-14,1.257526e6,1.595815e6,3.044e-13,4.829e-13,4.220710e4,4.776524e4,8.619602e3,3.337908e3,2.209343e3,9.585187e2,1823,392,470,1.174777e7,0.71632,0.09109,0.8689,0.2379,3.789,0.08834,1.7256e-4,31589,7.952733e4,1.641335e4,482.8,8.586604e2,2.522808e4,1.704610e3,4350,34378,2519,241,1.219314e5,3.098e-13,1.737
463320,39,20.780,1958.0,1274.8,7.296979e7,5.105520e7,198.1,1.846074e7,4.863e-14,1.298086e6,1.643524e6,3.223e-13,3.940e-13,4.303059e4,4.867396e4,9.445399e3,3.546812e3,2.471145e3,9.649178e2,2249,468,480,1.220204e7,0.73416,0.09317,0.8713,0.2373,3.850,0.09068,1.6859e-4,32699,8.012633e4,1.660322e4,481.0,1.223623e3,2.577625e4,1.783782e3,4340,35371,2671,241,1.249842e5,3.257e-13,1.724
475200,40,20.725,1889.0,1210.8,7.337372e7,5.138424e7,200.5,1.827143e7,5.464e-14,1.337599e6,1.689495e6,4.916e-13,4.885e-13,4.199330e4,4.692740e4,8.938484e3,3.363844e3,2.480358e3,9.557457e2,1958,448,485,1.163685e7,0.75421,0.09515,0.8736,0.2365,3.920,0.09378,1.1521e-4,33686,8.074271e4,1.670052e4,482.8,9.709208e2,2.551034e4,2.375242e3,5130,36561,2922,240,1.283984e5,3.178e-13,1.726
487080,41,21.054,1885.8,1193.8,7.325642e7,5.128292e7,202.0,1.789648e7,5.704e-14,1.376448e6,1.734018e6,3.679e-13,3.239e-13,4.117421e4,4.544153e4,8.521990e3,3.106955e3,2.325116e3,9.191637e2,1852,427,494,1.173765e7,0.77644,0.09767,0.8757,0.2356,3.945,0.09501,1.3551e-4,34508,8.079439e4,1.716926e4,489.1,9.738171e2,2.573312e4,3.201634e3,6241,37338,3000,240,1.310306e5,2.377e-13,1.735
498960,42,21.237,1854.3,1170.7,7.230804e7,5.034585e7,196.1,1.816542e7,4.553e-14,1.414494e6,1.777606e6,3.797e-13,3.449e-13,4.024665e4,4.450312e4,8.164835e3,3.057212e3,2.200853e3,9.147074e2,1868,450,509,1.160352e7,0.79447,0.09990,0.8774,0.2346,3.982,0.09780,1.1019e-4,34881,8.124449e4,1.758658e4,488.6,8.509145e2,2.589549e4,3.158416e3,6343,38274,2933,240,1.341655e5,3.391e-13,1.735
510840,43,21.408,1934.9,1231.7,7.165349e7,5.015159e7,188.3,1.883365e7,5.894e-14,1.454447e6,1.823435e6,2.865e-13,3.090e-13,4.212351e4,4.677422e4,8.528852e3,3.188348e3,2.169803e3,9.452400e2,2020,472,521,1.257682e7,0.82318,0.10211,0.8789,0.2341,3.968,0.09746,1.2995e-4,34957,8.371489e4,1.846272e4,506.1,7.873916e2,2.787081e4,2.425244e3,5296,39276,2957,240,1.378988e5,2.830e-13,1.743
522720,44,21.242,1992.4,1251.2,7.235784e7,4.958412e7,202.9,1.916689e7,6.531e-14,1.495974e6,1.871391e6,4.196e-13,3.415e-13,4.367938e4,4.890440e4,8.834801e3,3.579314e3,2.152874e3,9.484319e2,2234,498,536,1.251711e7,0.84986,0.10444,0.8805,0.2335,3.943,0.09956,2.3994e-4,35496,8.839121e4,1.906671e4,538.9,1.316926e3,2.912967e4,2.235698e3,4667,40105,2994,240,1.420294e5,2.703e-13,1.773
534600,45,21.384,2005.3,1267.5,7.146022e7,4.957689e7,197.1,1.924439e7,5.498e-14,1.538167e6,1.920119e6,2.879e-13,2.548e-13,4.432472e4,4.965720e4,9.170014e3,3.866940e3,2.131430e3,9.294132e2,2191,497,551,1.280483e7,0.87094,0.10641,0.8824,0.2331,3.953,0.10005,1.8750e-4,36241,8.859478e4,1.956394e4,538.1,1.454064e3,2.994303e4,2.538770e3,4997,41037,3122,240,1.450032e5,3.884e-13,1.794
546480,46,21.202,1986.4,1242.3,7.025008e7,4.904253e7,196.4,1.872796e7,4.416e-14,1.580528e6,1.969293e6,3.130e-13,2.582e-13,4.463118e4,5.015269e4,9.492687e3,3.794631e3,2.270101e3,9.787246e2,2130,485,553,1.183303e7,0.90001,0.10883,0.8840,0.2329,3.925,0.10235,1.7820e-4,37125,9.142249e4,2.022672e4,556.6,1.242492e3,3.064934e4,2.148083e3,4496,41913,3195,240,1.494141e5,3.391e-13,1.777
558360,47,21.203,1935.5,1210.9,7.029374e7,4.933729e7,192.4,1.839711e7,5.305e-14,1.622246e6,2.018292e6,1.821e-13,1.248e-13,4.410220e4,4.998877e4,9.331161e3,3.595541e3,2.384904e3,9.893066e2,1922,436,562,1.170234e7,0.92019,0.11112,0.8855,0.2326,3.960,0.10543,1.9707e-4,37802,9.128135e4,2.052070e4,533.4,1.413864e3,3.085369e4,2.419258e3,5007,42715,3331,239,1.530029e5,2.049e-13,1.775
570240,48,21.293,1934.1,1228.6,7.025658e7,4.954901e7,182.7,1.889554e7,4.949e-14,1.664226e6,2.067449e6,3.153e-13,2.235e-13,4.431065e4,5.012028e4,9.004622e3,3.503061e3,2.330199e3,9.639640e2,2083,423,575,1.167977e7,0.93772,0.11368,0.8863,0.2325,3.992,0.10687,2.3889e-4,38342,9.244983e4,2.114838e4,523.0,1.560428e3,3.186221e4,2.657957e3,5320,43565,3385,238,1.558225e5,1.907e-13,1.712
582120,49,21.244,1942.8,1213.4,6.994840e7,4.890104e7,190.7,1.884546e7,4.863e-14,1.706443e6,2.116149e6,2.396e-13,2.234e-13,4.454985e4,4.966030e4,9.757968e3,3.758507e3,2.332676e3,9.595884e2,2286,466,586,1.213965e7,0.95617,0.11611,0.8873,0.2323,3.978,0.10918,2.1598e-4,38895,9.228499e4,2.105687e4,534.5,1.558752e3,3.154478e4,3.129339e3,5859,44240,3392,238,1.590486e5,2.404e-13,1.713
594000,50,21.179,1905.9,1187.1,6.960659e7,4.966522e7,180.8,1.878934e7,3.906e-14,1.748060e6,2.164278e6,2.645e-13,2.050e-13,4.400396e4,4.907293e4,9.521784e3,3.654469e3,2.386792e3,9.444601e2,2133,451,596,1.163809e7,0.97788,0.11847,0.8881,0.2323,3.975,0.11274,2.4932e-4,39204,9.470756e4,2.116087e4,542.6,1.640977e3,3.198522e4,3.077159e3,5616,45069,3424,239,1.629749e5,1.768e-13,1.743
605880,51,21.142,1900.5,1175.1,6.980894e7,4.975848e7,184.1,1.847729e7,5.444e-14,1.788780e6,2.211759e6,2.455e-13,3.360e-13,4.339663e4,4.842611e4,1.148506e4,3.449821e3,2.677389e3,9.452291e2,1883,422,609,1.170020e7,0.99576,0.12143,0.8889,0.2324,3.980,0.11537,2.6977e-4,39804,9.453250e4,2.117363e4,540.7,1.857892e3,3.197755e4,3.786160e3,6362,45510,3453,238,1.653247e5,2.035e-13,1.813
617760,52,21.092,1899.2,1193.0,6.939698e7,5.020652e7,169.9,1.887794e7,4.381e-14,1.829123e6,2.259578e6,1.409e-13,3.835e-13,4.383396e4,4.879118e4,1.342255e4,3.607288e3,3.490846e3,9.717058e2,1937,418,621,1.165304e7,1.00895,0.12352,0.8897,0.2327,3.977,0.11535,2.6570e-4,40571,9.587754e4,2.155439e4,536.7,1.934773e3,3.323258e4,3.884038e3,6142,46258,3445,238,1.671929e5,2.317e-13,1.721
629640,53,20.964,1965.5,1213.7,6.996214e7,5.001322e7,179.3,1.899373e7,3.119e-14,1.869580e6,2.308496e6,2.828e-13,1.985e-13,4.445746e4,4.991366e4,1.262351e4,3.909662e3,4.000277e3,9.954979e2,2175,458,630,1.223226e7,1.03145,0.12543,0.8903,0.2333,3.969,0.11822,2.4985e-4,41323,9.765469e4,2.159138e4,567.3,1.925295e3,3.368504e4,2.766039e3,4931,46928,3701,238,1.710312e5,1.952e-13,1.729
641520,54,21.054,1967.6,1201.6,6.936672e7,4.931401e7,184.1,1.868308e7,4.746e-14,1.909272e6,2.356653e6,2.102e-13,4.802e-13,4.356700e4,4.916897e4,1.104878e4,3.752120e3,3.875242e3,1.012080e3,1948,476,640,1.174936e7,1.05408,0.12719,0.8911,0.2336,3.966,0.12017,2.4519e-4,42114,9.909161e4,2.229957e4,586.4,1.810514e3,3.445921e4,3.021410e3,5394,47634,3755,237,1.744520e5,2.125e-13,1.715
653400,55,21.122,1962.2,1185.2,6.854778e7,4.806915e7,185.3,1.866652e7,4.590e-14,1.949362e6,2.404236e6,2.403e-13,2.167e-13,4.379047e4,4.860854e4,1.057092e4,3.718462e3,3.700258e3,1.025585e3,1987,459,651,1.202638e7,1.07292,0.12904,0.8916,0.2343,3.978,0.12224,2.8951e-4,42836,9.794352e4,2.248025e4,589.2,1.976632e3,3.472048e4,2.973035e3,5610,48552,3788,238,1.776040e5,2.466e-13,1.711
665280,56,21.090,1957.7,1171.4,6.912606e7,4.788714e7,188.2,1.908618e7,4.880e-14,1.989645e6,2.451810e6,2.010e-13,2.323e-13,4.371094e4,4.863989e4,1.021485e4,3.866307e3,3.427688e3,1.066225e3,2166,507,662,1.224048e7,1.09163,0.13126,0.8921,0.2346,3.972,0.12358,2.5672e-4,43171,9.901116e4,2.329402e4,596.2,1.950087e3,3.546966e4,3.146198e3,5779,49141,3804,237,1.804855e5,1.666e-13,1.721
