run,kind,share,censuses,held,forms,lineages,top_lineages,born_size,density,open_born,grass,algae,detritus,meat,kills,travel,land,surface,bottom,side,cells
e065,plant / no tooth / roams / shore,0.7121802988098253,6,True,82,35,1:0.53 1179:0.32 1457:0.03,27.0,1.0,0.8,0.15650363537089224,0.5206007894523802,0.21747386504586796,0.10542171013085959,0.07415645796077973,14.44,0.2799743990897454,0.47418574882662495,0.24583985208362963,5,4444444424432224322243332
e065,plant / no tooth / roams / surface,0.05910357052418334,2,False,19,11,1:0.64 1179:0.29 6:0.05,33,1.0,0.8,0.028092879936340513,0.92716592703658,0.0,0.044741193027079434,0.043252707133206184,15.55,0.0676949443016281,0.9323050556983719,0.0,5,4444444424442224322243322
e065,plant / no tooth / stays / land,0.042441124335274756,2,False,33,33,1598:0.50 1418:0.17 1599:0.09,36.0,1.78,0.8,0.7395035366402489,0.0,0.017848214922970826,0.2426482484367803,0.1889494527732036,5.88,0.9821002386634845,0.0,0.017899761336515514,5,4444444444422442222422224
e065,mixed / no tooth / roams / land,0.036211699164345405,1,False,31,31,1754:0.20 1877:0.17 1998:0.14,36,1.991,0.6666666666666666,0.5122118909447204,0.0,0.008422448657665622,0.47936566039761397,0.43318877734073463,9.89,0.9734265734265735,0.0,0.026573426573426574,6,444444444444442224422222222222222222
e065,mixed / no tooth / stays / land,0.03261585211445936,2,False,27,27,1596:0.27 1450:0.23 1729:0.09,25.0,1.922,0.8,0.5637153303445762,0.0,0.021219245420835215,0.41506542423458864,0.35289565167944814,5.505,0.9767080745341615,0.0,0.023291925465838508,5,4444444444422242222222222
e065,plant / no tooth / stays / shore,0.022841225626740947,1,False,13,13,1:0.22 1536:0.15 1313:0.15,36,1.042,0.6666666666666666,0.19291296325054128,0.4812425088307454,0.18547636264158399,0.1403681652771294,0.10842609602446983,5.77,0.37915742793791574,0.37250554323725055,0.24833702882483372,6,444444444444444444441344422324222222
e065,plant / no tooth / stays / surface,0.016054697391744744,1,False,3,2,5:0.74 1723:0.26,49,1.0,0.5714285714285714,0.020999091054688553,0.8427703072318351,0.0018210937711246587,0.13440950794235168,0.13092589703750387,7.16,0.056782334384858045,0.9400630914826499,0.0031545741324921135,7,4444444444444444424444222224222222422222222222222
e066,plant / no tooth / roams / shore,0.38860469218557064,6,True,47,8,1:0.94 1384:0.04 1463:0.01,49,1.013,0.5714285714285714,0.21457897015604338,0.2996607364041466,0.36034333473127633,0.12541695870853367,0.06361273983149762,11.25,0.3461945831441973,0.3321228627628991,0.32168255409290364,6,442244422224422224422224442244444444
e066,plant / no tooth / stays / shore,0.2417827953195743,6,True,28,9,1:0.91 1384:0.06 1457:0.01,49.0,1.027,0.5714285714285714,0.20472053784247737,0.2926085401852402,0.3270456429458606,0.17562527902642183,0.0712369693900639,4.805,0.36794747081712065,0.2838035019455253,0.34824902723735407,7,4444444444444444444444444444444444444444444444444
e066,plant / tooth / stays / shore,0.06538484153583818,5,False,5,2,1:0.92 1384:0.08,49.0,0.999,0.44,0.18804113547322407,0.3780886329447548,0.21501860253795668,0.21885162904406447,0.15641439447613242,3.25,0.3147482014388489,0.4316546762589928,0.25359712230215825,7,4444444444444444444444411444411114441111444411444
