run,kind,share,censuses,held,forms,lineages,top_lineages,born_size,density,open_born,grass,algae,detritus,meat,kills,travel,land,surface,bottom,side,cells
e066,mixed / no tooth / roams / shore,0.0590933145175516,3,False,8,6,1:0.54 1158:0.25 1349:0.11,36,1.207,0.6666666666666666,0.05984682195010588,0.04750806128069835,0.5046385333614652,0.3880065834077304,0.30744264736947646,10.26,0.19402985074626866,0.15124378109452735,0.6547263681592039,6,222222222222224422244442244442244442
e066,plant / tooth / stays / surface,0.03633797847944964,1,False,6,4,1462:0.50 1:0.48 1396:0.01,49.0,0.996,0.5306122448979592,0.028831864864887733,0.8169763105004637,0.0,0.15419182463464848,0.1497540793682012,4.76,0.05339805825242718,0.9466019417475728,0.0,7,4444411444441144422434422223442222244222224422222
e066,plant / tooth / roams / shore,0.030458046686658434,1,False,3,1,1:1.00,36.0,0.999,0.6388888888888888,0.06328689489353728,0.860041233266339,0.0,0.07667187184012378,0.07135500910751104,11.195,0.12355212355212356,0.8764478764478765,0.0,6,444244422224422221422224442224444444
e066,plant / no tooth / stays / surface,0.029340859646028106,1,False,5,4,1402:0.42 1462:0.41 1350:0.12,36,0.999,0.75,0.013353586041992667,0.8489137849401795,0.0,0.13773262901782768,0.13607469548813506,7.29,0.07014028056112225,0.9298597194388778,0.0,6,000044004444222244222244222224222222
e066,plant / no tooth / stays / bottom,0.028929264420532723,1,False,14,14,1462:0.45 1350:0.17 1181:0.12,36.0,1.1324999999999998,0.6666666666666666,0.021971324851011522,0.0016518794105728387,0.7272768421294994,0.2490999536089163,0.1264263357869502,5.01,0.06097560975609756,0.0,0.9390243902439024,6,444444444444442244422224422224442224
e066,plant / no tooth / roams / bottom,0.026871288293055802,1,False,13,12,1:0.68 1402:0.21 1379:0.04,36,1.111,0.6666666666666666,0.030113664614364512,0.0,0.8269999257613214,0.14288640962431404,0.0836924151313137,15.91,0.061269146608315096,0.0,0.9387308533916849,6,442224422222422222422224442224444444
e066,mixed / no tooth / stays / bottom,0.022402540130534485,1,False,6,6,1506:0.48 1319:0.47 1333:0.04,36,1.614,0.6666666666666666,0.02710124607924332,0.0,0.5845957359357646,0.388303017984992,0.22825746337261174,3.95,0.08661417322834646,0.0,0.9133858267716536,6,444444444444442224422222422222422222
e066,plant / no tooth / stays / land,0.012583054036573177,1,False,6,5,1:0.88 1266:0.08 1351:0.03,49.0,1.013,0.5714285714285714,0.7074540827376212,0.010116490925236964,0.08631688526662325,0.19611254107051854,0.05690681128534521,2.01,0.9252336448598131,0.018691588785046728,0.056074766355140186,7,4444444444444444222443222224322222432222243222224
breath 0.003,plant / no tooth / roams / shore,0.24561126047762138,6,True,22,9,1:0.41 1365:0.34 1888:0.21,42,1.0,1.0,0.0808409684222781,0.6078604690658382,0.12138852445843847,0.1899100380534452,0.16338397100227395,13.7,0.19467696930671818,0.6636617299849753,0.14166130070830651,8,4222224422222224222444222230004424000044440000044400000444000004
breath 0.003,plant / no tooth / stays / shore,0.21593125626021403,6,True,30,18,1365:0.34 1:0.33 1888:0.13,43.0,1.036,0.7555555555555555,0.27339420763157923,0.2386477798805482,0.28783513507407305,0.20012287741379958,0.08242615727560347,3.25,0.38916015625,0.251708984375,0.359130859375,8,4444444444444444444444444444444444444444444444444444444444444444
breath 0.003,plant / no tooth / roams / bottom,0.13000158152775582,6,True,27,14,1:0.87 2133:0.09 2095:0.01,18.0,1.217,1.2941176470588236,0.010778731987890927,0.0,0.81152450614766,0.1776967618644489,0.08657432077781209,11.43,0.030008110300081103,0.0,0.9699918896999189,7,4422222444422244000022000000000000000000000000000
breath 0.003,mixed / no tooth / roams / shore,0.08345194791501924,4,False,29,27,1263:0.16 1914:0.16 1707:0.10,25,1.981,0.8,0.2048363183348297,0.0,0.29520715340781145,0.49995652825735887,0.4003036796457578,14.33,0.4775742261528743,0.0,0.5224257738471257,6,322223222222244442400004000000000000
breath 0.003,plant / no tooth / roams / surface,0.07364647582898413,5,False,18,4,1:0.96 1365:0.04 1455:0.00,23,1.0,1.25,0.027472476583273446,0.9259555100841492,0.0,0.04657201333257746,0.04225685176188558,11.07,0.06299212598425197,0.937007874015748,0.0,7,4444442444442244000224000002000000000000000000000
breath 0.003,mixed / no tooth / stays / shore,0.06979809162317466,4,False,9,7,1566:0.53 1914:0.32 1840:0.12,36.0,1.961,0.6666666666666666,0.5065145993861448,0.0,0.07887633002319319,0.414609070590662,0.31041626747468315,6.5,0.8459214501510574,0.0,0.1540785498489426,6,444444444444444444444444444444444444
breath 0.003,plant / no tooth / stays / bottom,0.05893826769993147,3,False,25,24,1:0.58 2133:0.19 1945:0.06,19.0,1.218,1.263157894736842,0.01053926063070212,0.0,0.7923613742246765,0.19709936514462142,0.06875579511841948,5.21,0.03667262969588551,0.0,0.9633273703041145,7,4444422444442244000000000000000000000000000000000
breath 0.003,plant / no tooth / stays / land,0.03785123095576994,2,False,49,47,1408:0.19 1565:0.14 1727:0.12,49.0,1.47,0.6333333333333333,0.7806138235934961,0.0,0.005590014995178837,0.21379616141132524,0.07989940786179475,1.25,0.9874651810584958,0.0,0.012534818941504178,6,444444444444422444222244222244222244
breath 0.003,mixed / no tooth / stays / land,0.023722916337181717,1,False,14,13,1736:0.81 1974:0.07 1783:0.03,25.0,1.99,0.8,0.6391126255928139,0.0,0.008801710750606234,0.35208566365657995,0.22993715704324144,3.955,0.9888888888888889,0.0,0.011111111111111112,5,2222222222442224444444444
breath 0.01,plant / no tooth / roams / shore,0.2696249708828325,6,True,39,20,908:0.54 1640:0.22 964:0.12,24.0,1.0,1.2222222222222223,0.08395974279759481,0.5282130639892371,0.2382162004516601,0.14961099276150802,0.10890624220607173,11.774999999999999,0.1937365010799136,0.5157667386609072,0.29049676025917925,7,4444422444442200002220000002000000000000000000000
breath 0.01,plant / no tooth / stays / shore,0.20999301187980432,6,True,29,13,908:0.47 964:0.24 1941:0.09,29.0,1.037,1.1578947368421053,0.17280810078633027,0.2738956244348901,0.37823819844663104,0.1750580763321486,0.07588437756423744,5.25,0.26234054353854686,0.266777592900721,0.47088186356073214,7,4444444444444444444444444444444444444444444444444
breath 0.01,plant / no tooth / roams / surface,0.1365595154903331,6,True,32,13,908:0.51 1941:0.12 1640:0.10,18,1.0,1.2941176470588236,0.009768943917150337,0.8661263869541022,0.0,0.12410466912874753,0.12242033663203497,13.59,0.05714285714285714,0.9428571428571428,0.0,7,4444422444442200000220000000000000000000000000000
breath 0.01,plant / no tooth / roams / bottom,0.08938970416957838,6,True,24,22,908:0.88 2241:0.05 2113:0.02,23,1.142,1.1304347826086956,0.007256537435934653,0.0,0.8759657580263843,0.11677770453768099,0.05721952524749086,17.36,0.05732899022801303,0.0,0.9426710097719869,8,4444442244444442000022240000002200000002000000000000000000000000
breath 0.01,mixed / no tooth / roams / shore,0.07197763801537387,5,False,36,35,1950:0.22 1520:0.11 1800:0.09,25.0,1.931,1.0,0.15493821549356263,0.1193692843942741,0.24468829137553233,0.4810042087366308,0.40532072554920323,16.955,0.4166666666666667,0.15210355987055016,0.4312297734627832,5,2222222222440424444444444
breath 0.01,plant / no tooth / stays / surface,0.05334265082692756,1,False,18,14,1709:0.43 964:0.18 1563:0.12,33.0,1.0,1.2903225806451613,0.00812807246749867,0.8709076015952484,0.0,0.12096432593725287,0.11939474638113085,5.49,0.04694323144104803,0.9530567685589519,0.0,8,2222222422222200220000002000000420000044440000444444444444444444
breath 0.01,mixed / no tooth / roams / land,0.03680409969718146,3,False,25,25,2344:0.25 1772:0.16 1840:0.12,49.0,1.4085,0.6313207547169811,0.5639317056478002,0.0004843486098079823,0.01505385899320095,0.42053008674919085,0.34021639650258584,12.16,0.9620253164556962,0.0,0.0379746835443038,8,4444444444444444444444444422224442222224422222222222222222222222
breath 0.01,plant / no tooth / stays / land,0.032669461914744936,2,False,47,43,1711:0.26 2450:0.09 2133:0.08,49,1.231,0.5714285714285714,0.7381375159378307,0.0014737464134242453,0.011980788648648766,0.2484079490000962,0.10673992974832967,1.5,0.9857397504456328,0.0017825311942959,0.012477718360071301,8,4444444444444444444444444444444444444444444444444444444444444444
breath 0.01,mixed / no tooth / stays / land,0.028185418122525042,1,False,12,12,1835:0.42 1783:0.36 2109:0.11,49.0,1.225,0.5714285714285714,0.5989107906074408,0.0,0.002649738478493854,0.3984394709140653,0.2146440741658357,2.435,0.9896694214876033,0.0,0.010330578512396695,7,2222222442222244444444444444444444444444444444444
breath 0.01,plant / no tooth / stays / bottom,0.01863498718844631,1,False,14,14,1709:0.45 1563:0.17 1723:0.14,30.0,1.064,1.1666666666666667,0.008195870970577543,0.0,0.7746295305072335,0.21717459852218893,0.05327915463304659,3.25,0.05,0.0,0.95,7,2200000220000040000004000000400000040000004000000
