run,part,groups,balanced,at_0.8,null
e065,diet,16,0.5974909420289856,0.1875,0.4837464280246354
e065,tooth,2,0.9650865800865801,1.0,0.4849350649350649
e065,roams,43,0.6238179669030732,0.11627906976744186,0.4863426052707163
e065,medium,48,0.7234217171717172,0.3541666666666667,0.5089690440222905
e066,diet,36,0.685318690783807,0.2777777777777778,0.5001983031119802
e066,tooth,31,0.9668382352941176,1.0,0.5018527827248327
e066,roams,58,0.8349559081636649,0.5689655172413793,0.5024756230249582
e066,medium,66,0.9221899424105306,0.7727272727272727,0.4990320616262662
breath 0.003,diet,49,0.5831964969896004,0.14285714285714285,0.49436660396557786
breath 0.003,tooth,7,0.9561269841269842,1.0,0.5056086462557051
breath 0.003,roams,71,0.7695351632939291,0.4084507042253521,0.49658264778261996
breath 0.003,medium,67,0.8337121212121212,0.5522388059701493,0.49793895516422854
breath 0.01,diet,20,0.6735790645673947,0.3,0.4934205153350018
breath 0.01,roams,71,0.6970688998858013,0.36619718309859156,0.504372119293148
breath 0.01,medium,73,0.8535714285714286,0.6438356164383562,0.49913223919503263
