run,keep,form_min,form,form_held,null_whole,null_whole_held,null_medium,null_medium_held
e065,0.8,20,3.6666666666666665,2,3.1333333333333333,2,3.1666666666666665,2
e065,0.95,20,2.5,1,2.466666666666667,1,2.6,1
e065,0.9,10,2.5,1,2.033333333333333,1,2.4333333333333336,1
e065,0.9,50,2.3333333333333335,1,2.1666666666666665,1,2.1666666666666665,1
e066,0.8,20,7,3,3.0,2,4.4,2
e066,0.95,20,4.5,2,2.533333333333333,2,4.833333333333333,3.4
e066,0.9,10,5,2,2.7666666666666666,2,4.066666666666666,2
e066,0.9,50,3.3333333333333335,2,2.6666666666666665,2,3.3333333333333335,2
breath 0.003,0.8,20,7.333333333333333,3,5.7,3,6.633333333333333,3.8
breath 0.003,0.95,20,5,3,3.7333333333333334,2,4,2
breath 0.003,0.9,10,6.666666666666667,4,4.633333333333333,2,4.066666666666666,2
breath 0.003,0.9,50,5.333333333333333,3,3.9333333333333336,1.6,4,2
breath 0.01,0.8,20,7.166666666666667,4,5.433333333333334,2.4,6.866666666666666,4.4
breath 0.01,0.95,20,4.166666666666667,2,3.5,2,3.7333333333333334,2
breath 0.01,0.9,10,6.166666666666667,5,4.733333333333333,2.8,4.933333333333334,3
breath 0.01,0.9,50,5.833333333333333,3,4.3,1,4.5,2
