run,censuses,grown,lineages,forms,mixed_layers,in_forms,body_medium,body_medium_null,lineage_e060,lineage,lineage_held,modal_form,modal_form_null,form,form_low,form_high,form_held,null_medium,null_medium_held,null_whole,null_whole_held,sorted,confined_shape,confined_signature,confined_signature_null
e065,6,3290.8333333333335,240,321,1,0.47708280577361356,5,5.133333333333334,1.8333333333333333,2.1666666666666665,1,3.8333333333333335,3.8,2.5,1,6,1,2.1666666666666665,1,2.1333333333333333,1,0.2169663205874905,0.5773626373626374,0.17335456475583863,0.052929936305732485
e066,6,2834.5,78,178,0,0.4577526900687952,6.666666666666667,6.5,1.5,1.5,1,6.666666666666667,3.1999999999999997,4.5,3,6,2,4.566666666666666,2,2.7666666666666666,2,0.2060916093373317,0.3245801526717557,0.3338471419396275,0.03817597944765575
breath 0.003,6,3161.5,199,295,1,0.34129368970425433,6.166666666666667,6.1000000000000005,2.6666666666666665,3.1666666666666665,1,5.5,4.166666666666667,6.166666666666667,5,7,3,4.266666666666667,2,4.233333333333333,2,0.37071010596235965,0.8567774936061381,0.43805993203583565,0.13302440531356194
breath 0.01,6,2862.0,243,351,0,0.395469368739809,6,6,2.5,3.1666666666666665,1,5.5,4.733333333333333,6.166666666666667,5,8,4,5.066666666666666,3,4.566666666666666,1.4,0.43466107617051014,0.8500548245614035,0.6421734648799882,0.2798409659843911
