run,lineage,light,where,bodies,born_size,share
e065,1,0,land,579,24,0.27979274611398963
e065,1,0,land,579,36,0.696027633851468
e065,1,0,land,579,48,0.024179620034542316
e065,1,0,water,1396,20,0.0007163323782234957
e065,1,0,water,1396,24,0.27578796561604585
e065,1,0,water,1396,32,0.0035816618911174787
e065,1,0,water,1396,36,0.7163323782234957
e065,1,0,water,1396,44,0.0007163323782234957
e065,1,0,water,1396,48,0.0028653295128939827
e065,1,1,land,980,24,0.8928571428571429
e065,1,1,land,980,32,0.004081632653061225
e065,1,1,land,980,36,0.10204081632653061
e065,1,1,land,980,48,0.0010204081632653062
e065,1,1,water,5367,24,0.9114961803614682
e065,1,1,water,5367,28,0.0001863238308179616
e065,1,1,water,5367,32,0.0031675051239053475
e065,1,1,water,5367,36,0.08496366685299049
e065,1,1,water,5367,48,0.0001863238308179616
e065,1179,0,land,757,8,0.001321003963011889
e065,1179,0,land,757,12,0.010568031704095112
e065,1179,0,land,757,16,0.010568031704095112
e065,1179,0,land,757,20,0.015852047556142668
e065,1179,0,land,757,24,0.07529722589167767
e065,1179,0,land,757,28,0.08058124174372523
e065,1179,0,land,757,32,0.2536327608982827
e065,1179,0,land,757,36,0.44517833553500663
e065,1179,0,land,757,40,0.002642007926023778
e065,1179,0,land,757,44,0.010568031704095112
e065,1179,0,land,757,48,0.08982826948480846
e065,1179,0,land,757,64,0.003963011889035667
e065,1179,0,water,1058,4,0.000945179584120983
e065,1179,0,water,1058,8,0.002835538752362949
e065,1179,0,water,1058,12,0.007561436672967864
e065,1179,0,water,1058,16,0.012287334593572778
e065,1179,0,water,1058,20,0.01890359168241966
e065,1179,0,water,1058,24,0.07939508506616257
e065,1179,0,water,1058,28,0.06805293005671077
e065,1179,0,water,1058,32,0.29111531190926276
e065,1179,0,water,1058,36,0.42060491493383745
e065,1179,0,water,1058,40,0.000945179584120983
e065,1179,0,water,1058,44,0.010396975425330813
e065,1179,0,water,1058,48,0.0831758034026465
e065,1179,0,water,1058,56,0.000945179584120983
e065,1179,0,water,1058,64,0.002835538752362949
e065,1179,1,land,538,12,0.0018587360594795538
e065,1179,1,land,538,16,0.0018587360594795538
e065,1179,1,land,538,20,0.0037174721189591076
e065,1179,1,land,538,24,0.024163568773234202
e065,1179,1,land,538,28,0.027881040892193308
e065,1179,1,land,538,32,0.7267657992565055
e065,1179,1,land,538,36,0.17657992565055763
e065,1179,1,land,538,44,0.0018587360594795538
e065,1179,1,land,538,48,0.022304832713754646
e065,1179,1,land,538,64,0.00929368029739777
e065,1179,1,land,538,80,0.0037174721189591076
e065,1179,1,water,2469,8,0.0004050222762251924
e065,1179,1,water,2469,12,0.0008100445524503848
e065,1179,1,water,2469,16,0.0028351559335763467
e065,1179,1,water,2469,20,0.004050222762251924
e065,1179,1,water,2469,24,0.01012555690562981
e065,1179,1,water,2469,28,0.009720534629404616
e065,1179,1,water,2469,32,0.8428513568246253
e065,1179,1,water,2469,36,0.1121911705143783
e065,1179,1,water,2469,40,0.001215066828675577
e065,1179,1,water,2469,44,0.0028351559335763467
e065,1179,1,water,2469,48,0.012555690562980963
e065,1179,1,water,2469,80,0.0004050222762251924
e065,1690,0,land,253,12,0.003952569169960474
e065,1690,0,land,253,16,0.019762845849802372
e065,1690,0,land,253,20,0.03162055335968379
e065,1690,0,land,253,24,0.08695652173913043
e065,1690,0,land,253,28,0.4782608695652174
e065,1690,0,land,253,32,0.2608695652173913
e065,1690,0,land,253,36,0.11067193675889328
e065,1690,0,land,253,40,0.003952569169960474
e065,1690,0,land,253,48,0.003952569169960474
e065,1690,0,water,248,16,0.004032258064516129
e065,1690,0,water,248,20,0.008064516129032258
e065,1690,0,water,248,24,0.0846774193548387
e065,1690,0,water,248,28,0.5524193548387096
e065,1690,0,water,248,32,0.3064516129032258
e065,1690,0,water,248,36,0.04435483870967742
e066,1,0,land,2851,16,0.0007015082427218519
e066,1,0,land,2851,20,0.0028060329708874078
e066,1,0,land,2851,24,0.005962820063135742
e066,1,0,land,2851,28,0.010873377762188706
e066,1,0,land,2851,32,0.025605050859347597
e066,1,0,land,2851,36,0.2171168011224132
e066,1,0,land,2851,40,0.004209049456331112
e066,1,0,land,2851,44,0.03577692037881445
e066,1,0,land,2851,48,0.6474921080322694
e066,1,0,land,2851,52,0.008067344791301298
e066,1,0,land,2851,56,0.006313574184496668
e066,1,0,land,2851,60,0.0028060329708874078
e066,1,0,land,2851,64,0.030164854437039635
e066,1,0,land,2851,76,0.00035075412136092597
e066,1,0,land,2851,80,0.00175377060680463
e066,1,0,water,4260,16,0.00046948356807511736
e066,1,0,water,4260,20,0.0011737089201877935
e066,1,0,water,4260,24,0.01572769953051643
e066,1,0,water,4260,28,0.003990610328638498
e066,1,0,water,4260,32,0.016666666666666666
e066,1,0,water,4260,36,0.535680751173709
e066,1,0,water,4260,40,0.00539906103286385
e066,1,0,water,4260,44,0.011267605633802818
e066,1,0,water,4260,48,0.38967136150234744
e066,1,0,water,4260,52,0.0014084507042253522
e066,1,0,water,4260,56,0.00046948356807511736
e066,1,0,water,4260,60,0.0007042253521126761
e066,1,0,water,4260,64,0.01619718309859155
e066,1,0,water,4260,68,0.00023474178403755868
e066,1,0,water,4260,80,0.00046948356807511736
e066,1,0,water,4260,84,0.00046948356807511736
e066,1,1,land,1605,12,0.0012461059190031153
e066,1,1,land,1605,20,0.0024922118380062306
e066,1,1,land,1605,24,0.0006230529595015577
e066,1,1,land,1605,28,0.004984423676012461
e066,1,1,land,1605,32,0.003738317757009346
e066,1,1,land,1605,36,0.17757009345794392
e066,1,1,land,1605,40,0.014330218068535825
e066,1,1,land,1605,44,0.016822429906542057
e066,1,1,land,1605,48,0.6984423676012461
e066,1,1,land,1605,52,0.0006230529595015577
e066,1,1,land,1605,64,0.059813084112149535
e066,1,1,land,1605,80,0.018691588785046728
e066,1,1,land,1605,100,0.0006230529595015577
e066,1,1,water,4528,12,0.01678445229681979
e066,1,1,water,4528,16,0.0008833922261484099
e066,1,1,water,4528,20,0.0006625441696113075
e066,1,1,water,4528,24,0.001325088339222615
e066,1,1,water,4528,28,0.003754416961130742
e066,1,1,water,4528,32,0.0017667844522968198
e066,1,1,water,4528,36,0.38626325088339225
e066,1,1,water,4528,40,0.007950530035335688
e066,1,1,water,4528,44,0.007067137809187279
e066,1,1,water,4528,48,0.5596289752650176
e066,1,1,water,4528,52,0.0006625441696113075
e066,1,1,water,4528,56,0.0006625441696113075
e066,1,1,water,4528,64,0.011925795053003533
e066,1,1,water,4528,72,0.00022084805653710247
e066,1,1,water,4528,80,0.00022084805653710247
e066,1,1,water,4528,96,0.00022084805653710247
e066,1462,0,land,15,36,0.8666666666666667
e066,1462,0,land,15,48,0.13333333333333333
e066,1462,0,water,208,28,0.004807692307692308
e066,1462,0,water,208,36,0.5528846153846154
e066,1462,0,water,208,40,0.02403846153846154
e066,1462,0,water,208,44,0.009615384615384616
e066,1462,0,water,208,48,0.3605769230769231
e066,1462,0,water,208,52,0.004807692307692308
e066,1462,0,water,208,64,0.04326923076923077
e066,1462,1,land,22,36,0.045454545454545456
e066,1462,1,land,22,44,0.045454545454545456
e066,1462,1,land,22,48,0.9090909090909091
e066,1462,1,water,491,32,0.002036659877800407
e066,1462,1,water,491,36,0.04276985743380855
e066,1462,1,water,491,44,0.004073319755600814
e066,1462,1,water,491,48,0.9409368635437881
e066,1462,1,water,491,64,0.010183299389002037
e066,1384,0,land,53,24,0.018867924528301886
e066,1384,0,land,53,36,0.37735849056603776
e066,1384,0,land,53,48,0.6037735849056604
e066,1384,0,water,201,24,0.024875621890547265
e066,1384,0,water,201,36,0.746268656716418
e066,1384,0,water,201,48,0.22885572139303484
e066,1384,1,land,56,36,0.625
e066,1384,1,land,56,48,0.35714285714285715
e066,1384,1,land,56,64,0.017857142857142856
e066,1384,1,water,314,36,0.9299363057324841
e066,1384,1,water,314,48,0.054140127388535034
e066,1384,1,water,314,64,0.01592356687898089
breath 0.003,1,0,land,569,8,0.0017574692442882249
breath 0.003,1,0,land,569,12,0.01054481546572935
breath 0.003,1,0,land,569,16,0.06678383128295255
breath 0.003,1,0,land,569,20,0.05975395430579965
breath 0.003,1,0,land,569,24,0.08963093145869948
breath 0.003,1,0,land,569,28,0.09490333919156414
breath 0.003,1,0,land,569,32,0.08084358523725835
breath 0.003,1,0,land,569,36,0.09666080843585237
breath 0.003,1,0,land,569,40,0.08260105448154657
breath 0.003,1,0,land,569,44,0.05975395430579965
breath 0.003,1,0,land,569,48,0.10369068541300527
breath 0.003,1,0,land,569,52,0.061511423550087874
breath 0.003,1,0,land,569,56,0.03163444639718805
breath 0.003,1,0,land,569,60,0.019332161687170474
breath 0.003,1,0,land,569,64,0.1282952548330404
breath 0.003,1,0,land,569,80,0.008787346221441126
breath 0.003,1,0,land,569,100,0.0035149384885764497
breath 0.003,1,0,water,3595,0,0.0005563282336578582
breath 0.003,1,0,water,3595,4,0.004728789986091794
breath 0.003,1,0,water,3595,8,0.0239221140472879
breath 0.003,1,0,water,3595,12,0.06842837273991655
breath 0.003,1,0,water,3595,16,0.4834492350486787
breath 0.003,1,0,water,3595,20,0.17913769123783033
breath 0.003,1,0,water,3595,24,0.07593880389429764
breath 0.003,1,0,water,3595,28,0.05285118219749652
breath 0.003,1,0,water,3595,32,0.03588317107093185
breath 0.003,1,0,water,3595,36,0.02364394993045897
breath 0.003,1,0,water,3595,40,0.01780250347705146
breath 0.003,1,0,water,3595,44,0.014186369958275382
breath 0.003,1,0,water,3595,48,0.010570236439499305
breath 0.003,1,0,water,3595,52,0.0016689847009735744
breath 0.003,1,0,water,3595,56,0.0025034770514603616
breath 0.003,1,0,water,3595,60,0.0013908205841446453
breath 0.003,1,0,water,3595,64,0.0027816411682892906
breath 0.003,1,0,water,3595,68,0.0002781641168289291
breath 0.003,1,0,water,3595,80,0.0002781641168289291
breath 0.003,1,1,land,527,8,0.003795066413662239
breath 0.003,1,1,land,527,16,0.018975332068311195
breath 0.003,1,1,land,527,20,0.1366223908918406
breath 0.003,1,1,land,527,24,0.1062618595825427
breath 0.003,1,1,land,527,28,0.32447817836812143
breath 0.003,1,1,land,527,32,0.0777988614800759
breath 0.003,1,1,land,527,36,0.036053130929791274
breath 0.003,1,1,land,527,40,0.03984819734345351
breath 0.003,1,1,land,527,44,0.017077798861480076
breath 0.003,1,1,land,527,48,0.0872865275142315
breath 0.003,1,1,land,527,52,0.0056925996204933585
breath 0.003,1,1,land,527,56,0.009487666034155597
breath 0.003,1,1,land,527,60,0.020872865275142316
breath 0.003,1,1,land,527,64,0.024667931688804556
breath 0.003,1,1,land,527,72,0.0056925996204933585
breath 0.003,1,1,land,527,76,0.07400379506641366
breath 0.003,1,1,land,527,80,0.011385199240986717
breath 0.003,1,1,water,3105,0,0.00032206119162640903
breath 0.003,1,1,water,3105,4,0.00032206119162640903
breath 0.003,1,1,water,3105,8,0.0022544283413848632
breath 0.003,1,1,water,3105,12,0.003864734299516908
breath 0.003,1,1,water,3105,16,0.044766505636070854
breath 0.003,1,1,water,3105,20,0.2573268921095008
breath 0.003,1,1,water,3105,24,0.2
breath 0.003,1,1,water,3105,28,0.3636070853462158
breath 0.003,1,1,water,3105,32,0.07407407407407407
breath 0.003,1,1,water,3105,36,0.021578099838969404
breath 0.003,1,1,water,3105,40,0.01320450885668277
breath 0.003,1,1,water,3105,44,0.0051529790660225444
breath 0.003,1,1,water,3105,48,0.007729468599033816
breath 0.003,1,1,water,3105,52,0.00032206119162640903
breath 0.003,1,1,water,3105,56,0.0022544283413848632
breath 0.003,1,1,water,3105,60,0.0012882447665056361
breath 0.003,1,1,water,3105,64,0.001932367149758454
breath 0.003,1365,0,land,184,32,0.07608695652173914
breath 0.003,1365,0,land,184,36,0.03260869565217391
breath 0.003,1365,0,land,184,40,0.10326086956521739
breath 0.003,1365,0,land,184,44,0.125
breath 0.003,1365,0,land,184,48,0.10326086956521739
breath 0.003,1365,0,land,184,52,0.010869565217391304
breath 0.003,1365,0,land,184,56,0.059782608695652176
breath 0.003,1365,0,land,184,60,0.07065217391304347
breath 0.003,1365,0,land,184,64,0.33152173913043476
breath 0.003,1365,0,land,184,68,0.010869565217391304
breath 0.003,1365,0,land,184,72,0.016304347826086956
breath 0.003,1365,0,land,184,76,0.016304347826086956
breath 0.003,1365,0,land,184,80,0.03804347826086957
breath 0.003,1365,0,land,184,100,0.005434782608695652
breath 0.003,1365,0,water,886,12,0.001128668171557562
breath 0.003,1365,0,water,886,16,0.003386004514672686
breath 0.003,1365,0,water,886,20,0.02144469525959368
breath 0.003,1365,0,water,886,24,0.007900677200902935
breath 0.003,1365,0,water,886,28,0.016930022573363433
breath 0.003,1365,0,water,886,32,0.030474040632054177
breath 0.003,1365,0,water,886,36,0.05304740406320542
breath 0.003,1365,0,water,886,40,0.24040632054176073
breath 0.003,1365,0,water,886,44,0.154627539503386
breath 0.003,1365,0,water,886,48,0.10609480812641084
breath 0.003,1365,0,water,886,52,0.05191873589164785
breath 0.003,1365,0,water,886,56,0.030474040632054177
breath 0.003,1365,0,water,886,60,0.09932279909706546
breath 0.003,1365,0,water,886,64,0.13882618510158012
breath 0.003,1365,0,water,886,68,0.010158013544018058
breath 0.003,1365,0,water,886,72,0.002257336343115124
breath 0.003,1365,0,water,886,76,0.004514672686230248
breath 0.003,1365,0,water,886,80,0.025959367945823927
breath 0.003,1365,0,water,886,88,0.001128668171557562
breath 0.003,1365,1,land,297,4,0.003367003367003367
breath 0.003,1365,1,land,297,24,0.003367003367003367
breath 0.003,1365,1,land,297,28,0.006734006734006734
breath 0.003,1365,1,land,297,32,0.010101010101010102
breath 0.003,1365,1,land,297,36,0.026936026936026935
breath 0.003,1365,1,land,297,40,0.6498316498316499
breath 0.003,1365,1,land,297,44,0.04040404040404041
breath 0.003,1365,1,land,297,48,0.050505050505050504
breath 0.003,1365,1,land,297,56,0.06397306397306397
breath 0.003,1365,1,land,297,60,0.010101010101010102
breath 0.003,1365,1,land,297,64,0.06397306397306397
breath 0.003,1365,1,land,297,68,0.016835016835016835
breath 0.003,1365,1,land,297,72,0.003367003367003367
breath 0.003,1365,1,land,297,76,0.013468013468013467
breath 0.003,1365,1,land,297,80,0.03367003367003367
breath 0.003,1365,1,land,297,96,0.003367003367003367
breath 0.003,1365,1,water,1791,4,0.0005583472920156337
breath 0.003,1365,1,water,1791,12,0.0005583472920156337
breath 0.003,1365,1,water,1791,16,0.0011166945840312675
breath 0.003,1365,1,water,1791,20,0.0011166945840312675
breath 0.003,1365,1,water,1791,24,0.0016750418760469012
breath 0.003,1365,1,water,1791,28,0.006141820212171971
breath 0.003,1365,1,water,1791,32,0.01675041876046901
breath 0.003,1365,1,water,1791,36,0.029034059184812954
breath 0.003,1365,1,water,1791,40,0.7839195979899497
breath 0.003,1365,1,water,1791,44,0.07370184254606366
breath 0.003,1365,1,water,1791,48,0.03685092127303183
breath 0.003,1365,1,water,1791,52,0.006700167504187605
breath 0.003,1365,1,water,1791,56,0.013958682300390842
breath 0.003,1365,1,water,1791,60,0.005025125628140704
breath 0.003,1365,1,water,1791,64,0.01340033500837521
breath 0.003,1365,1,water,1791,68,0.0016750418760469012
breath 0.003,1365,1,water,1791,76,0.0005583472920156337
breath 0.003,1365,1,water,1791,80,0.0072585147962032385
breath 0.003,1888,0,land,325,20,0.009230769230769232
breath 0.003,1888,0,land,325,24,0.006153846153846154
breath 0.003,1888,0,land,325,28,0.003076923076923077
breath 0.003,1888,0,land,325,32,0.006153846153846154
breath 0.003,1888,0,land,325,36,0.08923076923076922
breath 0.003,1888,0,land,325,40,0.033846153846153845
breath 0.003,1888,0,land,325,44,0.04
breath 0.003,1888,0,land,325,48,0.5015384615384615
breath 0.003,1888,0,land,325,52,0.015384615384615385
breath 0.003,1888,0,land,325,56,0.009230769230769232
breath 0.003,1888,0,land,325,60,0.03076923076923077
breath 0.003,1888,0,land,325,64,0.2153846153846154
breath 0.003,1888,0,land,325,68,0.003076923076923077
breath 0.003,1888,0,land,325,72,0.003076923076923077
breath 0.003,1888,0,land,325,80,0.033846153846153845
breath 0.003,1888,0,water,221,28,0.004524886877828055
breath 0.003,1888,0,water,221,32,0.04072398190045249
breath 0.003,1888,0,water,221,36,0.12217194570135746
breath 0.003,1888,0,water,221,40,0.15384615384615385
breath 0.003,1888,0,water,221,44,0.167420814479638
