year,bar,median_index,always_fed,seasonal,never_fed,spell_p50_steps,spell_p90_steps,dist_p25,dist_p50,dist_p75,within_10,within_25,within_50,lean_temp_p50,lean_low_p50,frost_share,cold_share,worst_over_mean_p50,night_drop_p50
11880,0.25,0.0782,0.625,0.223,0.153,3960,7920,4,9,16,0.576,0.909,0.985,-9.6,-24.9,0.884,0.198,0.011,35.4
11880,0.1,0.0782,0.687,0.21,0.103,3960,7920,,,,,,,,,0.884,0.198,0.0,35.4
11880,0.5,0.0782,0.499,0.301,0.2,3960,7920,,,,,,,,,0.884,0.198,0.23,35.4
2400,0.25,0.0887,0.619,0.246,0.135,800,2000,4,10,19,0.531,0.87,0.97,-10.8,-24.8,0.849,0.198,0.0,33.9
2400,0.1,0.0887,0.682,0.281,0.037,800,2000,,,,,,,,,0.849,0.198,0.0,33.9
2400,0.5,0.0887,0.492,0.313,0.195,800,1400,,,,,,,,,0.849,0.198,0.231,33.9
1200,0.25,0.092,0.62,0.307,0.073,400,1000,6,15,37,0.375,0.671,0.807,-11.4,-24.8,0.796,0.201,0.0,31.4
1200,0.1,0.092,0.685,0.296,0.019,500,800,,,,,,,,,0.796,0.201,0.0,31.4
1200,0.5,0.092,0.481,0.365,0.154,400,1000,,,,,,,,,0.796,0.201,0.202,31.4
600,0.25,0.0965,0.221,0.755,0.023,50,400,8,19,39,0.325,0.613,0.83,-2.3,-15.9,0.637,0.213,0.014,24.8
600,0.1,0.0965,0.407,0.591,0.002,50,400,,,,,,,,,0.637,0.213,0.0,24.8
600,0.5,0.0965,0.086,0.86,0.055,50,450,,,,,,,,,0.637,0.213,0.046,24.8
