year,habitats,grass,wood,algae,litter,soil_land,soil_sea,air,share_grass,share_wood,share_algae,grown_grass,grown_wood,grown_algae,burnt,fires,largest_fire,land_matter,sea_matter,land_temp,rain_land,matter_err,water_err
1,12,93634.1,108527.8,33816.5,47962.9,855864.3,1481634.4,-0.000,0.3544,0.5168,0.1289,2.648e-4,1.513e-5,2.662e-4,0.0002,5,14,10.000,10.000,21.27,414.9,1.17e-14,2.43e-15
2,12,118711.5,106824.5,37036.1,105720.0,774695.5,1478452.4,-0.000,0.4246,0.4288,0.1466,2.826e-4,1.513e-5,2.907e-4,0.0001,3,5,10.000,10.000,21.26,415.1,5.86e-15,1.67e-15
3,12,133635.7,105232.3,37449.6,164628.9,702448.3,1478045.1,-0.000,0.4666,0.3921,0.1412,2.877e-4,1.516e-5,2.925e-4,0.0000,1,1,10.000,10.000,21.23,415.3,9.41e-15,1.36e-15
4,12,142106.2,103735.6,37538.8,220036.7,640066.7,1477956.0,-0.000,0.4908,0.3725,0.1367,2.893e-4,1.517e-5,2.927e-4,0.0000,2,1,10.000,10.000,21.21,415.9,7.11e-15,8.68e-16
5,12,146805.2,102302.8,37620.4,269765.2,587062.2,1477884.1,-0.000,0.5050,0.3607,0.1343,2.900e-4,1.521e-5,2.927e-4,0.0005,4,31,10.000,10.000,21.19,416.3,1.65e-14,3.56e-16
6,12,149156.4,100976.3,37727.5,313511.9,542291.2,1477776.6,-0.000,0.5137,0.3531,0.1332,2.894e-4,1.520e-5,2.927e-4,0.0002,3,11,10.000,10.000,21.18,416.7,3.55e-15,8.76e-16
7,12,149443.2,99639.3,37852.9,351017.9,505819.3,1477667.3,-0.000,0.5187,0.3483,0.1330,2.861e-4,1.502e-5,2.927e-4,0.0006,3,42,10.000,10.000,21.17,416.9,1.07e-15,2.23e-16
8,12,148291.3,98283.0,37985.7,382527.4,476798.9,1477553.7,-0.000,0.5203,0.3458,0.1339,2.806e-4,1.469e-5,2.927e-4,0.0005,4,30,9.999,10.000,21.17,416.8,1.60e-15,4.27e-16
9,12,147200.0,96995.2,38113.5,408984.0,452718.2,1477429.1,-0.000,0.5209,0.3441,0.1350,2.786e-4,1.457e-5,2.927e-4,0.0001,3,13,9.999,10.000,21.17,416.7,3.75e-14,4.49e-16
10,12,146526.2,95596.0,38203.2,430727.8,432988.2,1477398.5,-0.000,0.5221,0.3419,0.1360,2.785e-4,1.455e-5,2.926e-4,0.0044,6,314,9.999,10.001,21.18,416.3,7.11e-16,1.59e-16
11,12,146147.4,94315.7,38233.0,449210.4,416109.9,1477423.6,-0.000,0.5237,0.3394,0.1369,2.785e-4,1.454e-5,2.924e-4,0.0033,7,295,9.998,10.001,21.20,416.1,1.31e-14,4.58e-16
12,12,146060.9,93196.8,38186.4,465115.3,401371.5,1477509.1,-0.000,0.5253,0.3370,0.1377,2.789e-4,1.456e-5,2.921e-4,0.0010,10,30,9.998,10.001,21.22,415.6,2.08e-14,4.68e-16
13,12,146192.8,92198.1,38065.7,479217.3,388125.1,1477640.9,-0.000,0.5271,0.3346,0.1383,2.790e-4,1.456e-5,2.919e-4,0.0002,4,10,9.998,10.001,21.25,415.4,3.07e-14,3.00e-16
