year,dist,count
2400,112,3
2400,113,2
2400,114,3
2400,115,2
2400,116,1
1200,1,8700
1200,2,7799
1200,3,7081
1200,4,6472
1200,5,6111
1200,6,5804
1200,7,5462
1200,8,5215
1200,9,4994
1200,10,4753
1200,11,4575
1200,12,4456
1200,13,4326
1200,14,4178
1200,15,3961
1200,16,3769
1200,17,3516
1200,18,3339
1200,19,3177
1200,20,2923
1200,21,2641
1200,22,2347
1200,23,2176
1200,24,2040
1200,25,1852
1200,26,1649
1200,27,1528
1200,28,1358
1200,29,1246
1200,30,1176
1200,31,1117
1200,32,1041
1200,33,971
1200,34,913
1200,35,885
1200,36,853
1200,37,817
1200,38,799
1200,39,778
1200,40,775
1200,41,762
1200,42,723
1200,43,711
1200,44,676
1200,45,657
1200,46,651
1200,47,638
1200,48,643
1200,49,669
1200,50,686
1200,51,720
1200,52,732
1200,53,760
1200,54,781
1200,55,789
1200,56,811
1200,57,825
1200,58,831
1200,59,828
1200,60,829
1200,61,826
1200,62,831
1200,63,836
1200,64,856
1200,65,867
1200,66,872
1200,67,871
1200,68,859
1200,69,846
1200,70,833
1200,71,803
1200,72,792
1200,73,778
1200,74,759
1200,75,722
1200,76,689
1200,77,677
1200,78,664
1200,79,649
1200,80,631
1200,81,616
1200,82,582
1200,83,568
1200,84,544
1200,85,522
1200,86,503
1200,87,488
1200,88,463
1200,89,437
1200,90,417
1200,91,389
1200,92,373
1200,93,339
1200,94,324
1200,95,293
1200,96,259
1200,97,215
1200,98,194
1200,99,176
1200,100,156
1200,101,143
1200,102,123
1200,103,109
1200,104,88
1200,105,66
1200,106,47
1200,107,38
1200,108,29
1200,109,23
1200,110,17
1200,111,8
1200,112,8
1200,113,4
1200,114,3
1200,115,3
1200,116,2
1200,117,1
600,1,12838
600,2,12348
600,3,11708
600,4,11059
600,5,10464
600,6,9939
600,7,9482
600,8,9233
600,9,8808
600,10,8440
600,11,8080
600,12,7687
600,13,7362
600,14,7102
600,15,6889
600,16,6643
600,17,6391
600,18,6051
600,19,5861
600,20,5641
600,21,5447
600,22,5252
600,23,5036
600,24,4757
600,25,4465
600,26,4203
600,27,4025
600,28,3898
600,29,3754
600,30,3644
600,31,3465
600,32,3300
600,33,3173
600,34,3029
600,35,2887
600,36,2757
600,37,2621
600,38,2545
600,39,2486
600,40,2453
600,41,2403
600,42,2353
600,43,2304
600,44,2198
600,45,2149
600,46,2092
600,47,2043
600,48,1977
600,49,1913
600,50,1859
600,51,1798
600,52,1769
600,53,1726
600,54,1692
600,55,1659
600,56,1619
600,57,1598
600,58,1558
600,59,1534
600,60,1510
600,61,1473
600,62,1445
600,63,1427
600,64,1398
600,65,1346
600,66,1321
600,67,1296
600,68,1250
600,69,1211
600,70,1176
600,71,1141
600,72,1110
600,73,1078
600,74,1042
600,75,1010
600,76,970
600,77,925
600,78,869
600,79,834
600,80,805
600,81,767
600,82,727
600,83,700
600,84,682
600,85,664
600,86,624
600,87,599
600,88,559
600,89,525
600,90,497
600,91,472
600,92,430
600,93,375
600,94,348
600,95,331
600,96,310
600,97,284
600,98,266
600,99,250
600,100,235
600,101,226
600,102,220
600,103,215
600,104,212
600,105,206
600,106,202
600,107,198
600,108,193
600,109,192
600,110,185
600,111,180
600,112,180
600,113,175
600,114,172
600,115,166
600,116,165
600,117,159
600,118,152
600,119,145
600,120,135
600,121,125
600,122,122
600,123,118
600,124,108
600,125,105
600,126,105
600,127,101
600,128,99
600,129,96
600,130,93
600,131,88
600,132,82
600,133,76
600,134,66
600,135,61
600,136,60
600,137,57
600,138,52
600,139,44
600,140,33
600,141,25
600,142,19
600,143,17
600,144,14
600,145,12
600,146,10
600,147,6
600,148,4
600,149,2
