step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
1000,-60,0,5250,953.5311,575.19,88.51,1.83,237,2.52,0.215,14.846,0.3934,51.005
1000,-60,1,2482,849.2461,363.99,636.31,0.92,307,0.35,0.100,16.344,0.6699,59.634
1000,-60,2,2,1.3608,0.00,2.50,22.54,0,9.05,0.490,9.940,0.8449,78.704
1000,-50,0,7107,1399.5720,701.14,96.16,15.03,454,11.85,2.199,10.186,0.3179,74.635
1000,-50,1,1587,655.7862,237.73,490.66,14.25,229,10.58,1.968,10.965,0.5200,114.637
1000,-50,2,4,2.5265,2.59,6.76,30.22,0,13.44,1.574,7.922,0.8272,96.978
1000,-40,0,6340,1284.8618,592.88,62.92,26.40,342,21.32,6.386,6.819,0.2907,130.916
1000,-40,1,1739,832.1206,300.25,627.86,23.30,307,19.29,5.709,7.776,0.4949,211.539
1000,-40,2,2,0.8967,1.02,2.38,13.17,0,21.68,5.175,5.171,0.3987,164.631
1000,-30,0,4327,1298.0547,590.30,88.27,33.46,174,27.92,10.259,5.139,0.3100,241.500
1000,-30,1,3253,1560.9264,510.53,1514.95,29.60,396,27.20,10.105,5.560,0.4392,346.235
1000,-30,2,597,247.4347,60.09,838.18,34.74,68,28.97,11.018,4.984,0.5331,467.760
1000,-20,0,1822,901.7093,918.76,41.59,55.87,32,33.35,13.795,4.024,0.2903,354.375
1000,-20,1,2521,1754.5430,1085.09,1070.48,30.02,159,32.56,13.429,4.305,0.4226,515.242
1000,-20,2,3876,1786.7031,509.40,11001.17,33.07,592,31.74,13.096,4.630,0.6646,775.248
1000,-10,0,1807,860.5224,1318.78,24.28,65.26,14,36.98,16.284,3.358,0.2775,463.406
1000,-10,1,2073,1760.8329,2458.20,919.39,35.08,7,36.81,16.187,3.393,0.3820,679.269
1000,-10,2,4344,2294.5575,899.58,15763.37,34.83,847,34.16,14.829,4.249,0.6878,1020.132
1000,0,0,1826,800.9940,1397.05,31.32,72.05,13,38.85,17.518,2.984,0.2153,435.718
1000,0,1,1740,1378.8754,2037.03,840.80,40.73,3,38.59,17.318,3.014,0.3609,761.170
1000,0,2,4801,2698.8764,1025.62,15187.13,38.05,575,35.21,15.593,4.114,0.6303,1042.395
1000,10,0,3014,1456.1165,1899.01,51.68,74.60,2,37.73,16.756,3.207,0.2370,429.930
1000,10,1,2718,2211.2728,2448.16,1341.42,44.81,43,37.15,16.387,3.346,0.3960,719.354
1000,10,2,3713,2154.0181,1059.64,9685.04,22.80,606,32.17,13.938,5.051,0.6107,833.620
1000,20,0,3997,1038.7174,972.99,62.24,62.24,10,32.28,13.501,4.651,0.1820,209.787
1000,20,1,3283,2203.7499,1674.91,1562.25,36.32,94,32.29,13.454,4.575,0.4294,527.607
1000,20,2,1165,687.0274,323.01,2029.47,8.24,162,29.28,12.118,5.730,0.5681,593.478
1000,30,0,6749,1389.6250,780.66,85.13,37.44,90,26.43,9.893,6.054,0.2267,174.233
1000,30,1,2317,1377.3188,637.59,1007.94,42.55,157,29.30,11.108,4.847,0.4695,384.618
1000,30,2,208,150.5643,91.64,228.18,71.09,37,26.61,9.553,5.578,0.5774,341.880
1000,40,0,6701,993.8495,482.40,63.88,28.38,137,19.88,6.115,7.797,0.2321,97.522
1000,40,1,1261,631.0193,257.18,497.54,50.05,185,23.74,7.458,5.922,0.5207,223.873
1000,40,2,208,115.0763,39.16,242.40,65.70,38,23.91,7.787,6.091,0.5855,249.270
1000,50,0,5140,355.5135,268.05,13.88,19.41,33,11.21,2.312,10.934,0.1725,29.148
1000,50,1,565,206.7707,89.57,136.17,53.69,46,17.61,4.010,7.476,0.6316,126.206
1000,50,2,11,5.3722,1.69,13.46,35.34,1,19.14,4.263,6.382,0.7119,179.864
1000,60,0,3853,72.6403,71.15,0.77,11.91,1,2.35,0.233,15.057,0.1128,5.728
1000,60,1,2,1.3039,1.12,0.32,20.07,0,9.32,0.587,10.123,0.9227,62.448
1000,70,0,4656,3.6971,4.74,0.16,8.42,0,-5.43,0.001,20.728,0.0807,1.302
1000,80,0,3564,0.0236,0.46,0.06,4.84,0,-11.91,0.000,26.913,0.0676,0.514
2000,-60,0,5306,52.3825,337.49,90.11,-15.57,12,-8.97,0.000,24.033,0.5046,11.251
2000,-60,1,2426,18.5068,155.03,601.81,-19.23,7,-11.28,0.000,26.308,0.8738,13.143
2000,-60,2,2,0.0793,0.02,2.42,-6.37,0,0.29,0.000,15.175,0.9130,33.597
2000,-50,0,7129,358.0885,572.96,95.55,-9.00,62,0.99,0.123,15.924,0.3991,24.044
2000,-50,1,1565,110.6652,172.09,476.73,-2.32,26,0.60,0.109,16.271,0.6881,37.048
2000,-50,2,4,0.6312,2.00,6.59,-2.40,0,5.28,0.039,11.713,0.8475,47.635
2000,-40,0,6345,552.0941,475.73,62.46,2.53,156,12.02,2.270,10.121,0.3596,59.561
2000,-40,1,1734,254.2318,268.46,620.73,8.42,93,10.80,2.025,10.924,0.5816,86.030
2000,-40,2,2,0.5509,0.60,2.33,-7.22,0,13.35,1.702,8.058,0.5896,133.665
2000,-30,0,4334,691.7153,516.12,88.39,12.54,176,20.47,6.083,7.178,0.3897,137.218
2000,-30,1,3245,606.2445,435.73,1510.68,19.56,238,20.57,6.312,7.377,0.5384,193.203
2000,-30,2,598,97.7177,65.65,841.62,24.65,44,23.13,7.490,6.428,0.7068,287.205
2000,-20,0,1823,820.9081,747.15,41.71,14.51,111,28.02,10.382,5.167,0.3561,251.807
2000,-20,1,2523,1054.4814,428.87,1077.77,22.62,219,27.61,10.309,5.439,0.5118,359.654
2000,-20,2,3873,626.7052,437.79,11023.54,32.22,264,27.38,10.250,5.605,0.7910,504.418
2000,-10,0,1809,941.1337,1341.82,24.41,24.66,15,34.54,14.528,3.760,0.3148,393.273
2000,-10,1,2072,1840.1793,1892.98,922.45,25.97,16,34.29,14.498,3.881,0.4427,582.713
2000,-10,2,4343,996.9653,711.53,15770.39,40.54,447,32.26,13.425,4.590,0.7707,803.452
2000,0,0,1826,756.2752,1442.92,31.02,25.89,7,38.82,17.356,2.899,0.2203,436.870
