step,lat,wood_class,cells,grown,grass,wood,temp,bodies,felt,over,under,fill,rain
1000,-60,0,5254,935.9441,825.54,88.51,1.83,281,2.52,0.215,14.846,0.3367,158.853
1000,-60,1,2478,649.0593,453.07,631.34,0.92,252,0.35,0.100,16.346,0.4717,269.792
1000,-60,2,2,1.4600,0.97,2.50,22.54,0,9.05,0.490,9.940,0.8313,83.467
1000,-50,0,7111,1569.8631,1212.32,96.03,15.02,530,11.85,2.199,10.186,0.2743,149.807
1000,-50,1,1583,570.9358,380.47,486.20,14.29,243,10.58,1.967,10.966,0.3971,287.249
1000,-50,2,4,1.7852,2.33,6.66,30.22,0,13.44,1.574,7.922,0.5316,293.795
1000,-40,0,6345,1792.6074,1160.89,63.11,26.38,549,21.32,6.385,6.820,0.2667,179.281
1000,-40,1,1734,770.6771,331.58,621.82,23.36,329,19.29,5.710,7.776,0.3971,356.877
1000,-40,2,2,0.5051,0.00,2.36,13.17,0,21.68,5.175,5.171,0.2914,305.472
1000,-30,0,4329,2275.0107,2179.63,88.42,33.46,344,27.92,10.258,5.139,0.3094,267.267
1000,-30,1,3258,2134.5939,1510.21,1515.94,29.57,433,27.20,10.104,5.559,0.4088,429.448
1000,-30,2,590,387.0713,252.61,827.54,34.97,86,29.00,11.037,4.980,0.4852,563.600
1000,-20,0,1820,1097.9429,1580.23,41.53,55.90,35,33.35,13.794,4.024,0.2939,370.643
1000,-20,1,2523,2258.7329,3008.79,1070.31,29.96,144,32.56,13.427,4.306,0.4217,542.257
1000,-20,2,3876,2347.6727,1446.74,10945.80,33.11,492,31.75,13.097,4.629,0.6085,959.261
1000,-10,0,1806,911.2507,1530.52,24.40,65.28,22,36.98,16.285,3.358,0.2858,498.729
1000,-10,1,2074,1887.6439,3438.00,920.40,35.07,5,36.81,16.185,3.393,0.3890,693.611
1000,-10,2,4344,2845.4063,1986.22,15712.56,34.84,511,34.17,14.829,4.249,0.6509,1211.198
1000,0,0,1825,823.6655,1583.39,31.52,72.13,4,38.85,17.518,2.984,0.2182,452.776
1000,0,1,1737,1506.0116,2831.73,839.22,40.65,2,38.58,17.318,3.015,0.3653,780.429
1000,0,2,4805,3560.4690,3779.34,15162.59,38.06,357,35.21,15.595,4.112,0.6136,1196.123
1000,10,0,3015,1614.7984,2895.69,51.78,74.59,5,37.73,16.756,3.207,0.2425,444.290
1000,10,1,2715,2557.8110,4683.17,1343.11,44.77,0,37.15,16.386,3.346,0.3990,740.159
1000,10,2,3715,2584.5092,2457.00,9660.18,22.83,208,32.17,13.940,5.050,0.5863,1012.808
1000,20,0,3997,1483.6451,2248.68,62.13,62.23,2,32.28,13.501,4.651,0.1865,225.471
1000,20,1,3290,2876.5898,4258.27,1567.75,36.31,46,32.28,13.452,4.576,0.4264,587.811
1000,20,2,1158,753.4747,574.62,2014.01,8.15,38,29.27,12.116,5.735,0.5315,772.988
1000,30,0,6749,2277.4245,2606.94,85.08,37.43,22,26.43,9.894,6.054,0.2299,206.426
1000,30,1,2324,1710.0036,1657.44,1012.19,42.66,27,29.29,11.103,4.850,0.4491,486.844
1000,30,2,201,115.2553,55.61,219.70,71.05,6,26.60,9.548,5.579,0.5127,509.191
1000,40,0,6701,1147.6835,827.94,63.52,28.38,54,19.88,6.115,7.797,0.2194,143.411
1000,40,1,1266,574.7924,262.73,499.38,50.14,85,23.74,7.460,5.921,0.4594,388.271
1000,40,2,203,96.4365,31.98,235.57,65.66,37,23.93,7.795,6.086,0.4967,433.918
1000,50,0,5139,329.9190,265.19,13.64,19.40,14,11.21,2.312,10.935,0.1625,43.932
