year,habitats,change,agree_prev,land_temp,sea_temp,pole_gap,day_swing,season_swing,rain_land,evap_land,runoff_land,lakes,dry,moist,wet,water_err,land_cold_dry,land_cold_moist,land_cold_wet,land_mild_dry,land_mild_moist,land_mild_wet,land_hot_dry,land_hot_moist,land_hot_wet,shallow_cold,shallow_mild,shallow_hot,deep_cold,deep_mild,deep_hot
1,9,0.4005,NaN,5.76,5.20,9.73,18.57,21.55,87.6,113.2,0.1,0.0000,0.3820,0.6126,0.0054,2.34e-15,0.0309,0.0417,0.0009,0.0251,0.0750,0.0002,0.0218,0.0083,0.0000,0.0421,0.1016,0.0000,0.2284,0.4239,0.0000
2,8,0.3404,0.8568,5.86,6.69,9.89,18.57,21.57,71.8,81.6,0.2,0.0000,0.7123,0.2808,0.0069,6.88e-16,0.0537,0.0185,0.0008,0.0612,0.0378,0.0007,0.0303,0.0010,0.0000,0.0283,0.1154,0.0000,0.1705,0.4818,0.0000
3,8,0.3401,0.9502,5.88,7.44,9.97,18.58,21.58,63.6,67.0,0.0,0.0000,0.7759,0.2168,0.0073,9.45e-16,0.0588,0.0133,0.0008,0.0682,0.0308,0.0007,0.0313,0.0001,0.0000,0.0249,0.1189,0.0000,0.1436,0.5086,0.0000
4,8,0.3514,0.9754,5.89,7.81,10.02,18.58,21.57,62.6,62.3,0.0,0.0000,0.7637,0.2286,0.0077,1.13e-16,0.0582,0.0139,0.0008,0.0663,0.0327,0.0007,0.0313,0.0000,0.0000,0.0232,0.1206,0.0000,0.1309,0.5214,0.0000
5,8,0.3564,0.9853,5.89,7.99,10.05,18.59,21.58,63.8,62.7,0.0,0.0000,0.7360,0.2545,0.0095,6.50e-16,0.0573,0.0145,0.0010,0.0614,0.0374,0.0009,0.0315,0.0000,0.0000,0.0224,0.1213,0.0000,0.1264,0.5258,0.0000
6,8,0.3556,0.9873,5.89,8.08,10.06,18.58,21.57,65.3,64.0,0.0,0.0000,0.7125,0.2749,0.0127,4.52e-16,0.0564,0.0151,0.0013,0.0576,0.0410,0.0013,0.0313,0.0000,0.0000,0.0218,0.1219,0.0000,0.1212,0.5310,0.0000
7,8,0.3606,0.9937,5.90,8.13,10.07,18.58,21.58,66.3,65.5,0.0,0.0000,0.6955,0.2877,0.0167,2.59e-16,0.0558,0.0153,0.0016,0.0545,0.0434,0.0018,0.0315,0.0000,0.0000,0.0217,0.1220,0.0000,0.1200,0.5323,0.0000
8,8,0.3608,0.9944,5.89,8.15,10.07,18.58,21.57,67.3,66.4,0.0,0.0000,0.6829,0.2966,0.0205,3.56e-16,0.0554,0.0156,0.0019,0.0526,0.0449,0.0023,0.0313,0.0000,0.0000,0.0214,0.1223,0.0000,0.1186,0.5336,0.0000
9,8,0.3610,0.9969,5.90,8.16,10.08,18.59,21.58,67.7,67.3,0.0,0.0000,0.6746,0.3011,0.0244,5.16e-17,0.0550,0.0158,0.0021,0.0511,0.0457,0.0029,0.0315,0.0000,0.0000,0.0214,0.1223,0.0000,0.1186,0.5336,0.0000
10,8,0.3612,0.9973,5.89,8.17,10.08,18.58,21.57,68.3,67.7,0.0,0.0000,0.6680,0.3041,0.0279,2.73e-17,0.0548,0.0158,0.0023,0.0502,0.0462,0.0034,0.0313,0.0000,0.0000,0.0214,0.1223,0.0000,0.1186,0.5336,0.0000
11,8,0.3606,0.9980,5.90,8.17,10.08,18.56,21.58,68.5,68.3,0.0,0.0000,0.6637,0.3054,0.0309,3.04e-17,0.0546,0.0158,0.0024,0.0492,0.0465,0.0039,0.0316,0.0000,0.0000,0.0214,0.1223,0.0000,0.1186,0.5336,0.0000
12,8,0.3609,0.9984,5.89,8.17,10.08,18.59,21.57,68.9,68.4,0.0,0.0000,0.6611,0.3054,0.0335,1.97e-16,0.0545,0.0159,0.0025,0.0491,0.0465,0.0043,0.0313,0.0000,0.0000,0.0214,0.1223,0.0000,0.1186,0.5336,0.0000
13,8,0.3608,0.9986,5.90,8.18,10.08,18.59,21.58,68.9,68.8,0.0,0.0000,0.6594,0.3049,0.0357,1.06e-16,0.0545,0.0158,0.0025,0.0485,0.0464,0.0048,0.0316,0.0000,0.0000,0.0214,0.1223,0.0000,0.1186,0.5336,0.0000
14,8,0.3607,0.9989,5.89,8.18,10.08,18.59,21.57,69.1,68.8,0.0,0.0000,0.6583,0.3045,0.0372,1.91e-16,0.0544,0.0158,0.0026,0.0486,0.0463,0.0050,0.0313,0.0000,0.0000,0.0214,0.1223,0.0000,0.1186,0.5336,0.0000
15,8,0.3606,0.9990,5.90,8.18,10.08,18.57,21.58,69.1,69.1,0.0,0.0000,0.6575,0.3042,0.0384,1.71e-16,0.0544,0.0158,0.0026,0.0482,0.0462,0.0052,0.0316,0.0000,0.0000,0.0214,0.1223,0.0000,0.1186,0.5336,0.0000
16,8,0.3606,0.9992,5.89,8.18,10.08,18.58,21.57,69.3,69.0,0.0,0.0000,0.6570,0.3041,0.0389,4.84e-17,0.0543,0.0158,0.0027,0.0484,0.0462,0.0053,0.0313,0.0000,0.0000,0.0214,0.1223,0.0000,0.1186,0.5336,0.0000
