step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown
1000,20007,14292,129781,609900,538737,478744,1375,26127,5367,0,1092923,15227869,183360.118,72193.380,0.2791,53131.797,0.048,0.864,0.048,0.040,0.764,0.193,2309,0.0461,0.6112,0.053,18.1,50.3,80.5,37.51,5.52,10.94,0.34,20.71,7.18,1.165,0.208,0.538,0.603,24.763,0.511,0.0013,119,420,1616,60778,64,0,0.000,15142,5805,5140,9062,1749,6197,12061,1.00,2.57,30122,47.9747,66698,8017,546764,4524.7,-0.0,424732,32.758,2624699.690,3.03e-14,0.00093,30.00,194433,82.157,1.610,79.075,1.471,82.157,13975,1379,4653,0.1033,0.999,1.150,1.340,1.191,0.948,1.150,37557.989,25745.625,139959.641,37711.245,58821.029,10404.385,3658.584,4998.615,0.843,0.610,0.680,0.881,0.700,0.638,5351,45069,0.7542,0.6447,0.6388,0.9998,0.0302,0.0601,0.5128,0.8961,0.8707,0.1792,0.0555,0.0481,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,38570,0.9998,0.7096,0.6247,0.9992,0.0302,0.0601,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.5782,4.4194,4.5773,0.1188,0.0654,0.0476,0.051,0.058,0.061,0.047,2641,0.0991,0.0012,0.0017,0.00213,0.00139,0.00135,23.27,27.69,27.27,939.7992,0.1176,96.2333,19.5961,13.1615,1066885,1523253,0.5559,0.0050,928.0,939.7992,21.62,0,0,0,0,0,0
2000,12483,6336,48972,105082,90751,55751,359,18098,2835,0,364107,6493825,40582.058,19790.036,0.3538,11739.405,0.035,0.897,0.044,0.025,0.688,0.245,1486,0.0607,0.6175,0.047,17.1,45.0,79.6,36.65,4.83,10.35,0.35,21.11,7.07,1.123,0.219,0.438,0.493,21.259,0.485,0.0019,120,1109,1696,21603,90,0,0.000,9306,2128,3562,6793,751,2656,9076,2.00,5.26,22667,25.0276,66787,11673,511849,2569.7,-0.0,491073,29.916,2624699.690,1.44e-14,0.00068,25.34,38019,29.608,1.625,27.260,0.722,29.608,6783,2427,3273,0.2404,0.948,1.119,1.316,1.181,0.946,1.134,10140.828,9231.806,27582.982,10140.918,14597.563,4841.358,1725.090,1484.183,0.808,0.463,0.546,0.619,0.465,0.486,12364,28509,0.7068,0.4323,0.5077,0.9999,0.0455,0.0844,0.5138,0.9191,0.7829,0.1800,0.0371,0.0668,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,4727,0.9995,0.7914,0.7366,0.9995,0.0455,0.0844,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.5774,4.5095,4.7074,0.1006,0.0606,0.0378,0.056,0.045,0.051,0.041,2327,0.1283,0.0050,0.0034,0.00201,0.00090,0.00084,26.70,27.21,27.29,1237.6767,0.0682,24.9515,22.1892,7.7267,1083033,1522953,1.1321,0.0483,1433.9,1237.6767,26.00,0,0,0,0,0,0
3000,10797,4238,53271,108795,96481,55217,307,15328,2233,1,321326,4258463,37505.276,16950.378,0.3224,10475.919,0.039,0.862,0.070,0.029,0.622,0.294,778,0.0631,0.6388,0.053,16.6,42.1,81.5,37.16,4.13,9.25,0.38,23.40,7.11,1.114,0.212,0.363,0.414,15.065,0.411,0.0021,88,485,1931,17888,159,0,0.000,7491,58,1963,8776,370,2071,8356,3.00,7.13,21904,22.2303,66704,12654,484344,2274.9,-0.0,532141,18.691,2624699.690,9.23e-15,0.00104,14.43,40509,23.513,1.629,21.300,0.584,23.513,5192,2459,3146,0.2742,0.960,1.100,1.297,1.174,0.961,1.134,12901.563,11440.270,17461.328,12826.450,17693.418,3606.107,1529.263,1339.089,0.746,0.468,0.556,0.575,0.457,0.506,17204,30545,0.7457,0.4226,0.4503,0.9995,0.0434,0.0759,0.5195,0.8630,0.8007,0.1702,0.0305,0.0468,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,5616,0.9987,0.8129,0.7565,0.9987,0.0434,0.0759,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.6878,4.6485,4.7931,0.0770,0.0612,0.0448,0.086,0.052,0.067,0.052,1234,0.0807,0.0045,0.0030,0.00205,0.00078,0.00089,23.60,26.92,27.21,1434.0326,0.0613,30.9125,11.3476,7.3433,1090798,1521651,1.7102,0.0978,1688.0,1434.0326,22.38,0,0,0,0,0,0
4000,10315,3698,66073,160364,145853,93811,480,17639,2425,1,340714,4388061,49485.797,21147.350,0.2964,14836.653,0.043,0.841,0.080,0.036,0.603,0.309,970,0.0725,0.6596,0.057,13.3,34.1,71.9,31.81,3.42,8.76,0.46,19.17,6.83,1.099,0.219,0.292,0.339,12.396,0.415,0.0022,85,378,2625,20373,247,0,0.000,6951,38,1740,8537,217,1331,8767,3.75,8.84,19017,19.9725,66742,8650,450369,2174.5,0.0,568397,16.628,2624699.690,3.90e-15,0.00039,37.93,59702,28.055,1.623,25.826,0.606,28.055,3879,2559,3877,0.2790,0.944,1.071,1.296,1.179,0.951,1.116,17247.076,17578.863,20278.855,17178.887,26864.708,3215.783,1528.448,1566.466,0.705,0.497,0.575,0.633,0.521,0.607,11814,39589,0.7845,0.2549,0.3250,0.9990,0.0375,0.0667,0.5374,1.0552,0.9505,0.1859,0.0304,0.0404,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,5987,0.9983,0.8309,0.7738,0.9990,0.0375,0.0667,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.6409,4.6789,4.7864,0.0748,0.0805,0.0631,0.093,0.076,0.107,0.062,914,0.0506,0.0036,0.0024,0.00240,0.00111,0.00126,26.93,26.96,28.01,1551.9179,0.0602,44.4159,8.0735,8.5548,1095429,1519636,1.8859,0.1176,1806.0,1551.9179,25.42,0,0,0,0,0,0
5000,9106,3162,41872,76961,67003,34863,226,15455,1675,8,255360,3174211,27953.276,11513.651,0.2907,6874.475,0.041,0.858,0.069,0.032,0.565,0.338,449,0.0694,0.6707,0.051,15.4,39.1,74.4,35.50,3.42,8.73,1.09,22.26,6.92,1.107,0.204,0.298,0.345,11.198,0.384,0.0026,103,458,3056,14353,510,5,0.640,6125,103,1669,7334,270,1713,7123,4.75,10.24,21443,21.2754,66717,14123,429861,1916.6,0.0,595180,13.814,2624699.690,1.33e-14,0.00102,12.68,29127,18.254,1.617,16.107,0.530,18.254,4392,2024,2690,0.2766,0.927,1.094,1.332,1.169,0.930,1.139,9417.378,8522.943,12773.164,9326.491,12728.096,2673.123,957.264,1008.788,0.661,0.455,0.534,0.531,0.395,0.451,18613,20825,0.6654,0.2551,0.3312,0.9994,0.0379,0.0775,0.5433,0.9491,0.8502,0.1438,0.0248,0.0415,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,4188,0.9989,0.8310,0.7350,0.9984,0.0379,0.0775,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.6427,4.5289,4.7426,0.0665,0.1075,0.0802,0.140,0.147,0.145,0.099,930,0.0579,0.0046,0.0035,0.00234,0.00058,0.00082,25.47,27.02,27.15,1497.1635,0.0614,22.4474,6.8920,6.9221,1097626,1519013,1.3641,0.0875,1968.5,1497.1635,23.03,0,0,0,0,0,0
6000,10577,3701,53270,115053,104385,61469,314,15902,1642,15,271055,3441132,40059.801,14810.993,0.2733,10181.347,0.051,0.833,0.076,0.039,0.578,0.330,692,0.0599,0.6492,0.063,16.1,40.8,80.7,36.62,3.38,8.84,0.76,23.65,6.97,1.119,0.200,0.281,0.315,10.563,0.400,0.0024,85,412,2732,15372,794,5,0.458,6781,438,1661,8478,982,2015,7580,4.00,8.87,16048,20.8120,66725,16530,407926,2209.5,-0.0,631289,14.807,2624699.690,1.33e-14,0.00002,23.20,44364,23.716,1.640,21.434,0.641,23.716,5337,2355,2885,0.2730,0.941,1.094,1.357,1.193,0.945,1.124,10968.033,10484.560,24174.442,10848.094,15218.612,3027.807,735.737,866.103,0.648,0.475,0.544,0.612,0.450,0.515,26816,27351,0.5925,0.3438,0.3683,0.9994,0.0399,0.0688,0.5309,1.0329,0.8313,0.1336,0.0218,0.0350,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,5944,0.9991,0.8198,0.7342,0.9988,0.0399,0.0691,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.7537,4.4899,4.7116,0.0595,0.0922,0.0708,0.123,0.090,0.130,0.089,945,0.0503,0.0033,0.0023,0.00227,0.00078,0.00089,23.03,27.48,27.64,1627.8335,0.0742,26.4036,8.3471,6.4604,1098239,1517539,0.7218,0.0283,1989.7,1627.8335,19.40,0,0,0,0,0,0
7000,7011,2649,51181,102145,90748,50636,328,17721,2489,17,276430,3106401,33503.269,13527.222,0.2664,8924.456,0.055,0.818,0.095,0.033,0.544,0.349,983,0.1030,0.6617,0.060,18.6,43.3,84.4,38.86,3.71,9.83,0.83,24.50,7.09,1.133,0.209,0.296,0.327,11.213,0.398,0.0027,87,441,1903,16670,590,7,0.365,4597,617,1133,5261,666,1046,5299,5.00,11.36,16831,19.1259,66795,16046,382681,1816.6,-0.0,664449,15.427,2624699.690,1.61e-14,0.00036,24.47,38841,21.893,1.641,19.951,0.301,21.894,3501,1423,2087,0.2383,0.972,1.114,1.353,1.201,0.965,1.133,10548.896,11116.839,15294.888,10451.457,16681.380,2396.198,1229.030,977.538,0.599,0.445,0.550,0.490,0.439,0.546,32302,30521,0.6068,0.3140,0.3401,0.9996,0.0384,0.0639,0.5222,0.9499,0.8578,0.1427,0.0152,0.0363,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,2869,0.9987,0.7422,0.7467,0.9986,0.0384,0.0642,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.7105,4.4456,4.7114,0.0590,0.0907,0.0662,0.120,0.094,0.116,0.089,1130,0.0531,0.0045,0.0047,0.00239,0.00076,0.00086,27.73,26.65,26.69,1484.6612,0.0772,27.5466,8.4536,6.9733,1101605,1516830,0.5577,0.0136,2126.4,1484.6612,21.78,0,0,0,0,0,0
8000,9897,2372,56512,129263,119313,72324,427,12876,1692,11,224361,2509286,39999.758,13739.526,0.2612,10076.423,0.072,0.793,0.082,0.053,0.537,0.356,476,0.0595,0.6488,0.081,15.2,37.5,77.5,37.83,2.47,7.02,1.59,26.75,7.09,1.085,0.184,0.176,0.196,8.628,0.300,0.0024,63,359,1011,13182,205,6,0.198,5662,523,702,8672,832,1014,8051,4.00,10.54,17019,19.8866,66694,14569,357935,3170.0,-0.0,689711,11.605,2624699.690,3.26e-14,0.00013,7.77,50020,21.981,1.666,19.739,0.576,21.981,3380,2666,3851,0.3151,0.923,1.054,1.302,1.179,0.936,1.106,11855.380,15500.607,16662.608,11770.899,21642.674,1871.534,814.489,977.080,0.582,0.456,0.544,0.597,0.482,0.589,31627,35635,0.5888,0.2232,0.2363,0.9995,0.0407,0.0734,0.5213,0.8600,0.7953,0.1310,0.0156,0.0194,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,2586,0.9988,0.7797,0.7248,0.9989,0.0407,0.0734,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.7661,4.5565,4.8168,0.0497,0.1142,0.0916,0.269,0.169,0.169,0.233,826,0.0511,0.0036,0.0037,0.00233,0.00090,0.00101,25.54,28.41,28.61,1505.8152,0.0651,33.9466,6.1384,5.4663,1103159,1514113,1.0018,0.1007,2214.4,1505.8152,16.84,0,0,0,0,0,0
9000,6178,2204,45854,106841,98445,60470,517,11241,1309,4,195173,2327488,32447.821,13353.407,0.2717,10039.600,0.066,0.815,0.082,0.037,0.543,0.360,400,0.0791,0.6430,0.084,17.0,39.0,78.0,36.21,3.22,8.55,0.74,23.71,6.96,1.127,0.203,0.249,0.276,10.752,0.412,0.0023,68,348,740,9817,99,8,0.361,3995,26,1023,5129,159,1195,4824,3.25,9.77,19264,20.2704,66686,14785,337613,1908.9,0.0,710082,10.820,2624699.690,1.95e-15,0.00516,30.68,38576,17.797,1.657,15.914,0.226,17.797,2929,1346,1903,0.2643,0.952,1.085,1.368,1.176,0.955,1.172,9732.042,12142.626,14466.115,9619.400,18401.906,1882.372,675.336,756.099,0.592,0.466,0.543,0.586,0.518,0.589,31877,33160,0.6542,0.2743,0.2933,0.9999,0.0439,0.0781,0.5387,1.0550,0.8878,0.1387,0.0133,0.0255,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,3104,0.9999,0.9135,0.7525,0.9986,0.0439,0.0781,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.7608,4.3957,4.8479,0.0597,0.0837,0.0571,0.110,0.079,0.093,0.098,755,0.0622,0.0024,0.0021,0.00239,0.00098,0.00116,25.32,27.05,27.65,1510.9231,0.0555,28.5200,5.8317,4.9878,1105030,1514434,1.8596,0.1832,2291.2,1510.9231,18.95,0,0,0,0,0,0
10000,7254,2210,49899,109328,99953,58927,502,13059,1817,2,239743,2380314,35871.809,12667.550,0.2612,8753.616,0.055,0.804,0.090,0.051,0.526,0.374,516,0.0717,0.6497,0.079,18.6,40.8,81.2,38.09,3.35,9.00,1.36,24.38,7.17,1.131,0.194,0.239,0.264,9.384,0.323,0.0025,80,351,843,12971,135,13,0.292,4521,87,1273,5894,278,1230,5746,5.50,10.96,21120,20.8908,66704,13883,320921,3266.4,0.0,725680,11.315,2624777.133,5.86e-15,0.00343,11.37,42571,20.247,1.671,18.263,0.313,20.294,3066,1361,2827,0.2297,0.971,1.090,1.357,1.194,0.963,1.144,11245.117,14119.895,13846.573,11159.420,19619.432,1986.434,798.493,1129.007,0.559,0.470,0.534,0.533,0.473,0.588,31070,28273,0.7080,0.1966,0.3158,0.9996,0.0325,0.0689,0.5171,0.8951,0.8771,0.1519,0.0248,0.0229,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,4959,0.9990,0.7616,0.6842,0.9991,0.0325,0.0689,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,4.8487,4.4213,4.6841,0.0519,0.1259,0.1074,0.203,0.215,0.207,0.185,913,0.0766,0.0015,0.0022,0.00244,0.00093,0.00108,25.89,27.33,27.64,1555.5857,0.0588,31.2432,5.5012,5.8137,1106440,1512543,2.3080,0.1917,2317.6,1555.5857,19.36,106,15,0,100,97,0
