step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown
1000,23390,10080,191606,819102,728012,620272,7224,74198,22237,2,1558605,20423988,193413.633,110658.023,0.4423,67574.141,0.049,0.789,0.075,0.087,0.686,0.248,5152,0.0872,0.7109,0.094,6.9,22.5,75.8,19.92,1.36,6.25,0.39,11.92,6.74,1.681,0.235,0.078,0.080,9.743,0.451,0.0022,149,493,1709,93034,243,0,0.000,13553,7019,7527,8844,1515,7588,14287,1.00,5.38,12403,39.5171,66708,6692,537531,4802.2,-0.0,461069,54.466,2624477.223,8.34e-15,0.00093,30.00,233200,116.967,1.809,112.387,2.771,116.967,18806,526,4058,0.0277,1.297,1.783,1.898,1.690,0.960,1.732,38231.625,19454.878,178694.829,38386.054,43906.892,30567.825,1375.589,11140.468,0.738,0.715,0.605,0.820,0.729,0.576,2911,66344,0.6458,0.5938,0.5979,0.9997,0.0181,0.0415,0.8452,1.2856,1.0534,0.0770,0.0333,0.0250,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,4780,0.9999,0.9291,0.9115,0.9979,0.0181,0.0415,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.0212,6.0224,4.9215,0.0660,0.0563,0.0505,0.025,0.139,0.099,0.043,8655,0.1526,0.0012,0.0089,0.00227,0.00134,0.00121,22.69,27.26,26.60,166.6446,0.1764,81.9175,25.5361,28.9297,1080758,1526318,0.6405,0.0059,1641.1,166.6446,21.62,0,0,0,0,0,0
2000,9171,2759,55229,100738,84529,43973,1536,28717,5585,0,344647,4910596,26186.157,18037.554,0.4316,8740.534,0.048,0.836,0.057,0.060,0.560,0.332,2024,0.1180,0.7711,0.061,10.7,27.5,75.3,26.62,1.84,5.18,0.28,19.32,7.33,1.300,0.175,0.093,0.096,8.616,0.405,0.0030,118,845,541,20467,89,0,0.000,4523,803,2027,6341,320,992,7859,2.50,10.99,13503,15.7019,66810,11015,499629,2222.7,-0.0,522501,19.066,2624477.223,5.68e-15,0.00068,25.34,34088,26.081,1.883,23.818,0.380,26.081,2881,2496,3794,0.3242,0.946,1.103,1.879,1.477,0.955,1.394,9412.819,7662.846,14788.058,9355.533,10783.101,7121.287,857.092,1318.640,0.586,0.606,0.439,0.392,0.452,0.513,12202,27624,0.5809,0.5276,0.4316,0.9995,0.0366,0.0650,0.6590,1.1563,0.9384,0.1271,0.0196,0.0383,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,2053,0.9989,0.9346,0.8115,0.9971,0.0366,0.0650,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.4300,5.9299,5.4366,0.0618,0.0389,0.0284,0.025,0.064,0.049,0.037,5469,0.1684,0.0059,0.0061,0.00271,0.00077,0.00077,27.37,27.04,27.47,415.6443,0.0837,20.4290,12.5208,6.5450,1093891,1524147,1.4258,0.0567,2737.8,415.6443,26.00,0,0,0,0,0,0
3000,11976,4199,53375,105873,94291,51455,1043,18455,1364,1,187099,3831935,35608.743,13151.760,0.3210,9398.123,0.046,0.788,0.090,0.076,0.582,0.324,468,0.0599,0.7163,0.075,11.9,36.6,88.5,30.44,2.27,5.98,0.36,21.83,7.34,1.342,0.175,0.180,0.178,9.419,0.397,0.0024,105,409,651,10018,157,0,0.000,6493,33,1934,10009,527,2126,9323,1.50,7.96,13243,18.4017,66735,11366,469432,2545.4,-0.0,556502,13.546,2624477.223,4.97e-15,0.00103,14.43,36321,24.616,1.842,22.089,0.685,24.617,5351,2848,3777,0.2784,0.954,1.283,1.853,1.480,0.959,1.434,11188.332,11513.838,16741.354,11054.735,17210.777,1802.842,437.854,1512.940,0.623,0.578,0.537,0.532,0.418,0.519,16659,24816,0.6608,0.4374,0.3759,0.9994,0.0386,0.0608,0.6146,1.1683,0.8880,0.1080,0.0279,0.0383,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,4358,0.9993,0.9169,0.8170,0.9975,0.0386,0.0608,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.3525,5.8861,5.3204,0.0543,0.0497,0.0375,0.031,0.085,0.060,0.048,1576,0.0951,0.0071,0.0050,0.00217,0.00076,0.00090,21.81,27.02,27.72,1567.2301,0.0531,28.7884,5.9387,7.6071,1093010,1522088,1.9137,0.1108,2618.6,1567.2301,22.38,0,0,0,0,0,0
4000,8487,3012,49973,91876,81732,40795,1108,17675,901,4,129362,3579518,30317.813,10160.718,0.3138,7623.252,0.034,0.801,0.079,0.086,0.574,0.329,284,0.0824,0.7281,0.070,11.9,31.0,73.2,26.27,2.32,6.48,0.28,17.19,7.26,1.241,0.202,0.221,0.216,9.702,0.411,0.0025,90,442,891,7380,229,0,0.000,4342,34,2119,6334,219,1005,7263,5.00,11.71,15701,16.3449,66779,12264,443522,1565.3,-0.0,587927,13.596,2624477.223,7.45e-15,0.00039,37.93,26888,20.677,1.852,18.573,0.252,20.678,2948,2441,3098,0.3271,0.964,1.044,1.796,1.423,0.970,1.282,11533.434,10133.958,11653.921,11430.738,14856.406,1282.787,476.549,778.130,0.625,0.567,0.526,0.432,0.399,0.504,20286,31996,0.7688,0.3927,0.3889,0.9983,0.0334,0.0602,0.6339,1.2589,1.0225,0.1540,0.0286,0.0409,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,1646,0.9988,0.9317,0.8494,0.9973,0.0336,0.0602,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5824,6.0632,5.6113,0.0634,0.0352,0.0277,0.023,0.081,0.035,0.046,1240,0.0761,0.0054,0.0033,0.00211,0.00082,0.00087,26.55,26.12,26.74,1748.7998,0.0495,26.7861,6.3417,7.2546,1096750,1521276,2.0502,0.1294,2407.6,1748.7998,25.42,0,0,0,0,0,0
5000,9950,3455,50018,93609,83435,42483,1108,17099,593,12,119345,3748760,33252.197,9463.299,0.3015,7214.716,0.036,0.810,0.084,0.069,0.586,0.321,489,0.0684,0.7281,0.058,11.9,38.2,75.7,29.74,2.47,6.54,0.61,20.13,7.23,1.281,0.183,0.225,0.222,9.861,0.391,0.0024,95,412,1115,6208,366,3,0.535,5198,100,2165,7685,332,2064,7554,3.75,10.61,19112,20.5160,66741,13994,420360,2318.1,-0.0,611439,13.014,2624477.223,3.37e-15,0.00092,12.68,27154,20.621,1.787,18.413,0.421,20.621,4068,2307,3575,0.3038,0.955,1.091,1.809,1.387,0.967,1.363,11565.852,11942.386,12483.182,11482.310,16501.422,1031.620,380.027,836.935,0.611,0.596,0.553,0.480,0.387,0.509,23749,27522,0.6292,0.2869,0.4023,0.9995,0.0359,0.0632,0.6313,1.0578,0.9242,0.1329,0.0262,0.0440,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,2503,0.9997,0.8621,0.8063,0.9983,0.0360,0.0632,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6252,5.9238,5.4867,0.0602,0.0698,0.0435,0.069,0.091,0.076,0.081,826,0.0623,0.0043,0.0039,0.00229,0.00075,0.00077,25.91,27.24,27.00,1647.4494,0.0479,28.4716,5.1389,7.8750,1097451,1519083,1.4578,0.0921,2351.5,1647.4494,23.03,0,0,0,0,0,0
6000,10347,3973,55033,118606,106682,62379,1194,18910,1379,13,176682,4041754,38681.529,14962.682,0.3562,11029.158,0.054,0.793,0.076,0.077,0.581,0.325,427,0.0724,0.7096,0.064,11.9,36.5,79.5,28.52,2.51,6.02,0.28,19.71,7.20,1.310,0.188,0.222,0.224,9.956,0.406,0.0024,96,448,1268,8432,355,6,0.370,5294,311,1859,8177,1073,2032,7242,3.00,9.90,13323,18.9477,66744,15846,395961,1507.9,-0.0,647704,15.437,2624477.223,1.15e-14,0.00080,23.20,38970,25.945,1.790,23.646,0.509,25.946,5201,2435,2711,0.3111,0.961,1.129,1.842,1.414,0.976,1.410,10535.638,9771.922,24766.581,10421.215,14522.890,2225.600,278.985,1428.939,0.631,0.560,0.535,0.648,0.374,0.477,29346,28969,0.5669,0.2921,0.3276,0.9997,0.0374,0.0643,0.6164,1.3589,1.0600,0.1129,0.0297,0.0534,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,3827,0.9993,0.9721,0.8800,0.9991,0.0374,0.0643,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5246,6.0672,5.4389,0.0591,0.0434,0.0368,0.052,0.044,0.046,0.052,1538,0.0805,0.0059,0.0044,0.00208,0.00061,0.00067,23.13,26.33,26.85,1592.2550,0.0654,25.4448,8.5035,6.9332,1097743,1518540,0.7684,0.0292,2356.9,1592.2550,19.40,0,0,0,0,0,0
7000,6929,2396,43459,82321,72675,37747,1115,16264,1131,10,151983,3130571,26418.364,10050.334,0.3373,6846.244,0.045,0.813,0.069,0.073,0.551,0.344,704,0.0982,0.7165,0.065,11.9,38.3,77.0,30.88,3.22,6.88,0.45,20.32,7.35,1.215,0.197,0.259,0.257,9.441,0.389,0.0025,97,506,987,8951,251,9,0.631,3661,723,902,5304,614,1036,5279,6.75,13.37,16294,18.5833,66816,16654,374928,2071.2,-0.0,676674,12.954,2624477.223,6.21e-15,0.00012,24.47,24897,18.962,1.802,16.969,0.191,18.963,3317,1690,1922,0.3822,0.919,1.027,1.753,1.297,0.964,1.296,9475.703,7385.059,12429.416,9361.677,11473.515,1612.541,444.335,1147.214,0.560,0.531,0.560,0.473,0.433,0.487,37442,25999,0.5995,0.1913,0.2611,0.9992,0.0525,0.0589,0.5918,1.2450,1.0266,0.1378,0.0430,0.0539,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,2404,0.9996,0.9403,0.8398,0.9985,0.0525,0.0589,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.7089,5.9839,5.5662,0.0537,0.0658,0.0520,0.050,0.103,0.078,0.058,1069,0.0613,0.0061,0.0045,0.00238,0.00060,0.00063,26.02,27.08,27.41,1468.8284,0.0611,21.1368,6.9813,5.9722,1101095,1518095,0.5911,0.0144,2461.0,1468.8284,21.78,0,0,0,0,0,0
8000,8685,2507,47573,108776,99012,60111,1092,12230,577,2,127064,2437828,36655.131,10318.950,0.2869,8040.769,0.042,0.771,0.079,0.108,0.532,0.361,377,0.0660,0.6931,0.076,10.5,33.7,72.5,28.97,2.61,5.92,0.36,20.08,7.58,1.232,0.185,0.219,0.230,8.434,0.329,0.0022,71,389,890,8673,297,7,0.364,4597,548,794,7343,1062,1068,6555,3.00,10.83,15424,19.8843,66718,16276,352573,2370.1,-0.0,701400,10.627,2624477.223,5.32e-16,0.00042,7.77,35171,21.558,1.815,19.187,0.556,21.558,3595,2303,2787,0.3410,0.910,1.044,1.784,1.330,0.943,1.344,11037.704,11536.593,18514.709,10972.549,15208.642,1338.318,284.197,655.666,0.579,0.523,0.483,0.668,0.472,0.516,38110,30718,0.5708,0.1614,0.2183,0.9998,0.0422,0.0570,0.6175,1.1225,1.0004,0.1352,0.0378,0.0396,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,1284,0.9990,0.8980,0.8439,0.9986,0.0422,0.0570,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.5233,5.9077,5.3381,0.0531,0.0527,0.0455,0.046,0.086,0.043,0.079,1006,0.0758,0.0043,0.0042,0.00215,0.00062,0.00081,22.53,27.84,27.82,1366.2198,0.0492,26.5127,5.7256,4.9013,1101944,1516365,1.0417,0.1034,2639.1,1366.2198,16.84,0,0,0,0,0,0
9000,6310,2224,62801,132253,120027,68023,1429,14807,1039,1,169290,3098967,39740.843,15105.302,0.2979,11953.317,0.024,0.759,0.117,0.100,0.556,0.343,545,0.1023,0.7188,0.058,11.9,36.7,67.4,29.83,3.12,7.37,0.31,19.03,7.29,1.196,0.214,0.293,0.310,9.082,0.395,0.0022,67,334,838,13032,244,7,0.434,3453,29,1258,5023,132,944,5234,5.25,12.15,18005,19.6079,66702,13627,327767,2275.9,0.0,720241,11.814,2624477.223,3.37e-15,0.00283,30.68,43168,24.750,1.848,22.737,0.165,24.750,2610,1556,2144,0.3314,0.922,1.035,1.771,1.274,0.948,1.282,12494.902,16741.292,14674.891,12413.402,24605.867,1812.986,408.746,930.253,0.575,0.563,0.535,0.542,0.448,0.545,32160,45058,0.6340,0.1524,0.2202,0.9994,0.0353,0.0442,0.6355,1.0365,1.0053,0.1610,0.0406,0.0614,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,2898,0.9978,0.8799,0.8540,0.9976,0.0353,0.0442,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.8915,5.9926,5.6218,0.0545,0.0537,0.0442,0.035,0.076,0.038,0.070,1373,0.0966,0.0026,0.0035,0.00246,0.00093,0.00111,24.82,26.68,26.69,1614.0570,0.0507,37.4032,5.3498,6.4647,1104130,1515701,1.9093,0.1883,2567.7,1614.0570,18.95,0,0,0,0,0,0
10000,7065,2185,43482,80154,70931,35801,871,13068,710,2,132920,2372927,28086.682,8427.874,0.2957,5971.227,0.023,0.792,0.112,0.073,0.526,0.360,458,0.0852,0.7238,0.060,12.4,38.8,73.8,31.44,2.85,7.84,0.51,20.23,7.31,1.237,0.213,0.262,0.275,8.505,0.353,0.0025,75,377,662,7882,215,9,0.382,4010,95,1462,5508,282,1449,5334,5.25,13.29,22197,22.6624,66686,15183,315440,1761.1,-0.0,731157,10.487,2624555.796,1.95e-14,0.00306,11.37,22905,16.249,1.762,14.232,0.255,16.294,3441,1423,2201,0.3135,0.924,1.053,1.803,1.295,0.958,1.328,8657.888,9617.565,12634.816,8554.965,12868.129,1512.354,245.568,698.725,0.567,0.512,0.499,0.500,0.388,0.461,34331,26619,0.6374,0.1782,0.2410,0.9990,0.0420,0.0488,0.6177,1.0674,1.0190,0.1328,0.0274,0.0418,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1222,0.9996,0.8934,0.8608,0.9968,0.0420,0.0488,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,5.6762,5.8834,5.5238,0.0490,0.0754,0.0590,0.044,0.127,0.098,0.110,1306,0.1200,0.0034,0.0060,0.00239,0.00056,0.00066,25.40,26.60,26.76,1537.0717,0.0480,21.8105,4.8112,5.6757,1104675,1514808,2.3460,0.1969,2593.5,1537.0717,19.36,108,51,0,100,95,0
