step,pop,grown,births,children,sexual,no_room,empty,deaths_hunger,deaths_broken,deaths_wear,cells_broken,contacts,plant_intake,meat_intake,kill_gain,scavenged,stay,forward,left,right,blocked,stalled,shoves,moved,turned,sense_used,mass_p10,mass_p50,mass_p90,size_mean,hard_mean,muscle_mean,sensor_mean,digestive_mean,side_mean,density_mean,speed_mean,tooth,born_tooth,fat_mean,on_fat,short,age_death_p50,age_death_p90,worn,cut_break,cut_wear,lineages,top_lineage,shapes,pop_cold,pop_mild,pop_hot,pop_dry,pop_moist,pop_wet,travel_p50,path_mean,grass,grass_grown,wood,algae,litter,carrion,air,soil_land,spent,matter,matter_err,burnt,land_temp,develops,ms_step,ms_world,ms_bodies,ms_lineage,ms_wall,pop_land,pop_surface,pop_bottom,light_share,density_p10,density_p50,density_p90,density_land,density_surface,density_bottom,algae_intake,detritus_intake,intake_land,intake_surface,intake_bottom,kills_land,kills_surface,kills_bottom,blocked_land,blocked_surface,blocked_bottom,no_room_land,no_room_surface,no_room_bottom,litter_sea,deaths_thirst,fill_land,fill_surface,fill_bottom,drinking_land,drinking_surface,drinking_bottom,open_land,open_surface,open_bottom,hard_land,hard_surface,hard_bottom,dry_air_p10,dry_air_p50,dry_air_p90,dry_ground_p10,dry_ground_p50,dry_ground_p90,pool_share,deaths_suffocation,breath_land,breath_surface,breath_bottom,inhaling_land,inhaling_surface,inhaling_bottom,breed_land,breed_surface,breed_bottom,share_land,share_surface,share_bottom,store_land,store_surface,store_bottom,fat_fill,feeling,sighted,sight_front,sight_back,sight_left,sight_right,deaths_cold,warm_land,warm_surface,warm_bottom,cool_land,cool_surface,cool_bottom,btemp_land,btemp_surface,btemp_bottom,wood_intake,climbed,ate_sea,spent_land,spent_sea,matter_land,matter_sea,carried,carried_to_sea,browse,browse_intake,temp_day_land,inv1,inv1_land,inv1_grown,inv2,inv2_land,inv2_grown
1000,19142,11384,173577,807252,693219,628388,5287,70202,19898,4,1769735,19977901,189030.634,105150.360,0.3751,63657.737,0.042,0.821,0.069,0.068,0.670,0.263,5709,0.1112,0.7145,0.076,11.3,35.8,79.4,26.08,1.93,7.82,0.60,15.73,6.56,1.612,0.203,0.117,0.122,14.528,0.480,0.0022,155,487,1726,131435,185,0,0.000,13130,6423,5232,7487,1334,6565,11243,1.00,4.79,13167,39.9813,66710,5683,537599,3589.5,-0.0,457574,55.944,2624446.055,6.39e-15,0.00093,30.00,287217,142.568,1.824,137.195,3.550,142.569,15750,1053,2339,0.1089,0.998,1.741,2.000,1.641,0.966,1.708,40510.858,13408.041,176056.046,40766.446,35865.880,25014.855,6453.230,10024.537,0.741,0.661,0.564,0.841,0.696,0.628,2632,62931,0.6721,0.7009,0.6199,0.9993,0.0271,0.0426,0.7485,1.1273,1.0051,0.0822,0.0222,0.0327,0.0000,0.7360,0.9595,0.0900,0.6327,0.9567,0.00246,2451,0.9998,0.9157,0.8870,0.9981,0.0271,0.0426,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.2393,5.4652,6.3896,0.0746,0.0852,0.0630,0.048,0.147,0.112,0.072,6949,0.1612,0.0043,0.0088,0.00222,0.00131,0.00133,23.03,27.10,27.25,221.0744,0.1653,76.0970,26.6166,29.3274,1077341,1526682,0.6463,0.0064,1590.9,221.0744,21.62,0,0,0,0,0,0
2000,8895,3355,44167,86733,70229,42021,545,20705,3223,0,369037,4517499,26941.219,17551.389,0.3814,8753.395,0.035,0.850,0.068,0.048,0.596,0.314,1369,0.0890,0.6758,0.056,15.9,39.5,78.7,33.43,2.20,8.33,0.56,22.35,7.06,1.298,0.206,0.150,0.161,10.562,0.430,0.0025,138,1026,779,21819,81,0,0.000,6021,1140,2306,5449,444,1277,7174,3.50,9.36,12619,15.1245,66812,8930,496994,2052.3,-0.0,521776,21.209,2624446.055,1.08e-14,0.00071,25.34,37798,29.958,1.766,27.412,0.780,29.958,3772,2441,2682,0.3575,0.901,1.073,1.999,1.483,0.939,1.364,10305.235,6202.194,16224.508,10225.394,9244.712,6430.319,1334.170,1033.505,0.668,0.517,0.464,0.522,0.446,0.485,9263,26231,0.6493,0.5931,0.5289,0.9994,0.0504,0.0847,0.6690,1.0026,0.8765,0.1174,0.0194,0.0306,0.0000,0.3977,0.9314,0.2341,0.6638,0.9774,0.00248,863,0.9994,0.8708,0.8086,0.9976,0.0504,0.0847,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.4357,5.3442,5.8301,0.0510,0.0718,0.0497,0.045,0.090,0.075,0.066,3392,0.1420,0.0062,0.0054,0.00244,0.00088,0.00091,27.30,26.96,27.34,671.9733,0.0846,19.7293,15.1403,6.0689,1092329,1524676,1.4015,0.0555,2457.6,671.9733,26.00,0,0,0,0,0,0
3000,9745,2820,46822,89736,77402,42574,340,15795,1657,1,296499,3031594,32132.470,12694.028,0.2548,7971.721,0.024,0.852,0.073,0.051,0.545,0.344,887,0.0755,0.6608,0.052,13.7,37.7,72.2,33.52,1.85,9.12,0.39,22.16,7.21,1.184,0.230,0.148,0.154,8.505,0.343,0.0026,100,458,726,19513,80,0,0.000,6276,32,1322,8391,298,1214,8233,5.25,11.89,13854,16.0612,66737,9820,464433,2025.8,-0.0,559230,13.517,2624446.055,2.15e-14,0.00159,14.43,37364,24.983,1.777,22.390,0.815,24.983,3045,3177,3523,0.4082,0.891,1.037,1.944,1.385,0.938,1.233,12586.230,9676.267,13409.425,12460.447,14234.319,1994.673,1495.300,1232.333,0.604,0.512,0.515,0.490,0.458,0.487,12305,25455,0.6917,0.4594,0.4583,0.9994,0.0529,0.0654,0.6605,0.9589,0.9351,0.1271,0.0137,0.0236,0.0000,0.0000,0.9047,0.0565,0.6328,0.9907,0.00249,1867,0.9985,0.8503,0.8229,0.9983,0.0529,0.0654,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.4985,5.3317,5.3410,0.0458,0.0624,0.0395,0.033,0.050,0.065,0.056,1197,0.0776,0.0059,0.0041,0.00236,0.00096,0.00101,22.60,27.85,27.98,1650.6966,0.0675,27.1455,6.1090,7.4077,1095140,1522298,1.9958,0.1126,2335.5,1650.6966,22.38,0,0,0,0,0,0
4000,10062,2601,49250,101606,88921,51790,566,15596,1925,2,297657,2980477,34266.145,13304.970,0.2502,8650.714,0.024,0.844,0.083,0.049,0.535,0.347,1170,0.0779,0.6688,0.053,13.5,37.6,72.0,34.95,2.24,9.09,0.40,23.22,7.26,1.129,0.239,0.184,0.193,8.152,0.319,0.0026,94,406,763,19499,141,0,0.000,6133,51,1480,8531,296,1274,8492,5.75,12.55,15555,17.3251,66778,10046,435927,2281.0,0.0,588059,13.315,2624446.055,9.76e-15,0.00123,37.93,40728,25.367,1.782,22.804,0.781,25.367,3198,3562,3302,0.4881,0.866,1.006,1.682,1.243,0.944,1.218,13038.699,11517.705,12883.088,12869.139,17164.633,1804.028,1439.672,1410.556,0.580,0.508,0.519,0.477,0.481,0.563,12836,28162,0.6734,0.4573,0.4251,0.9990,0.0448,0.0642,0.6270,0.9872,0.8823,0.1327,0.0241,0.0327,0.0000,0.8329,0.9667,0.1483,0.6761,0.9932,0.00250,2140,0.9975,0.8283,0.7601,0.9985,0.0449,0.0642,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.6131,5.3936,5.5583,0.0427,0.0576,0.0422,0.047,0.085,0.072,0.048,1108,0.0935,0.0053,0.0033,0.00233,0.00094,0.00108,27.09,28.00,28.06,1668.5063,0.0666,30.5409,5.5042,7.8113,1096961,1520348,2.0964,0.1322,2237.4,1668.5063,25.42,0,0,0,0,0,0
5000,7110,2248,51107,107748,94891,56032,609,15710,1680,1,309097,2981726,35673.922,14042.701,0.2388,9428.561,0.023,0.864,0.074,0.039,0.529,0.356,1058,0.1075,0.6726,0.054,17.4,38.2,74.9,34.87,2.55,9.81,0.39,22.13,7.17,1.197,0.238,0.238,0.253,9.304,0.349,0.0026,85,370,794,23178,145,15,0.146,4836,47,1327,5736,255,1336,5519,6.75,13.58,15190,17.3835,66771,11110,409403,2251.5,-0.0,618390,12.913,2624446.055,3.55e-16,0.00049,12.68,44212,26.439,1.762,24.173,0.504,26.439,2915,1589,2606,0.3827,0.866,1.047,1.997,1.192,0.951,1.352,12667.219,11328.651,15555.886,12429.130,17117.467,2080.017,1370.263,1163.860,0.562,0.504,0.521,0.486,0.503,0.568,13874,32928,0.6310,0.4452,0.4287,0.9983,0.0496,0.0699,0.6357,1.0927,0.9129,0.1274,0.0313,0.0268,0.0000,0.0000,0.7666,0.2010,0.6638,0.9670,0.00249,2738,0.9980,0.8717,0.7684,0.9979,0.0499,0.0700,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.2826,5.5144,6.0063,0.0462,0.0657,0.0406,0.040,0.067,0.053,0.062,1002,0.0757,0.0046,0.0037,0.00271,0.00106,0.00121,25.08,27.09,27.97,1674.3145,0.0765,30.1155,5.5184,7.3943,1099168,1519765,1.4845,0.0954,2184.8,1674.3145,23.03,0,0,0,0,0,0
6000,8547,2688,53437,105858,90998,51983,438,16951,2141,2,362753,3261393,35345.039,14630.232,0.2569,8805.878,0.019,0.857,0.079,0.044,0.537,0.342,1339,0.1016,0.6818,0.056,15.0,37.0,72.0,34.96,2.73,9.53,0.30,22.39,7.20,1.134,0.238,0.245,0.260,8.994,0.370,0.0026,89,385,864,24727,208,22,0.149,5750,248,1349,6950,699,1393,6455,7.00,14.29,14619,18.4385,66781,12919,385009,2002.8,-0.0,649991,14.193,2624446.055,1.31e-14,0.00013,23.20,42880,27.557,1.751,25.162,0.643,27.557,3713,2218,2616,0.4366,0.838,1.025,1.669,1.149,0.941,1.277,11909.247,10311.230,17466.098,11731.316,14953.502,2860.715,1288.263,1675.376,0.557,0.532,0.517,0.507,0.445,0.526,19063,28950,0.5750,0.2957,0.3978,0.9983,0.0454,0.0711,0.6097,1.0577,0.9904,0.1355,0.0251,0.0256,0.0000,0.5453,0.9449,0.0865,0.6484,0.9523,0.00248,2464,0.9997,0.8690,0.8362,0.9969,0.0455,0.0712,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.3196,5.4764,5.9010,0.0454,0.0483,0.0335,0.027,0.049,0.057,0.046,1492,0.1065,0.0050,0.0036,0.00259,0.00087,0.00092,22.73,27.32,27.41,1820.8827,0.0929,27.2482,7.1265,7.0668,1100361,1517733,0.7813,0.0306,2008.8,1820.8827,19.40,0,0,0,0,0,0
7000,6824,2153,51242,104454,91248,52862,350,14325,1572,1,330010,2676093,37280.717,14006.117,0.2429,8995.816,0.030,0.857,0.071,0.042,0.506,0.362,1398,0.1218,0.6602,0.064,15.2,39.9,75.0,37.81,2.10,9.31,0.41,25.99,7.30,1.175,0.230,0.177,0.188,9.705,0.371,0.0025,81,384,872,22116,226,25,0.118,4434,833,739,5252,492,807,5525,6.25,14.97,14076,17.5093,66850,11441,357691,3009.1,-0.0,682266,13.013,2624446.055,1.01e-14,0.00031,24.47,43269,26.352,1.750,24.184,0.417,26.353,2689,1799,2336,0.3694,0.896,1.045,1.857,1.280,0.941,1.234,13173.003,11588.220,16099.123,12935.234,17242.177,2385.865,1426.096,1198.340,0.528,0.472,0.512,0.484,0.480,0.550,21421,33369,0.5779,0.2888,0.2768,0.9990,0.0554,0.0683,0.6137,0.9671,0.8790,0.1052,0.0165,0.0190,0.0000,0.4897,0.9152,0.2945,0.6909,0.9489,0.00243,2325,0.9988,0.8295,0.7196,0.9982,0.0554,0.0683,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.7240,5.4794,5.5831,0.0455,0.0517,0.0399,0.040,0.084,0.067,0.055,1373,0.1053,0.0043,0.0039,0.00251,0.00106,0.00106,26.73,27.68,28.00,1474.4360,0.0893,30.7381,6.5600,6.4526,1102731,1516263,0.6070,0.0145,2175.0,1474.4360,21.78,0,0,0,0,0,0
8000,6294,1849,46075,95780,84337,49020,685,12069,1177,12,230486,2268816,31569.741,11152.501,0.2371,7737.307,0.022,0.844,0.083,0.050,0.503,0.375,690,0.1026,0.6756,0.059,11.9,40.0,76.3,38.46,2.35,8.81,0.61,26.68,7.61,1.112,0.221,0.186,0.198,9.355,0.350,0.0025,77,356,747,16792,208,25,0.120,3866,470,677,5147,588,686,5020,6.25,14.26,15509,18.0995,66750,11947,336040,2528.0,-0.0,706342,10.700,2624446.055,1.19e-14,0.00184,7.77,38420,22.448,1.777,20.362,0.309,22.448,2454,1780,2060,0.3902,0.917,1.024,1.420,1.167,0.953,1.183,10805.638,10204.794,13776.013,10630.036,14900.999,1932.331,828.230,654.634,0.503,0.484,0.527,0.466,0.465,0.590,23652,30955,0.5626,0.3192,0.3188,0.9992,0.0437,0.0672,0.5971,1.0491,0.9249,0.1087,0.0171,0.0259,0.0000,0.0000,0.8884,0.1343,0.6441,0.9427,0.00249,1180,0.9988,0.9247,0.8833,0.9981,0.0437,0.0672,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.5199,5.7906,5.7464,0.0439,0.0853,0.0736,0.050,0.133,0.184,0.060,1212,0.1032,0.0038,0.0047,0.00244,0.00091,0.00102,23.49,27.43,27.74,1459.1420,0.0709,25.9470,5.2395,5.4609,1104295,1515215,1.0778,0.1061,2317.9,1459.1420,16.84,0,0,0,0,0,0
9000,6284,1867,46317,96997,86180,50011,669,11165,995,7,221737,2220879,32501.862,11368.217,0.2443,7982.968,0.033,0.832,0.084,0.051,0.519,0.361,679,0.0960,0.6746,0.061,11.9,38.2,78.2,35.43,2.25,8.67,0.49,24.01,7.50,1.139,0.228,0.183,0.196,9.161,0.327,0.0024,69,340,693,13586,227,27,0.125,3869,32,956,5296,390,954,4940,4.50,13.58,17347,18.8719,66735,12578,317684,2936.8,-0.0,724759,10.269,2624446.055,4.44e-15,0.00323,30.68,38741,21.957,1.802,19.840,0.316,21.957,2391,1635,2258,0.3523,0.919,1.047,1.544,1.208,0.954,1.199,10482.195,11699.197,13812.131,10319.905,16352.794,1853.842,628.344,903.063,0.518,0.504,0.536,0.513,0.464,0.563,24115,30859,0.5539,0.2728,0.2738,0.9993,0.0447,0.0724,0.6460,1.0339,0.9074,0.1130,0.0176,0.0333,0.0000,0.7630,0.9509,0.1245,0.7309,0.9587,0.00248,2043,0.9997,0.8798,0.8130,0.9978,0.0447,0.0724,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.5289,5.8455,5.5937,0.0473,0.0815,0.0525,0.050,0.070,0.088,0.062,1258,0.1344,0.0039,0.0045,0.00256,0.00081,0.00109,26.14,27.21,27.66,1519.6554,0.0617,27.2369,4.9926,5.2764,1105848,1513733,1.9657,0.1931,2401.0,1519.6554,18.95,0,0,0,0,0,0
10000,6728,1675,40597,84894,74554,43889,408,10467,938,5,200775,1940563,30097.689,9636.377,0.2518,6476.901,0.024,0.856,0.069,0.051,0.495,0.376,592,0.0892,0.6701,0.054,11.9,42.4,79.6,38.28,2.22,9.76,0.72,25.58,7.61,1.142,0.233,0.204,0.214,8.530,0.302,0.0025,72,357,687,11135,222,22,0.141,4128,95,1026,5607,421,1382,4925,8.75,16.79,20280,20.4723,66753,14051,306416,1865.2,-0.0,736237,9.383,2624524.238,6.40e-15,0.00048,11.37,35693,20.743,1.800,18.586,0.357,20.787,3054,1842,1832,0.3815,0.911,1.046,1.584,1.213,0.946,1.220,10054.992,10634.176,12323.290,9955.866,14295.433,1864.150,551.887,743.439,0.513,0.470,0.500,0.527,0.489,0.539,26760,26225,0.6043,0.2328,0.3274,0.9992,0.0410,0.0767,0.6033,0.9972,0.9405,0.0826,0.0303,0.0352,0.0000,0.0114,0.7697,0.1878,0.6970,0.9525,0.00245,1564,0.9997,0.8836,0.8699,0.9975,0.0410,0.0767,0.1000,0.1000,0.1000,0.5000,0.5000,0.5000,6.5479,5.6384,5.5780,0.0414,0.0770,0.0510,0.058,0.084,0.073,0.068,1154,0.1300,0.0029,0.0049,0.00251,0.00081,0.00098,25.44,27.89,27.35,1478.6233,0.0669,24.6903,4.6092,4.7743,1106690,1512748,2.4068,0.1986,2510.2,1478.6233,19.36,108,48,0,100,97,0
