run,year,genotypes,groups_hill,groups,genotypes_hill,leader,leader_share,top_group_share,defended,key_track,eater_genotypes,eater_hill,mutant_share,lifespan
c1225_life1,11,731,14.405217655326569,175,23.459743940721694,133,0.4398306051494667,0.44854192616775224,0.1793357689299901,0.07678724258042081,79,43.286372853221465,0.0,12.00748751929626
c1225_life1,12,791,11.842877541274142,180,19.418880011744584,133,0.3296141251777781,0.33613785740000474,0.24881780960655206,0.010171784220740646,88,3.567072992330007,0.0006086729800604925,14.012967871856619
c1225_life1,13,833,11.73135371867573,182,20.02397885451459,133,0.2454313119929591,0.2505348827464662,0.3217906721062553,0.001744624032584379,80,3.5888476334722568,0.0009837474003361348,16.071711643829882
c1225_life1,14,853,11.574048871482278,181,20.578067259727366,133,0.18018527992006372,0.2294855227332137,0.38264662294911406,0.0014400538230991777,133,4.839264044223355,0.0009608042521093004,18.035075470243786
c1225_life1,15,876,11.290223685473842,180,20.13719507372861,82,0.17211847284609938,0.25195282453305756,0.42240519296823364,0.0007421932774215233,163,4.820726456259637,0.0010259352448511506,19.176048151865924
c1225_life1,16,876,11.052562177141091,184,19.778211166839455,82,0.18782071961222382,0.27841229448277627,0.4533390146677496,0.0009017463634263796,256,5.356874298618639,0.0011321019215556312,20.178951784910897
c1225_life1,17,878,10.786165828556072,181,19.434333578813852,82,0.19746022398250718,0.2961947110694193,0.47377073102370454,0.0007225346429327788,299,5.662709704781473,0.0012479606367517858,21.000411341701504
c1225_life1,18,876,10.585403962118102,180,18.973260838949553,82,0.20730535392384564,0.3079802862625022,0.4871733887949539,0.0006345801807693727,358,4.958821055184109,0.0013236404198449408,21.583893711582544
c1225_life1,19,868,10.613860531073293,177,18.72025864735974,82,0.22066562265123393,0.30402887078761376,0.4876173146171736,0.0006112700677221684,399,5.350071361065709,0.0013677412076358146,22.56857834257837
c1225_life1,20,891,10.655427175423105,190,18.380247282439623,82,0.23659213467255796,0.29667791724023623,0.4859528995221697,0.0006406700929919678,396,5.856189141868084,0.0013133648291649626,23.669169342079552
c1225_life1,21,822,11.12988852378298,182,17.682051363236322,82,0.2534907042944313,0.25389726701025983,0.49005118960347877,0.0007261151404880835,449,6.683459476363827,0.0012732186669682875,24.184034611648787
c1225_life1,22,801,10.870107678618531,180,17.314884210942,82,0.26185252639338474,0.26186847565000193,0.49659932929043704,0.0005633845297295576,514,5.668402680922668,0.0012060915119999076,24.8978958645044
c1225_life1,23,783,10.259789104125627,177,17.044776077539023,82,0.2681229557620117,0.2845785321690925,0.5045230407278469,0.000570507922490078,538,6.059792061084799,0.0012032491482339364,25.585479952462112
c1225_life1,24,753,10.092753455989394,174,16.808942899485388,82,0.2765049491830114,0.2819791621386516,0.5162275908627869,0.0006157817184175455,570,7.197977934093741,0.001173003596594487,26.152575871030127
c1225_life1,25,739,9.911380593585738,173,16.581325554342797,82,0.28586989068871305,0.2858877384663513,0.5315491211285646,0.00042548331042786526,558,7.630720497599108,0.0011461427181103186,26.776941211650882
c1225_life1,26,713,9.68882336088711,174,16.171420855494024,82,0.29845390157241797,0.2984665383038255,0.5464988775606938,0.000408899717218887,574,8.203163495165413,0.0010370997059378714,27.264366107849803
c1225_life1,27,714,9.574979487860654,174,15.884651090308441,82,0.30677021984693403,0.3067850920742594,0.5588642381932671,0.00042702513035962185,642,9.676484718861538,0.0010322627638544729,27.887747777512683
c1225_life1,28,708,9.432106210787552,176,15.553614082604726,82,0.3155838442092867,0.31560288111252716,0.5646526442317003,0.0004184159504156393,646,11.088815903742026,0.0010130720046292064,28.571118498126964
c1225_life1,29,694,9.334446724960387,178,15.266597851587282,82,0.3244044754437611,0.3244190357495714,0.5659518669817952,0.00025751867434943576,661,10.230907338142272,0.001033408759447914,29.42454214238118
c1225_life1,30,697,9.218750334476946,179,14.990535049509171,82,0.3318566835354651,0.33187376912947025,0.5651347445293653,0.00024323546200461272,736,11.119299614166355,0.001023855407186659,30.197414846363632
c1225_life1,31,663,9.002042134311932,172,14.51627655484362,82,0.34300224695460096,0.34301849189316,0.5703562892828934,0.00020425218746945972,808,11.8420653082474,0.0009124945644037139,30.363378568337424
c1225_life1,32,651,8.710531172468459,172,14.249104646834692,82,0.34868863138901707,0.3487046845246242,0.5733097433891612,0.0002085806536232009,836,12.93446291876825,0.0009138377415876753,30.85021185585863
c1225_life1,33,648,8.426367576737169,171,13.861523209146585,82,0.35516316090726463,0.35518620409022084,0.5773947896682126,0.0001996630380600901,862,14.108804866955744,0.0009300873337107964,31.084469619471736
