step,year,land_temp,land_rain,land_evap,sea_evap,sea_rain,to_sea,water,water_err,a,b,a_err,b_err,weathered_a,weathered_b,river_a,river_b,buried_a,buried_b,rivers,lakes,storms,land_water,land_biomass,sea_biomass,land_cover,sea_cover,land_height,litter,eaters,eater_cells,gpp,resp,transp,eaten,decayed,burnt,burnt_cells,genotypes,eater_genotypes,leading,mutant_share,matter,c_err,ms_step
11880,1,21.442,1266.0,1225.8,3.650477e7,2.947905e7,42.5,1.167327e7,4.085e-14,3.097582e4,3.585447e4,2.936e-14,8.787e-14,3.257983e4,3.614436e4,9.003083e3,1.788237e3,1.604007e3,2.898881e2,133,7,9,6.952415e6,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.474
23760,2,21.441,1618.3,1514.2,4.852406e7,3.621130e7,85.1,1.456797e7,3.836e-16,5.931655e4,7.496786e4,1.717e-15,5.241e-14,3.702487e4,4.155070e4,2.362649e4,8.455045e3,8.684150e3,2.437305e3,926,91,17,9.047267e6,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.474
35640,3,21.696,1884.9,1744.8,5.714763e7,4.131414e7,130.0,1.602044e7,1.314e-14,8.259112e4,1.143145e5,1.603e-14,8.656e-15,4.140640e4,4.659216e4,3.303562e4,1.695781e4,1.813183e4,7.245478e3,1581,233,29,1.016591e7,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.475
47520,4,21.782,1905.2,1748.3,6.206347e7,4.459711e7,159.1,1.588782e7,9.613e-15,9.883994e4,1.486904e5,5.300e-15,2.603e-14,4.220507e4,4.746314e4,3.650243e4,2.182987e4,2.595625e4,1.308733e4,1430,237,41,9.922302e6,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.475
59400,5,21.679,1931.3,1753.3,6.578208e7,4.599052e7,172.5,1.659532e7,1.033e-14,1.112036e5,1.782469e5,1.256e-14,1.355e-14,4.216929e4,4.691923e4,3.357619e4,2.301380e4,2.980562e4,1.736266e4,1409,243,49,1.052539e7,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.486
71280,6,21.530,1891.6,1709.1,6.727495e7,4.691546e7,180.1,1.702735e7,1.553e-14,1.217894e5,2.044388e5,1.028e-14,1.025e-14,4.200147e4,4.638508e4,3.343404e4,2.378120e4,3.141570e4,2.019317e4,1571,297,71,1.078681e7,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.492
83160,7,21.223,1888.4,1708.7,6.783353e7,4.797621e7,174.5,1.757662e7,8.478e-15,1.310584e5,2.292571e5,2.287e-14,1.066e-14,4.214748e4,4.702658e4,3.665104e4,2.651401e4,3.287843e4,2.220829e4,1553,309,86,1.135146e7,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.498
95040,8,20.983,1928.8,1743.4,6.917704e7,4.882098e7,183.7,1.760685e7,3.808e-15,1.384836e5,2.525657e5,1.471e-15,1.152e-16,4.306290e4,4.848018e4,4.185179e4,3.181912e4,3.563777e4,2.517156e4,1766,334,99,1.153124e7,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.505
106920,9,20.943,1889.5,1710.9,6.905888e7,4.914184e7,179.4,1.767632e7,1.791e-14,1.435968e5,2.728944e5,1.439e-14,2.240e-14,4.335816e4,4.872596e4,3.979439e4,3.209591e4,3.824492e4,2.839734e4,1748,325,110,1.144308e7,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.504
118800,10,20.993,1899.0,1724.1,6.938180e7,4.991532e7,174.8,1.780647e7,1.192e-14,1.484088e5,2.917461e5,1.569e-15,2.215e-14,4.394865e4,4.920500e4,4.097590e4,3.336553e4,3.913663e4,3.035328e4,1803,325,123,1.146459e7,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.504
130680,11,21.086,1969.7,1790.6,6.866600e7,4.923776e7,173.7,1.801789e7,8.684e-15,1.608448e5,3.178548e5,8.685e-14,9.816e-14,4.515953e4,5.092607e4,3.792750e4,2.972044e4,3.272361e4,2.481734e4,1839,329,141,1.178222e7,0.00244,0.00317,0.0284,0.2475,0.818,0.00162,1.0625e-7,171862,1.380438e3,1.616799e2,2.5,2.599727e-1,2.138936e2,0.000000e0,0,6854,83,360,-0.000000e0,1.203545e3,6.253e-12,1.613
142560,12,21.175,1992.4,1795.5,6.937733e7,4.948491e7,179.2,1.808438e7,4.120e-16,1.913823e5,3.588925e5,2.281e-14,1.103e-14,4.545152e4,5.074705e4,3.065054e4,2.594894e4,1.491394e4,9.709375e3,2061,315,155,1.191597e7,0.01019,0.01350,0.1643,0.2742,0.751,0.00523,1.9068e-8,41657,1.003947e4,9.509756e2,16.5,2.836010e-2,7.830171e2,1.348597e0,19,11179,80,432,4.813104e-4,4.791852e3,1.556e-12,1.317
154440,13,21.117,1977.1,1733.5,6.995237e7,4.901872e7,190.1,1.798933e7,1.242e-15,2.303768e5,4.050336e5,4.283e-14,4.556e-14,4.530841e4,5.027459e4,2.029975e4,1.962806e4,6.313972e3,4.133440e3,2135,328,162,1.195631e7,0.02510,0.02202,0.3060,0.2765,0.781,0.00980,6.5700e-6,15721,2.066716e4,2.200178e3,53.2,1.861239e1,2.527834e3,8.269766e0,92,16855,172,474,5.927408e-4,9.257647e3,9.828e-13,1.228
