step,year,land_temp,land_rain,land_evap,sea_evap,sea_rain,to_sea,water,water_err,a,b,a_err,b_err,weathered_a,weathered_b,river_a,river_b,buried_a,buried_b,rivers,lakes,storms,land_water,land_biomass,sea_biomass,land_cover,sea_cover,land_height,litter,eaters,eater_cells,gpp,resp,transp,eaten,decayed,burnt,burnt_cells,genotypes,eater_genotypes,leading,mutant_share,matter,c_err,ms_step
11880,1,21.442,1266.0,1225.8,3.650477e7,2.947905e7,42.5,1.167327e7,4.085e-14,3.097582e4,3.585447e4,2.936e-14,8.787e-14,3.257983e4,3.614436e4,9.003083e3,1.788237e3,1.604007e3,2.898881e2,133,7,9,6.952415e6,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.473
23760,2,21.441,1618.3,1514.2,4.852406e7,3.621130e7,85.1,1.456797e7,3.836e-16,5.931655e4,7.496786e4,1.717e-15,5.241e-14,3.702487e4,4.155070e4,2.362649e4,8.455045e3,8.684150e3,2.437305e3,926,91,17,9.047267e6,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.474
35640,3,21.696,1884.9,1744.8,5.714763e7,4.131414e7,130.0,1.602044e7,1.314e-14,8.259112e4,1.143145e5,1.603e-14,8.656e-15,4.140640e4,4.659216e4,3.303562e4,1.695781e4,1.813183e4,7.245478e3,1581,233,29,1.016591e7,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.475
47520,4,21.782,1905.2,1748.3,6.206347e7,4.459711e7,159.1,1.588782e7,9.613e-15,9.883994e4,1.486904e5,5.300e-15,2.603e-14,4.220507e4,4.746314e4,3.650243e4,2.182987e4,2.595625e4,1.308733e4,1430,237,41,9.922302e6,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.475
59400,5,21.679,1931.3,1753.3,6.578208e7,4.599052e7,172.5,1.659532e7,1.033e-14,1.112036e5,1.782469e5,1.256e-14,1.355e-14,4.216929e4,4.691923e4,3.357619e4,2.301380e4,2.980562e4,1.736266e4,1409,243,49,1.052539e7,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.486
71280,6,21.530,1891.6,1709.1,6.727495e7,4.691546e7,180.1,1.702735e7,1.553e-14,1.217894e5,2.044388e5,1.028e-14,1.025e-14,4.200147e4,4.638508e4,3.343404e4,2.378120e4,3.141570e4,2.019317e4,1571,297,71,1.078681e7,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.493
83160,7,21.223,1888.4,1708.7,6.783353e7,4.797621e7,174.5,1.757662e7,8.478e-15,1.310584e5,2.292571e5,2.287e-14,1.066e-14,4.214748e4,4.702658e4,3.665104e4,2.651401e4,3.287843e4,2.220829e4,1553,309,86,1.135146e7,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.498
95040,8,20.983,1928.8,1743.4,6.917704e7,4.882098e7,183.7,1.760685e7,3.808e-15,1.384836e5,2.525657e5,1.471e-15,1.152e-16,4.306290e4,4.848018e4,4.185179e4,3.181912e4,3.563777e4,2.517156e4,1766,334,99,1.153124e7,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.504
106920,9,20.943,1889.5,1710.9,6.905888e7,4.914184e7,179.4,1.767632e7,1.791e-14,1.435968e5,2.728944e5,1.439e-14,2.240e-14,4.335816e4,4.872596e4,3.979439e4,3.209591e4,3.824492e4,2.839734e4,1748,325,110,1.144308e7,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.504
118800,10,20.993,1899.0,1724.1,6.938180e7,4.991532e7,174.8,1.780647e7,1.192e-14,1.484088e5,2.917461e5,1.569e-15,2.215e-14,4.394865e4,4.920500e4,4.097590e4,3.336553e4,3.913663e4,3.035328e4,1803,325,123,1.146459e7,0.00000,0.00000,0.0000,0.0000,0.000,0.00000,0.0000e0,0,0.000000e0,0.000000e0,0.0,0.000000e0,0.000000e0,0.000000e0,0,0,0,0,-0.000000e0,0.000000e0,0.000e0,0.503
