reading,run,census_years,thresholds
measure,c1225_life1,11-1010,"groups by analysis/groups.py cut 0.15; last 100 years for H2/H3, 100 for the leader; new after year 510; cover land 0.5 sea 0.2; drift 0.01; groups 5.0; NMI 0.2; changes 3; new share 0.01; H4 second half after 510, late groups 0.25; H5 keys Bray-Curtis 0.5 over 500 years, eaters within 2.0 bits; places as e102 (river 100.0 mm, lake 0.5, shallow 200.0 m, temp 5.0/20.0 C, fill 0.33/0.67, A:B (0.5, 2.0))"
measure,c1225_life2,11-1010,"groups by analysis/groups.py cut 0.15; last 100 years for H2/H3, 100 for the leader; new after year 510; cover land 0.5 sea 0.2; drift 0.01; groups 5.0; NMI 0.2; changes 3; new share 0.01; H4 second half after 510, late groups 0.25; H5 keys Bray-Curtis 0.5 over 500 years, eaters within 2.0 bits; places as e102 (river 100.0 mm, lake 0.5, shallow 200.0 m, temp 5.0/20.0 C, fill 0.33/0.67, A:B (0.5, 2.0))"
