step,pop,on_fat,fat_stock,age_mean,pop0,pop1,pop2,cross0,cross1,cross2,soil0,soil1,soil2,root0,root1,root2,fill0,fill1,fill2,drink0,drink1,drink2,fruit_cells,fruit_top,food_cells,food_top
37000,939,0.3813,9609.9,499,552,248,139,35,186,103,29656,43365,54056,0,0,0,1.000,1.000,1.000,445,55,6,0.0022,1.0000,0.7896,0.2450
38000,1291,0.3943,8485.3,303,640,401,250,69,175,158,29317,42240,53422,0,0,0,1.000,1.000,1.000,504,98,4,0.0201,0.6766,0.7744,0.2773
39000,1943,0.3953,10762.4,215,830,626,487,109,169,196,28677,39913,51297,0,0,0,1.000,1.000,1.000,644,163,16,0.0450,0.4398,0.7035,0.2078
40000,2273,0.4219,14146.9,243,939,726,608,171,180,174,28857,38220,49022,0,0,0,1.000,1.000,1.000,730,179,15,0.0378,0.5112,0.6755,0.2074
41000,2525,0.4467,16300.9,263,1061,786,678,185,168,188,29849,35834,45930,0,0,0,1.000,1.000,1.000,789,201,25,0.0560,0.4000,0.6468,0.1622
42000,2886,0.4269,19747.2,269,1054,960,872,189,157,155,30134,34189,43058,0,0,0,1.000,1.000,1.000,764,250,23,0.0542,0.4406,0.6036,0.1625
43000,3211,0.4270,21333.3,262,1040,1189,982,163,201,171,30535,32827,40693,0,0,0,1.000,1.000,1.000,764,301,33,0.0656,0.3767,0.5718,0.1479
44000,3501,0.4293,22875.6,269,1227,1256,1018,156,211,175,30324,31028,38944,0,0,0,1.000,1.000,1.000,872,301,32,0.0971,0.3359,0.5532,0.1248
45000,3576,0.4251,22824.2,264,1271,1296,1009,218,191,160,31856,31576,38005,0,0,0,1.000,1.000,1.000,923,361,33,0.0721,0.3888,0.5415,0.1393
46000,3463,0.4147,23408.9,269,1187,1246,1030,173,203,181,32005,30904,37457,0,0,0,1.000,1.000,1.000,854,335,28,0.0803,0.3972,0.5547,0.1360
47000,3448,0.4313,23045.3,267,1230,1193,1025,188,196,184,33222,31397,37537,0,0,0,1.000,1.000,1.000,888,296,28,0.0665,0.4039,0.5485,0.1456
48000,3168,0.4173,21684.5,273,1122,1148,898,151,176,138,34105,32538,38242,0,0,0,1.000,1.000,1.000,822,280,31,0.0540,0.4641,0.5769,0.1652
49000,2742,0.4311,17663.9,281,1055,920,767,193,200,170,35656,34359,39960,0,0,0,1.000,1.000,1.000,819,222,19,0.0388,0.5091,0.6317,0.1670
50000,2300,0.4409,16785.2,299,922,718,660,155,172,192,36267,36246,41925,0,0,0,1.000,1.000,1.000,664,180,25,0.0236,0.6468,0.6345,0.2432
51000,1821,0.4217,14492.4,339,820,552,449,128,154,172,36133,38015,44057,0,0,0,1.000,1.000,1.000,645,154,14,0.0174,0.7115,0.7056,0.2772
52000,1324,0.4313,12393.4,437,625,397,302,92,165,155,36158,40103,46613,0,0,0,1.000,1.000,1.000,478,102,7,0.0051,0.9483,0.7437,0.3374
53000,974,0.4517,10264.5,518,488,267,219,51,165,158,35317,42033,49095,0,0,0,1.000,1.000,1.000,372,51,3,0.0036,1.0000,0.7418,0.3542
54000,757,0.5020,8235.0,733,434,207,116,31,156,105,34007,43719,51857,0,0,0,1.000,1.000,1.000,313,50,6,0.0023,1.0000,0.7064,0.3593
55000,653,0.4273,6304.0,540,446,161,46,17,146,45,32753,44843,54055,0,0,0,1.000,1.000,1.000,353,45,1,0.0009,1.0000,0.4627,0.3806
56000,697,0.4161,6595.7,447,464,179,54,20,150,51,31137,44895,55043,0,0,0,1.000,1.000,1.000,361,46,2,0.0004,1.0000,0.7734,0.2603
57000,899,0.4016,9501.7,488,530,214,155,31,159,143,29437,43520,54377,0,0,0,1.000,1.000,1.000,400,59,6,0.0031,1.0000,0.7838,0.2846
58000,1415,0.3590,12803.5,404,761,384,270,78,175,180,28478,41358,52519,0,0,0,1.000,1.000,1.000,599,82,6,0.0090,0.9445,0.7335,0.3688
59000,1874,0.3282,12606.3,264,842,575,457,128,156,175,28471,39154,50210,0,0,0,1.000,1.000,1.000,668,145,9,0.0373,0.5608,0.6987,0.2157
60000,2779,0.3458,13100.2,189,1201,921,657,183,188,175,27515,36422,46943,0,0,0,1.000,1.000,1.000,895,233,22,0.1050,0.2928,0.6660,0.1198
61000,3334,0.3302,14688.9,156,1283,1073,978,194,191,211,26996,33171,42575,0,0,0,1.000,1.000,1.000,940,276,26,0.1515,0.1952,0.6361,0.0908
62000,4175,0.3281,14901.4,120,1443,1473,1259,260,250,220,25421,29434,38004,0,0,0,1.000,1.000,1.000,1079,376,37,0.3101,0.1356,0.6309,0.0612
63000,5094,0.3182,15010.9,104,1827,1774,1493,254,324,326,23543,25188,33459,0,0,0,1.000,1.000,1.000,1328,378,46,0.4551,0.1000,0.6777,0.0454
64000,5314,0.3517,19527.9,126,1818,1915,1581,258,272,270,23395,23026,30525,0,0,0,1.000,1.000,1.000,1304,462,61,0.4432,0.1218,0.6411,0.0430
