step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies
10000,2208,1.372,0.805,6.18,128939,104047,0,23022,1140,2389095,1324484.0,1021442.4,0.118,0.673,0.127,0.081,99,37.22,22.80,3.96,5.32,5.49,7.15,1.32,3.90,17.59,12.09,0.83,1.13,0.110,0.146,1303,0.077,0.064,0.911,0.001,0.024,231706,175253,4,0.561,0.423,0.175,7183358,0.182,1.986,0.081,118.91,81892,255,0.428,0.163,0.288,18963518,2.27,5.57,0.244,0.593,0.381,9.0,34.3,66.7,191.5,62617,0.239,0.00,0.0034,0.081,594,0.825,0.000,0.676,0.467,4.71,5.26,5.99,0.86,0.385,2.23,1.29,3.25,0.856,0.00723,83.98,50.7301,877.67,107554.4,140520.7,0.090,22.2824,275.185,0.000,1.000,0.081,94.5,116.720,114.198,2126,10481.2,17.63,107.477,6.12,9.341,141.5,5.601,0.135,2.00,6.7981,15010.2,0.4078,0.2966,28.36,1.158,0.118,1.5414,0.0000,0.506,0.052,0.503,0.0000,7.00,0.64,7,28,49,81,102.9819,0.0195,0.4524,0.0000,0.0000,40.2253,100.00,75.1197,284.6965,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0035,0.0015,0.000008,2,0.2400,0.0154,0.0164,56,165,484,0.0303,0.0034,0.0000,0.000,0.0000,0.0000,0.0000
20000,2225,1.296,0.792,7.34,49843,38303,0,10867,653,820359,482917.1,332884.9,0.071,0.759,0.072,0.098,189,30.33,22.95,3.55,5.17,5.97,8.12,1.26,3.70,11.91,8.58,0.93,1.28,0.123,0.166,1080,0.081,0.105,0.870,0.000,0.025,51244,40680,3,0.519,0.003,0.191,1535057,0.131,1.920,0.074,47.47,16905,279,0.406,0.183,0.304,5930329,2.16,7.69,0.159,0.550,0.372,6.3,19.1,62.5,147.5,50505,0.193,0.00,0.0018,0.089,610,0.616,0.000,0.615,0.184,3.97,4.43,5.51,0.95,0.375,2.10,1.26,3.17,0.641,0.00537,14.66,8.1554,849.63,110220.4,140520.7,0.707,3.7983,102.247,0.000,1.000,0.403,81.4,45.083,29.621,2141,10061.1,12.92,22.898,5.19,1.149,114.0,0.648,0.136,2.00,5.8496,13015.3,0.5081,0.3472,22.70,1.187,0.059,0.4586,0.0000,0.563,0.067,0.789,0.0000,6.88,0.44,5,14,49,79,35.3862,0.0412,0.4045,0.0000,0.0000,11.1595,100.00,99.1337,209.6104,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0033,0.0015,0.000006,3,0.0976,0.0139,0.0176,50,146,511,0.0292,0.0037,0.0000,0.000,0.0000,0.0000,0.0000
30000,2373,1.368,0.908,7.14,147989,115157,0,30820,1864,2781447,1237332.5,1096609.1,0.048,0.782,0.070,0.100,117,34.82,22.22,4.51,5.65,5.67,6.73,0.44,2.61,14.97,10.25,0.88,1.06,0.128,0.153,1436,0.089,0.079,0.898,0.001,0.022,206841,173171,3,0.651,0.089,0.062,2620976,0.130,2.103,0.090,121.98,66043,216,0.394,0.211,0.304,22010332,2.49,6.04,0.182,0.600,0.432,7.8,31.8,66.7,148.6,60727,0.232,0.00,0.0035,0.079,560,0.810,0.000,0.792,0.324,4.35,4.89,5.92,0.91,0.435,2.44,1.35,3.62,0.839,0.00788,83.19,37.7361,850.95,105493.7,140520.7,0.006,16.4364,270.951,0.000,1.000,0.078,92.3,112.136,110.861,2416,12031.7,16.94,89.560,5.50,7.062,202.2,4.389,0.135,2.00,6.3860,15154.0,0.4487,0.3119,25.59,1.170,0.086,1.5414,0.0000,0.529,0.088,0.409,0.0000,6.90,0.56,6,24,49,64,95.7393,0.0295,0.4484,0.0000,0.0000,40.3022,100.00,79.3340,296.4957,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0037,0.0016,0.000008,0,0.1956,0.0160,0.0130,51,148,444,0.0282,0.0039,0.0000,0.000,0.0000,0.0000,0.0000
40000,2284,1.209,0.963,7.67,58347,45014,0,12517,898,850060,477821.4,354751.9,0.055,0.785,0.051,0.108,205,27.99,17.90,3.80,4.62,5.57,6.03,0.21,1.58,12.02,8.15,0.87,1.08,0.158,0.170,1279,0.108,0.082,0.896,0.001,0.021,60382,45459,3,0.653,0.002,0.025,374457,0.113,2.181,0.097,47.15,21270,296,0.417,0.173,0.333,6485016,2.36,4.78,0.206,0.626,0.416,5.6,26.2,49.9,111.3,49327,0.188,0.00,0.0017,0.092,565,0.574,0.000,0.574,0.178,3.91,4.49,5.43,0.91,0.421,2.37,1.31,3.31,0.598,0.00515,15.34,8.4894,757.64,108860.5,140520.7,0.636,3.6834,103.489,0.000,1.000,0.388,79.4,44.850,25.315,2533,12957.5,17.28,19.123,4.64,1.052,233.6,0.605,0.132,2.01,5.1472,11756.3,0.4435,0.3561,21.60,1.088,0.086,0.4586,0.0000,0.458,0.051,0.165,0.0000,6.12,0.43,5,20,36,64,35.3185,0.1392,0.4243,0.0000,0.0000,10.9667,100.00,100.1576,208.8737,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0034,0.0016,0.000007,7,0.0879,0.0061,0.0137,49,141,485,0.0630,0.0127,0.0000,0.000,0.0000,0.0000,0.0000
50000,2722,1.236,0.808,8.09,185204,145085,0,37429,2251,3065047,1241025.0,1182878.4,0.030,0.853,0.025,0.093,111,26.06,16.27,3.37,4.16,4.94,5.80,0.13,1.11,11.64,7.74,0.85,1.05,0.144,0.168,1356,0.110,0.073,0.896,0.002,0.029,268174,218586,2,0.597,0.014,0.029,1131140,0.114,1.991,0.080,121.75,83583,192,0.386,0.231,0.363,27800839,2.25,5.33,0.168,0.642,0.419,5.9,22.3,47.9,129.9,54650,0.208,0.00,0.0039,0.097,726,0.814,0.000,0.743,0.338,3.68,4.27,5.28,0.90,0.425,2.20,1.27,3.25,0.842,0.00663,81.11,41.7386,819.94,109028.6,140520.7,0.017,17.6436,277.971,0.000,1.000,0.118,86.7,113.426,110.144,2080,10530.2,14.10,91.149,5.03,9.306,158.0,5.575,0.133,2.00,4.9180,13386.8,0.4602,0.3006,20.08,1.103,0.068,1.5414,0.0000,0.463,0.052,0.173,0.0000,6.07,0.35,5,18,36,64,97.5014,0.0312,0.4026,0.0000,0.0000,40.3601,100.00,79.4870,299.0635,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0041,0.0017,0.000007,1,0.1722,0.0092,0.0092,50,140,396,0.0529,0.0120,0.0000,0.000,0.0000,0.0000,0.0000
60000,3042,1.007,0.490,8.29,61808,46932,0,13916,613,852762,470329.1,386091.0,0.017,0.845,0.024,0.113,222,19.20,13.94,2.48,3.52,3.99,5.51,0.18,1.55,8.65,6.30,0.86,1.16,0.149,0.187,1455,0.105,0.103,0.867,0.005,0.025,64964,46667,2,0.544,0.002,0.045,465462,0.084,1.465,0.042,45.95,20452,329,0.453,0.176,0.380,6508441,2.01,7.69,0.028,0.675,0.390,3.7,15.5,35.8,140.0,46526,0.177,0.00,0.0018,0.111,832,0.497,0.000,0.488,0.178,3.31,4.06,4.46,0.89,0.394,2.08,1.18,2.64,0.520,0.00429,17.63,8.6925,892.32,114761.1,140520.7,0.374,3.3672,103.519,0.000,1.000,0.470,80.5,43.683,18.101,1173,5339.9,17.23,13.062,4.20,0.525,50.2,0.328,0.135,2.00,4.4142,13428.0,0.5989,0.3887,15.29,1.071,0.057,0.4586,0.0000,0.505,0.030,0.461,0.0000,6.07,0.39,3,14,28,64,33.2200,0.3917,0.3761,0.0000,0.0000,10.6527,100.00,101.4271,198.9672,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0033,0.0016,0.000007,27,0.1042,0.0076,0.0126,47,134,481,0.1131,0.0390,0.0000,0.000,0.0000,0.0000,0.0000
70000,3226,0.991,0.701,8.30,248872,195378,0,49441,3866,3303106,1216062.4,1342648.6,0.014,0.851,0.031,0.105,110,18.85,12.09,2.57,3.48,3.62,4.32,0.18,1.32,8.60,6.46,0.88,1.06,0.152,0.173,1519,0.134,0.071,0.899,0.004,0.026,346431,290214,4,0.628,0.224,0.041,1991530,0.077,1.805,0.065,121.80,92038,206,0.406,0.244,0.396,33404359,2.11,7.73,0.018,0.658,0.434,4.1,17.7,30.5,84.3,48282,0.184,0.00,0.0044,0.093,947,0.781,0.000,0.739,0.307,3.20,4.19,4.25,0.90,0.436,2.19,1.23,2.68,0.813,0.00562,84.77,43.3705,791.26,111932.2,140520.7,0.005,15.6415,288.033,0.000,1.000,0.164,87.4,112.327,105.247,1896,8893.8,18.16,84.408,4.49,6.452,93.3,4.135,0.135,2.00,3.9062,12601.4,0.5113,0.3261,14.97,1.074,0.061,1.5414,0.0000,0.501,0.036,0.332,0.0000,6.04,0.32,4,15,24,62,96.2514,0.0897,0.4008,0.0000,0.0000,39.5137,100.00,82.6041,288.0748,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0045,0.0019,0.000007,3,0.1400,0.0050,0.0057,46,129,366,0.0772,0.0143,0.0000,0.000,0.0000,0.0000,0.0000
80000,3623,0.907,0.597,9.22,77482,61375,0,14310,1372,815931,477048.0,384922.9,0.013,0.829,0.044,0.113,203,17.06,11.62,2.11,2.99,3.25,4.21,0.11,1.09,7.72,6.59,0.77,1.01,0.148,0.186,1693,0.110,0.082,0.876,0.009,0.033,81235,62385,3,0.549,0.006,0.016,559779,0.079,1.605,0.052,46.67,26823,342,0.472,0.191,0.359,8167118,1.94,8.39,0.019,0.616,0.383,3.2,15.9,30.5,86.4,47795,0.182,0.00,0.0017,0.094,896,0.532,0.000,0.553,0.150,2.90,3.70,4.28,0.80,0.387,1.98,1.22,2.45,0.554,0.00303,16.33,8.3255,760.86,111503.9,140520.7,0.688,3.1581,106.107,0.000,1.000,0.441,92.5,44.163,22.064,1636,7165.2,10.45,16.270,3.90,0.698,68.5,0.429,0.135,2.00,4.0357,14621.4,0.6078,0.4061,13.19,1.102,0.092,0.4586,0.0000,0.481,0.062,0.397,0.0000,6.03,0.42,3,12,24,49,35.0832,0.5537,0.4088,0.0000,0.0000,10.7601,100.00,100.7929,204.2939,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0036,0.0017,0.000005,28,0.0976,0.0041,0.0093,47,130,463,0.0563,0.0096,0.0000,0.000,0.0000,0.0000,0.0000
90000,3803,0.933,0.729,9.13,266177,210739,0,48460,6797,2890756,1225488.9,1267777.8,0.019,0.830,0.041,0.110,99,17.60,11.43,2.30,3.20,3.19,3.82,0.16,1.23,7.37,6.85,0.82,1.03,0.153,0.183,1596,0.107,0.069,0.887,0.007,0.037,352973,283138,2,0.581,0.003,0.026,1275954,0.094,1.836,0.071,123.27,115631,210,0.439,0.224,0.384,35394023,2.07,8.50,0.014,0.647,0.408,4.1,17.1,28.4,102.1,49508,0.189,0.00,0.0044,0.092,1047,0.792,0.000,0.738,0.272,2.90,3.66,4.21,0.84,0.413,2.11,1.27,2.66,0.819,0.00444,81.37,39.0843,857.22,109078.0,140520.7,0.000,14.9452,293.593,0.000,1.000,0.129,95.1,115.695,110.035,1911,9223.6,10.84,89.160,4.30,7.613,103.7,4.661,0.135,2.00,3.8173,14517.2,0.5473,0.3558,13.02,1.140,0.097,1.5414,0.0000,0.465,0.054,0.213,0.0000,6.01,0.28,4,13,21,64,101.0466,0.0897,0.4086,0.0000,0.0000,40.2865,100.00,80.3386,293.4148,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0045,0.0019,0.000006,1,0.1349,0.0063,0.0051,48,132,375,0.0539,0.0091,0.0000,0.000,0.0000,0.0000,0.0000
100000,3328,0.974,0.626,9.23,82758,66732,0,14675,1819,795095,482075.8,391898.3,0.022,0.838,0.030,0.110,197,17.93,11.36,2.33,3.11,3.31,4.00,0.12,0.95,7.62,6.68,0.83,1.01,0.153,0.185,1401,0.113,0.096,0.861,0.005,0.038,85252,62017,4,0.565,0.002,0.029,454496,0.100,1.657,0.055,47.11,29707,323,0.493,0.175,0.361,8745121,2.05,8.20,0.018,0.639,0.419,4.1,17.5,29.8,80.7,44525,0.170,0.00,0.0019,0.093,838,0.552,0.000,0.564,0.127,2.92,3.68,4.28,0.86,0.422,2.09,1.24,2.63,0.575,0.00359,15.77,7.6817,661.14,112390.2,140520.7,0.716,2.9441,108.069,0.000,1.000,0.437,85.0,45.174,23.815,1718,7571.9,19.36,17.436,3.67,0.681,68.8,0.422,0.133,2.01,4.0124,13353.3,0.5793,0.4307,13.38,1.128,0.098,0.4586,0.0000,0.466,0.053,0.253,0.0000,5.99,0.27,4,13,22,49,35.6946,0.3299,0.3960,0.0000,0.0000,10.8656,100.00,100.9847,208.1342,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3798,0.0000,0.0000,0.0038,0.0018,0.000006,7,0.0619,0.0051,0.0071,49,132,446,0.0457,0.0083,0.0000,0.000,0.0000,0.0000,0.0000
