step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90,split,outside,born_cut,not_built,cut_break,cut_wear,cut_bodies
10000,2207,1.024,0.305,8.89,104074,82226,0,19941,1140,2054552,1255638.0,936607.3,0.093,0.693,0.132,0.083,122,26.51,20.15,3.90,6.20,3.62,6.56,0.12,0.91,14.71,10.04,0.59,1.20,0.082,0.160,1458,0.032,0.098,0.889,0.001,0.012,191754,137576,7,0.355,0.376,0.030,3820137,0.209,1.010,0.019,112.86,66227,307,0.456,0.165,0.280,15757643,2.14,6.75,0.098,0.628,0.226,5.0,19.9,59.5,120.7,49310,0.188,0.00,0.0039,0.138,555,0.754,0.000,0.696,0.482,3.97,4.64,5.45,0.60,0.231,2.35,1.42,2.53,0.783,0.00819,87.54,45.2998,565.03,115703.4,140273.1,0.093,16.8272,263.916,0.000,1.000,0.202,83.3,112.606,99.906,753,2615.2,19.07,90.125,6.47,4.998,9.3,3.280,0.134,2.00,7.2751,16056.2,0.6323,0.3125,22.34,1.014,0.123,1.5345,0.0000,0.548,0.108,0.691,0.0000,6.73,0.73,5,18,48,81,97.4642,0.0510,0.4132,0.0000,0.0000,45.9130,100.00,86.3883,249.4136,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0030,0.0013,0.000008,5,0.2502,0.0177,0.0216,55,174,550,0.0000,0.0000,0.0434,0.185,7.1294,0.0248,2.3409
20000,2580,1.265,0.794,11.98,36809,26165,0,9439,662,512616,444314.0,281631.0,0.038,0.759,0.042,0.160,238,25.16,17.98,0.75,3.25,5.54,8.13,0.32,1.63,11.28,8.75,0.03,0.34,0.174,0.220,1822,0.020,0.069,0.909,0.005,0.017,39202,24504,3,0.538,0.141,0.096,424868,0.133,1.939,0.078,45.16,17077,500,0.549,0.138,0.312,3509133,1.23,6.42,0.121,0.607,0.012,5.2,21.0,49.5,137.9,46171,0.176,0.00,0.0015,0.122,575,0.347,0.000,0.370,0.210,3.59,4.34,4.94,0.12,0.041,1.19,1.29,1.24,0.366,0.00491,18.41,10.1035,918.90,108012.9,140273.1,0.000,3.8028,93.164,0.000,1.000,0.180,74.3,40.886,14.011,2159,10349.6,12.48,8.232,4.67,0.297,113.7,0.175,0.136,2.00,5.6656,14617.2,0.5460,0.4258,17.90,1.320,0.279,0.4655,0.0000,0.492,0.088,0.504,0.0000,6.24,0.78,4,17,33,64,30.6513,1.0874,0.3659,0.0000,0.0000,12.4100,100.00,108.1396,169.4805,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0021,0.0010,0.000006,170,0.5018,0.0124,0.0408,46,157,758,0.0000,0.0000,0.0466,0.228,3.0734,0.2703,1.3273
30000,2883,0.920,0.473,12.63,160956,116564,0,41637,2446,2273116,1149074.1,1145946.5,0.060,0.683,0.088,0.168,111,20.35,14.15,2.36,3.62,3.69,5.50,0.15,1.02,10.48,9.37,0.81,1.33,0.121,0.173,2234,0.013,0.055,0.922,0.006,0.017,234243,143899,12,0.297,0.269,0.048,1485348,0.150,1.416,0.040,114.94,106880,289,0.504,0.160,0.371,21145167,1.90,7.32,0.084,0.698,0.297,3.7,17.5,41.3,83.9,48082,0.183,0.00,0.0038,0.124,700,0.727,0.001,0.705,0.345,3.39,4.09,4.97,0.87,0.304,2.07,1.37,2.18,0.759,0.00658,86.69,43.5934,720.97,113160.5,140273.1,0.000,16.4832,263.032,0.000,1.000,0.169,84.5,103.016,95.588,1282,5411.5,17.50,74.187,4.71,4.043,28.1,2.710,0.133,2.00,5.3622,15459.1,0.5474,0.3895,16.68,1.035,0.364,1.5345,0.0000,0.482,0.094,0.337,0.0000,6.36,1.29,4,16,28,85,86.7378,0.2111,0.4225,0.0000,0.0000,45.7298,100.00,88.3976,248.0351,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0031,0.0013,0.000007,6,0.1852,0.0104,0.0111,47,158,531,0.0000,0.0000,0.0165,0.043,16.0552,0.0303,6.5518
40000,2809,0.920,0.423,11.47,54863,41004,0,12968,953,630841,461016.5,334658.7,0.035,0.765,0.090,0.110,219,19.50,15.22,2.43,3.69,4.13,5.70,0.20,1.68,7.82,6.37,0.87,1.39,0.135,0.179,1903,0.018,0.084,0.890,0.006,0.020,54371,29559,6,0.431,0.124,0.038,742844,0.136,1.285,0.032,45.84,24884,391,0.530,0.116,0.410,5282945,1.95,7.30,0.100,0.713,0.312,3.1,14.2,42.5,94.0,40959,0.156,0.00,0.0021,0.134,676,0.425,0.000,0.440,0.159,3.13,3.76,4.77,0.90,0.316,2.09,1.35,2.29,0.447,0.00438,17.69,9.1380,738.40,114999.4,140273.1,0.000,3.3369,100.920,0.000,1.000,0.278,75.6,42.969,17.356,1107,4389.3,13.71,12.108,4.19,0.280,27.1,0.193,0.137,1.99,5.1919,14584.1,0.6467,0.4383,14.58,1.068,0.337,0.4655,0.0000,0.466,0.084,0.310,0.0000,6.09,1.00,4,14,25,60,33.1013,0.8563,0.3941,0.0000,0.0000,12.4568,100.00,111.4860,172.2964,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0027,0.0012,0.000008,12,0.1096,0.0093,0.0152,47,158,620,0.0000,0.0000,0.0416,0.105,5.0201,0.0403,2.2126
50000,2842,0.972,0.483,11.27,163377,122155,0,38396,2789,2069760,1138616.5,1040680.2,0.026,0.759,0.094,0.120,120,21.50,15.71,2.76,3.89,4.02,5.82,0.21,1.54,9.31,8.19,0.91,1.39,0.118,0.160,2077,0.013,0.064,0.915,0.003,0.018,219271,141264,10,0.499,0.201,0.050,1570708,0.156,1.433,0.041,114.49,88027,286,0.503,0.129,0.387,24670290,2.09,6.79,0.116,0.721,0.334,3.4,17.0,42.7,89.1,46327,0.177,0.00,0.0043,0.132,710,0.742,0.001,0.675,0.298,3.30,3.96,4.91,0.94,0.335,2.19,1.36,2.63,0.767,0.00641,88.26,35.0823,656.57,113090.4,140273.1,0.000,12.0646,264.419,0.000,1.000,0.182,84.1,105.545,90.644,1319,5636.4,11.27,68.857,4.31,3.310,39.0,2.279,0.135,2.00,5.3478,15198.4,0.5796,0.3933,16.30,1.064,0.323,1.5345,0.0000,0.487,0.103,0.371,0.0000,6.14,1.06,4,16,28,64,90.0190,0.3603,0.4170,0.0000,0.0000,45.3439,100.00,90.8062,247.3257,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0031,0.0014,0.000007,4,0.1727,0.0127,0.0102,51,164,531,0.0000,0.0000,0.0556,0.144,15.7008,0.0420,6.7866
60000,2771,1.013,0.395,12.42,48519,36218,0,11268,1082,530863,456206.2,302040.3,0.036,0.771,0.078,0.115,232,20.02,17.90,2.16,4.72,3.54,5.21,0.10,1.05,8.86,7.48,0.53,1.19,0.113,0.157,1863,0.019,0.092,0.883,0.006,0.019,46506,24894,5,0.422,0.173,0.021,600794,0.138,1.244,0.031,45.32,22248,443,0.569,0.117,0.354,4331542,1.79,8.26,0.123,0.667,0.178,2.6,13.0,47.5,126.7,40645,0.155,0.00,0.0019,0.135,696,0.355,0.000,0.373,0.160,3.08,3.53,4.85,0.56,0.179,1.90,1.35,2.03,0.373,0.00441,18.39,7.8734,643.36,114334.4,140273.1,0.000,2.8057,98.187,0.000,1.000,0.276,74.1,42.843,13.414,1035,4124.9,12.56,8.566,3.84,0.209,25.0,0.148,0.137,1.99,5.5866,15480.4,0.7259,0.4731,14.67,1.130,0.519,0.4655,0.0000,0.451,0.129,0.421,0.0000,6.25,1.42,3,14,26,64,32.6641,1.5740,0.3638,0.0000,0.0000,12.3561,100.00,111.6474,169.9428,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0024,0.0011,0.000009,22,0.1418,0.0097,0.0195,46,162,712,0.0000,0.0000,0.0261,0.058,3.1771,0.0498,1.5003
70000,2266,1.008,0.447,11.22,153620,111647,0,39181,3293,2172051,1126004.8,1025901.2,0.046,0.751,0.109,0.095,124,23.17,16.19,4.10,5.12,4.33,6.39,0.32,2.54,12.55,10.03,1.10,1.57,0.116,0.168,1765,0.027,0.075,0.914,0.001,0.011,211414,126865,7,0.508,0.211,0.049,1784431,0.145,1.392,0.038,112.45,88358,286,0.472,0.132,0.384,20504836,2.39,7.20,0.113,0.722,0.374,3.4,19.5,45.5,78.5,48263,0.184,0.00,0.0040,0.153,560,0.684,0.001,0.674,0.316,3.81,4.45,5.45,1.14,0.377,2.64,1.47,2.86,0.712,0.00915,91.41,33.3202,515.86,115939.3,140273.1,0.000,11.1855,259.660,0.000,1.000,0.193,79.0,104.572,82.416,1134,5086.7,13.68,61.896,4.32,3.149,38.0,2.252,0.135,2.00,6.0029,13602.7,0.4972,0.3711,21.30,0.858,0.214,1.5345,0.0000,0.400,0.180,0.420,0.0000,6.75,0.87,5,21,36,81,87.3114,0.5460,0.3981,0.0000,0.0000,44.3974,100.00,93.3133,232.1929,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0031,0.0014,0.000011,4,0.1786,0.0154,0.0111,49,159,524,0.0000,0.0000,0.0435,0.102,13.1948,0.0310,5.6673
80000,2580,1.040,0.433,11.79,47779,34972,0,11599,881,691994,460896.0,315058.8,0.032,0.798,0.121,0.050,226,21.61,16.76,2.12,3.88,4.66,6.42,0.12,1.14,10.25,9.58,0.66,1.28,0.141,0.184,1917,0.021,0.057,0.918,0.009,0.016,48174,25403,6,0.314,0.125,0.019,385471,0.146,1.368,0.037,45.76,21901,365,0.455,0.113,0.406,3740310,1.80,8.34,0.075,0.737,0.231,3.0,17.3,44.7,85.4,44263,0.169,0.00,0.0017,0.132,596,0.328,0.000,0.411,0.170,3.44,3.95,5.06,0.70,0.234,1.88,1.33,2.12,0.354,0.00565,17.77,7.7894,829.16,115919.6,140273.1,0.000,2.9364,99.048,0.000,1.000,0.317,75.4,43.222,16.110,1016,4619.7,12.78,11.244,4.41,0.398,30.9,0.274,0.134,1.99,5.1848,13376.8,0.5629,0.3846,17.16,1.064,0.414,0.4655,0.0000,0.445,0.130,0.389,0.0000,6.58,1.43,4,16,32,82,32.5003,0.7087,0.3686,0.0000,0.0000,12.3386,100.00,112.5368,171.7735,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0026,0.0012,0.000011,13,0.1207,0.0062,0.0181,45,155,615,0.0000,0.0000,0.0235,0.069,4.1546,0.0321,1.7401
90000,2085,0.957,0.462,9.28,140560,103159,0,35524,2370,2323589,1125681.9,1001575.0,0.027,0.756,0.137,0.080,131,25.51,15.91,4.73,5.03,4.92,6.60,0.12,1.24,12.59,9.79,1.27,1.67,0.129,0.162,1666,0.017,0.080,0.913,0.001,0.006,195470,125057,4,0.602,0.231,0.026,901265,0.198,1.419,0.039,112.12,76688,259,0.431,0.135,0.384,18940081,2.62,6.52,0.118,0.753,0.423,5.0,23.0,45.7,87.3,46611,0.178,0.00,0.0043,0.147,526,0.674,0.001,0.694,0.321,3.98,4.57,5.62,1.30,0.424,2.89,1.57,3.22,0.705,0.01079,91.94,32.3770,626.98,115121.5,140273.1,0.000,11.4899,256.218,0.000,1.000,0.180,79.3,103.668,84.643,1188,5224.4,20.14,63.533,4.65,3.117,41.1,2.143,0.135,2.01,6.9255,14439.7,0.4953,0.3415,22.36,0.904,0.175,1.5345,0.0000,0.352,0.127,0.165,0.0000,6.72,0.98,6,22,36,90,85.6603,0.1989,0.4264,0.0000,0.0000,44.2326,100.00,93.3880,234.3572,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0031,0.0013,0.000012,2,0.1894,0.0288,0.0125,49,161,522,0.0000,0.0000,0.0208,0.067,14.2118,0.0401,5.6868
100000,2575,0.804,0.349,8.86,33428,24002,0,7883,823,491091,449661.6,250930.2,0.053,0.709,0.145,0.093,239,16.37,14.99,0.20,1.79,5.31,8.90,0.08,0.88,11.78,11.51,0.00,0.11,0.282,0.354,1652,0.081,0.059,0.899,0.012,0.030,37164,23814,2,0.946,0.009,0.017,185020,0.164,1.187,0.028,44.75,14452,475,0.511,0.145,0.344,2704688,1.07,13.47,0.018,0.611,0.001,2.8,13.3,37.1,99.9,44720,0.171,0.00,0.0015,0.138,640,0.301,0.000,0.321,0.227,3.39,3.97,4.95,0.01,0.003,1.05,1.08,1.08,0.323,0.00474,19.07,9.6866,922.14,118421.6,140273.1,0.000,3.5423,92.570,0.000,1.000,0.310,78.6,41.777,13.075,763,3285.9,14.71,8.555,4.80,0.238,19.8,0.163,0.136,2.00,5.1023,13138.4,0.5108,0.3856,17.37,0.913,0.212,0.4655,0.0000,0.353,0.074,0.024,0.0000,7.83,0.90,3,12,36,99,30.7569,3.0272,0.4066,0.0000,0.0000,12.2117,100.00,108.2048,171.2102,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0020,0.0009,0.000008,230,0.7055,0.0151,0.0489,43,155,790,0.0000,0.0000,0.0606,0.356,3.4920,0.3948,1.3988
