year,habitats,grass,wood,algae,litter,soil_land,soil_sea,air,share_grass,share_wood,share_algae,grown_grass,grown_wood,grown_algae,burnt,fires,largest_fire,land_matter,sea_matter,land_temp,rain_land,matter_err,water_err
1,13,191897.7,128596.0,21853.8,441004.6,909807.4,928280.6,-0.000,0.4999,0.4380,0.0621,3.493e-4,1.967e-5,1.599e-4,0.1089,30,7600,9.953,10.084,3.29,388.9,1.39e-14,4.09e-15
2,13,182003.3,120799.0,21990.1,500852.6,860910.0,934884.9,-0.000,0.5491,0.3846,0.0663,3.340e-4,2.215e-5,1.613e-4,0.0706,19,4099,9.912,10.157,3.28,389.8,1.44e-14,7.06e-16
3,13,172561.7,124718.7,21613.8,505056.6,854552.1,942937.2,0.000,0.5382,0.3936,0.0682,3.183e-4,2.482e-5,1.612e-4,0.0769,26,4679,9.867,10.238,3.28,389.1,8.88e-16,1.73e-15
4,13,166429.6,132581.8,21912.5,503539.5,848053.5,948923.0,-0.000,0.5136,0.4175,0.0689,3.021e-4,2.688e-5,1.615e-4,0.0696,27,3906,9.830,10.304,3.28,389.4,8.88e-16,2.13e-16
5,13,158615.4,139346.0,21877.9,489138.7,855850.6,956611.5,0.000,0.4901,0.4413,0.0687,2.886e-4,2.824e-5,1.615e-4,0.0895,35,3481,9.784,10.386,3.28,390.1,1.24e-15,7.21e-16
6,13,156372.0,146091.2,21821.7,496907.0,840682.0,959566.1,-0.000,0.4713,0.4603,0.0684,2.791e-4,2.920e-5,1.616e-4,0.0495,24,2599,9.767,10.416,3.29,389.3,1.78e-15,4.01e-16
7,13,151890.1,151296.3,22022.4,487168.6,845334.8,963727.8,0.000,0.4559,0.4762,0.0679,2.717e-4,2.992e-5,1.618e-4,0.0765,32,3360,9.741,10.463,3.28,390.0,2.01e-14,6.93e-16
8,13,149933.3,154769.7,21686.8,490667.4,838619.1,965763.9,-0.000,0.4443,0.4881,0.0676,2.660e-4,3.040e-5,1.617e-4,0.0211,31,1123,9.731,10.481,3.28,390.0,2.84e-15,8.23e-16
9,13,150157.5,158049.1,21954.3,482859.5,839961.7,968457.9,-0.000,0.4370,0.4958,0.0673,2.636e-4,3.078e-5,1.620e-4,0.0507,31,2821,9.714,10.511,3.29,389.7,9.24e-15,9.82e-16
10,13,148396.2,160067.5,22086.6,486936.3,834559.7,969393.8,0.000,0.4311,0.5019,0.0670,2.602e-4,3.092e-5,1.620e-4,0.0152,23,925,9.707,10.523,3.28,390.5,3.55e-15,3.80e-16
11,13,146950.4,161556.5,21707.4,483881.6,836007.5,971336.6,-0.000,0.4271,0.5061,0.0668,2.589e-4,3.111e-5,1.619e-4,0.0308,20,2628,9.698,10.540,3.28,389.8,3.06e-14,9.86e-16
12,13,148302.5,162906.3,22000.5,482399.5,833534.0,972297.2,-0.000,0.4240,0.5093,0.0667,2.582e-4,3.134e-5,1.621e-4,0.0163,21,694,9.691,10.552,3.28,390.0,1.78e-16,5.81e-16
13,13,146711.7,163609.6,21953.6,480829.3,834518.2,973817.7,-0.000,0.4219,0.5115,0.0666,2.566e-4,3.133e-5,1.621e-4,0.0246,21,1607,9.682,10.569,3.28,390.7,1.88e-14,3.64e-16
14,13,146770.6,164219.8,21895.7,476613.2,836621.8,975319.0,-0.000,0.4202,0.5132,0.0666,2.564e-4,3.144e-5,1.621e-4,0.0313,17,2748,9.673,10.583,3.29,389.9,1.14e-14,4.47e-16
15,13,146373.0,164611.6,22081.7,476876.5,835449.2,976048.0,0.000,0.4189,0.5145,0.0665,2.553e-4,3.147e-5,1.622e-4,0.0167,22,1264,9.668,10.593,3.28,390.5,1.55e-14,9.56e-17
16,13,145252.7,164536.5,21741.2,475830.5,836743.1,977336.0,-0.000,0.4181,0.5153,0.0665,2.549e-4,3.147e-5,1.621e-4,0.0163,22,633,9.662,10.604,3.28,390.5,1.72e-14,2.41e-16
