year,habitats,grass,wood,algae,litter,soil_land,soil_sea,air,share_grass,share_wood,share_algae,grown_grass,grown_wood,grown_algae,burnt,fires,largest_fire,land_matter,sea_matter,land_temp,rain_land,matter_err,water_err
1,11,72493.7,88389.9,43890.5,205605.0,705403.2,1505657.8,-0.000,0.3300,0.4775,0.1925,1.404e-4,7.619e-6,3.169e-4,0.0067,13,222,9.998,10.001,13.40,771.0,1.65e-14,5.18e-16
2,11,72901.3,72714.8,43204.3,348158.0,577339.8,1507121.8,-0.000,0.3747,0.4095,0.2158,1.417e-4,6.751e-6,3.225e-4,0.0198,27,380,9.991,10.006,13.39,770.2,9.95e-15,6.85e-16
3,11,72089.5,59487.2,42104.9,434691.8,503585.6,1509480.9,-0.000,0.3990,0.3662,0.2347,1.381e-4,5.682e-6,3.222e-4,0.0317,32,383,9.979,10.014,13.35,770.2,7.64e-15,1.65e-16
4,11,70846.3,48768.5,41752.0,484438.6,463949.6,1511685.2,0.000,0.4236,0.3229,0.2535,1.358e-4,4.882e-6,3.227e-4,0.0358,39,389,9.962,10.026,13.31,770.5,1.42e-15,1.38e-16
5,11,71895.8,40801.6,42228.5,525597.9,428394.8,1512521.4,-0.000,0.4494,0.2824,0.2681,1.369e-4,4.272e-6,3.232e-4,0.0237,31,457,9.950,10.035,13.31,771.5,2.31e-14,6.82e-17
6,11,73687.0,34153.5,43057.4,547554.3,409223.4,1513764.4,-0.000,0.4764,0.2453,0.2782,1.410e-4,3.905e-6,3.234e-4,0.0410,33,416,9.931,10.048,13.34,773.2,1.10e-14,3.96e-17
7,11,74218.4,29116.4,43758.0,565577.8,393828.3,1514941.2,-0.000,0.4985,0.2144,0.2871,1.420e-4,3.561e-6,3.233e-4,0.0390,41,476,9.913,10.060,13.38,772.0,3.20e-15,4.98e-17
8,11,74976.2,25528.7,43733.1,590497.6,370596.4,1516108.0,-0.000,0.5170,0.1889,0.2940,1.433e-4,3.265e-6,3.228e-4,0.0177,26,312,9.902,10.068,13.40,770.7,8.17e-15,6.93e-17
9,11,76453.4,22233.5,42781.2,593514.8,366615.2,1519841.9,-0.000,0.5322,0.1683,0.2995,1.464e-4,3.101e-6,3.223e-4,0.0407,32,407,9.876,10.086,13.38,770.2,1.01e-14,1.43e-16
10,11,76675.8,19880.2,41836.1,605793.4,354734.7,1522519.8,-0.000,0.5460,0.1502,0.3039,1.465e-4,2.902e-6,3.224e-4,0.0310,32,399,9.860,10.097,13.33,770.2,6.75e-15,4.09e-17
11,11,75931.5,18211.8,41863.8,618700.6,343072.2,1523660.2,-0.000,0.5532,0.1384,0.3084,1.453e-4,2.758e-6,3.230e-4,0.0235,29,319,9.850,10.104,13.30,770.7,2.52e-14,1.66e-17
12,11,75293.3,16496.2,42536.9,616274.5,345536.8,1525302.3,-0.000,0.5593,0.1281,0.3127,1.460e-4,2.659e-6,3.233e-4,0.0361,39,362,9.828,10.119,13.32,772.4,4.97e-15,9.55e-17
13,11,76026.2,15352.0,43346.6,620265.1,340007.1,1526443.0,0.000,0.5665,0.1183,0.3152,1.469e-4,2.550e-6,3.234e-4,0.0299,26,429,9.810,10.132,13.36,773.0,4.80e-15,1.30e-17
14,11,75748.4,14316.5,43884.7,615094.7,343979.8,1528416.0,-0.000,0.5713,0.1111,0.3176,1.469e-4,2.486e-6,3.232e-4,0.0369,30,517,9.786,10.148,13.39,771.3,3.55e-16,2.07e-18
15,11,75749.8,13722.5,43436.0,618357.5,339654.2,1530520.0,-0.000,0.5740,0.1058,0.3202,1.460e-4,2.433e-6,3.226e-4,0.0376,36,415,9.771,10.159,13.40,770.4,1.01e-14,7.06e-17
16,11,75700.1,13293.1,42343.5,616779.5,339734.7,1533589.1,0.000,0.5747,0.1026,0.3226,1.452e-4,2.406e-6,3.222e-4,0.0343,43,389,9.752,10.171,13.36,770.2,5.33e-16,3.02e-19
17,11,75777.4,12930.1,41740.1,614136.8,340755.4,1536100.1,-0.000,0.5757,0.1001,0.3242,1.448e-4,2.376e-6,3.226e-4,0.0365,36,440,9.735,10.184,13.31,770.4,1.49e-14,1.65e-17
18,11,74764.6,12613.7,42068.8,603650.1,349999.3,1538343.6,-0.000,0.5768,0.0979,0.3253,1.442e-4,2.346e-6,3.231e-4,0.0451,42,428,9.711,10.200,13.31,771.1,6.22e-15,7.32e-17
19,11,74310.8,12197.5,42868.4,603739.9,349102.0,1539221.5,-0.000,0.5771,0.0955,0.3274,1.436e-4,2.292e-6,3.234e-4,0.0269,41,282,9.695,10.211,13.33,773.0,5.15e-15,5.21e-17
