step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten
10000,1994,1.469,0.052,7.83,56214,54192,322,6,1205,1670,1189803.5,74275.3,0.021,0.555,0.357,0.066,180,8.81,2.66,0.02,0.62,0.02,0.57,0.03,0.38,8.74,2.37,0.00,0.00,0.001,0.027,89,0.143,0.237,0.759,0.000,0.004,48596,41728,3,0.993,0.000,0.008,762716,0.139,0.065,0.000,107.64,24651,16,44.476,1.000,0.000,1706716,1.01,15.08,0.000,0.000,0.000,6,9,11,46,17569,0.067,1.44,0.0068,0.091,648,0.172,0.000,0.142,0.294,2.88,2.38,6.17,0.00,0.000,1.00,1.01,1.01,0.172,0.00537,50.74,11.4538,11.76,135988.2,140221.1,4.032,4.0125,117.233,390.905,0.906,0.388,107.9,117.222,23.475,2,2.4,1.34,30.859
20000,2218,1.361,0.046,8.59,37821,35104,1339,0,1154,1,1096889.9,10062.6,0.000,0.489,0.462,0.049,196,7.54,2.04,0.01,0.23,0.01,0.27,0.01,0.14,7.52,1.91,0.00,0.00,0.000,0.009,68,0.337,0.244,0.754,0.000,0.002,7176,3647,1,1.000,0.000,0.002,95045,0.157,0.079,0.000,109.94,12267,0,10062.622,0.000,0.000,547076,1.00,16.78,0.000,0.000,0.000,6,8,8,52,16727,0.064,0.00,0.0066,0.078,717,0.052,0.000,0.109,0.000,2.56,2.42,5.22,0.00,0.000,1.00,1.00,1.01,0.052,0.00356,51.68,1.1271,8.84,136010.2,140221.1,2.219,0.1211,109.826,50.223,0.913,0.385,111.7,109.826,6.372,2,8.3,7.32,0.114
30000,2209,1.363,0.047,8.54,37502,34493,1737,0,1281,4,1104301.9,10241.6,0.000,0.455,0.476,0.069,193,7.14,1.38,0.01,0.28,0.00,0.09,0.00,0.17,7.13,1.35,0.00,0.00,0.000,0.005,61,0.277,0.230,0.767,0.000,0.002,6585,2982,1,0.994,0.006,0.001,51902,0.163,0.060,0.000,110.87,12100,0,2560.398,0.000,0.000,475401,1.01,16.98,0.000,0.000,0.000,6,7,8,28,15780,0.060,0.00,0.0070,0.085,723,0.047,0.000,0.101,0.000,2.51,2.24,5.28,0.00,0.000,1.03,1.03,1.00,0.047,0.00322,50.82,1.1482,16.70,136016.5,140221.2,2.142,0.1232,110.752,45.106,0.902,0.383,109.1,110.752,6.046,5,6.9,1.77,0.136
40000,2261,1.344,0.046,8.59,36993,33602,1923,0,1416,2,1104834.2,10344.4,0.001,0.453,0.469,0.077,193,7.05,1.56,0.02,0.57,0.00,0.04,0.00,0.02,7.03,1.42,0.00,0.00,0.000,0.002,55,0.410,0.236,0.761,0.000,0.003,6715,3187,1,0.861,0.139,0.000,48133,0.146,0.078,0.000,110.93,11758,0,5172.214,0.000,0.000,522400,1.01,17.09,0.000,0.000,0.000,6,7,8,37,15929,0.061,0.00,0.0070,0.087,749,0.051,0.000,0.097,0.000,2.49,2.10,5.36,0.00,0.000,1.01,1.01,1.01,0.051,0.00303,50.76,1.1624,14.22,135999.7,140221.2,2.146,0.1282,110.803,45.248,0.919,0.384,110.9,110.802,5.971,6,14.3,5.70,0.140
50000,2254,1.351,0.043,9.16,36395,33049,2017,0,1336,0,1103382.8,10240.4,0.002,0.449,0.473,0.076,192,7.16,1.95,0.01,0.46,0.00,0.08,0.01,0.26,7.13,1.68,0.00,0.00,0.000,0.003,59,0.665,0.243,0.756,0.000,0.002,6429,2854,2,0.581,0.000,0.003,68014,0.116,0.056,0.000,110.72,10751,0,10240.357,0.000,0.000,475951,1.01,17.35,0.000,0.000,0.000,6,7,8,46,16142,0.062,0.00,0.0069,0.080,733,0.047,0.000,0.091,0.000,2.51,2.06,5.28,0.00,0.000,1.00,1.01,1.01,0.047,0.00303,51.05,1.1533,12.60,136035.2,140221.2,2.062,0.1293,110.599,45.941,0.918,0.385,111.2,110.599,5.803,5,5.9,1.39,0.159
60000,2252,1.339,0.043,9.61,35723,32239,2247,0,1239,0,1107495.8,10186.9,0.003,0.443,0.479,0.075,194,7.11,1.50,0.00,0.00,0.00,0.09,0.01,0.17,7.10,1.42,0.00,0.00,0.000,0.003,53,0.765,0.217,0.780,0.000,0.003,5498,3174,3,0.838,0.000,0.004,94102,0.099,0.057,0.000,110.90,10309,0,10186.891,0.000,0.000,365048,1.00,17.66,0.000,0.000,0.000,7,7,8,39,16002,0.061,0.00,0.0069,0.090,727,0.036,0.000,0.082,0.000,2.48,2.08,5.12,0.00,0.000,1.00,1.00,1.00,0.036,0.00303,50.95,1.1520,13.86,136071.0,140221.3,1.983,0.1331,110.773,44.693,0.911,0.386,110.8,110.773,5.617,3,5.5,2.06,0.163
70000,2252,1.351,0.044,9.84,35905,32446,2281,0,1178,0,1108459.1,10069.9,0.004,0.441,0.481,0.074,192,7.10,1.18,0.00,0.11,0.00,0.03,0.01,0.11,7.09,1.14,0.00,0.00,0.000,0.003,46,0.714,0.219,0.778,0.000,0.003,5344,4250,3,0.948,0.004,0.008,118620,0.093,0.058,0.000,110.95,10991,0,10069.856,0.000,0.000,320522,1.00,17.69,0.000,0.000,0.000,6,7,8,29,15983,0.061,0.00,0.0069,0.097,746,0.032,0.000,0.080,0.000,2.48,2.18,5.03,0.00,0.000,1.00,1.00,1.00,0.032,0.00303,50.91,1.1408,15.30,136030.3,140221.4,1.971,0.1336,110.816,43.458,0.909,0.385,110.7,110.816,5.554,4,5.6,2.02,0.148
80000,2219,1.371,0.042,9.85,35099,31647,2354,0,1131,0,1108013.0,10063.4,0.004,0.441,0.479,0.076,192,7.41,1.68,0.00,0.03,0.00,0.00,0.01,0.26,7.40,1.66,0.00,0.00,0.000,0.000,60,0.529,0.215,0.783,0.000,0.003,5024,4048,3,0.961,0.000,0.004,109917,0.095,0.055,0.000,110.86,11548,0,10063.393,0.000,0.000,296721,1.00,17.19,0.000,0.000,0.000,7,7,8,35,16453,0.063,0.00,0.0067,0.089,739,0.030,0.000,0.075,0.000,2.53,2.39,5.04,0.00,0.000,1.00,1.00,1.00,0.030,0.00311,51.10,1.1406,10.12,136048.6,140221.6,1.880,0.1347,110.726,44.410,0.913,0.386,110.2,110.726,5.510,1,1.9,1.88,0.154
90000,2151,1.401,0.042,9.99,33451,30146,2434,0,939,0,1103799.4,9789.9,0.003,0.435,0.482,0.079,193,7.75,1.30,0.00,0.00,0.00,0.00,0.01,0.10,7.74,1.29,0.00,0.00,0.000,0.000,45,0.644,0.220,0.778,0.000,0.002,4656,3827,2,0.994,0.000,0.004,88496,0.092,0.095,0.000,110.45,11007,0,9789.937,0.000,0.000,255777,1.00,16.57,0.000,0.000,0.000,7,8,8,33,16665,0.064,0.00,0.0066,0.088,706,0.027,0.000,0.067,0.000,2.58,2.76,4.98,0.00,0.000,1.00,1.00,1.00,0.027,0.00326,51.47,1.1090,13.27,136076.1,140221.7,1.913,0.1296,110.325,43.927,0.903,0.386,108.8,110.325,5.421,6,18.9,7.96,0.157
100000,2134,1.390,0.041,10.01,31935,28603,2535,0,814,1,1099868.0,9755.2,0.002,0.431,0.483,0.083,190,7.95,1.07,0.00,0.11,0.00,0.00,0.00,0.03,7.95,1.06,0.00,0.00,0.000,0.000,40,0.836,0.224,0.776,0.000,0.001,4192,3697,1,1.000,0.000,0.001,52945,0.088,0.058,0.000,110.02,10337,0,9755.220,0.000,0.000,208544,1.00,16.19,0.000,0.000,0.000,7,8,8,30,16975,0.065,0.00,0.0065,0.090,701,0.022,0.000,0.056,0.000,2.65,2.95,4.97,0.00,0.000,1.00,1.00,1.00,0.022,0.00335,51.88,1.1055,16.09,136131.2,140221.8,1.941,0.1296,109.898,42.719,0.914,0.386,109.3,109.898,5.302,7,9.6,1.94,0.162
