step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten
10000,1562,1.455,0.060,7.03,61742,59271,18,3,2393,1799,989132.8,72912.2,0.036,0.599,0.166,0.199,188,8.25,3.34,0.02,0.30,0.04,0.77,0.05,1.12,8.14,3.05,0.00,0.00,0.003,0.040,80,0.248,0.268,0.723,0.000,0.009,47698,42677,2,0.940,0.004,0.006,520053,0.160,0.099,0.000,85.80,21189,10,40.529,1.000,0.000,1574579,1.01,14.55,0.001,0.000,0.000,5,8,11,64,12883,0.049,1.36,0.0078,0.085,646,0.181,0.000,0.184,0.271,3.06,1.88,7.61,0.00,0.001,1.00,1.01,1.01,0.181,0.00565,40.46,11.3312,29.12,1428.5,140221.3,36.223,4.0308,95.440,313.673,0.533,0.000,135280.2,81.912,24.724,19,37.3,4.90,28.721
20000,1607,1.430,0.053,7.52,45363,42337,88,0,2893,2,822455.7,10885.9,0.001,0.555,0.120,0.324,215,7.89,2.42,0.00,0.02,0.00,0.07,0.02,0.44,7.86,2.41,0.00,0.00,0.001,0.025,62,0.439,0.257,0.739,0.000,0.004,8649,7756,1,1.000,0.000,0.002,53420,0.145,0.069,0.000,82.10,10093,0,5442.970,0.000,0.000,1102342,1.00,14.59,0.000,0.000,0.000,5,9,9,62,12676,0.048,0.00,0.0065,0.093,678,0.121,0.000,0.123,0.000,3.08,1.77,7.86,0.00,0.000,1.00,1.00,1.00,0.121,0.00383,43.41,1.2827,15.98,1543.5,140221.9,38.328,0.1953,81.918,153.388,0.544,0.000,135264.2,81.920,6.761,10,12.7,2.31,0.282
30000,1605,1.432,0.053,7.79,42755,39743,154,0,2860,0,823507.8,10566.6,0.000,0.533,0.116,0.350,215,8.00,2.29,0.01,0.37,0.00,0.10,0.02,0.65,7.96,2.26,0.00,0.00,0.001,0.028,55,0.357,0.266,0.728,0.000,0.006,7196,6212,1,1.000,0.000,0.004,58036,0.175,0.063,0.000,82.10,9762,0,10566.635,0.000,0.000,1042138,1.00,14.65,0.000,0.000,0.000,6,9,10,47,12834,0.049,0.00,0.0064,0.102,668,0.119,0.000,0.107,0.000,3.09,1.63,7.92,0.00,0.000,1.00,1.00,1.00,0.119,0.00372,43.64,1.2453,16.60,1608.7,140222.0,38.099,0.1885,81.913,158.380,0.545,0.000,135194.9,81.920,6.389,6,6.8,1.42,0.241
40000,1567,1.455,0.049,7.97,37424,34774,249,0,2439,0,824783.6,9660.0,0.000,0.503,0.172,0.325,218,8.25,2.42,0.01,0.15,0.01,0.18,0.04,0.60,8.20,2.32,0.00,0.00,0.000,0.004,51,0.403,0.263,0.734,0.000,0.003,5925,4502,1,1.000,0.000,0.008,73273,0.157,0.066,0.000,82.09,8916,0,9660.005,0.000,0.000,784790,1.00,14.14,0.000,0.000,0.000,6,9,10,63,12920,0.049,0.00,0.0064,0.098,645,0.097,0.000,0.084,0.000,3.11,1.71,7.94,0.00,0.000,1.00,1.00,1.00,0.097,0.00378,43.98,1.1340,15.32,1601.8,140222.0,37.767,0.1680,81.929,161.670,0.534,0.000,135285.2,81.920,6.139,4,7.8,3.56,0.189
50000,1569,1.439,0.049,7.99,35482,32945,318,0,2217,0,824830.8,9289.6,0.000,0.503,0.239,0.257,215,8.26,2.56,0.02,0.41,0.03,0.72,0.06,1.70,8.16,1.98,0.00,0.00,0.002,0.041,43,0.620,0.262,0.735,0.000,0.003,5902,4523,1,1.000,0.000,0.003,74484,0.134,0.060,0.000,82.08,7623,0,9289.604,0.000,0.000,713750,1.01,13.83,0.001,0.000,0.000,6,9,9,64,12966,0.049,0.00,0.0064,0.105,672,0.089,0.000,0.083,0.001,3.09,1.75,7.95,0.00,0.000,1.01,1.01,1.01,0.089,0.00381,43.93,1.0876,13.83,1591.1,140222.1,37.831,0.1587,81.923,160.513,0.537,0.000,135313.9,81.920,6.030,3,4.7,2.03,0.181
60000,1565,1.486,0.048,7.99,34485,31972,326,0,2191,0,824215.3,9151.7,0.000,0.518,0.293,0.189,214,8.21,2.20,0.00,0.15,0.02,0.51,0.01,0.15,8.18,2.09,0.00,0.00,0.001,0.028,41,0.636,0.270,0.728,0.000,0.003,6172,5189,1,1.000,0.000,0.004,49383,0.155,0.074,0.000,82.07,6694,0,9151.708,0.000,0.000,702857,1.00,13.84,0.000,0.000,0.000,6,9,9,50,12847,0.049,0.00,0.0064,0.113,666,0.085,0.000,0.083,0.000,3.10,1.74,7.96,0.00,0.000,1.00,1.00,1.00,0.085,0.00391,43.79,1.0702,15.89,1615.5,140222.1,37.978,0.1548,81.912,159.410,0.535,0.000,135237.6,81.920,5.926,9,16.8,5.14,0.180
70000,1547,1.494,0.050,8.00,33858,31360,380,0,2136,5,823582.3,8999.7,0.000,0.527,0.324,0.149,216,8.18,2.43,0.02,0.79,0.01,0.13,0.01,0.17,8.14,2.14,0.00,0.00,0.001,0.015,42,0.615,0.266,0.733,0.000,0.001,6043,5039,1,1.000,0.000,0.003,41248,0.161,0.068,0.000,82.08,6571,0,1799.932,0.000,0.001,685734,1.01,13.92,0.000,0.000,0.000,6,9,9,53,12654,0.048,0.00,0.0065,0.100,643,0.082,0.000,0.083,0.001,3.09,1.72,7.97,0.00,0.000,1.00,1.01,1.01,0.082,0.00401,43.74,1.0525,19.63,1564.9,140222.2,38.023,0.1521,81.924,158.964,0.534,0.000,135278.5,81.920,5.849,10,15.9,1.98,0.177
80000,1576,1.425,0.047,8.00,32896,30568,408,0,1891,1,822391.4,8579.5,0.000,0.538,0.343,0.119,213,8.12,1.71,0.00,0.05,0.02,0.81,0.01,0.17,8.08,1.59,0.00,0.00,0.001,0.031,37,0.599,0.260,0.739,0.000,0.001,6059,5043,1,1.000,0.000,0.002,39385,0.155,0.058,0.000,82.06,6592,0,8579.452,0.000,0.000,693416,1.00,13.94,0.000,0.000,0.000,6,9,9,32,12791,0.049,0.00,0.0065,0.098,664,0.081,0.000,0.082,0.000,3.08,1.73,7.96,0.00,0.000,1.00,1.00,1.00,0.081,0.00398,43.72,1.0008,12.70,1602.1,140222.2,38.063,0.1435,81.928,159.322,0.543,0.000,135355.8,81.920,5.798,4,4.9,1.34,0.160
90000,1554,1.490,0.048,8.00,32268,30082,397,0,1811,6,821933.7,8315.4,0.000,0.546,0.348,0.106,218,8.07,2.16,0.00,0.00,0.04,0.84,0.01,0.48,8.02,2.08,0.00,0.00,0.002,0.042,37,0.565,0.262,0.736,0.000,0.002,6146,4976,1,1.000,0.000,0.001,39958,0.136,0.067,0.000,82.06,6534,0,1385.903,0.000,0.000,711048,1.00,14.10,0.000,0.000,0.000,6,9,9,55,12541,0.048,0.00,0.0066,0.115,657,0.082,0.000,0.081,0.000,3.10,1.69,7.98,0.00,0.000,1.00,1.00,1.00,0.082,0.00407,43.73,0.9714,11.83,1587.2,140222.3,38.050,0.1400,81.913,159.418,0.538,0.000,135284.1,81.920,5.749,10,15.1,3.15,0.152
100000,1582,1.478,0.047,8.00,32468,30104,417,0,1919,4,822166.2,8558.9,0.000,0.545,0.358,0.097,214,8.20,2.37,0.00,0.10,0.02,0.84,0.02,0.42,8.16,2.23,0.00,0.00,0.001,0.028,47,0.599,0.280,0.716,0.000,0.004,6042,4993,1,1.000,0.000,0.003,36359,0.145,0.057,0.000,82.06,6815,0,2139.718,0.000,0.000,687288,1.00,13.90,0.000,0.001,0.000,6,9,9,47,12980,0.050,0.00,0.0064,0.105,669,0.079,0.000,0.080,0.000,3.08,1.75,7.94,0.00,0.000,1.00,1.00,1.00,0.079,0.00402,43.66,0.9983,12.20,1564.2,140222.4,38.118,0.1424,81.920,158.828,0.541,0.000,135288.1,81.920,5.760,4,5.6,1.76,0.165
