step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten
10000,2270,1.379,0.055,6.40,96774,92567,48,2,3383,1780,1280568.8,84304.0,0.026,0.572,0.040,0.362,164,8.00,2.39,0.00,0.08,0.00,0.10,0.02,0.65,7.98,2.16,0.00,0.00,0.000,0.008,82,0.329,0.256,0.741,0.000,0.004,69887,59524,1,1.000,0.000,0.001,437442,0.159,0.110,0.000,118.04,27756,18,47.362,1.000,0.000,3294748,1.00,18.70,0.000,0.000,0.000,6,8,10,54,18170,0.069,2.55,0.0071,0.079,730,0.271,0.000,0.244,0.194,2.34,1.92,4.82,0.00,0.000,1.00,1.00,1.00,0.271,0.00432,41.49,12.6188,10.69,135770.4,140227.2,1.758,4.1684,127.450,861.810,0.998,0.409,58.3,63.719,33.256,5,18.3,7.89,41.370
20000,2336,1.351,0.058,6.94,56508,53048,363,0,3031,1,1133442.2,12837.4,0.000,0.484,0.013,0.503,198,7.26,1.88,0.00,0.00,0.00,0.04,0.01,0.29,7.25,1.87,0.00,0.00,0.000,0.005,68,0.718,0.277,0.720,0.000,0.003,10773,7455,1,0.997,0.003,0.000,10255,0.214,0.185,0.000,116.33,11770,0,12837.404,0.000,0.000,645156,1.00,19.48,0.000,0.000,0.000,7,7,9,62,16962,0.065,0.01,0.0067,0.077,794,0.057,0.000,0.155,0.000,2.28,1.95,4.32,0.00,0.000,1.00,1.00,1.00,0.057,0.00336,47.33,1.4312,16.36,135726.5,140227.4,0.169,0.1466,116.180,580.182,0.997,0.409,57.9,58.090,7.405,19,76.0,8.00,0.480
30000,2306,1.359,0.056,6.96,56388,53197,340,0,2881,0,1133733.6,12453.5,0.001,0.466,0.009,0.525,197,7.43,1.37,0.00,0.02,0.00,0.08,0.00,0.00,7.43,1.37,0.00,0.00,0.001,0.021,53,0.641,0.274,0.723,0.000,0.003,10614,8298,1,1.000,0.000,0.000,5734,0.227,0.191,0.001,116.16,11999,0,12453.532,0.000,0.000,566845,1.00,19.33,0.000,0.000,0.000,7,7,9,30,17135,0.065,0.03,0.0066,0.078,775,0.051,0.000,0.163,0.000,2.30,1.98,4.35,0.00,0.000,1.00,1.00,1.00,0.051,0.00328,47.41,1.3852,13.83,135780.9,140227.6,0.229,0.1398,116.030,576.424,0.998,0.409,57.7,58.015,7.446,20,84.1,8.00,0.705
40000,2225,1.382,0.050,7.00,53541,50753,408,0,2461,1,1134167.2,11910.4,0.000,0.446,0.005,0.548,199,7.85,1.53,0.00,0.00,0.00,0.12,0.00,0.02,7.84,1.52,0.00,0.00,0.001,0.023,81,0.271,0.257,0.740,0.000,0.003,10177,5401,1,0.741,0.259,0.000,9720,0.146,0.111,0.000,115.14,12709,0,11910.413,0.000,0.000,610360,1.00,17.19,0.000,0.000,0.000,7,8,9,48,17463,0.067,0.02,0.0065,0.073,739,0.059,0.000,0.158,0.000,2.53,1.71,5.69,0.00,0.000,1.00,1.00,1.00,0.059,0.00330,48.46,1.3204,10.90,135931.3,140227.7,0.219,0.1294,115.028,573.276,0.999,0.409,56.7,57.514,6.926,6,23.0,8.00,0.522
50000,2195,1.424,0.052,7.02,53305,50687,367,0,2281,1,1114237.5,12043.2,0.000,0.501,0.002,0.497,201,7.90,1.55,0.02,0.34,0.00,0.11,0.02,0.60,7.86,1.51,0.00,0.00,0.000,0.004,93,0.432,0.263,0.730,0.000,0.007,12961,6868,1,0.855,0.145,0.001,21268,0.133,0.098,0.000,112.87,12348,0,12043.157,0.000,0.000,1206085,1.01,16.23,0.000,0.000,0.000,7,8,8,28,17330,0.066,0.01,0.0065,0.087,715,0.107,0.000,0.164,0.000,2.67,1.48,6.41,0.00,0.000,1.01,1.01,1.02,0.107,0.00356,50.85,1.3383,11.16,135856.1,140227.8,0.118,0.1336,112.728,562.488,0.998,0.408,56.3,56.364,6.537,6,20.7,6.84,0.313
60000,2135,1.424,0.051,7.06,53307,50775,343,0,2249,1,1112100.8,12034.0,0.000,0.500,0.001,0.499,200,8.03,1.76,0.01,0.25,0.00,0.00,0.01,0.26,8.01,1.70,0.00,0.00,0.000,0.000,91,0.413,0.259,0.737,0.000,0.005,13118,6716,2,0.856,0.088,0.001,22109,0.134,0.075,0.000,112.61,12919,0,12034.042,0.000,0.000,1246335,1.00,16.58,0.000,0.000,0.000,7,8,9,43,17148,0.065,0.01,0.0065,0.076,701,0.112,0.000,0.164,0.000,2.66,1.55,6.17,0.00,0.000,1.00,1.00,1.01,0.112,0.00365,51.12,1.3368,12.49,135956.9,140227.9,0.113,0.1330,112.483,559.327,0.997,0.409,55.0,56.242,6.503,7,13.1,3.48,0.305
70000,2174,1.399,0.046,7.21,52524,49917,421,0,2147,0,1111209.0,12085.9,0.000,0.487,0.000,0.513,202,8.07,2.07,0.03,0.61,0.00,0.00,0.00,0.14,8.04,1.96,0.00,0.00,0.000,0.000,98,0.456,0.269,0.730,0.000,0.002,12210,6372,2,0.927,0.069,0.001,24242,0.121,0.062,0.000,112.37,12846,0,12085.917,0.000,0.000,1122640,1.01,16.42,0.000,0.000,0.000,7,8,8,61,17554,0.067,0.00,0.0064,0.075,736,0.104,0.000,0.161,0.000,2.70,1.50,6.29,0.00,0.000,1.01,1.01,1.01,0.104,0.00354,51.36,1.3386,10.67,136021.2,140228.0,0.106,0.1299,112.247,557.328,0.999,0.409,56.0,56.124,6.269,4,5.4,1.64,0.215
80000,2122,1.386,0.047,7.54,52655,50290,421,0,1996,2,1105081.1,12414.0,0.000,0.482,0.000,0.517,200,8.18,1.84,0.03,0.88,0.00,0.02,0.01,0.38,8.14,1.60,0.00,0.00,0.000,0.002,86,0.479,0.254,0.742,0.000,0.003,11514,6969,3,0.994,0.000,0.002,31077,0.110,0.063,0.000,111.83,12081,0,6207.016,0.000,0.000,1042086,1.01,15.77,0.000,0.000,0.000,7,8,9,43,17356,0.066,0.00,0.0064,0.067,711,0.099,0.000,0.166,0.000,2.76,1.49,6.63,0.00,0.000,1.01,1.01,1.01,0.099,0.00362,51.91,1.3720,13.23,136115.0,140228.0,0.098,0.1301,111.707,554.015,0.997,0.409,55.2,55.854,6.111,5,6.8,1.56,0.178
90000,2087,1.417,0.042,7.83,51073,48940,403,0,1765,2,1092991.9,12465.7,0.000,0.474,0.000,0.526,199,8.60,1.79,0.05,0.83,0.01,0.18,0.01,0.20,8.54,1.47,0.00,0.00,0.001,0.023,86,0.419,0.250,0.745,0.000,0.005,10447,7218,1,1.000,0.000,0.003,41553,0.110,0.066,0.000,110.49,11167,0,6232.855,0.000,0.000,908972,1.02,14.31,0.000,0.000,0.000,8,9,9,36,17950,0.068,0.00,0.0061,0.075,704,0.090,0.000,0.167,0.000,2.93,1.76,7.09,0.00,0.000,1.01,1.02,1.02,0.090,0.00368,53.26,1.3728,11.92,136167.1,140228.2,0.089,0.1262,110.369,550.779,0.998,0.410,55.0,55.185,5.829,5,9.3,3.92,0.166
100000,1973,1.462,0.039,7.95,48090,46359,381,0,1464,0,1072539.4,12415.1,0.000,0.464,0.000,0.536,201,9.02,1.50,0.02,0.69,0.00,0.00,0.00,0.14,9.00,1.32,0.00,0.00,0.000,0.000,62,0.758,0.255,0.742,0.000,0.004,8752,7808,1,0.990,0.010,0.001,42405,0.117,0.085,0.000,107.83,8586,0,12415.083,0.000,0.000,752536,1.01,12.77,0.000,0.000,0.000,8,9,9,40,17803,0.068,0.00,0.0060,0.073,649,0.080,0.000,0.160,0.000,3.12,1.96,7.65,0.00,0.000,1.00,1.01,1.01,0.080,0.00390,55.91,1.3646,10.47,136291.0,140228.4,0.098,0.1231,107.721,537.626,0.998,0.411,52.9,53.861,5.257,5,14.8,7.94,0.150
