step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees
10000,0,665,11.12,0.01,0.02,0.14,10.95,0.00,1.00,0.000,0.085,462607.3,36695.2,1,66,3.35,1.00,1.00,5.2708,17.33,109817.7,0.0000,41.0634,5462,40.3449,127
10000,1,654,11.03,0.00,0.03,0.14,10.86,0.00,1.00,0.000,0.083,446512.5,35278.2,1,54,3.34,1.00,1.00,5.0913,14.54,22409.3,1.7018,39.4817,5461,40.3376,95
10000,2,544,12.52,0.01,0.02,0.13,12.36,0.00,1.00,0.000,0.078,366208.4,30508.9,1,58,3.41,1.00,1.00,4.5615,16.65,797.5,12.9050,31.8220,5461,40.3376,226
20000,0,690,9.84,0.09,0.06,0.10,9.58,0.00,1.04,0.001,0.078,380168.6,7778.8,1,48,3.29,1.03,1.04,0.8928,10.61,113701.0,0.0000,37.1761,5462,35.8524,102
20000,1,676,9.27,0.05,0.01,0.12,9.10,0.00,1.02,0.000,0.071,373831.3,7905.5,1,53,3.18,1.01,1.02,0.9181,13.95,20230.5,1.0660,36.5130,5461,35.8458,155
20000,2,668,8.37,0.05,0.00,0.01,8.31,0.00,1.03,0.000,0.064,351264.7,5277.8,1,39,2.98,1.03,1.03,0.6064,4.43,211.1,3.9556,34.0655,5461,35.8458,7
30000,0,696,9.83,0.23,0.01,0.08,9.51,0.00,1.07,0.000,0.078,385823.6,8639.5,1,54,3.24,1.02,1.08,1.0258,18.09,113103.3,0.0000,37.7813,5462,36.5248,211
30000,1,656,9.26,0.09,0.22,0.05,8.90,0.00,1.03,0.000,0.070,376453.0,8291.6,1,61,3.17,1.01,1.03,0.9769,11.28,20199.7,1.2925,36.7847,5461,36.5182,167
30000,2,665,8.34,0.04,0.00,0.08,8.22,0.00,1.02,0.000,0.063,364164.2,4679.0,1,28,2.98,1.01,1.02,0.5265,4.62,194.0,1.8295,35.4263,5461,36.5182,2
40000,0,722,8.82,0.18,0.13,0.05,8.46,0.00,1.06,0.000,0.073,392508.7,9710.4,1,52,3.05,1.03,1.07,1.1572,19.32,112929.7,0.0000,38.3859,5462,36.9799,182
40000,1,658,9.31,0.14,0.06,0.07,9.04,0.00,1.04,0.000,0.070,380771.8,8735.5,1,60,3.13,1.01,1.05,1.0401,19.85,20345.3,0.8302,37.2779,5461,36.9731,174
40000,2,663,8.55,0.17,0.00,0.07,8.30,0.00,1.07,0.000,0.065,366047.0,4551.2,1,48,3.04,1.04,1.08,0.5091,3.18,249.1,1.3884,35.6630,5461,36.9731,5
50000,0,681,9.18,0.04,0.00,0.08,9.06,0.00,1.02,0.000,0.072,390124.5,8537.1,1,58,3.18,1.02,1.02,1.0118,16.84,112991.6,0.0000,38.1380,5462,36.7922,225
50000,1,729,8.72,0.11,0.08,0.10,8.43,0.00,1.05,0.000,0.073,379073.3,8039.4,1,53,3.02,1.03,1.05,0.9509,18.76,20083.8,1.1477,37.0717,5461,36.7854,172
50000,2,699,7.70,0.01,0.00,0.04,7.64,0.00,1.00,0.000,0.062,364757.2,4512.5,1,28,2.79,1.00,1.00,0.5061,6.34,204.3,1.6556,35.5359,5461,36.7854,3
60000,0,707,9.47,0.05,0.23,0.03,9.15,0.00,1.01,0.000,0.076,394546.0,8177.1,1,57,3.08,1.00,1.02,0.9815,18.32,112432.7,0.0000,38.5782,5462,37.1883,265
60000,1,705,8.79,0.08,0.10,0.05,8.56,0.00,1.02,0.000,0.071,384184.3,7679.9,1,55,2.95,1.00,1.03,0.9131,13.26,19830.3,0.8250,37.5912,5461,37.1815,239
60000,2,727,7.00,0.10,0.00,0.02,6.88,0.00,1.04,0.000,0.058,366308.0,3850.1,1,29,2.51,1.01,1.04,0.4409,4.98,277.3,2.0685,35.8195,5461,37.1815,38
70000,0,754,7.85,0.06,0.04,0.03,7.72,0.00,1.03,0.000,0.067,391976.7,6621.6,1,71,2.77,1.02,1.03,0.7803,12.47,112379.7,0.0000,38.1464,5462,36.3120,132
70000,1,718,8.01,0.05,0.09,0.07,7.79,0.00,1.02,0.000,0.066,380948.6,6531.4,1,71,2.78,1.01,1.02,0.7709,8.14,20595.4,1.3220,37.2159,5461,36.3053,157
70000,2,706,7.49,0.02,0.03,0.11,7.33,0.00,1.01,0.000,0.061,344280.7,4233.7,1,43,2.65,1.00,1.01,0.5156,4.43,446.7,6.7903,33.8000,5461,36.3053,86
80000,0,723,7.70,0.06,0.00,0.01,7.64,0.00,1.02,0.000,0.063,386685.6,5498.7,1,58,2.68,1.01,1.03,0.6441,7.43,112997.1,0.0000,37.6742,5462,36.3565,53
80000,1,734,7.69,0.08,0.01,0.00,7.59,0.00,1.02,0.000,0.065,381079.7,5619.2,1,76,2.76,1.02,1.03,0.6624,8.80,21679.1,1.1250,37.1603,5461,36.3498,45
80000,2,677,7.21,0.02,0.00,0.08,7.11,0.00,1.01,0.000,0.056,349633.8,3957.1,1,54,2.55,1.00,1.01,0.4773,7.71,259.5,5.5249,34.3457,5461,36.3498,83
90000,0,756,7.92,0.02,0.04,0.02,7.84,0.00,1.01,0.000,0.068,390736.3,6256.1,2,66,2.75,1.01,1.01,0.7466,10.51,111847.1,0.0000,38.1992,5462,36.1231,118
90000,1,740,7.77,0.00,0.02,0.05,7.71,0.00,1.00,0.000,0.066,381842.5,6228.3,2,54,2.68,1.00,1.00,0.7487,8.45,20784.4,1.2826,37.4464,5461,36.1165,129
90000,2,663,7.74,0.08,0.12,0.09,7.45,0.00,1.02,0.000,0.059,336725.0,4580.4,2,56,2.62,1.00,1.03,0.5671,10.94,801.1,8.0580,33.2148,5461,36.1165,155
100000,0,736,8.06,0.03,0.00,0.03,8.00,0.00,1.01,0.000,0.068,390931.5,6166.1,2,69,2.78,1.00,1.01,0.7354,14.17,111278.1,0.0000,38.1767,5462,36.0622,148
100000,1,739,7.79,0.08,0.00,0.06,7.65,0.00,1.02,0.000,0.066,381503.1,6511.2,2,55,2.73,1.01,1.03,0.7832,9.13,21171.3,1.7513,37.2812,5461,36.0556,104
100000,2,665,7.64,0.03,0.00,0.06,7.55,0.00,1.01,0.000,0.058,336772.7,4541.6,2,47,2.65,1.00,1.01,0.5603,10.75,663.0,8.4412,33.1027,5461,36.0556,206
110000,0,751,7.83,0.05,0.10,0.08,7.62,0.00,1.01,0.000,0.068,391186.0,6220.0,2,74,2.72,1.01,1.02,0.7406,10.68,112363.8,0.0000,38.1103,5462,36.0690,130
110000,1,736,7.85,0.06,0.00,0.06,7.73,0.00,1.03,0.000,0.066,383561.6,6110.2,2,81,2.73,1.02,1.04,0.7314,9.73,20424.2,0.9146,37.5492,5461,36.0624,139
110000,2,692,7.34,0.00,0.03,0.01,7.31,0.00,1.00,0.000,0.058,333785.0,5021.9,2,45,2.58,1.00,1.00,0.6227,8.05,530.4,8.8067,32.8726,5461,36.0624,148
120000,0,779,7.83,0.07,0.00,0.13,7.63,0.00,1.02,0.000,0.070,390667.7,5891.6,2,78,2.72,1.00,1.03,0.7000,8.21,111187.6,0.0000,38.0794,5462,36.2562,95
120000,1,709,7.82,0.00,0.02,0.03,7.77,0.00,1.00,0.000,0.064,383207.3,6414.6,2,81,2.73,1.00,1.00,0.7737,12.54,21929.6,1.5719,37.3874,5461,36.2496,106
120000,2,679,7.32,0.01,0.04,0.03,7.24,0.00,1.00,0.000,0.057,342449.7,4331.9,2,59,2.64,1.00,1.00,0.5301,8.14,568.8,7.3121,33.5905,5461,36.2496,157
130000,0,727,8.03,0.06,0.01,0.10,7.86,0.00,1.02,0.000,0.067,391812.3,6158.8,3,70,2.83,1.01,1.03,0.7348,17.20,112029.7,0.0000,38.1839,5462,36.5021,132
130000,1,762,7.72,0.02,0.04,0.11,7.56,0.00,1.01,0.000,0.067,382466.1,6022.3,3,76,2.74,1.00,1.01,0.7217,13.54,20907.3,1.2746,37.3894,5461,36.4954,143
130000,2,716,7.34,0.01,0.06,0.03,7.23,0.00,1.00,0.000,0.060,349320.2,4265.3,2,39,2.55,1.00,1.01,0.5190,9.73,456.6,5.9058,34.2775,5461,36.4954,108
140000,0,770,7.93,0.06,0.06,0.06,7.75,0.00,1.02,0.000,0.070,390887.6,6197.6,2,59,2.74,1.00,1.02,0.7339,13.71,112458.5,0.0000,38.1107,5462,36.7790,153
140000,1,747,8.31,0.08,0.02,0.08,8.13,0.00,1.02,0.000,0.070,381991.5,6319.2,2,75,2.77,1.01,1.03,0.7586,16.58,20549.2,1.2884,37.4562,5461,36.7723,201
140000,2,722,7.32,0.10,0.00,0.04,7.18,0.00,1.03,0.000,0.061,357634.9,3923.0,2,43,2.55,1.00,1.04,0.4720,5.07,312.4,4.1693,35.0840,5461,36.7723,76
150000,0,765,7.75,0.04,0.02,0.15,7.55,0.00,1.01,0.000,0.068,394790.3,6835.8,2,54,2.73,1.00,1.01,0.8172,7.43,112241.5,0.0000,38.4956,5462,36.7376,81
150000,1,737,8.06,0.03,0.12,0.04,7.87,0.00,1.01,0.000,0.068,383026.0,7262.6,2,78,2.78,1.00,1.01,0.8847,11.53,21176.7,2.1087,37.4847,5461,36.7309,183
150000,2,748,6.86,0.06,0.00,0.04,6.75,0.00,1.02,0.000,0.058,351734.3,4355.2,2,48,2.48,1.00,1.02,0.5327,5.17,319.4,5.4057,34.5661,5461,36.7309,62
160000,0,786,8.19,0.13,0.06,0.04,7.96,0.00,1.04,0.000,0.074,392034.9,6367.2,2,66,2.82,1.03,1.06,0.7592,13.50,112066.0,0.0000,38.2309,5462,36.8713,159
160000,1,724,8.51,0.07,0.06,0.07,8.31,0.00,1.01,0.000,0.071,383350.4,6324.2,2,55,2.80,1.00,1.01,0.7580,17.97,20517.0,1.3501,37.5185,5461,36.8645,187
160000,2,703,6.76,0.02,0.00,0.02,6.72,0.00,1.00,0.000,0.054,359308.8,3899.6,2,51,2.48,1.00,1.01,0.4705,9.63,404.2,3.9372,35.2518,5461,36.8645,77
170000,0,755,7.30,0.04,0.00,0.03,7.23,0.00,1.01,0.000,0.063,391188.0,5980.6,2,62,2.62,1.00,1.02,0.7097,6.74,111944.7,0.0000,38.0454,5462,36.7211,66
170000,1,751,8.00,0.13,0.03,0.03,7.80,0.00,1.03,0.000,0.069,384258.6,6601.3,2,80,2.77,1.00,1.05,0.7965,16.05,21013.4,1.5875,37.5547,5461,36.7144,191
170000,2,669,7.46,0.06,0.05,0.00,7.35,0.00,1.02,0.000,0.057,354950.5,4033.0,2,49,2.53,1.00,1.02,0.4917,11.92,459.2,4.8296,34.8425,5461,36.7144,171
180000,0,761,7.15,0.01,0.00,0.01,7.12,0.00,1.00,0.000,0.062,392566.6,6514.8,2,65,2.69,1.00,1.00,0.7845,14.91,112273.7,0.0000,38.3240,5462,36.6665,117
180000,1,729,7.72,0.04,0.08,0.00,7.60,0.00,1.01,0.000,0.064,384943.5,6722.4,2,66,2.68,1.00,1.01,0.8164,14.83,20572.5,1.6029,37.6106,5461,36.6598,155
180000,2,691,7.66,0.04,0.09,0.07,7.46,0.00,1.01,0.000,0.060,350901.8,4198.3,2,52,2.64,1.00,1.01,0.5101,8.07,506.3,5.6736,34.4239,5461,36.6598,165
190000,0,759,7.68,0.12,0.01,0.08,7.48,0.00,1.04,0.000,0.067,390708.9,6289.4,3,58,2.70,1.02,1.04,0.7515,9.10,112867.8,0.0000,38.2199,5462,36.3919,128
190000,1,761,7.80,0.02,0.00,0.06,7.72,0.00,1.01,0.000,0.068,383693.1,6364.4,3,81,2.70,1.00,1.01,0.7646,9.99,20812.5,1.4469,37.4449,5461,36.3852,146
190000,2,726,6.98,0.09,0.00,0.06,6.84,0.00,1.02,0.000,0.058,344791.6,4478.6,2,50,2.52,1.01,1.03,0.5514,12.66,243.8,6.9767,33.7939,5461,36.3852,53
200000,0,770,7.01,0.08,0.01,0.03,6.89,0.00,1.02,0.000,0.062,396373.4,6780.7,3,58,2.57,1.01,1.03,0.8127,13.64,112859.9,0.0000,38.6662,5462,36.9260,126
200000,1,764,7.52,0.07,0.02,0.12,7.31,0.00,1.02,0.000,0.065,384481.0,6870.9,3,78,2.58,1.00,1.02,0.8338,10.81,20996.5,1.9186,37.5703,5461,36.9192,118
200000,2,765,6.45,0.01,0.00,0.00,6.45,0.00,1.00,0.000,0.057,355532.6,3900.2,2,59,2.43,1.00,1.00,0.4708,6.63,262.3,4.7559,34.8693,5461,36.9192,33
210000,0,759,7.31,0.04,0.02,0.10,7.16,0.00,1.01,0.000,0.064,394389.0,6696.9,2,67,2.65,1.01,1.01,0.8029,11.24,112712.4,0.0000,38.5457,5462,37.0338,130
210000,1,763,7.24,0.07,0.02,0.16,7.00,0.00,1.02,0.000,0.063,384386.3,6631.1,2,71,2.56,1.01,1.03,0.7979,14.58,20844.9,1.7219,37.7048,5461,37.0271,128
210000,2,740,6.68,0.03,0.00,0.21,6.44,0.00,1.01,0.000,0.057,358484.5,3835.3,2,49,2.44,1.00,1.02,0.4601,6.38,350.7,4.0765,35.2017,5461,37.0271,43
220000,0,779,7.61,0.08,0.01,0.00,7.51,0.00,1.03,0.000,0.068,396610.8,6849.6,2,88,2.68,1.01,1.03,0.8203,12.60,112249.2,0.0000,38.6462,5462,37.0519,118
220000,1,731,7.21,0.06,0.04,0.06,7.05,0.00,1.02,0.000,0.060,387062.2,6499.3,2,70,2.60,1.01,1.02,0.7840,10.42,21438.4,1.4735,37.7400,5461,37.0451,107
220000,2,751,6.67,0.03,0.01,0.08,6.54,0.00,1.01,0.000,0.057,358123.9,3928.6,2,61,2.42,1.01,1.02,0.4752,4.05,362.0,4.2959,35.0925,5461,37.0451,64
230000,0,728,7.55,0.18,0.00,0.00,7.37,0.00,1.05,0.000,0.063,392513.9,6439.9,2,64,2.67,1.01,1.07,0.7669,15.79,112160.1,0.0000,38.4380,5462,36.8806,236
230000,1,732,7.59,0.09,0.01,0.08,7.41,0.00,1.02,0.000,0.064,383490.6,6575.7,2,72,2.65,1.00,1.04,0.7961,18.84,19795.5,1.4508,37.7271,5461,36.8738,310
230000,2,740,6.53,0.05,0.00,0.03,6.46,0.00,1.02,0.000,0.055,356228.9,3873.7,2,38,2.42,1.00,1.02,0.4684,6.94,280.7,4.5340,34.9842,5461,36.8738,83
240000,0,784,6.99,0.02,0.00,0.01,6.96,0.00,1.01,0.000,0.063,396742.5,7144.6,2,72,2.57,1.01,1.01,0.8567,8.99,112618.0,0.0000,38.6850,5462,37.0222,67
240000,1,749,7.06,0.03,0.03,0.00,6.99,0.00,1.01,0.000,0.061,388193.2,7299.5,2,81,2.62,1.00,1.01,0.8835,9.31,21888.8,1.8779,37.7929,5461,37.0154,66
240000,2,727,6.70,0.04,0.00,0.15,6.51,0.00,1.01,0.000,0.056,353335.0,4331.6,2,61,2.49,1.00,1.01,0.5295,9.48,351.4,5.3118,34.7046,5461,37.0154,42
250000,0,753,8.20,0.06,0.01,0.07,8.07,0.00,1.03,0.000,0.070,394096.8,6654.5,2,69,2.75,1.01,1.03,0.7965,14.12,111145.2,0.0000,38.6445,5462,36.7525,260
250000,1,771,7.42,0.06,0.05,0.05,7.27,0.00,1.02,0.000,0.066,384150.9,6702.5,2,58,2.60,1.00,1.02,0.8085,9.00,21156.3,1.6981,37.6722,5461,36.7458,156
250000,2,707,6.48,0.04,0.00,0.00,6.43,0.00,1.02,0.000,0.052,350751.4,3985.5,2,54,2.40,1.01,1.02,0.4856,9.57,320.8,5.5062,34.5052,5461,36.7458,111
260000,0,744,8.19,0.01,0.01,0.14,8.03,0.00,1.00,0.000,0.070,396355.1,6808.7,2,62,2.74,1.00,1.00,0.8131,13.54,110976.2,0.0000,38.5727,5462,36.6096,153
260000,1,723,8.25,0.07,0.04,0.09,8.05,0.00,1.02,0.000,0.068,380976.8,6759.0,2,72,2.78,1.00,1.02,0.8230,20.02,21107.4,2.5184,37.3163,5461,36.6029,235
260000,2,676,6.98,0.07,0.00,0.07,6.84,0.00,1.02,0.000,0.054,349258.6,4091.3,2,42,2.49,1.00,1.03,0.5026,9.45,451.8,5.8204,34.3051,5461,36.6029,183
270000,0,749,7.79,0.11,0.01,0.07,7.59,0.00,1.03,0.000,0.067,395484.5,6804.5,2,68,2.64,1.01,1.04,0.8109,12.31,112251.2,0.0000,38.6641,5462,37.0785,153
270000,1,769,7.06,0.07,0.11,0.07,6.82,0.00,1.02,0.000,0.062,383346.9,6306.5,2,77,2.53,1.00,1.02,0.7564,10.63,20882.7,1.5619,37.5519,5461,37.0717,120
270000,2,717,6.64,0.01,0.04,0.02,6.58,0.00,1.00,0.000,0.054,359722.2,3949.3,2,55,2.44,1.00,1.00,0.4762,7.65,434.3,4.0549,35.2403,5461,37.0717,131
280000,0,774,7.26,0.02,0.01,0.09,7.14,0.00,1.01,0.000,0.064,394875.2,6603.5,2,72,2.56,1.00,1.01,0.7844,8.70,112688.2,0.0000,38.5366,5462,36.8190,87
280000,1,736,7.30,0.04,0.02,0.06,7.17,0.00,1.01,0.000,0.061,384797.0,6750.3,2,76,2.59,1.01,1.02,0.8131,8.65,21299.1,1.9828,37.7068,5461,36.8123,97
280000,2,711,6.44,0.00,0.00,0.00,6.44,0.00,1.00,0.000,0.053,351275.3,4229.6,2,45,2.40,1.00,1.00,0.5154,7.14,344.7,5.5917,34.4778,5461,36.8123,68
290000,0,754,7.71,0.11,0.01,0.10,7.49,0.00,1.05,0.000,0.066,395925.9,6833.8,2,62,2.66,1.04,1.04,0.8200,15.38,112082.7,0.0000,38.7446,5462,37.2471,133
290000,1,766,7.92,0.04,0.09,0.06,7.74,0.00,1.01,0.000,0.070,386945.5,6830.5,2,69,2.71,1.00,1.01,0.8233,17.87,20735.9,1.6438,37.9741,5461,37.2403,227
290000,2,720,6.51,0.06,0.00,0.03,6.42,0.00,1.02,0.000,0.054,361836.3,3798.6,2,41,2.49,1.01,1.03,0.4573,7.39,275.6,3.4917,35.4838,5461,37.2403,68
