step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees
10000,0,717,8.10,0.03,0.00,0.02,8.06,0.00,1.01,0.000,0.067,442820.3,28949.2,5,104,2.75,1.00,1.01,4.2558,5.05,98951.6,0.0107,38.9194,5462,9.3482,4
10000,1,702,8.46,0.02,0.00,0.03,8.40,0.00,1.01,0.000,0.068,439462.8,29077.7,5,104,2.77,1.00,1.00,4.2466,5.91,32235.5,0.7222,38.5916,5461,19.3616,6
10000,2,687,8.59,0.00,0.01,0.01,8.57,0.00,1.00,0.000,0.068,428436.9,27698.0,5,72,2.87,1.00,1.00,4.1032,4.01,4097.2,2.0515,37.6292,5461,33.6062,4
20000,0,682,8.49,0.04,0.01,0.00,8.45,0.00,1.01,0.000,0.066,378106.8,3795.6,3,105,2.99,1.00,1.01,0.4241,4.03,100060.8,0.0000,36.7229,5462,8.2304,2
20000,1,707,8.38,0.06,0.00,0.09,8.23,0.00,1.02,0.000,0.068,377010.5,3761.1,3,105,2.95,1.01,1.02,0.4220,2.55,31582.6,0.4124,36.5653,5461,17.0464,1
20000,2,671,8.53,0.00,0.00,0.01,8.52,0.00,1.00,0.000,0.065,376158.9,3633.7,4,85,2.99,1.00,1.00,0.4072,4.62,3843.3,0.1203,36.5555,5461,29.5878,3
30000,0,701,7.89,0.01,0.01,0.02,7.86,0.00,1.00,0.000,0.064,374771.5,3772.6,2,97,2.89,1.00,1.00,0.4212,6.59,100133.7,0.0000,36.3840,5462,8.1588,4
30000,1,718,7.99,0.05,0.02,0.04,7.87,0.00,1.01,0.000,0.065,372142.9,3783.5,2,124,2.90,1.00,1.01,0.4220,8.60,31631.0,0.3736,36.1323,5461,16.8981,3
30000,2,692,7.90,0.01,0.00,0.01,7.89,0.00,1.00,0.000,0.063,374675.0,3863.1,2,84,2.89,1.00,1.00,0.4317,1.35,3844.0,0.1208,36.3786,5461,29.3304,0
40000,0,715,7.91,0.01,0.02,0.03,7.85,0.00,1.00,0.000,0.065,376400.8,3746.0,2,105,2.88,1.00,1.00,0.4162,1.81,100108.3,0.0000,36.4799,5462,8.1734,0
40000,1,693,7.91,0.02,0.00,0.03,7.86,0.00,1.01,0.000,0.063,373686.7,3630.3,2,113,2.85,1.00,1.01,0.4023,2.09,31631.0,0.3490,36.2409,5461,16.9285,3
40000,2,700,8.01,0.00,0.01,0.03,7.96,0.00,1.00,0.000,0.064,375063.0,3701.3,2,89,2.90,1.00,1.00,0.4119,5.53,3857.4,0.0966,36.3739,5461,29.3831,1
50000,0,707,7.92,0.01,0.00,0.01,7.89,0.00,1.01,0.000,0.064,376627.9,3688.2,2,122,2.85,1.00,1.00,0.4096,3.52,100116.7,0.0000,36.5153,5462,8.1869,0
50000,1,708,7.91,0.03,0.01,0.04,7.83,0.00,1.01,0.000,0.064,374007.6,3728.7,2,114,2.85,1.01,1.01,0.4145,2.06,31632.2,0.3384,36.2819,5461,16.9565,1
