step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees
10000,0,692,8.81,0.00,0.00,0.05,8.76,0.00,1.00,0.000,0.070,437978.0,25740.5,1,122,2.84,1.00,1.00,3.8815,5.05,108169.1,0.0014,38.3770,5462,40.5688,17
10000,1,666,8.89,0.00,0.03,0.04,8.82,0.00,1.00,0.000,0.068,433170.8,25933.8,1,128,2.81,1.00,1.00,3.8633,4.59,26862.0,0.5539,37.9063,5461,40.5613,14
10000,2,679,8.36,0.00,0.00,0.05,8.31,0.00,1.00,0.000,0.064,412332.6,24338.0,1,103,2.80,1.00,1.00,3.7119,3.52,183.5,3.3243,35.7437,5461,40.5613,2
20000,0,717,8.39,0.00,0.00,0.01,8.37,0.00,1.00,0.000,0.069,382756.1,4035.1,3,99,2.80,1.00,1.00,0.4627,4.96,108605.6,0.0000,37.5615,5462,36.8273,35
20000,1,738,8.29,0.04,0.00,0.01,8.24,0.00,1.01,0.000,0.070,379572.6,4131.9,3,102,2.80,1.00,1.01,0.4741,4.80,26137.5,0.3151,37.2335,5461,36.8206,36
20000,2,685,8.11,0.00,0.00,0.02,8.08,0.00,1.00,0.000,0.064,366686.2,3187.6,2,69,2.84,1.00,1.00,0.3632,4.23,205.5,1.9787,35.8644,5461,36.8206,5
30000,0,660,9.84,0.04,0.01,0.00,9.80,0.00,1.02,0.000,0.075,379477.1,3345.9,1,76,3.13,1.02,1.02,0.3819,2.81,109166.5,0.0000,36.6608,5462,36.0898,15
30000,1,663,9.92,0.00,0.00,0.06,9.85,0.00,1.00,0.000,0.075,378380.2,3644.6,1,71,3.17,1.00,1.00,0.4194,3.55,26020.9,0.3257,36.5645,5461,36.0832,31
30000,2,614,10.04,0.01,0.00,0.04,9.99,0.00,1.00,0.000,0.071,363778.4,2936.7,3,34,3.27,1.00,1.00,0.3364,4.23,185.1,1.8115,35.1338,5461,36.0832,4
40000,0,650,9.98,0.03,0.04,0.02,9.88,0.00,1.01,0.000,0.074,371859.6,3508.6,1,66,3.22,1.00,1.01,0.3985,6.07,108792.4,0.0000,36.0529,5462,35.3329,28
40000,1,626,10.08,0.00,0.00,0.00,10.07,0.00,1.00,0.000,0.072,367678.5,3597.0,1,61,3.29,1.00,1.00,0.4088,6.61,26155.4,0.3119,35.7192,5461,35.3265,40
40000,2,612,10.24,0.06,0.02,0.03,10.12,0.00,1.03,0.000,0.071,353718.2,3075.2,1,41,3.33,1.02,1.03,0.3502,5.00,195.9,1.5637,34.3753,5461,35.3265,10
50000,0,626,10.08,0.02,0.00,0.08,9.97,0.00,1.00,0.000,0.073,369571.7,3787.6,1,69,3.33,1.00,1.01,0.4307,6.17,108889.2,0.0000,35.9423,5462,35.2224,38
50000,1,648,10.10,0.01,0.02,0.00,10.08,0.00,1.00,0.000,0.074,366555.5,3745.7,1,79,3.27,1.00,1.00,0.4248,4.40,26110.3,0.3395,35.6405,5461,35.2159,30
