step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees
10000,0,312,6.39,0.00,0.02,0.06,6.32,0.00,1.00,0.000,0.023,254120.1,26627.4,1,124,2.24,1.00,1.00,4.0669,10.26,135.2,26.0364,20.8150,5462,12.2878,12
10000,1,591,6.54,0.01,0.05,0.05,6.43,0.00,1.00,0.000,0.044,338489.4,26511.8,1,60,2.24,1.00,1.00,3.9854,11.65,472.9,15.3497,28.7985,5461,25.4500,6
10000,2,775,7.06,0.01,0.07,0.09,6.89,0.00,1.00,0.000,0.063,412170.3,29838.2,1,89,2.33,1.00,1.00,4.3805,14.41,1758.6,5.6768,36.1864,5461,44.1740,12
20000,0,317,6.47,0.00,0.00,0.08,6.39,0.00,1.00,0.000,0.023,148089.8,1883.4,1,117,2.41,1.00,1.00,0.2534,5.27,151.7,33.5642,14.6780,5462,12.2890,3
20000,1,622,6.42,0.00,0.02,0.05,6.35,0.00,1.00,0.000,0.046,296081.4,4475.3,1,49,2.32,1.00,1.00,0.5278,5.30,519.2,13.3849,29.1737,5461,25.4526,9
20000,2,778,6.76,0.00,0.04,0.07,6.65,0.00,1.00,0.000,0.060,394075.9,7409.7,1,77,2.35,1.00,1.00,0.8557,7.84,1850.2,0.9681,38.3148,5461,44.1785,13
30000,0,343,6.89,0.00,0.01,0.00,6.87,0.00,1.00,0.000,0.027,161165.3,1846.7,3,154,2.96,1.00,1.00,0.2378,5.66,406.0,30.1220,15.9366,5462,12.2890,2
30000,1,604,7.02,0.00,0.00,0.00,7.01,0.00,1.00,0.000,0.049,297947.4,3737.9,3,45,3.00,1.00,1.00,0.4359,5.78,827.4,10.7715,29.3207,5461,25.4526,3
30000,2,686,7.81,0.00,0.10,0.02,7.69,0.00,1.00,0.000,0.061,378049.6,5408.9,3,56,3.05,1.00,1.00,0.6119,5.33,2243.4,0.5163,36.7535,5461,44.1785,5
40000,0,371,6.50,0.00,0.09,0.02,6.39,0.00,1.00,0.000,0.028,175281.3,1830.8,2,156,2.94,1.00,1.00,0.2297,4.32,468.4,27.6091,17.3179,5462,12.2890,20
40000,1,598,6.43,0.00,0.02,0.01,6.40,0.00,1.00,0.000,0.044,297680.8,3146.8,2,27,2.94,1.00,1.00,0.3608,2.72,861.8,9.2467,29.2623,5461,25.4526,3
40000,2,735,6.95,0.00,0.03,0.01,6.91,0.00,1.00,0.000,0.058,364071.9,4714.8,2,71,3.02,1.00,1.00,0.5294,4.75,2295.5,0.2882,35.4761,5461,44.1785,6
50000,0,366,6.37,0.00,0.00,0.00,6.37,0.00,1.00,0.000,0.026,175587.5,1764.2,2,173,2.92,1.00,1.00,0.2217,6.88,417.8,27.5414,17.3342,5462,12.2890,3
50000,1,613,6.40,0.00,0.01,0.00,6.39,0.00,1.00,0.000,0.045,297960.1,3097.3,1,29,2.96,1.00,1.00,0.3570,4.19,849.2,9.1756,29.2697,5461,25.4526,2
50000,2,724,6.74,0.00,0.00,0.05,6.69,0.00,1.00,0.000,0.056,364715.5,4638.8,1,74,2.95,1.00,1.00,0.5249,4.42,2258.6,0.2764,35.4794,5461,44.1785,7
60000,0,350,6.18,0.00,0.00,0.01,6.17,0.00,1.00,0.000,0.025,173364.6,1656.0,2,151,2.91,1.00,1.00,0.2071,2.33,393.6,27.7855,17.1267,5462,12.2890,2
60000,1,632,6.25,0.00,0.02,0.02,6.21,0.00,1.00,0.000,0.045,297892.6,3241.6,1,39,2.89,1.00,1.00,0.3754,4.87,806.4,9.2495,29.2722,5461,25.4526,4
60000,2,742,6.57,0.00,0.00,0.02,6.55,0.00,1.00,0.000,0.056,367187.9,4538.7,1,72,2.93,1.00,1.00,0.5145,9.10,2231.9,0.2716,35.6837,5461,44.1785,8
70000,0,373,6.32,0.00,0.00,0.00,6.32,0.00,1.00,0.000,0.027,172173.7,1603.2,1,170,2.95,1.00,1.00,0.2030,3.44,400.1,27.9963,17.0043,5462,12.2890,3
70000,1,617,6.42,0.00,0.00,0.01,6.40,0.00,1.00,0.000,0.045,298147.4,3082.7,1,36,2.89,1.00,1.00,0.3566,4.35,787.1,9.3212,29.2837,5461,25.4526,3
70000,2,726,6.48,0.00,0.02,0.00,6.46,0.00,1.00,0.000,0.054,368395.2,4483.6,1,81,2.88,1.00,1.00,0.5078,7.14,2230.4,0.2703,35.7839,5461,44.1785,10
80000,0,365,6.37,0.00,0.01,0.02,6.34,0.00,1.00,0.000,0.027,171906.7,1595.1,1,180,2.91,1.00,1.00,0.2008,3.57,406.8,28.0338,16.9799,5462,12.2890,1
80000,1,591,6.24,0.00,0.01,0.00,6.22,0.00,1.00,0.000,0.042,298067.6,2974.9,1,35,2.89,1.00,1.00,0.3433,3.84,793.6,9.3131,29.2738,5461,25.4526,3
80000,2,784,6.56,0.00,0.04,0.00,6.53,0.00,1.00,0.000,0.059,368880.0,4490.3,1,67,2.84,1.00,1.00,0.5089,3.20,2199.6,0.2906,35.8154,5461,44.1785,4
90000,0,354,6.23,0.00,0.01,0.00,6.23,0.00,1.00,0.000,0.025,172160.6,1639.4,1,155,2.93,1.00,1.00,0.2069,2.87,387.6,28.0194,17.0047,5462,12.2890,8
