step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten
110000,2154,1.409,0.045,10.99,46285,43082,916,0,2311,3,1065775.1,10895.1,0.006,0.513,0.014,0.467,200,7.42,1.61,0.03,0.78,0.01,0.11,0.02,0.31,7.36,1.33,0.00,0.00,0.001,0.018,86,0.481,0.234,0.761,0.000,0.005,10589,4606,3,0.603,0.009,0.006,137789,0.147,0.061,0.000,108.80,17838,0,3631.710,0.000,0.000,1068276,1.01,15.36,0.000,0.000,0.000,7,7,8,41,15988,0.061,0.00,0.0067,0.097,739,0.095,0.000,0.148,0.000,2.86,1.08,7.81,0.00,0.000,1.01,1.01,1.02,0.095,0.00346,54.63,1.2147,11.28,135592.1,139738.1,0.403,0.1253,108.671,584.883,0.992,0.440,54.0,54.335,6.110,2,2.5,1.32,0.192
120000,2174,1.359,0.046,10.98,46683,43381,875,0,2407,0,1064572.9,10879.1,0.006,0.513,0.013,0.468,202,7.37,1.40,0.04,0.55,0.01,0.12,0.03,0.44,7.30,1.16,0.00,0.00,0.001,0.011,88,0.520,0.238,0.757,0.000,0.005,10601,4976,3,0.664,0.034,0.006,140792,0.153,0.061,0.000,108.68,17458,0,10879.130,0.000,0.000,1104671,1.01,15.46,0.000,0.000,0.000,7,7,8,29,16029,0.061,0.00,0.0067,0.105,734,0.098,0.000,0.149,0.000,2.84,1.09,7.81,0.00,0.000,1.01,1.01,1.04,0.098,0.00340,54.75,1.2123,9.43,135651.1,139738.2,0.411,0.1243,108.562,584.276,0.995,0.440,54.4,54.281,6.136,2,2.6,1.45,0.189
130000,2179,1.373,0.046,10.99,46984,43676,861,0,2442,0,1062084.5,10923.0,0.006,0.520,0.012,0.463,202,7.35,1.58,0.04,0.82,0.01,0.20,0.03,0.32,7.27,1.37,0.00,0.00,0.001,0.019,90,0.570,0.243,0.755,0.000,0.002,11066,6230,5,0.732,0.065,0.010,152794,0.148,0.095,0.000,108.54,17456,0,10922.990,0.000,0.000,1176453,1.02,15.52,0.000,0.000,0.000,7,7,8,41,16014,0.061,0.00,0.0067,0.103,730,0.103,0.000,0.150,0.000,2.88,1.12,7.84,0.00,0.001,1.01,1.01,1.02,0.103,0.00340,54.89,1.2202,14.55,135612.0,139738.3,0.410,0.1272,108.407,583.367,0.994,0.440,54.7,54.203,6.172,4,15.5,7.92,0.200
140000,2185,1.372,0.047,11.04,47036,43744,877,0,2409,0,1062329.2,10914.8,0.006,0.518,0.012,0.465,201,7.33,1.65,0.02,0.35,0.01,0.09,0.03,0.57,7.27,1.34,0.00,0.00,0.001,0.024,92,0.524,0.251,0.744,0.000,0.005,11079,6145,6,0.670,0.014,0.007,146588,0.142,0.075,0.000,108.54,18187,0,10914.827,0.000,0.000,1160054,1.01,15.54,0.000,0.000,0.000,7,7,8,52,16011,0.061,0.00,0.0067,0.107,725,0.102,0.000,0.150,0.000,2.85,1.09,7.82,0.00,0.000,1.01,1.01,1.01,0.102,0.00338,54.89,1.2177,12.71,135602.8,139738.4,0.408,0.1263,108.412,582.802,0.993,0.440,54.6,54.206,6.156,9,16.6,3.72,0.196
150000,2173,1.353,0.046,11.10,46640,43471,877,0,2304,0,1062280.9,10746.4,0.006,0.517,0.012,0.465,198,7.38,1.60,0.04,0.78,0.01,0.19,0.01,0.10,7.32,1.45,0.00,0.00,0.001,0.019,97,0.497,0.243,0.749,0.000,0.008,10910,5085,6,0.638,0.000,0.005,144619,0.123,0.064,0.000,108.51,18291,0,10746.353,0.000,0.000,1156588,1.02,15.45,0.000,0.000,0.000,7,7,8,46,16028,0.061,0.00,0.0067,0.099,718,0.102,0.000,0.150,0.000,2.87,1.09,7.85,0.00,0.001,1.01,1.02,1.03,0.102,0.00340,54.93,1.1993,11.78,135672.2,139738.5,0.400,0.1246,108.387,583.354,0.992,0.440,54.4,54.194,6.152,5,6.1,1.40,0.192
160000,2181,1.366,0.045,11.14,46092,43059,917,0,2108,1,1060856.2,10485.4,0.005,0.518,0.013,0.464,200,7.33,1.45,0.04,0.56,0.01,0.13,0.02,0.33,7.26,1.28,0.00,0.00,0.001,0.013,90,0.508,0.237,0.757,0.000,0.006,10796,4478,7,0.638,0.000,0.006,159999,0.103,0.083,0.000,108.43,18166,0,10485.438,0.000,0.000,1161485,1.02,15.51,0.000,0.000,0.000,7,7,8,35,15988,0.061,0.00,0.0067,0.103,707,0.102,0.000,0.148,0.000,2.87,1.09,7.89,0.00,0.001,1.02,1.02,1.03,0.102,0.00339,55.00,1.1693,8.20,135646.7,139738.7,0.410,0.1210,108.304,582.037,0.991,0.440,54.3,54.152,6.116,6,15.7,5.67,0.186
170000,2190,1.344,0.045,11.26,45679,42646,989,0,2035,2,1058609.2,10377.7,0.004,0.523,0.014,0.459,201,7.22,1.32,0.04,0.69,0.01,0.11,0.02,0.26,7.15,1.14,0.00,0.00,0.001,0.016,87,0.496,0.266,0.729,0.000,0.005,10912,4688,4,0.614,0.024,0.007,155189,0.096,0.090,0.000,108.32,17863,0,5188.872,0.000,0.000,1193258,1.02,15.71,0.000,0.000,0.000,7,7,8,30,15811,0.060,0.00,0.0068,0.098,730,0.104,0.000,0.147,0.000,2.88,1.09,7.88,0.00,0.001,1.01,1.02,1.03,0.104,0.00338,55.10,1.1579,12.05,135684.9,139738.8,0.423,0.1196,108.200,581.594,0.993,0.440,54.4,54.100,6.090,5,14.8,8.00,0.183
180000,2154,1.356,0.047,11.24,45930,42999,962,0,2005,0,1055833.2,10259.1,0.004,0.525,0.014,0.457,201,7.27,1.32,0.07,0.97,0.02,0.27,0.01,0.21,7.17,1.07,0.00,0.00,0.003,0.042,87,0.502,0.250,0.742,0.000,0.008,11256,5219,5,0.652,0.000,0.007,172724,0.084,0.069,0.000,108.16,17643,0,10259.051,0.000,0.000,1242328,1.02,15.63,0.000,0.000,0.000,7,7,8,28,15657,0.060,0.00,0.0068,0.104,717,0.107,0.000,0.145,0.000,2.89,1.10,7.91,0.00,0.002,1.01,1.02,1.04,0.107,0.00341,55.26,1.1444,12.51,135686.9,139738.9,0.419,0.1183,108.043,580.882,0.991,0.440,53.7,54.021,6.067,4,8.0,3.96,0.171
190000,2155,1.377,0.045,11.13,45991,43035,928,0,2027,1,1056456.1,10344.5,0.003,0.522,0.014,0.460,199,7.25,1.46,0.06,1.00,0.01,0.11,0.01,0.17,7.17,1.07,0.00,0.00,0.001,0.011,78,0.610,0.235,0.759,0.000,0.006,11079,5731,5,0.791,0.014,0.005,142604,0.090,0.061,0.000,108.17,17743,0,10344.529,0.000,0.000,1228814,1.02,15.67,0.000,0.000,0.000,7,7,8,38,15618,0.060,0.00,0.0068,0.114,719,0.107,0.000,0.146,0.000,2.88,1.10,7.91,0.00,0.001,1.01,1.02,1.03,0.107,0.00340,55.25,1.1525,11.62,135661.7,139739.1,0.419,0.1181,108.052,581.074,0.994,0.440,53.8,54.026,6.092,4,4.8,1.30,0.184
200000,2195,1.373,0.045,11.09,47008,43693,893,0,2382,0,1055419.0,10777.1,0.004,0.521,0.014,0.461,198,7.16,1.38,0.03,0.51,0.02,0.47,0.01,0.15,7.11,1.21,0.00,0.00,0.001,0.025,77,0.580,0.248,0.750,0.000,0.002,11087,6727,4,0.854,0.000,0.004,107442,0.085,0.084,0.000,108.12,18322,0,10777.132,0.000,0.000,1255504,1.01,15.81,0.000,0.000,0.000,7,7,8,35,15721,0.060,0.00,0.0068,0.098,734,0.109,0.000,0.146,0.000,2.87,1.09,7.89,0.00,0.001,1.00,1.01,1.02,0.109,0.00331,55.30,1.2053,10.84,135626.3,139739.2,0.428,0.1275,107.984,580.908,0.993,0.440,54.4,53.992,6.163,5,13.5,7.41,0.214
210000,2190,1.340,0.045,11.05,47027,43779,888,0,2365,0,1054514.2,10750.7,0.004,0.520,0.014,0.462,202,7.19,1.22,0.04,0.53,0.01,0.28,0.01,0.13,7.13,1.08,0.00,0.00,0.000,0.014,76,0.587,0.242,0.755,0.000,0.003,11123,6819,4,0.912,0.000,0.005,80972,0.085,0.097,0.000,108.06,18377,0,10750.667,0.000,0.000,1256813,1.02,15.75,0.000,0.000,0.000,7,7,8,38,15738,0.060,0.00,0.0068,0.096,720,0.110,0.000,0.147,0.000,2.89,1.09,7.92,0.00,0.001,1.01,1.02,1.03,0.110,0.00330,55.35,1.2014,13.26,135699.3,139739.4,0.428,0.1260,107.937,580.967,0.993,0.440,54.1,53.969,6.185,7,19.7,8.00,0.226
220000,2172,1.353,0.046,11.02,47100,43782,912,0,2424,0,1054026.9,10797.1,0.004,0.520,0.014,0.463,202,7.17,1.29,0.06,0.75,0.00,0.17,0.00,0.09,7.11,1.07,0.00,0.00,0.000,0.008,66,0.639,0.238,0.757,0.000,0.006,11217,6834,4,0.969,0.000,0.002,66209,0.083,0.093,0.000,108.03,18479,0,10797.113,0.000,0.000,1278206,1.02,15.81,0.000,0.000,0.000,7,7,8,31,15575,0.059,0.00,0.0068,0.096,721,0.111,0.000,0.147,0.000,2.88,1.09,7.92,0.00,0.001,1.01,1.02,1.03,0.111,0.00332,55.39,1.2075,10.65,135687.6,139739.5,0.426,0.1279,107.897,580.877,0.992,0.440,53.7,53.948,6.214,5,15.5,8.00,0.231
230000,2206,1.354,0.045,11.00,47517,43934,901,0,2648,0,1053897.2,11136.4,0.004,0.521,0.014,0.462,202,7.19,1.53,0.07,0.99,0.01,0.46,0.00,0.05,7.10,1.09,0.00,0.00,0.001,0.020,64,0.605,0.245,0.752,0.000,0.004,11302,7068,3,0.984,0.000,0.003,50321,0.084,0.066,0.000,108.02,18738,0,11136.422,0.000,0.000,1291027,1.03,15.81,0.000,0.000,0.000,7,7,8,35,15854,0.060,0.00,0.0067,0.095,731,0.112,0.000,0.146,0.000,2.90,1.09,7.93,0.00,0.001,1.01,1.03,1.04,0.112,0.00326,55.40,1.2481,12.37,135641.2,139739.7,0.420,0.1341,107.879,580.419,0.991,0.440,54.6,53.940,6.227,9,11.6,2.50,0.244
240000,2168,1.380,0.045,10.99,47156,43812,861,0,2521,4,1052886.6,10918.6,0.004,0.522,0.014,0.460,200,7.15,1.41,0.04,0.78,0.00,0.07,0.01,0.19,7.10,0.99,0.00,0.00,0.001,0.022,54,0.596,0.231,0.766,0.000,0.004,11267,6906,2,0.998,0.002,0.001,37861,0.085,0.063,0.000,107.97,18577,0,2729.649,0.000,0.000,1302736,1.01,15.83,0.000,0.000,0.000,7,7,8,38,15497,0.059,0.00,0.0068,0.099,711,0.113,0.000,0.146,0.000,2.90,1.09,7.93,0.00,0.000,1.00,1.01,1.02,0.113,0.00333,55.44,1.2229,14.43,135651.3,139739.8,0.438,0.1307,107.836,580.412,0.994,0.440,53.6,53.918,6.215,6,7.7,1.44,0.238
250000,2166,1.370,0.046,10.98,47343,43866,844,0,2635,0,1052881.1,10993.5,0.004,0.522,0.014,0.460,201,7.15,1.43,0.06,0.80,0.00,0.07,0.01,0.16,7.08,1.14,0.00,0.00,0.000,0.008,68,0.581,0.229,0.766,0.000,0.005,11348,6806,1,1.000,0.000,0.002,34648,0.083,0.063,0.000,107.97,18726,0,10993.498,0.000,0.000,1303413,1.02,15.87,0.000,0.000,0.000,7,7,8,32,15490,0.059,0.00,0.0069,0.096,716,0.113,0.000,0.145,0.000,2.89,1.10,7.89,0.00,0.001,1.01,1.02,1.04,0.113,0.00332,55.45,1.2323,11.57,135648.6,139739.9,0.419,0.1330,107.835,580.361,0.994,0.440,53.8,53.918,6.231,3,4.3,1.60,0.254
260000,2172,1.378,0.046,10.99,47372,43874,875,0,2617,0,1052807.5,11031.9,0.004,0.518,0.014,0.463,202,7.12,1.08,0.03,0.51,0.00,0.05,0.00,0.06,7.09,0.92,0.00,0.00,0.000,0.005,60,0.581,0.238,0.760,0.000,0.003,11125,5929,1,1.000,0.000,0.002,28651,0.094,0.070,0.000,107.93,18811,0,11031.878,0.000,0.000,1274948,1.01,15.84,0.000,0.000,0.000,7,7,8,27,15473,0.059,0.00,0.0068,0.094,722,0.111,0.000,0.145,0.000,2.87,1.08,7.94,0.00,0.000,1.00,1.01,1.02,0.111,0.00330,55.47,1.2368,16.44,135634.4,139740.1,0.432,0.1330,107.799,580.255,0.992,0.440,53.7,53.899,6.229,8,11.9,2.83,0.244
270000,2184,1.320,0.044,10.98,47281,43732,923,0,2614,0,1052749.9,11066.8,0.004,0.522,0.014,0.461,200,7.21,1.69,0.06,0.75,0.01,0.29,0.01,0.29,7.13,1.29,0.00,0.00,0.001,0.015,72,0.537,0.236,0.762,0.000,0.002,11277,5556,1,1.000,0.000,0.002,29673,0.090,0.071,0.000,107.98,18927,0,11066.766,0.000,0.000,1290511,1.02,15.79,0.000,0.000,0.000,7,7,8,38,15755,0.060,0.00,0.0068,0.105,726,0.112,0.000,0.145,0.000,2.89,1.11,7.93,0.00,0.001,1.01,1.02,1.03,0.112,0.00330,55.43,1.2390,9.89,135760.5,139740.2,0.430,0.1328,107.856,580.252,0.993,0.440,54.3,53.928,6.203,3,8.7,4.06,0.238
