step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten
10000,2037,1.462,0.066,7.28,62877,60535,118,1,1623,2402,1212797.0,75909.5,0.021,0.608,0.143,0.229,175,8.69,2.09,0.00,0.00,0.01,0.43,0.05,0.86,8.63,1.88,0.00,0.00,0.001,0.027,96,0.256,0.263,0.734,0.000,0.003,53128,43662,1,0.423,0.577,0.006,828742,0.135,0.253,0.001,112.03,25702,2,31.603,1.000,0.000,1898719,1.00,15.04,0.000,0.000,0.000,7,8,11,42,17696,0.068,1.50,0.0069,0.123,679,0.161,0.000,0.145,0.281,2.81,2.21,6.28,0.00,0.000,1.00,1.00,1.00,0.161,0.00574,46.43,11.4568,13.16,135214.6,139737.3,3.880,3.8570,121.702,362.586,0.924,0.418,109.5,121.691,25.029,33,148.7,8.00,32.593
20000,2140,1.461,0.073,7.89,52701,50386,353,0,1859,0,1097155.0,11347.7,0.006,0.537,0.253,0.203,198,8.27,1.65,0.01,0.57,0.00,0.00,0.02,0.31,8.23,1.50,0.00,0.00,0.000,0.000,85,0.421,0.261,0.736,0.000,0.002,14600,7562,3,0.633,0.248,0.004,141715,0.131,0.324,0.002,110.66,12942,0,11347.686,0.000,0.000,1273753,1.00,15.16,0.000,0.000,0.000,8,8,10,41,17688,0.067,0.10,0.0062,0.094,685,0.110,0.000,0.151,0.001,2.81,2.53,5.89,0.00,0.000,1.00,1.01,1.00,0.110,0.00390,50.78,1.3000,13.99,134948.7,139737.5,2.294,0.1642,110.469,62.508,0.938,0.414,112.0,110.469,10.415,76,290.8,8.00,2.941
30000,1937,1.531,0.055,8.11,40929,39197,674,0,1261,0,1077390.6,9923.4,0.001,0.412,0.496,0.091,198,9.93,1.74,0.02,0.57,0.00,0.14,0.04,0.73,9.88,1.60,0.00,0.00,0.000,0.015,73,0.324,0.228,0.769,0.000,0.003,7126,4700,3,0.993,0.000,0.004,75341,0.137,0.270,0.001,108.36,10309,0,9923.352,0.000,0.000,525390,1.01,13.06,0.000,0.000,0.000,8,10,11,42,19241,0.073,0.04,0.0056,0.076,614,0.062,0.000,0.094,0.000,3.19,2.82,6.66,0.00,0.000,1.01,1.01,1.01,0.062,0.00363,53.30,1.1377,10.59,135372.5,139737.6,2.137,0.1451,108.256,59.453,0.931,0.414,106.9,108.256,9.533,50,194.3,8.00,2.717
40000,1888,1.598,0.067,8.09,36949,35216,826,0,956,0,1067909.4,10175.6,0.001,0.363,0.613,0.024,197,10.10,1.65,0.03,0.81,0.02,0.35,0.02,0.35,10.02,1.46,0.00,0.00,0.002,0.030,82,0.269,0.240,0.756,0.000,0.004,4692,3873,1,1.000,0.000,0.005,75090,0.140,0.350,0.002,106.15,9532,0,10175.606,0.000,0.000,371822,1.01,12.39,0.000,0.000,0.000,9,10,11,31,19062,0.073,0.03,0.0056,0.067,612,0.053,0.000,0.077,0.000,3.28,2.67,7.16,0.00,0.000,1.01,1.01,1.02,0.053,0.00353,55.79,1.1575,17.69,135143.7,139737.6,1.876,0.1386,105.986,57.617,0.940,0.414,105.4,105.986,8.758,78,331.9,8.00,2.440
50000,1886,1.570,0.067,8.10,40214,38412,553,0,1251,1,1067574.5,10628.4,0.001,0.387,0.581,0.031,197,10.10,2.12,0.01,0.25,0.01,0.17,0.03,0.67,10.05,2.06,0.00,0.00,0.001,0.028,93,0.375,0.247,0.749,0.000,0.004,5536,4118,1,1.000,0.000,0.005,68689,0.142,0.388,0.003,105.79,10639,0,10628.447,0.000,0.000,509636,1.00,12.02,0.000,0.000,0.000,9,10,11,51,19056,0.073,0.05,0.0056,0.078,612,0.068,0.000,0.088,0.000,3.29,2.48,7.57,0.00,0.000,1.00,1.00,1.00,0.068,0.00368,55.90,1.2061,13.43,135192.7,139737.7,2.099,0.1430,105.654,60.704,0.934,0.414,105.3,105.654,9.267,76,381.2,8.00,2.810
60000,1879,1.557,0.064,8.32,43228,41446,422,0,1367,2,1066477.8,11117.0,0.002,0.413,0.550,0.035,199,9.73,1.96,0.00,0.18,0.01,0.17,0.01,0.29,9.70,1.90,0.00,0.00,0.001,0.011,85,0.343,0.246,0.753,0.000,0.001,6251,4338,1,1.000,0.000,0.002,65811,0.146,0.331,0.002,105.64,11641,0,5558.494,0.000,0.000,648057,1.00,12.22,0.000,0.000,0.000,9,10,11,37,18281,0.070,0.07,0.0058,0.078,606,0.081,0.000,0.099,0.000,3.31,2.30,7.68,0.00,0.000,1.00,1.00,1.00,0.081,0.00384,55.98,1.2574,16.37,135296.7,139737.8,2.144,0.1446,105.509,60.121,0.922,0.414,104.4,105.509,9.262,62,280.9,8.04,2.858
70000,1948,1.491,0.059,8.65,45201,43245,383,0,1504,0,1064312.4,11155.3,0.002,0.435,0.532,0.031,197,9.27,2.42,0.02,0.68,0.02,0.32,0.03,1.09,9.20,1.88,0.00,0.00,0.001,0.017,93,0.355,0.248,0.749,0.000,0.003,6759,4401,1,1.000,0.000,0.002,49150,0.138,0.300,0.002,105.64,13108,0,11155.307,0.000,0.000,763327,1.00,12.73,0.000,0.000,0.000,7,9,11,58,18058,0.069,0.07,0.0059,0.085,630,0.089,0.000,0.108,0.000,3.21,2.21,7.63,0.00,0.000,1.00,1.01,1.00,0.089,0.00375,56.05,1.2615,13.98,135401.8,139737.9,2.085,0.1455,105.503,57.502,0.928,0.414,105.8,105.503,8.758,47,226.3,8.00,2.437
80000,1995,1.428,0.057,8.90,46583,44547,402,0,1587,2,1064632.1,10985.2,0.002,0.445,0.532,0.022,195,8.69,2.26,0.03,0.63,0.05,0.70,0.01,0.30,8.60,1.89,0.00,0.00,0.003,0.049,98,0.466,0.252,0.746,0.000,0.002,6854,4060,1,1.000,0.000,0.002,41989,0.139,0.267,0.001,105.68,14246,0,5492.614,0.000,0.000,792130,1.01,13.34,0.000,0.000,0.000,7,9,10,46,17333,0.066,0.06,0.0062,0.083,642,0.089,0.000,0.113,0.000,3.17,2.14,7.56,0.00,0.001,1.00,1.01,1.01,0.089,0.00360,56.18,1.2428,17.41,135493.8,139738.0,1.930,0.1434,105.543,57.650,0.933,0.415,105.9,105.543,8.082,44,186.9,7.95,1.834
90000,2018,1.423,0.063,9.10,47622,45523,430,0,1646,0,1060683.5,10898.1,0.001,0.448,0.532,0.018,192,8.39,2.46,0.04,1.11,0.03,0.60,0.01,0.40,8.32,1.88,0.00,0.00,0.001,0.023,89,0.338,0.253,0.744,0.000,0.003,7281,4049,1,1.000,0.000,0.001,38007,0.123,0.345,0.002,105.36,15244,0,10898.123,0.000,0.000,856767,1.01,13.73,0.000,0.000,0.000,7,8,9,64,16933,0.065,0.04,0.0063,0.074,672,0.094,0.000,0.114,0.000,3.16,2.12,7.70,0.00,0.000,1.01,1.00,1.01,0.094,0.00347,56.55,1.2332,12.79,135387.4,139738.2,1.891,0.1433,105.202,56.640,0.940,0.415,105.3,105.202,7.814,55,284.8,8.00,1.497
100000,2039,1.396,0.058,9.16,48534,46342,403,0,1768,3,1053365.4,10784.7,0.001,0.445,0.533,0.021,192,8.29,1.71,0.00,0.04,0.01,0.21,0.02,0.78,8.26,1.60,0.00,0.00,0.001,0.020,88,0.489,0.240,0.756,0.000,0.004,7678,4586,1,0.973,0.027,0.002,33750,0.125,0.290,0.002,104.91,15435,0,3594.898,0.000,0.000,956592,1.00,13.83,0.000,0.000,0.000,7,8,10,35,16908,0.064,0.06,0.0063,0.086,670,0.104,0.000,0.111,0.000,3.22,2.12,7.83,0.00,0.000,1.00,1.00,1.00,0.104,0.00331,56.97,1.2243,16.34,135504.8,139738.3,1.907,0.1449,104.779,55.925,0.944,0.414,105.8,104.779,8.114,43,206.5,8.00,1.745
