step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten
10000,2004,1.473,0.055,9.71,72005,69041,214,2,2227,2401,1225537.8,77570.4,0.026,0.540,0.392,0.043,174,8.84,2.00,0.01,0.24,0.02,0.57,0.00,0.05,8.81,1.91,0.00,0.00,0.001,0.024,105,0.320,0.238,0.760,0.000,0.002,62061,49357,1,0.989,0.011,0.001,425674,0.153,0.095,0.000,112.09,33048,116,32.308,0.000,0.000,2320087,1.00,14.13,0.000,0.000,0.000,7,8,11,27,17715,0.068,1.98,0.0069,0.084,687,0.213,0.000,0.247,0.257,2.96,1.59,7.43,0.00,0.000,1.00,1.00,1.00,0.213,0.00478,49.10,11.7110,12.61,135811.5,140074.3,0.671,3.9420,121.739,837.144,0.996,0.476,54.0,60.864,25.748,8,16.9,7.79,35.762
20000,2155,1.376,0.051,10.01,47570,44637,549,0,2233,1,1089049.2,11059.3,0.000,0.521,0.473,0.005,202,7.87,1.46,0.00,0.03,0.00,0.02,0.00,0.00,7.86,1.46,0.00,0.00,0.000,0.001,103,0.539,0.249,0.750,0.000,0.001,13167,3937,3,0.405,0.444,0.000,5195,0.095,0.072,0.000,110.28,18294,0,11059.271,0.000,0.000,1131926,1.00,14.62,0.000,0.000,0.000,7,8,9,26,16950,0.065,0.00,0.0064,0.076,700,0.101,0.000,0.204,0.000,2.90,1.23,7.75,0.00,0.000,1.00,1.00,1.00,0.101,0.00375,53.47,1.2469,11.51,135874.7,140074.4,0.088,0.1409,110.142,533.696,0.998,0.472,55.3,55.071,7.041,7,9.8,2.00,0.226
30000,2129,1.396,0.050,10.30,46782,43989,594,0,2225,2,1075536.6,10558.6,0.000,0.528,0.465,0.007,201,7.83,1.78,0.00,0.00,0.00,0.13,0.00,0.00,7.83,1.72,0.00,0.00,0.000,0.003,85,0.422,0.257,0.741,0.000,0.002,12433,5004,5,0.616,0.017,0.000,4250,0.125,0.074,0.000,109.09,17296,0,5279.279,0.000,0.000,1249010,1.00,14.67,0.000,0.000,0.000,7,8,9,45,16668,0.064,0.00,0.0065,0.084,702,0.110,0.000,0.186,0.000,2.93,1.26,7.89,0.00,0.000,1.00,1.00,1.00,0.110,0.00368,54.67,1.1926,14.62,135899.8,140074.5,0.081,0.1363,108.956,528.041,0.997,0.473,54.6,54.478,6.694,7,12.8,2.85,0.215
40000,2082,1.406,0.050,10.35,45954,43216,642,0,2143,0,1072251.1,10353.0,0.000,0.529,0.463,0.007,205,7.87,1.52,0.00,0.02,0.01,0.24,0.00,0.00,7.87,1.43,0.00,0.00,0.000,0.006,80,0.426,0.242,0.756,0.000,0.002,11930,5378,3,0.594,0.000,0.000,3014,0.148,0.069,0.000,108.71,16843,0,10352.961,0.000,0.000,1241340,1.00,14.52,0.000,0.000,0.000,7,8,9,38,16391,0.063,0.00,0.0065,0.066,701,0.110,0.000,0.181,0.000,2.97,1.32,7.92,0.00,0.000,1.00,1.00,1.00,0.110,0.00376,55.04,1.1694,17.04,135951.0,140074.6,0.093,0.1338,108.578,525.145,0.998,0.472,53.7,54.289,6.589,7,8.6,1.53,0.223
50000,2099,1.409,0.049,10.33,45964,43219,661,0,2067,0,1071794.0,10297.7,0.000,0.525,0.468,0.007,202,7.93,1.85,0.00,0.09,0.01,0.24,0.00,0.00,7.92,1.72,0.00,0.00,0.000,0.007,78,0.395,0.249,0.747,0.000,0.004,11550,4928,2,0.650,0.000,0.000,2226,0.148,0.065,0.000,108.65,17422,0,10297.735,0.000,0.000,1192879,1.00,14.46,0.000,0.000,0.000,7,8,9,47,16648,0.064,0.00,0.0064,0.072,698,0.107,0.000,0.179,0.000,2.97,1.35,7.90,0.00,0.000,1.00,1.00,1.00,0.107,0.00372,55.10,1.1600,9.84,135924.0,140074.8,0.089,0.1308,108.520,523.152,0.999,0.473,54.0,54.260,6.533,3,4.7,2.06,0.197
60000,2106,1.406,0.051,10.19,45946,43211,626,0,2102,0,1069992.4,10258.0,0.000,0.522,0.470,0.008,199,8.01,1.67,0.00,0.02,0.00,0.02,0.00,0.00,8.01,1.66,0.00,0.00,0.000,0.001,81,0.323,0.249,0.748,0.000,0.003,11662,4589,3,0.710,0.003,0.000,2031,0.128,0.093,0.000,108.39,18084,0,10258.029,0.000,0.000,1218986,1.00,14.36,0.000,0.000,0.000,7,8,9,37,16872,0.064,0.00,0.0063,0.072,719,0.110,0.000,0.174,0.000,3.03,1.45,7.92,0.00,0.000,1.00,1.00,1.00,0.110,0.00367,55.36,1.1596,13.33,135877.8,140074.9,0.092,0.1333,108.251,523.169,0.998,0.472,54.4,54.125,6.574,7,18.9,5.45,0.217
70000,2069,1.430,0.049,10.09,46151,43302,636,0,2250,0,1068312.2,10491.0,0.000,0.507,0.485,0.008,199,7.96,1.60,0.00,0.12,0.00,0.00,0.00,0.00,7.96,1.57,0.00,0.00,0.000,0.000,76,0.309,0.244,0.754,0.000,0.002,11338,4135,3,0.801,0.005,0.000,1908,0.095,0.068,0.000,107.88,18360,0,10491.004,0.000,0.000,1157714,1.00,14.37,0.000,0.000,0.000,7,8,9,37,16474,0.063,0.00,0.0065,0.057,696,0.108,0.000,0.167,0.000,3.06,1.63,7.90,0.00,0.000,1.00,1.00,1.00,0.108,0.00363,55.87,1.1885,14.93,135932.4,140075.0,0.092,0.1390,107.742,519.630,0.998,0.472,53.3,53.871,6.604,7,8.8,1.60,0.217
80000,2032,1.400,0.048,10.42,45879,42864,636,0,2416,0,1061351.2,10578.9,0.001,0.463,0.528,0.008,200,8.12,1.84,0.00,0.00,0.00,0.00,0.00,0.00,8.12,1.84,0.00,0.00,0.000,0.000,67,0.542,0.211,0.786,0.000,0.002,9421,4288,3,0.988,0.000,0.000,1655,0.109,0.091,0.000,106.38,17020,0,10578.892,0.000,0.000,895130,1.00,14.09,0.000,0.000,0.000,7,8,9,55,16498,0.063,0.00,0.0064,0.059,680,0.093,0.000,0.144,0.000,3.19,1.95,7.93,0.00,0.000,1.00,1.00,1.00,0.093,0.00343,57.34,1.2192,15.61,136061.3,140075.1,0.117,0.1610,106.235,515.908,0.997,0.473,52.3,53.118,6.632,18,34.4,3.11,0.323
90000,2029,1.421,0.050,10.90,46851,43556,683,0,2615,0,1050431.0,10919.9,0.003,0.434,0.556,0.008,196,8.24,1.57,0.00,0.12,0.00,0.00,0.00,0.00,8.23,1.57,0.00,0.00,0.000,0.000,59,0.690,0.208,0.790,0.000,0.002,7536,5823,1,1.000,0.000,0.000,2073,0.091,0.125,0.000,105.15,16237,0,10919.929,0.000,0.000,739287,1.00,13.86,0.000,0.000,0.000,8,8,9,28,16711,0.064,0.00,0.0063,0.054,671,0.083,0.000,0.127,0.000,3.24,2.03,7.93,0.00,0.000,1.00,1.00,1.00,0.083,0.00325,58.55,1.2891,20.13,135981.9,140075.1,0.135,0.1960,104.946,509.242,0.998,0.471,52.5,52.473,6.804,38,78.8,3.80,0.600
100000,2044,1.396,0.048,11.01,47074,43859,631,0,2569,0,1049915.2,10814.8,0.004,0.440,0.549,0.008,194,8.14,1.49,0.00,0.07,0.00,0.00,0.00,0.00,8.14,1.49,0.00,0.00,0.000,0.000,63,0.696,0.220,0.777,0.000,0.003,7563,6668,1,1.000,0.000,0.000,3245,0.083,0.111,0.000,105.15,16954,0,10814.789,0.000,0.000,736176,1.00,14.02,0.000,0.000,0.000,7,8,9,26,16642,0.063,0.00,0.0063,0.061,693,0.082,0.000,0.126,0.000,3.25,2.02,7.92,0.00,0.000,1.00,1.00,1.00,0.082,0.00328,58.57,1.2797,23.39,136042.6,140075.2,0.130,0.1972,104.954,506.403,0.998,0.471,52.7,52.477,6.828,28,56.4,5.21,0.710
