step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height
100000,8,8,0,0,0,8,0,1.00,14,0.000,2454,0.87,137.00,1.92,1,0,0,0,1.00,1.00,1.00,3,2,8,23.4
100000,9,9,0,0,0,9,0,1.00,12,0.000,2449,1.25,140.08,0.63,1,0,0,0,1.00,1.00,1.00,4,2,8,25.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,2427,1.65,127.95,1.87,1,2,2,0,1.00,1.00,1.00,3,2,8,41.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2425,1.94,133.89,1.70,1,1,1,0,1.00,1.00,1.00,4,2,8,35.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2419,0.92,138.21,1.37,1,1,0,0,1.00,1.00,1.00,3,2,8,26.9
100000,8,8,0,0,0,8,0,1.00,14,0.000,2416,1.21,130.66,1.04,1,2,2,0,1.00,1.00,1.00,3,2,8,51.7
100000,8,8,0,0,0,8,0,1.00,14,0.000,2414,2.31,136.51,1.11,1,0,0,0,1.00,1.00,1.00,3,2,8,12.7
100000,9,9,0,0,0,9,0,1.00,12,0.000,2403,1.39,134.24,0.58,1,1,2,0,1.00,1.00,1.00,3,2,8,37.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2403,0.75,133.22,0.69,1,1,1,0,1.00,1.00,1.00,3,2,8,35.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2402,1.24,135.87,1.64,1,2,1,0,1.00,1.00,1.00,4,2,8,40.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2388,0.45,129.90,1.71,1,2,2,0,1.00,1.00,1.00,3,2,8,42.0
100000,8,8,0,0,0,8,0,1.00,14,0.000,2385,2.05,135.47,1.07,1,2,1,0,1.00,1.00,1.00,3,2,8,40.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2382,1.42,132.52,1.54,1,2,2,0,1.00,1.00,1.00,3,2,8,55.4
100000,8,8,0,0,0,8,0,1.00,14,0.000,2316,0.76,127.42,2.24,1,2,2,0,1.00,1.00,1.00,4,2,8,51.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2316,1.25,130.51,2.20,1,0,0,0,1.00,1.00,1.00,4,2,8,19.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,2307,1.04,129.04,1.45,1,1,2,0,1.00,1.00,1.00,3,2,8,32.9
100000,8,8,0,0,0,8,0,1.00,14,0.000,2297,1.55,128.97,0.69,1,1,1,0,1.00,1.00,1.00,3,2,8,29.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2296,0.73,125.14,1.23,1,2,1,0,1.00,1.00,1.00,3,2,8,41.9
100000,8,8,0,0,0,8,0,1.00,14,0.000,2295,1.16,130.47,1.09,1,0,0,0,1.00,1.00,1.00,4,2,8,21.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2281,0.36,129.78,2.41,1,0,1,0,1.00,1.00,1.00,3,2,8,23.6
100000,7,7,0,0,0,7,0,1.00,16,0.000,2274,0.68,125.91,1.50,1,0,0,0,1.00,1.00,1.00,2,2,8,10.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2272,1.33,130.91,0.95,1,0,0,0,1.00,1.00,1.00,4,2,8,23.7
100000,8,8,0,0,0,8,0,1.00,14,0.000,2267,1.24,128.07,1.27,1,2,2,0,1.00,1.00,1.00,3,2,8,42.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2266,0.85,123.10,1.32,1,1,2,0,1.00,1.00,1.00,3,2,8,32.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,2241,1.87,129.77,0.42,1,0,0,0,1.00,1.00,1.00,3,2,8,15.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2234,1.11,122.11,1.46,1,1,1,0,1.00,1.00,1.00,3,2,8,28.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2225,2.22,115.69,1.33,1,1,1,0,1.00,1.00,1.00,4,2,8,28.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2197,1.06,121.48,0.71,1,2,2,0,1.00,1.00,1.00,3,2,8,43.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2196,2.34,124.17,0.53,1,2,1,0,1.00,1.00,1.00,3,2,8,44.0
100000,7,7,0,0,0,7,0,1.00,16,0.000,2196,2.51,120.02,1.85,1,1,1,0,1.00,1.00,1.00,3,2,8,36.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,2183,0.64,125.15,2.28,1,2,2,0,1.00,1.00,1.00,4,2,8,51.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2175,2.69,119.59,1.63,1,0,1,0,1.00,1.00,1.00,3,2,8,21.0
100000,7,7,0,0,0,7,0,1.00,16,0.000,2171,1.81,120.26,0.94,1,0,0,0,1.00,1.00,1.00,3,2,8,20.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2168,2.18,120.24,1.76,1,2,2,0,1.00,1.00,1.00,3,2,8,44.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,2156,1.16,117.81,1.82,1,2,1,0,1.00,1.00,1.00,4,2,8,43.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2146,2.37,120.77,1.69,1,2,2,0,1.00,1.00,1.00,4,2,8,47.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,2137,2.00,118.84,1.08,1,0,0,0,1.00,1.00,1.00,3,2,8,16.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2134,2.42,117.62,2.66,1,2,1,0,1.00,1.00,1.00,3,2,8,39.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2132,0.94,119.65,1.05,1,2,2,0,1.00,1.00,1.00,3,2,8,52.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2124,1.27,119.24,1.16,1,0,0,0,1.00,1.00,1.00,3,2,8,2.8
100000,12,12,0,0,0,12,0,1.00,12,0.000,2119,2.36,129.23,0.96,1,2,2,0,1.00,1.00,1.00,2,2,8,46.4
100000,8,8,0,0,0,8,0,1.00,14,0.000,2116,1.88,120.58,1.42,1,0,0,0,1.00,1.00,1.00,3,2,8,10.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2105,1.22,116.40,1.32,1,2,1,0,1.00,1.00,1.00,3,2,8,39.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2099,1.77,118.44,1.45,1,2,2,0,1.00,1.00,1.00,3,2,8,43.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2098,2.13,113.53,0.79,1,0,0,0,1.00,1.00,1.00,3,2,8,22.7
100000,8,8,0,0,0,8,0,1.00,14,0.000,2091,1.31,120.30,1.31,1,2,2,0,1.00,1.00,1.00,3,2,8,45.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2086,1.90,117.52,1.96,1,1,2,0,1.00,1.00,1.00,3,2,8,37.8
100000,10,10,0,0,0,10,0,1.00,12,0.000,2084,2.44,124.50,0.82,1,0,1,0,1.00,1.00,1.00,3,2,8,18.5
100000,10,10,0,0,0,10,0,1.00,12,0.000,2073,1.62,126.09,0.63,1,2,2,0,1.00,1.00,1.00,3,2,8,52.4
100000,8,8,0,0,0,8,0,1.00,14,0.000,2072,2.51,112.79,1.31,1,2,2,0,1.00,1.00,1.00,3,2,8,38.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,2069,1.91,115.87,1.64,1,2,2,0,1.00,1.00,1.00,3,2,8,50.5
100000,10,10,0,0,0,10,0,1.00,12,0.000,2063,1.50,120.83,1.10,1,2,2,0,1.00,1.00,1.00,4,2,8,48.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2058,0.63,115.41,1.14,1,1,1,0,1.00,1.00,1.00,3,2,8,32.7
100000,8,8,0,0,0,8,0,1.00,14,0.000,2057,0.53,114.99,2.08,1,2,2,0,1.00,1.00,1.00,3,2,8,51.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,2046,0.45,107.84,0.93,1,2,2,0,1.00,1.00,1.00,4,2,8,50.5
100000,9,9,0,0,0,9,0,1.00,12,0.000,2046,2.39,125.48,1.05,1,0,0,0,1.00,1.00,1.00,4,2,8,23.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,2031,2.16,116.06,1.04,1,0,1,0,1.00,1.00,1.00,3,2,8,24.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,2030,0.28,110.49,1.04,1,2,2,0,1.00,1.00,1.00,2,2,8,48.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,2026,2.67,107.47,1.01,1,2,2,0,1.00,1.00,1.00,3,2,8,51.9
100000,8,8,0,0,0,8,0,1.00,14,0.000,2020,1.89,112.01,1.72,1,1,0,0,1.00,1.00,1.00,3,2,8,26.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,2020,0.87,108.66,0.96,1,2,2,0,1.00,1.00,1.00,4,2,8,44.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,2014,1.06,113.07,1.82,1,0,1,0,1.00,1.00,1.00,2,2,8,24.0
100000,8,8,0,0,0,8,0,1.00,14,0.000,2013,2.15,115.55,1.08,1,2,2,0,1.00,1.00,1.00,3,2,8,56.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,2001,1.65,112.11,1.13,1,0,0,0,1.00,1.00,1.00,4,2,8,22.0
100000,8,8,0,0,0,8,0,1.00,14,0.000,1992,2.42,115.29,0.57,1,1,2,0,1.00,1.00,1.00,2,2,8,32.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,1989,2.65,115.31,0.74,1,1,2,0,1.00,1.00,1.00,4,2,8,34.5
100000,7,7,0,0,0,7,0,1.00,16,0.000,1989,1.35,106.78,1.93,1,0,0,0,1.00,1.00,1.00,3,2,8,17.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,1987,1.64,107.87,1.07,1,0,1,0,1.00,1.00,1.00,3,2,8,20.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,1986,0.56,106.64,1.34,1,0,0,0,1.00,1.00,1.00,3,2,8,6.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,1982,2.08,112.32,1.06,1,2,2,0,1.00,1.00,1.00,4,2,8,51.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,1977,1.34,107.47,0.52,1,1,0,0,1.00,1.00,1.00,3,2,8,27.4
100000,8,8,0,0,0,8,0,1.00,14,0.000,1973,0.80,108.63,1.46,1,2,2,0,1.00,1.00,1.00,3,2,8,50.9
100000,8,8,0,0,0,8,0,1.00,14,0.000,1968,2.60,111.41,0.82,1,0,0,0,1.00,1.00,1.00,4,2,8,17.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,1964,0.79,103.34,0.83,1,2,2,0,1.00,1.00,1.00,4,2,8,51.4
100000,8,8,0,0,0,8,0,1.00,14,0.000,1964,1.99,99.83,0.90,1,1,1,0,1.00,1.00,1.00,3,2,8,30.5
100000,9,9,0,0,0,9,0,1.00,12,0.000,1956,1.02,113.13,1.64,1,1,1,0,1.00,1.00,1.00,3,2,8,29.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,1953,2.61,109.00,1.10,1,1,1,0,1.00,1.00,1.00,3,2,8,32.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,1938,1.36,104.86,0.90,1,2,2,0,1.00,1.00,1.00,4,2,8,54.3
100000,10,10,0,0,0,10,0,1.00,12,0.000,1934,0.61,111.45,1.82,1,0,0,0,1.00,1.00,1.00,3,2,8,17.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,1927,1.26,114.02,0.71,1,0,1,0,1.00,1.00,1.00,3,2,8,19.7
100000,10,10,0,0,0,10,0,1.00,12,0.000,1922,1.76,116.39,1.15,1,1,1,0,1.00,1.00,1.00,4,2,8,34.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,1916,1.58,107.13,0.95,1,2,2,0,1.00,1.00,1.00,2,2,8,50.7
100000,8,8,0,0,0,8,0,1.00,14,0.000,1914,2.52,108.61,1.13,1,0,1,0,1.00,1.00,1.00,3,2,8,25.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,1908,2.08,109.16,0.85,1,0,0,0,1.00,1.00,1.00,3,2,8,25.9
100000,8,8,0,0,0,8,0,1.00,14,0.000,1901,1.49,105.60,1.25,1,0,0,0,1.00,1.00,1.00,4,2,8,24.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,1900,0.92,102.44,1.54,1,2,2,0,1.00,1.00,1.00,4,2,8,48.2
100000,7,7,0,0,0,7,0,1.00,16,0.000,1896,0.26,104.95,1.07,1,1,1,0,1.00,1.00,1.00,3,2,8,31.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,1889,0.95,101.40,1.09,1,1,1,0,1.00,1.00,1.00,3,2,8,26.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,1888,1.95,102.93,0.99,1,1,1,0,1.00,1.00,1.00,4,2,8,33.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,1886,2.17,100.26,1.51,1,1,0,0,1.00,1.00,1.00,3,2,8,28.6
100000,9,9,0,0,0,9,0,1.00,12,0.000,1885,2.05,104.16,1.27,1,1,1,0,1.00,1.00,1.00,3,2,8,32.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,1875,2.06,105.15,0.73,1,1,2,0,1.00,1.00,1.00,4,2,8,33.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,1870,1.07,99.09,1.01,1,2,2,0,1.00,1.00,1.00,4,2,8,42.7
100000,10,10,0,0,0,10,0,1.00,12,0.000,1866,2.39,108.42,1.44,1,1,1,0,1.00,1.00,1.00,5,2,8,33.9
100000,8,8,0,0,0,8,0,1.00,14,0.000,1865,2.08,106.58,1.44,1,2,2,0,1.00,1.00,1.00,3,2,8,49.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,1864,2.68,102.49,0.79,1,2,1,0,1.00,1.00,1.00,3,2,8,41.4
100000,9,9,0,0,0,9,0,1.00,12,0.000,1860,1.78,104.15,0.95,1,1,1,0,1.00,1.00,1.00,2,2,8,34.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,1858,1.17,105.77,0.51,1,1,0,0,1.00,1.00,1.00,4,2,8,27.4
100000,8,8,0,0,0,8,0,1.00,14,0.000,1856,0.51,102.43,1.34,1,2,2,0,1.00,1.00,1.00,4,2,8,52.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,1846,1.62,106.58,1.44,1,2,2,0,1.00,1.00,1.00,4,2,8,41.5
100000,7,7,0,0,0,7,0,1.00,16,0.000,1845,1.83,93.32,1.46,1,0,0,0,1.00,1.00,1.00,3,2,8,15.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,1830,1.34,106.33,1.30,1,1,1,0,1.00,1.00,1.00,3,2,8,31.4
100000,8,8,0,0,0,8,0,1.00,14,0.000,1825,0.75,102.09,0.80,1,2,2,0,1.00,1.00,1.00,3,2,8,44.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,1823,2.56,100.29,0.43,1,2,2,0,1.00,1.00,1.00,3,2,8,49.7
100000,7,7,0,0,0,7,0,1.00,16,0.000,1820,0.93,100.42,0.83,1,1,1,0,1.00,1.00,1.00,3,2,8,38.0
100000,8,8,0,0,0,8,0,1.00,14,0.000,1820,1.79,104.60,1.85,1,1,0,0,1.00,1.00,1.00,3,2,8,30.5
100000,8,8,0,0,0,8,0,1.00,14,0.000,1818,1.40,104.12,1.10,1,0,0,0,1.00,1.00,1.00,3,2,8,11.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,1818,2.34,101.28,1.13,1,0,0,0,1.00,1.00,1.00,3,2,8,16.4
100000,8,8,0,0,0,8,0,1.00,14,0.000,1816,2.41,100.83,0.39,1,2,2,0,1.00,1.00,1.00,4,2,8,43.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,1813,0.80,100.57,0.87,1,0,0,0,1.00,1.00,1.00,4,2,8,4.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,1812,2.02,98.64,1.01,1,0,1,0,1.00,1.00,1.00,4,2,8,23.9
100000,8,8,0,0,0,8,0,1.00,14,0.000,1807,1.20,102.33,0.65,1,0,0,0,1.00,1.00,1.00,3,2,8,1.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,1802,2.21,103.47,0.79,1,1,2,0,1.00,1.00,1.00,3,2,8,27.7
100000,8,8,0,0,0,8,0,1.00,14,0.000,1791,1.31,98.78,1.06,1,0,0,0,1.00,1.00,1.00,3,2,8,5.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,1787,1.20,100.50,0.61,1,0,1,0,1.00,1.00,1.00,4,2,8,25.7
100000,8,8,0,0,0,8,0,1.00,14,0.000,1785,2.40,98.17,0.52,1,0,0,0,1.00,1.00,1.00,3,2,8,13.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,1773,1.96,98.03,1.59,1,1,1,0,1.00,1.00,1.00,4,2,8,34.9
100000,8,8,0,0,0,8,0,1.00,14,0.000,1773,1.54,96.14,0.53,1,2,2,0,1.00,1.00,1.00,4,2,8,49.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,1768,2.17,99.83,1.45,1,2,2,0,1.00,1.00,1.00,3,2,8,44.9
100000,8,8,0,0,0,8,0,1.00,14,0.000,1763,1.73,102.32,1.18,1,0,0,0,1.00,1.00,1.00,3,2,8,8.8
100000,8,8,0,0,0,8,0,1.00,14,0.000,1758,0.99,99.54,1.34,1,2,2,0,1.00,1.00,1.00,4,2,8,39.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,1754,1.04,97.07,1.95,1,1,2,0,1.00,1.00,1.00,4,2,8,35.2
100000,8,8,0,0,0,8,0,1.00,14,0.000,1748,1.24,103.24,2.19,1,2,2,0,1.00,1.00,1.00,3,2,8,43.6
100000,8,8,0,0,0,8,0,1.00,14,0.000,1746,1.39,93.84,0.63,1,2,2,0,1.00,1.00,1.00,3,1,8,46.0
100000,8,8,0,0,0,8,0,1.00,14,0.000,1743,2.74,99.71,1.05,1,1,1,0,1.00,1.00,1.00,3,2,8,32.3
100000,8,8,0,0,0,8,0,1.00,14,0.000,1741,1.50,92.29,0.80,1,0,0,0,1.00,1.00,1.00,3,2,8,16.4
100000,8,8,0,0,0,8,0,1.00,14,0.000,1736,2.20,98.62,0.60,1,2,1,0,1.00,1.00,1.00,2,2,8,43.1
100000,8,8,0,0,0,8,0,1.00,14,0.000,1734,2.28,96.72,2.29,1,1,0,0,1.00,1.00,1.00,3,2,8,27.0
