step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten
10000,1863,1.621,0.223,4.93,126531,121560,0,5,4599,1786,1237746.4,102226.6,0.050,0.728,0.052,0.170,138,11.50,5.20,0.01,0.19,0.02,0.48,0.14,1.95,11.33,4.51,0.00,0.00,0.001,0.018,77,0.436,0.250,0.744,0.000,0.006,101691,92577,1,1.000,0.000,0.006,489005,0.162,0.959,0.018,112.37,31777,105,57.238,0.600,0.000,6600227,1.00,12.34,0.003,0.000,0.000,8,10,16,64,21418,0.082,5.48,0.0059,0.064,544,0.521,0.000,0.381,0.161,3.36,1.98,7.94,0.00,0.001,1.00,1.00,1.00,0.521,0.00519,31.39,14.9235,48.52,133024.5,140228.0,14.607,4.6496,121.031,591.312,0.959,0.402,108.8,121.020,67.710,448,2360.6,8.10,65.557
20000,2034,1.515,0.154,6.02,71429,67767,46,0,3445,21,1076797.5,20937.6,0.016,0.428,0.149,0.408,195,9.17,3.49,0.06,0.93,0.02,0.51,0.08,1.60,9.01,2.53,0.00,0.07,0.001,0.028,90,0.455,0.255,0.738,0.000,0.006,18638,15191,1,1.000,0.000,0.005,97208,0.217,0.772,0.011,107.75,17939,0,997.030,0.000,0.001,2104435,1.03,13.35,0.001,0.000,0.000,8,8,10,64,18648,0.071,0.46,0.0059,0.050,668,0.240,0.000,0.170,0.002,3.15,1.62,7.75,0.00,0.000,1.02,1.03,1.03,0.240,0.00315,50.60,2.4173,28.99,134142.6,140228.3,5.022,0.3223,107.544,131.579,0.926,0.398,108.2,107.544,19.101,264,1451.9,9.40,6.755
30000,2017,1.539,0.192,6.05,78145,75963,75,0,2124,63,1090066.8,21576.3,0.045,0.494,0.184,0.277,187,9.15,4.27,0.12,1.70,0.08,1.36,0.07,1.31,8.89,2.63,0.00,0.00,0.002,0.029,100,0.449,0.237,0.757,0.000,0.006,23441,17643,1,1.000,0.000,0.005,145294,0.197,0.891,0.015,109.99,21004,0,342.481,0.000,0.000,2386085,1.04,13.66,0.001,0.001,0.000,8,8,10,64,18463,0.070,0.66,0.0061,0.057,665,0.228,0.000,0.159,0.006,3.13,1.66,7.56,0.00,0.000,1.01,1.04,1.05,0.228,0.00359,50.06,2.5293,34.00,133497.0,140228.4,3.122,0.3665,109.561,99.993,0.913,0.397,108.3,109.561,17.872,380,1999.8,8.00,9.065
40000,2043,1.518,0.191,6.02,83449,81179,85,1,2158,69,1099624.0,22958.3,0.050,0.503,0.184,0.262,183,8.89,4.08,0.17,1.96,0.07,1.20,0.06,1.25,8.60,2.73,0.00,0.00,0.003,0.051,92,0.403,0.233,0.762,0.000,0.006,26902,18395,1,0.999,0.001,0.004,153122,0.195,0.888,0.015,111.33,22535,110,332.729,0.000,0.000,2571261,1.06,13.89,0.001,0.000,0.000,8,8,10,64,18159,0.069,0.78,0.0063,0.055,663,0.239,0.000,0.172,0.006,3.07,1.67,7.44,0.00,0.001,1.03,1.07,1.07,0.239,0.00361,49.52,2.7064,42.34,133524.1,140228.6,2.219,0.4035,110.926,112.974,0.937,0.398,108.2,110.926,19.860,361,1959.8,8.44,11.552
50000,2109,1.508,0.201,6.11,79986,77625,93,0,2202,48,1093688.1,21053.0,0.040,0.496,0.189,0.276,181,8.53,3.57,0.06,0.83,0.03,0.66,0.07,1.52,8.38,2.73,0.00,0.00,0.001,0.018,90,0.383,0.230,0.762,0.000,0.007,25134,16099,1,1.000,0.000,0.003,104647,0.214,0.919,0.015,110.75,22082,0,438.605,0.000,0.000,2524616,1.02,14.38,0.001,0.000,0.000,6,8,10,64,17991,0.069,0.69,0.0062,0.053,699,0.235,0.000,0.169,0.005,2.99,1.70,7.16,0.00,0.001,1.02,1.03,1.03,0.235,0.00336,49.61,2.4687,41.94,133279.8,140228.9,2.803,0.3582,110.363,108.426,0.928,0.397,109.5,110.363,19.438,400,2113.5,8.07,10.700
60000,2139,1.464,0.249,6.51,78853,76178,161,3,2481,201,1106803.8,19669.0,0.030,0.487,0.241,0.242,178,8.41,4.15,0.08,1.29,0.11,1.51,0.04,0.73,8.19,3.29,0.00,0.00,0.004,0.046,126,0.162,0.216,0.779,0.000,0.004,24812,15473,1,1.000,0.000,0.005,102622,0.220,1.067,0.021,111.99,22162,117,97.856,0.333,0.000,2509407,1.02,15.60,0.001,0.000,0.000,5,8,11,64,17984,0.069,0.71,0.0063,0.052,727,0.229,0.000,0.166,0.004,2.84,1.90,6.33,0.00,0.000,1.00,1.03,1.03,0.229,0.00323,48.25,2.3356,36.56,132540.2,140229.2,2.894,0.3635,111.552,110.705,0.944,0.395,111.2,111.551,21.115,542,2875.6,8.02,12.307
70000,2178,1.439,0.197,7.03,71972,69493,175,1,2264,51,1083487.8,17358.0,0.025,0.466,0.282,0.227,172,7.78,2.94,0.05,0.93,0.05,1.14,0.07,1.09,7.61,2.26,0.00,0.00,0.003,0.045,102,0.249,0.219,0.776,0.000,0.005,21538,12819,1,0.503,0.497,0.007,108557,0.203,0.928,0.016,109.16,20427,434,340.354,0.000,0.000,2026809,1.02,16.24,0.000,0.000,0.000,6,8,9,46,16952,0.065,0.76,0.0065,0.065,706,0.197,0.000,0.146,0.003,2.73,1.79,6.15,0.00,0.000,1.01,1.02,1.02,0.197,0.00307,45.81,2.0668,25.05,133421.9,140229.5,8.112,0.3278,108.923,144.554,0.930,0.398,110.2,108.923,25.273,375,2108.9,8.00,12.296
80000,2134,1.415,0.113,7.53,63245,60491,246,0,2552,25,1085142.5,15055.7,0.017,0.444,0.325,0.213,179,7.54,2.86,0.05,1.37,0.00,0.17,0.03,0.71,7.45,2.31,0.00,0.00,0.000,0.017,74,0.383,0.221,0.777,0.000,0.002,15744,8902,1,0.661,0.339,0.003,95403,0.227,0.600,0.007,109.18,18124,0,602.229,0.000,0.000,1570721,1.02,16.59,0.000,0.000,0.000,6,7,8,60,16091,0.061,0.41,0.0068,0.063,677,0.157,0.000,0.123,0.001,2.67,1.75,5.98,0.00,0.000,1.01,1.02,1.02,0.157,0.00299,47.60,1.7838,23.94,134935.7,140229.8,6.650,0.2755,109.056,121.250,0.894,0.402,106.4,109.056,19.196,181,914.0,8.00,7.663
90000,2159,1.422,0.200,7.53,68560,65171,224,4,3136,55,1080409.1,17036.8,0.020,0.461,0.334,0.184,173,7.81,3.48,0.03,0.77,0.06,1.48,0.05,0.97,7.67,2.63,0.00,0.00,0.002,0.035,98,0.335,0.229,0.764,0.000,0.007,20025,13764,2,0.560,0.000,0.006,131193,0.216,0.949,0.016,108.86,19930,322,309.760,0.250,0.000,2027209,1.01,16.39,0.001,0.000,0.000,6,8,8,64,16867,0.064,0.78,0.0065,0.056,663,0.196,0.000,0.132,0.003,2.68,1.74,6.09,0.00,0.001,1.01,1.02,1.01,0.196,0.00296,44.86,2.0624,29.90,133432.6,140230.2,9.341,0.3540,108.356,163.890,0.942,0.398,108.9,108.356,26.131,402,2226.5,8.00,11.847
100000,2140,1.414,0.223,7.48,69493,66035,183,0,3294,19,1078158.1,17188.5,0.020,0.470,0.325,0.184,170,7.84,3.81,0.05,1.09,0.00,0.00,0.05,1.12,7.74,3.24,0.00,0.00,0.000,0.000,90,0.437,0.220,0.775,0.000,0.005,20300,13892,2,0.502,0.000,0.003,119222,0.220,1.002,0.019,108.56,20604,0,904.655,0.000,0.000,2124234,1.01,16.12,0.001,0.000,0.000,6,8,8,64,16772,0.064,0.78,0.0065,0.058,665,0.202,0.000,0.138,0.002,2.72,1.64,6.33,0.00,0.000,1.00,1.02,1.02,0.202,0.00300,44.31,2.0789,34.05,133112.4,140230.5,10.193,0.3551,108.173,177.622,0.940,0.398,107.9,108.174,27.487,458,2528.8,9.01,12.316
110000,2179,1.416,0.206,7.59,68181,64560,188,0,3394,14,1079060.1,17324.6,0.017,0.476,0.318,0.189,171,7.68,3.57,0.04,0.90,0.04,1.17,0.05,1.17,7.55,3.03,0.00,0.00,0.001,0.025,89,0.363,0.213,0.783,0.000,0.004,20151,13188,2,0.597,0.000,0.005,112946,0.214,0.981,0.018,108.53,20791,0,1237.474,0.000,0.000,2086214,1.01,16.42,0.001,0.000,0.000,6,7,8,64,16743,0.064,0.81,0.0066,0.071,692,0.197,0.000,0.142,0.002,2.68,1.71,6.12,0.00,0.000,1.01,1.02,1.02,0.197,0.00303,44.78,2.0947,28.45,133318.4,140230.7,9.721,0.3588,108.194,188.060,0.923,0.398,109.4,108.194,26.944,417,2362.2,8.00,12.112
120000,2167,1.431,0.183,7.54,67979,64467,233,1,3290,15,1083245.6,16611.8,0.021,0.464,0.333,0.181,173,7.67,3.40,0.03,0.62,0.02,0.61,0.07,1.15,7.55,2.86,0.00,0.00,0.001,0.022,104,0.360,0.229,0.764,0.000,0.007,19090,11977,2,0.548,0.000,0.007,119543,0.206,0.900,0.015,109.06,20865,9,1107.453,1.000,0.000,1960347,1.01,16.32,0.000,0.000,0.000,5,8,8,64,16615,0.063,0.64,0.0066,0.073,679,0.187,0.000,0.129,0.002,2.70,1.70,6.17,0.00,0.000,1.00,1.01,1.01,0.187,0.00295,45.26,2.0038,28.89,133686.0,140231.0,8.884,0.3387,108.755,150.858,0.917,0.400,108.6,108.755,24.707,358,2007.1,8.00,10.960
130000,2205,1.429,0.198,7.56,67436,64000,287,0,3111,13,1090800.5,16422.6,0.023,0.457,0.341,0.178,175,7.70,3.23,0.03,0.52,0.03,0.92,0.08,1.45,7.55,2.47,0.00,0.00,0.001,0.025,101,0.356,0.223,0.772,0.000,0.005,18174,11522,3,0.577,0.000,0.006,114387,0.213,0.934,0.016,109.85,20682,0,1263.277,0.000,0.000,1814957,1.01,16.27,0.000,0.000,0.000,6,7,8,50,16970,0.065,0.58,0.0066,0.066,716,0.173,0.000,0.122,0.002,2.71,1.72,6.18,0.00,0.000,1.00,1.01,1.02,0.173,0.00288,46.23,1.9755,40.47,133393.7,140231.4,7.180,0.3285,109.493,145.216,0.938,0.398,110.7,109.493,22.125,383,2147.7,8.86,9.974
140000,2239,1.431,0.198,7.61,66727,63298,318,2,3075,18,1099449.2,16417.0,0.022,0.452,0.343,0.183,178,7.86,5.15,0.08,1.08,0.03,0.73,0.06,1.21,7.69,4.58,0.00,0.00,0.001,0.016,99,0.306,0.217,0.778,0.000,0.004,17806,11379,2,0.659,0.000,0.004,108882,0.219,0.919,0.016,110.65,20531,75,912.056,0.500,0.000,1716085,1.02,16.53,0.004,0.000,0.000,6,7,8,64,17600,0.067,0.47,0.0064,0.060,722,0.164,0.000,0.119,0.002,2.69,1.82,5.94,0.00,0.000,1.00,1.03,1.03,0.164,0.00285,47.26,1.9645,35.37,133320.1,140231.5,5.458,0.3200,110.324,116.719,0.935,0.398,113.1,110.324,19.507,430,2184.4,8.00,8.959
150000,2250,1.403,0.176,7.56,73287,69391,267,1,3617,24,1099213.6,18419.5,0.024,0.472,0.325,0.179,168,7.55,3.96,0.04,1.01,0.04,1.09,0.08,1.50,7.39,2.98,0.00,0.00,0.001,0.022,94,0.308,0.211,0.784,0.000,0.004,22550,15423,2,0.580,0.000,0.007,111084,0.221,0.856,0.014,110.55,22165,253,767.479,0.000,0.000,2208694,1.01,16.46,0.001,0.000,0.000,6,7,8,64,16998,0.065,0.77,0.0066,0.059,748,0.203,0.000,0.135,0.003,2.66,1.76,6.04,0.00,0.000,1.00,1.01,1.01,0.203,0.00286,45.01,2.2346,24.12,133737.6,140231.9,7.514,0.3888,110.199,143.269,0.938,0.399,112.3,110.199,25.501,326,1809.5,8.00,12.984
160000,2213,1.446,0.219,7.56,67960,64403,368,0,3226,18,1103072.4,16568.3,0.023,0.453,0.341,0.183,177,7.84,4.24,0.08,1.48,0.04,1.02,0.04,0.77,7.68,3.46,0.00,0.00,0.001,0.029,107,0.298,0.205,0.791,0.000,0.004,18479,12455,2,0.585,0.000,0.004,103820,0.221,0.982,0.018,111.00,20418,0,920.460,0.000,0.000,1772574,1.02,16.25,0.000,0.000,0.000,6,7,10,64,17355,0.066,0.48,0.0065,0.055,703,0.167,0.000,0.119,0.002,2.71,1.80,6.10,0.00,0.000,1.01,1.03,1.02,0.167,0.00285,47.07,1.9877,41.10,132987.2,140232.3,5.287,0.3256,110.600,115.891,0.932,0.396,112.1,110.600,19.804,423,2385.5,8.00,9.264
170000,2175,1.407,0.202,7.60,68611,65056,298,0,3295,1,1098798.1,16590.5,0.025,0.455,0.340,0.180,175,7.59,4.09,0.08,1.44,0.03,0.72,0.02,0.63,7.46,3.42,0.00,0.00,0.001,0.022,89,0.286,0.216,0.780,0.000,0.004,19012,12271,2,0.599,0.025,0.003,100843,0.228,0.954,0.017,110.44,20714,0,16590.520,0.000,0.000,1830506,1.02,16.57,0.001,0.000,0.000,6,7,8,64,16509,0.063,0.54,0.0068,0.065,669,0.172,0.000,0.121,0.002,2.64,1.77,5.96,0.00,0.000,1.00,1.03,1.03,0.172,0.00288,46.44,1.9979,34.72,133417.3,140232.5,6.417,0.3357,110.150,119.053,0.925,0.398,108.8,110.150,21.322,428,2287.3,8.46,9.859
180000,2181,1.396,0.207,7.67,70614,66787,274,0,3547,3,1096706.5,17405.1,0.025,0.464,0.329,0.181,174,7.50,4.18,0.03,0.69,0.05,1.27,0.03,0.83,7.39,3.65,0.00,0.00,0.002,0.035,94,0.273,0.230,0.763,0.000,0.006,20828,13582,2,0.686,0.000,0.002,107928,0.220,0.965,0.017,110.36,21269,0,5801.714,0.000,0.000,1975325,1.01,16.91,0.001,0.000,0.000,6,7,8,64,16359,0.062,0.67,0.0068,0.060,691,0.183,0.000,0.127,0.003,2.67,1.84,5.73,0.00,0.000,1.00,1.01,1.01,0.183,0.00290,45.54,2.1110,37.81,133352.6,140233.0,7.276,0.3658,109.986,142.037,0.932,0.397,108.4,109.986,23.748,437,2327.3,8.00,11.406
190000,2246,1.403,0.165,7.72,69764,66024,220,1,3454,26,1089969.1,17105.4,0.025,0.470,0.325,0.180,172,7.50,4.67,0.08,1.46,0.00,0.13,0.07,1.09,7.35,4.09,0.00,0.00,0.000,0.004,97,0.355,0.208,0.785,0.000,0.007,20143,12827,3,0.730,0.000,0.007,94797,0.225,0.815,0.012,109.46,21453,482,657.901,0.000,0.000,1941585,1.02,16.77,0.001,0.000,0.000,6,7,8,64,16836,0.064,0.70,0.0066,0.062,726,0.181,0.000,0.128,0.003,2.64,1.86,5.78,0.00,0.000,1.01,1.03,1.03,0.181,0.00286,45.26,2.0675,31.75,133924.1,140233.3,8.424,0.3536,109.163,156.420,0.917,0.399,112.2,109.162,24.697,327,1670.2,8.00,11.526
200000,2299,1.370,0.155,7.70,72628,68910,311,0,3354,24,1106516.1,17523.2,0.026,0.468,0.326,0.180,172,6.99,3.01,0.05,1.05,0.01,0.34,0.05,1.18,6.88,2.27,0.00,0.00,0.000,0.010,79,0.535,0.214,0.782,0.000,0.004,21790,13512,3,0.707,0.000,0.003,123545,0.218,0.792,0.011,111.11,21217,0,730.133,0.000,0.000,2009885,1.01,17.01,0.000,0.000,0.000,6,6,8,58,16075,0.061,0.70,0.0070,0.059,765,0.183,0.000,0.130,0.003,2.53,1.83,5.68,0.00,0.001,1.00,1.02,1.01,0.183,0.00277,45.36,2.1174,31.08,134118.7,140233.7,6.675,0.3609,110.764,132.262,0.943,0.400,111.7,110.764,24.124,277,1526.2,8.56,12.356
210000,2262,1.381,0.169,7.71,71422,68061,353,0,3045,58,1110048.8,17137.4,0.027,0.461,0.330,0.182,173,7.08,3.73,0.05,0.89,0.01,0.33,0.16,2.29,6.87,2.30,0.00,0.00,0.000,0.014,96,0.515,0.191,0.804,0.000,0.004,20780,13793,2,0.728,0.000,0.008,138345,0.202,0.836,0.013,111.45,20219,0,295.473,0.000,0.000,1811897,1.02,17.06,0.001,0.000,0.000,6,6,8,64,16018,0.061,0.64,0.0071,0.061,740,0.166,0.000,0.125,0.003,2.55,1.88,5.61,0.00,0.000,1.01,1.02,1.02,0.166,0.00278,45.95,2.0609,32.20,133908.0,140234.0,5.798,0.3432,111.088,123.406,0.927,0.398,110.0,111.088,22.385,301,1691.4,8.08,11.374
220000,2261,1.398,0.158,7.61,71442,67953,388,0,3102,30,1110720.8,17251.3,0.024,0.468,0.320,0.188,172,7.16,3.24,0.06,0.94,0.02,0.65,0.05,1.13,7.04,2.65,0.00,0.00,0.001,0.018,97,0.479,0.220,0.778,0.000,0.003,21302,13656,2,0.640,0.000,0.005,138120,0.202,0.803,0.012,111.48,20230,0,575.044,0.000,0.000,1867199,1.02,16.71,0.000,0.000,0.000,6,6,8,62,16199,0.062,0.70,0.0070,0.070,751,0.169,0.000,0.129,0.003,2.57,1.78,5.89,0.00,0.000,1.01,1.02,1.03,0.169,0.00284,45.89,2.0795,27.08,134049.6,140234.4,5.769,0.3508,111.142,130.608,0.943,0.400,111.3,111.142,22.835,289,1588.7,8.00,11.934
230000,2200,1.403,0.274,7.73,69359,66057,402,0,2961,4,1105965.0,16863.1,0.024,0.463,0.330,0.182,173,7.22,3.84,0.11,1.64,0.00,0.17,0.04,0.71,7.08,3.05,0.00,0.00,0.000,0.012,86,0.540,0.218,0.776,0.000,0.005,19861,12874,2,0.747,0.000,0.004,136199,0.206,1.160,0.025,111.15,19637,0,4215.787,0.000,0.001,1769037,1.03,16.98,0.000,0.000,0.000,6,6,8,64,15893,0.061,0.66,0.0071,0.062,740,0.162,0.000,0.120,0.003,2.58,1.91,5.62,0.00,0.000,1.01,1.04,1.04,0.162,0.00287,46.05,2.0314,41.57,132236.2,140234.5,5.985,0.3397,110.628,128.237,0.915,0.395,107.7,110.628,22.066,629,3387.3,8.00,10.990
240000,2260,1.363,0.114,7.68,74621,71049,278,0,3234,21,1109049.4,18737.1,0.025,0.482,0.312,0.181,169,6.92,2.64,0.03,0.58,0.01,0.50,0.05,1.37,6.83,1.74,0.00,0.00,0.000,0.011,71,0.494,0.214,0.781,0.000,0.006,24361,16909,2,0.687,0.000,0.004,146083,0.202,0.624,0.007,111.18,21692,0,892.243,0.000,0.000,2244666,1.01,16.91,0.000,0.000,0.000,6,6,8,61,15631,0.060,0.92,0.0072,0.068,727,0.199,0.000,0.139,0.004,2.56,1.75,5.82,0.00,0.000,1.00,1.01,1.02,0.199,0.00289,44.55,2.2696,27.77,134858.2,140235.1,7.190,0.3917,111.053,154.937,0.929,0.402,109.6,111.053,26.863,175,957.5,8.00,14.891
250000,2231,1.427,0.243,7.60,71586,68191,375,0,3049,20,1102930.0,17313.0,0.025,0.469,0.320,0.186,170,7.38,3.82,0.05,0.90,0.02,0.73,0.04,0.97,7.27,3.21,0.00,0.00,0.001,0.017,100,0.460,0.194,0.802,0.000,0.004,21775,14553,2,0.623,0.000,0.004,134857,0.211,1.055,0.021,110.82,20734,0,865.651,0.000,0.001,1901369,1.02,16.75,0.001,0.000,0.000,6,6,8,64,16471,0.063,0.80,0.0068,0.057,707,0.173,0.000,0.131,0.003,2.59,1.87,5.78,0.00,0.000,1.01,1.02,1.03,0.173,0.00286,45.01,2.0906,32.69,132622.3,140235.3,7.204,0.3543,110.244,141.583,0.921,0.399,110.7,110.244,25.082,527,2808.6,8.08,12.945
