step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten
10000,1457,1.583,0.055,6.66,62387,60616,47,0,1750,1925,993362.0,75351.7,0.070,0.551,0.315,0.064,160,9.69,2.05,0.00,0.00,0.02,0.35,0.00,0.05,9.67,1.92,0.00,0.00,0.001,0.013,79,0.231,0.249,0.750,0.000,0.001,55862,47860,1,1.000,0.000,0.002,755773,0.150,0.154,0.000,85.88,27504,0,39.144,0.000,0.000,2225071,1.00,12.96,0.000,0.000,0.000,8,10,12,35,14113,0.054,3.01,0.0071,0.082,607,0.295,0.000,0.192,0.281,3.26,1.87,7.79,0.00,0.000,1.00,1.00,1.00,0.295,0.00563,33.18,11.6973,17.30,1732.3,140074.7,41.775,4.1433,95.397,437.186,0.534,0.000,134847.8,81.912,54.062,19,69.4,7.39,43.636
20000,1547,1.526,0.049,6.71,34088,31996,382,0,1620,0,826752.4,7969.0,0.001,0.425,0.544,0.029,215,8.92,1.58,0.00,0.00,0.01,0.24,0.00,0.00,8.90,1.56,0.00,0.00,0.001,0.016,50,0.334,0.255,0.745,0.000,0.001,3550,2375,2,0.917,0.001,0.000,18254,0.091,0.147,0.000,82.06,8836,0,7969.011,0.000,0.000,386306,1.00,13.36,0.000,0.000,0.000,7,9,10,18,13792,0.053,0.00,0.0060,0.094,644,0.059,0.000,0.106,0.000,3.19,1.58,7.92,0.00,0.000,1.00,1.00,1.00,0.059,0.00356,44.47,0.9460,15.28,1799.0,140074.7,37.307,0.1492,81.919,176.072,0.542,0.000,134843.2,81.920,6.278,16,54.4,8.00,0.322
30000,1563,1.516,0.048,6.66,33677,31586,453,0,1622,1,826259.1,7775.8,0.001,0.409,0.569,0.021,216,8.76,1.66,0.02,0.71,0.01,0.24,0.00,0.00,8.73,1.46,0.00,0.00,0.001,0.020,63,0.388,0.263,0.735,0.000,0.002,3568,2461,2,0.971,0.000,0.000,16608,0.111,0.107,0.000,82.08,9422,0,7775.822,0.000,0.000,423019,1.01,13.45,0.000,0.000,0.000,7,8,10,38,13691,0.052,0.00,0.0061,0.100,673,0.066,0.000,0.107,0.000,3.11,1.51,7.92,0.00,0.000,1.00,1.01,1.01,0.066,0.00329,44.52,0.9259,13.92,1712.2,140074.7,37.243,0.1483,81.929,172.899,0.528,0.000,134936.2,81.920,6.060,9,26.8,7.98,0.282
40000,1589,1.478,0.046,6.64,33453,31327,515,0,1585,0,821983.6,7622.4,0.000,0.400,0.582,0.018,216,8.29,1.70,0.01,0.24,0.00,0.06,0.00,0.13,8.27,1.65,0.00,0.00,0.000,0.003,62,0.235,0.237,0.760,0.000,0.003,3563,2267,2,0.999,0.000,0.001,13736,0.108,0.059,0.000,82.07,9187,0,7622.382,0.000,0.000,444730,1.00,14.24,0.000,0.000,0.000,7,8,10,26,13166,0.050,0.00,0.0063,0.106,670,0.070,0.000,0.103,0.000,3.09,1.41,7.90,0.00,0.001,1.00,1.00,1.00,0.070,0.00310,44.40,0.9033,13.11,1629.3,140074.7,37.369,0.1411,81.935,167.331,0.522,0.000,135084.5,81.920,5.873,2,2.6,1.50,0.166
50000,1574,1.477,0.046,6.66,32941,30802,545,0,1609,0,819836.2,7529.8,0.000,0.392,0.593,0.015,214,8.37,1.72,0.00,0.00,0.01,0.31,0.00,0.06,8.36,1.65,0.00,0.00,0.001,0.015,61,0.257,0.260,0.739,0.000,0.001,3729,2529,2,0.508,0.000,0.001,14439,0.094,0.072,0.000,82.05,8574,0,7529.783,0.000,0.000,449283,1.00,14.20,0.000,0.000,0.000,7,8,10,26,13173,0.050,0.00,0.0062,0.105,651,0.072,0.000,0.100,0.000,3.10,1.44,7.92,0.00,0.000,1.00,1.00,1.00,0.072,0.00303,44.48,0.8902,14.61,1664.4,140074.7,37.302,0.1370,81.918,164.800,0.525,0.000,135065.8,81.920,5.840,7,12.4,4.61,0.146
60000,1588,1.493,0.046,6.85,32686,30622,576,0,1474,3,819901.0,7419.5,0.000,0.385,0.600,0.015,213,8.37,1.98,0.00,0.03,0.01,0.23,0.00,0.03,8.36,1.88,0.00,0.00,0.000,0.005,62,0.278,0.246,0.751,0.000,0.004,3416,2118,2,0.510,0.000,0.001,13184,0.102,0.082,0.000,82.05,8855,0,2473.183,0.000,0.000,413271,1.00,14.28,0.000,0.000,0.000,7,8,10,44,13289,0.051,0.00,0.0062,0.097,666,0.067,0.000,0.097,0.000,3.09,1.48,7.90,0.00,0.000,1.00,1.00,1.00,0.067,0.00297,44.78,0.8759,21.48,1698.1,140074.8,37.010,0.1332,81.912,169.724,0.526,0.000,134982.5,81.920,5.862,10,19.8,4.70,0.173
70000,1592,1.489,0.046,6.90,33230,30938,600,0,1688,2,821092.2,7685.7,0.000,0.379,0.605,0.016,213,8.22,1.73,0.00,0.10,0.00,0.08,0.00,0.03,8.21,1.73,0.00,0.00,0.000,0.011,63,0.240,0.232,0.764,0.000,0.003,3480,2152,2,0.538,0.000,0.001,14224,0.100,0.097,0.000,82.05,9201,0,3842.828,0.000,0.000,397625,1.00,14.56,0.000,0.000,0.000,7,8,10,23,13083,0.050,0.00,0.0063,0.095,657,0.065,0.000,0.098,0.000,3.10,1.47,7.90,0.00,0.000,1.00,1.00,1.00,0.065,0.00290,45.07,0.9072,10.65,1764.3,140074.8,36.717,0.1397,81.914,172.963,0.535,0.000,134921.1,81.920,5.890,4,16.3,8.00,0.202
80000,1601,1.461,0.044,6.94,32733,30575,624,0,1525,0,821458.3,7501.2,0.000,0.368,0.614,0.017,213,8.36,1.94,0.01,0.27,0.00,0.00,0.01,0.37,8.34,1.81,0.00,0.00,0.000,0.000,65,0.307,0.244,0.754,0.000,0.002,2934,1721,2,0.521,0.000,0.001,15691,0.093,0.086,0.000,82.04,8932,0,7501.161,0.000,0.000,339061,1.00,14.48,0.000,0.000,0.000,7,8,10,37,13380,0.051,0.00,0.0062,0.091,673,0.057,0.000,0.090,0.000,3.20,1.61,7.92,0.00,0.000,1.00,1.00,1.00,0.057,0.00284,45.94,0.8865,11.14,1958.8,140074.8,35.865,0.1363,81.907,188.008,0.550,0.000,134791.2,81.920,5.819,7,17.0,7.00,0.222
90000,1587,1.437,0.047,6.99,32990,30889,650,0,1465,0,823387.0,7477.4,0.001,0.360,0.619,0.020,211,8.30,1.67,0.00,0.15,0.01,0.28,0.00,0.03,8.29,1.62,0.00,0.00,0.000,0.013,64,0.259,0.232,0.766,0.000,0.002,2897,1889,2,0.607,0.000,0.001,15192,0.096,0.125,0.000,82.05,8700,0,7477.450,0.000,0.000,305813,1.00,14.67,0.000,0.000,0.000,7,8,10,25,13174,0.050,0.00,0.0063,0.091,660,0.053,0.000,0.084,0.000,3.25,1.70,7.91,0.00,0.000,1.00,1.00,1.00,0.053,0.00283,46.83,0.8869,13.26,2034.0,140074.8,34.962,0.1389,81.914,202.027,0.567,0.000,134726.8,81.920,5.738,10,38.5,7.95,0.215
100000,1552,1.524,0.046,7.01,33581,31531,623,0,1462,0,824901.1,7544.3,0.002,0.357,0.618,0.023,207,8.44,1.79,0.00,0.00,0.00,0.00,0.01,0.16,8.43,1.74,0.00,0.00,0.000,0.000,70,0.311,0.216,0.782,0.000,0.003,2924,1997,2,0.652,0.000,0.002,16979,0.106,0.104,0.000,82.05,8587,0,7544.255,0.000,0.000,312924,1.00,14.65,0.000,0.000,0.000,7,8,10,37,13095,0.050,0.00,0.0063,0.092,632,0.055,0.000,0.084,0.000,3.28,1.78,7.93,0.00,0.000,1.00,1.00,1.00,0.055,0.00286,47.52,0.8960,17.20,2104.9,140074.8,34.265,0.1410,81.907,209.753,0.576,0.000,134596.4,81.920,5.965,7,23.9,7.62,0.388
