step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees
10000,0,304,8.78,0.00,0.03,0.00,8.75,0.00,1.00,0.000,0.031,269773.2,24552.0,1,106,3.14,1.00,1.00,3.8452,3.50,103.7,22.8169,22.6139,5462,14.7258,11
10000,1,546,9.30,0.00,0.01,0.00,9.29,0.00,1.00,0.000,0.059,358988.7,25226.4,1,14,3.18,1.00,1.00,3.8928,8.09,541.5,11.0915,30.5242,5461,27.2272,4
10000,2,607,10.49,0.00,0.02,0.00,10.47,0.00,1.00,0.000,0.072,382736.8,25677.5,1,43,3.40,1.00,1.00,3.9593,5.71,1087.0,7.8664,32.7438,5461,39.9587,4
20000,0,329,7.96,0.00,0.00,0.00,7.95,0.00,1.00,0.000,0.030,165605.5,1299.3,2,125,3.07,1.00,1.00,0.1747,3.69,108.6,29.0664,16.4441,5462,14.7273,1
20000,1,574,8.68,0.00,0.00,0.00,8.68,0.00,1.00,0.000,0.056,307522.7,2826.5,2,20,3.08,1.00,1.00,0.3342,7.27,559.7,8.0385,30.3520,5461,27.2300,14
20000,2,644,9.62,0.00,0.02,0.00,9.59,0.00,1.00,0.000,0.071,364095.0,3843.8,1,47,3.35,1.00,1.00,0.4371,4.32,1130.7,0.2016,35.2663,5461,39.9627,1
30000,0,331,8.09,0.08,0.00,0.00,8.01,0.00,1.03,0.000,0.030,165274.7,1319.3,2,142,3.03,1.00,1.03,0.1790,5.91,105.7,29.0870,16.4295,5462,14.7273,1
30000,1,559,8.51,0.00,0.01,0.00,8.50,0.00,1.00,0.000,0.055,307534.3,2669.1,1,15,3.03,1.00,1.00,0.3145,1.33,526.0,7.9608,30.3541,5461,27.2300,2
30000,2,673,9.29,0.00,0.01,0.00,9.28,0.00,1.00,0.000,0.071,364042.9,3788.1,1,41,3.21,1.00,1.00,0.4324,6.69,1080.5,0.1953,35.2933,5461,39.9627,6
40000,0,330,7.47,0.00,0.00,0.00,7.47,0.00,1.00,0.000,0.028,164339.2,1261.8,2,151,3.02,1.00,1.00,0.1725,2.51,81.5,29.1550,16.3175,5462,14.7273,0
40000,1,589,8.01,0.01,0.00,0.01,8.00,0.00,1.00,0.000,0.053,307123.7,2642.1,1,17,3.06,1.00,1.00,0.3100,7.56,498.8,8.0127,30.2981,5461,27.2300,2
40000,2,670,8.93,0.02,0.00,0.00,8.91,0.00,1.00,0.000,0.069,366001.2,3718.9,1,61,3.16,1.00,1.01,0.4209,3.04,1048.9,0.2008,35.4538,5461,39.9627,0
50000,0,327,7.59,0.00,0.04,0.00,7.55,0.00,1.00,0.000,0.029,163937.2,1098.2,2,154,3.05,1.00,1.00,0.1503,4.29,88.1,29.1804,16.2525,5462,14.7273,2
50000,1,596,8.05,0.00,0.01,0.00,8.03,0.00,1.00,0.000,0.055,307252.8,2665.7,2,11,3.06,1.00,1.00,0.3139,4.88,512.6,7.9383,30.2874,5461,27.2300,2
50000,2,651,9.05,0.00,0.00,0.00,9.05,0.00,1.00,0.000,0.068,366963.6,3766.0,2,52,3.17,1.00,1.00,0.4260,5.44,1063.7,0.1829,35.5136,5461,39.9627,3
60000,0,332,7.49,0.00,0.00,0.00,7.49,0.00,1.00,0.000,0.028,165126.0,1131.4,2,143,3.01,1.00,1.00,0.1549,7.40,104.8,28.9510,16.3674,5462,14.7273,1
60000,1,590,7.81,0.00,0.00,0.00,7.81,0.00,1.00,0.000,0.053,307630.0,2584.9,2,11,3.01,1.00,1.00,0.3031,5.51,514.4,7.8648,30.3127,5461,27.2300,4
60000,2,666,9.30,0.00,0.01,0.00,9.29,0.00,1.00,0.000,0.071,365419.4,3703.5,2,44,3.21,1.00,1.00,0.4178,8.57,1078.9,0.1943,35.3697,5461,39.9627,5
70000,0,338,7.32,0.00,0.01,0.00,7.31,0.00,1.00,0.000,0.028,166235.5,1198.2,2,140,3.02,1.00,1.00,0.1632,3.07,123.7,28.7093,16.4818,5462,14.7273,2
70000,1,597,7.95,0.00,0.00,0.00,7.95,0.00,1.00,0.000,0.054,306918.1,2695.2,2,11,3.08,1.00,1.00,0.3161,3.38,538.8,7.8054,30.2533,5461,27.2300,0
70000,2,657,8.92,0.01,0.00,0.00,8.91,0.00,1.00,0.000,0.067,364626.7,3792.6,2,49,3.16,1.00,1.00,0.4279,4.20,1101.8,0.2024,35.3178,5461,39.9627,2
80000,0,346,7.31,0.00,0.00,0.00,7.31,0.00,1.00,0.000,0.029,168892.2,1222.0,2,128,3.06,1.00,1.00,0.1657,2.99,156.8,28.1506,16.7375,5462,14.7273,1
80000,1,582,8.13,0.00,0.00,0.00,8.13,0.00,1.00,0.000,0.054,307574.3,2643.5,2,17,3.14,1.00,1.00,0.3087,5.00,633.5,7.4955,30.3113,5461,27.2300,4
80000,2,673,9.10,0.02,0.00,0.02,9.06,0.00,1.01,0.000,0.070,361015.2,3636.1,2,45,3.32,1.01,1.01,0.4122,3.14,1168.5,0.2191,34.9880,5461,39.9627,2
90000,0,332,7.55,0.00,0.03,0.00,7.52,0.00,1.00,0.000,0.029,170876.0,1271.4,2,132,3.15,1.00,1.00,0.1724,2.34,173.0,27.7315,16.9533,5462,14.7273,0
90000,1,595,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.054,309576.7,2688.4,2,13,3.16,1.00,1.00,0.3153,4.38,664.2,7.0504,30.4790,5461,27.2300,3
90000,2,660,8.95,0.01,0.00,0.00,8.94,0.00,1.00,0.000,0.068,356336.5,3518.6,2,37,3.39,1.00,1.00,0.3993,6.54,1196.7,0.1798,34.6189,5461,39.9627,7
100000,0,334,7.56,0.00,0.00,0.02,7.54,0.00,1.00,0.000,0.029,171690.6,1302.1,2,123,3.22,1.00,1.00,0.1737,5.46,195.9,27.5777,17.0323,5462,14.7273,1
100000,1,586,8.22,0.00,0.00,0.00,8.21,0.00,1.00,0.000,0.055,311117.8,2745.6,2,20,3.23,1.00,1.00,0.3229,6.78,702.4,6.5092,30.5814,5461,27.2300,2
100000,2,632,9.11,0.00,0.00,0.00,9.11,0.00,1.00,0.000,0.066,354770.1,3497.7,2,50,3.36,1.00,1.00,0.3994,4.96,1206.6,0.1785,34.4401,5461,39.9627,4
110000,0,348,7.48,0.00,0.00,0.00,7.48,0.00,1.00,0.000,0.030,172169.3,1307.4,2,146,3.17,1.00,1.00,0.1760,3.42,189.2,27.3797,17.0844,5462,14.7273,3
110000,1,586,8.26,0.00,0.00,0.02,8.24,0.00,1.00,0.000,0.056,310243.8,2759.1,2,20,3.22,1.00,1.00,0.3239,3.39,682.0,6.5221,30.5344,5461,27.2300,3
110000,2,657,9.08,0.00,0.01,0.01,9.06,0.00,1.00,0.000,0.068,354784.2,3520.8,2,37,3.40,1.00,1.00,0.4012,5.48,1204.4,0.1936,34.4470,5461,39.9627,5
120000,0,332,7.73,0.00,0.00,0.00,7.72,0.00,1.00,0.000,0.029,171423.1,1299.6,2,136,3.20,1.00,1.00,0.1748,5.99,188.2,27.5927,17.0003,5462,14.7273,3
120000,1,609,8.21,0.00,0.00,0.01,8.19,0.00,1.00,0.000,0.057,310197.4,2671.7,2,19,3.21,1.00,1.00,0.3138,3.30,684.0,6.7011,30.5181,5461,27.2300,2
120000,2,631,9.15,0.00,0.00,0.00,9.15,0.00,1.00,0.000,0.066,356097.8,3500.3,2,38,3.42,1.00,1.00,0.3978,4.13,1197.3,0.1877,34.5414,5461,39.9627,3
130000,0,340,7.50,0.00,0.00,0.00,7.50,0.00,1.00,0.000,0.029,171371.8,1307.4,2,132,3.24,1.00,1.00,0.1768,2.73,176.1,27.6272,16.9921,5462,14.7273,1
130000,1,589,8.14,0.00,0.00,0.00,8.14,0.00,1.00,0.000,0.055,309869.5,2701.7,2,14,3.21,1.00,1.00,0.3157,4.40,659.8,6.5346,30.5067,5461,27.2300,7
130000,2,654,9.29,0.00,0.00,0.02,9.27,0.00,1.00,0.000,0.070,356390.0,3517.5,2,33,3.39,1.00,1.00,0.4004,6.40,1205.8,0.1599,34.5641,5461,39.9627,5
140000,0,346,7.57,0.00,0.00,0.00,7.57,0.00,1.00,0.000,0.030,171762.6,1305.0,2,131,3.18,1.00,1.00,0.1761,5.53,200.2,27.3981,17.0298,5462,14.7273,2
140000,1,606,8.06,0.00,0.00,0.00,8.06,0.00,1.00,0.000,0.055,310066.2,2683.2,2,8,3.28,1.00,1.00,0.3145,5.58,710.9,6.3723,30.5320,5461,27.2300,4
140000,2,662,9.10,0.01,0.00,0.00,9.09,0.00,1.00,0.000,0.069,355467.4,3497.5,2,38,3.41,1.00,1.00,0.3982,5.69,1217.2,0.1594,34.4892,5461,39.9627,4
150000,0,320,7.72,0.00,0.00,0.01,7.71,0.00,1.00,0.000,0.029,171919.1,1282.3,2,108,3.19,1.00,1.00,0.1736,6.67,175.5,27.4078,17.0731,5462,14.7273,2
150000,1,593,8.27,0.00,0.02,0.00,8.25,0.00,1.00,0.000,0.056,310655.4,2686.9,2,13,3.27,1.00,1.00,0.3145,4.40,675.4,6.1322,30.5400,5461,27.2300,2
150000,2,666,9.15,0.00,0.00,0.00,9.15,0.00,1.00,0.000,0.069,354889.3,3508.1,2,49,3.42,1.00,1.00,0.4001,3.40,1206.8,0.1584,34.4545,5461,39.9627,1
160000,0,339,7.65,0.00,0.00,0.00,7.65,0.00,1.00,0.000,0.030,171778.9,1277.7,2,117,3.24,1.00,1.00,0.1724,1.86,194.0,27.4131,17.0376,5462,14.7273,0
160000,1,604,8.32,0.00,0.00,0.01,8.31,0.00,1.00,0.000,0.057,310434.1,2614.2,2,16,3.32,1.00,1.00,0.3056,3.28,713.2,6.2141,30.5308,5461,27.2300,4
160000,2,641,9.24,0.00,0.00,0.00,9.24,0.00,1.00,0.000,0.068,355593.2,3460.1,2,30,3.43,1.00,1.00,0.3941,4.71,1200.3,0.1667,34.4840,5461,39.9627,5
170000,0,342,7.45,0.00,0.00,0.04,7.41,0.00,1.00,0.000,0.029,171868.3,1388.2,2,108,3.19,1.00,1.00,0.1898,8.04,191.2,27.2643,17.0486,5462,14.7273,7
170000,1,596,8.27,0.02,0.03,0.02,8.20,0.00,1.01,0.000,0.056,310253.2,2693.7,2,16,3.26,1.00,1.01,0.3159,1.92,694.3,6.2457,30.5445,5461,27.2300,1
170000,2,652,9.29,0.00,0.00,0.00,9.29,0.00,1.00,0.000,0.069,355473.6,3480.3,2,43,3.48,1.00,1.00,0.3970,2.18,1185.3,0.1502,34.4766,5461,39.9627,0
180000,0,333,7.67,0.02,0.02,0.00,7.63,0.00,1.00,0.000,0.029,172934.8,1364.5,2,109,3.20,1.00,1.01,0.1832,3.80,213.2,27.0697,17.1556,5462,14.7273,2
180000,1,614,7.96,0.01,0.00,0.00,7.95,0.00,1.00,0.000,0.056,309803.7,2703.7,2,15,3.29,1.00,1.00,0.3184,2.45,699.1,6.3392,30.4639,5461,27.2300,2
180000,2,664,9.03,0.02,0.00,0.00,9.02,0.00,1.00,0.000,0.069,354650.6,3463.8,2,38,3.39,1.00,1.00,0.3943,6.98,1213.2,0.1489,34.4375,5461,39.9627,4
190000,0,351,7.54,0.00,0.00,0.00,7.54,0.00,1.00,0.000,0.030,173289.5,1284.4,2,117,3.21,1.00,1.00,0.1727,5.12,212.5,27.0958,17.1794,5462,14.7273,1
190000,1,601,8.14,0.00,0.01,0.03,8.10,0.00,1.00,0.000,0.056,310358.4,2721.8,2,12,3.29,1.00,1.00,0.3207,5.61,721.5,6.1106,30.4982,5461,27.2300,4
190000,2,660,8.87,0.01,0.00,0.00,8.86,0.00,1.00,0.000,0.067,354065.0,3576.4,2,40,3.42,1.00,1.00,0.4087,3.75,1227.3,0.1856,34.3825,5461,39.9627,5
200000,0,340,7.50,0.00,0.00,0.00,7.50,0.00,1.00,0.000,0.029,173580.5,1304.5,2,113,3.18,1.00,1.00,0.1766,4.49,214.7,26.9723,17.2330,5462,14.7273,0
200000,1,595,8.03,0.00,0.00,0.00,8.03,0.00,1.00,0.000,0.055,310825.3,2803.2,2,18,3.29,1.00,1.00,0.3302,2.43,735.6,6.1083,30.5526,5461,27.2300,4
200000,2,642,8.83,0.00,0.00,0.00,8.83,0.00,1.00,0.000,0.065,353007.2,3504.8,2,33,3.35,1.00,1.00,0.4017,8.89,1226.5,0.1965,34.2798,5461,39.9627,9
210000,0,350,7.52,0.00,0.00,0.00,7.52,0.00,1.00,0.000,0.030,173144.7,1338.1,2,118,3.28,1.00,1.00,0.1809,3.79,215.6,27.1175,17.1686,5462,14.7273,3
210000,1,599,8.10,0.00,0.00,0.03,8.07,0.00,1.00,0.000,0.055,311070.4,2737.5,2,20,3.29,1.00,1.00,0.3224,2.19,705.2,6.0746,30.5573,5461,27.2300,3
210000,2,638,9.05,0.00,0.01,0.00,9.03,0.00,1.00,0.000,0.067,354101.2,3465.2,2,28,3.40,1.00,1.00,0.3970,4.33,1206.8,0.2256,34.3456,5461,39.9627,4
220000,0,355,7.52,0.01,0.00,0.00,7.51,0.00,1.00,0.000,0.031,172765.8,1288.0,2,117,3.29,1.00,1.00,0.1742,5.19,189.2,27.1456,17.1202,5462,14.7273,3
220000,1,592,8.16,0.00,0.00,0.01,8.16,0.00,1.00,0.000,0.055,311082.3,2683.3,2,8,3.30,1.00,1.00,0.3151,3.53,711.3,6.0663,30.5824,5461,27.2300,5
220000,2,652,8.96,0.00,0.00,0.00,8.96,0.00,1.00,0.000,0.067,353751.8,3534.4,2,45,3.37,1.00,1.00,0.4050,4.55,1224.4,0.1281,34.3609,5461,39.9627,9
230000,0,333,7.57,0.00,0.03,0.05,7.50,0.00,1.00,0.000,0.029,172721.9,1254.2,2,124,3.26,1.00,1.00,0.1687,5.98,215.7,27.1311,17.1267,5462,14.7273,1
