step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten
10000,1678,1.381,0.087,11.67,70840,65825,36,2,4736,1790,989612.0,82823.5,0.042,0.537,0.383,0.038,164,6.75,2.41,0.01,0.21,0.05,1.21,0.07,0.73,6.62,1.78,0.00,0.00,0.002,0.039,99,0.444,0.192,0.802,0.000,0.007,57284,46381,1,1.000,0.000,0.023,805810,0.125,0.146,0.000,85.80,35242,7,46.270,1.000,0.000,1846946,1.00,20.74,0.000,0.000,0.000,6,6,8,46,11332,0.043,2.03,0.0089,0.110,775,0.232,0.000,0.269,0.265,2.28,2.43,3.22,0.00,0.001,1.00,1.00,1.00,0.232,0.00498,28.95,12.4327,36.32,2366.7,139737.4,47.063,4.1247,95.252,443.884,0.474,0.000,133403.4,81.912,43.978,30,61.5,7.74,38.876
20000,1717,1.365,0.073,11.17,50697,45562,217,0,4879,19,824810.2,13763.7,0.011,0.437,0.547,0.006,199,6.58,2.16,0.00,0.00,0.02,0.41,0.06,0.95,6.50,1.81,0.00,0.00,0.002,0.034,98,0.297,0.211,0.786,0.000,0.003,10606,4789,1,0.649,0.351,0.012,162522,0.097,0.162,0.000,82.17,19018,0,724.408,0.000,0.000,509908,1.00,20.18,0.000,0.000,0.000,6,6,8,39,11304,0.043,0.01,0.0074,0.097,778,0.067,0.000,0.171,0.000,2.35,2.37,3.74,0.00,0.000,1.00,1.00,1.00,0.067,0.00276,33.75,1.6369,18.42,2521.1,139737.3,47.917,0.2619,81.924,243.015,0.487,0.000,133446.2,81.920,9.635,25,73.8,8.00,0.788
30000,1633,1.434,0.053,10.43,43281,40107,288,0,2970,4,827474.3,10991.6,0.003,0.489,0.506,0.002,203,7.33,2.25,0.00,0.00,0.05,0.93,0.01,0.24,7.27,1.90,0.00,0.00,0.003,0.045,101,0.256,0.225,0.770,0.000,0.005,8791,4401,3,0.775,0.001,0.004,150457,0.090,0.073,0.000,82.01,15834,0,2747.908,0.000,0.000,666075,1.00,17.64,0.000,0.000,0.000,6,7,9,51,11963,0.046,0.00,0.0070,0.122,686,0.081,0.000,0.136,0.000,3.01,1.77,6.98,0.00,0.000,1.00,1.00,1.00,0.081,0.00335,40.42,1.2856,16.77,3476.8,139737.3,41.410,0.1864,81.857,300.835,0.568,0.000,132816.3,81.920,7.132,10,14.2,2.03,0.359
40000,1704,1.412,0.057,10.10,41541,38688,430,0,2352,2,829394.6,9691.0,0.001,0.454,0.544,0.001,211,6.67,2.01,0.00,0.00,0.04,0.55,0.01,0.21,6.62,1.83,0.00,0.00,0.002,0.034,92,0.603,0.233,0.763,0.000,0.004,8626,6534,2,0.964,0.000,0.004,76413,0.096,0.183,0.001,82.06,12726,0,4845.481,0.000,0.000,869505,1.00,17.73,0.000,0.000,0.000,6,6,9,28,11359,0.043,0.01,0.0074,0.107,735,0.111,0.000,0.119,0.000,2.97,1.43,7.47,0.00,0.000,1.00,1.00,1.00,0.111,0.00283,44.63,1.1199,11.78,3625.7,139737.3,37.144,0.1511,81.893,357.339,0.561,0.000,132548.0,81.920,6.818,29,97.4,7.89,0.403
50000,1703,1.381,0.052,10.02,42782,39840,401,0,2542,0,829835.2,9499.4,0.001,0.447,0.551,0.001,206,6.54,1.99,0.00,0.02,0.00,0.08,0.02,0.44,6.51,1.83,0.00,0.00,0.000,0.007,79,0.678,0.244,0.753,0.000,0.004,8837,7451,2,0.993,0.000,0.004,67723,0.070,0.099,0.000,82.08,11864,0,9499.396,0.000,0.000,968549,1.00,17.86,0.000,0.000,0.000,6,6,8,35,11132,0.042,0.01,0.0075,0.119,724,0.123,0.000,0.119,0.000,2.95,1.35,7.48,0.00,0.000,1.00,1.00,1.00,0.123,0.00263,44.76,1.1037,15.49,3525.5,139737.2,36.993,0.1532,81.945,356.870,0.559,0.000,132792.9,81.920,6.769,12,26.2,7.96,0.386
60000,1724,1.419,0.053,10.01,42891,39831,474,0,2565,0,829606.4,9435.3,0.000,0.443,0.556,0.001,206,6.37,1.86,0.00,0.00,0.01,0.18,0.02,0.31,6.35,1.77,0.00,0.00,0.001,0.015,79,0.693,0.237,0.758,0.000,0.005,8996,8029,2,0.998,0.000,0.005,61999,0.068,0.103,0.000,82.08,11149,0,9435.274,0.000,0.001,964680,1.00,18.11,0.000,0.000,0.000,6,6,8,42,10984,0.042,0.00,0.0076,0.110,742,0.123,0.000,0.119,0.000,2.91,1.31,7.37,0.00,0.000,1.00,1.00,1.00,0.123,0.00253,44.45,1.0971,16.30,3431.9,139737.0,37.307,0.1533,81.917,346.639,0.548,0.000,132763.0,81.920,6.547,14,29.9,8.00,0.291
70000,1716,1.374,0.053,10.01,42489,39547,446,0,2504,0,828941.1,9168.5,0.001,0.437,0.561,0.001,208,6.42,1.89,0.00,0.00,0.01,0.17,0.01,0.11,6.41,1.85,0.00,0.00,0.001,0.019,83,0.706,0.248,0.748,0.000,0.003,8706,7912,1,1.000,0.000,0.003,57547,0.069,0.125,0.000,82.07,11018,0,9168.491,0.000,0.000,933478,1.00,18.05,0.000,0.000,0.000,6,6,7,32,11021,0.042,0.00,0.0075,0.120,726,0.120,0.000,0.119,0.000,2.90,1.33,7.36,0.00,0.000,1.00,1.00,1.00,0.120,0.00251,44.18,1.0673,14.93,3417.6,139736.9,37.588,0.1505,81.930,341.846,0.552,0.000,132866.4,81.920,6.630,16,42.2,8.00,0.318
80000,1740,1.389,0.052,10.01,42274,39322,466,0,2462,0,828757.9,9059.7,0.001,0.433,0.566,0.001,209,6.41,2.13,0.00,0.00,0.02,0.49,0.01,0.16,6.38,2.07,0.00,0.00,0.001,0.030,71,0.671,0.244,0.751,0.000,0.005,8540,7662,1,1.000,0.000,0.002,56892,0.068,0.094,0.000,82.07,11929,0,9059.661,0.000,0.001,909529,1.00,18.14,0.000,0.000,0.000,6,6,7,42,11156,0.043,0.00,0.0075,0.124,784,0.118,0.000,0.118,0.000,2.87,1.35,7.24,0.00,0.000,1.00,1.00,1.00,0.118,0.00244,44.13,1.0530,10.61,3400.0,139736.7,37.638,0.1473,81.917,341.174,0.554,0.000,132837.8,81.920,6.599,8,19.3,7.42,0.322
90000,1713,1.363,0.054,10.02,42501,39513,477,0,2538,0,828641.2,9294.7,0.001,0.438,0.561,0.001,208,6.35,1.61,0.00,0.00,0.00,0.11,0.00,0.11,6.35,1.57,0.00,0.00,0.000,0.012,73,0.680,0.232,0.765,0.000,0.003,8751,7769,1,1.000,0.000,0.002,59867,0.068,0.102,0.000,82.07,12143,0,9294.699,0.000,0.000,932739,1.00,18.19,0.000,0.000,0.000,6,6,7,33,10885,0.042,0.00,0.0076,0.112,742,0.120,0.000,0.118,0.000,2.88,1.35,7.18,0.00,0.000,1.00,1.00,1.00,0.120,0.00252,44.20,1.0823,17.88,3405.2,139736.6,37.564,0.1519,81.926,342.125,0.545,0.000,132895.1,81.920,6.659,20,39.6,4.62,0.336
100000,1729,1.410,0.053,10.12,42110,39243,498,0,2353,2,829082.2,9080.6,0.001,0.437,0.561,0.001,204,6.56,2.06,0.00,0.00,0.02,0.46,0.01,0.16,6.53,1.87,0.00,0.00,0.001,0.020,87,0.590,0.256,0.741,0.000,0.003,8385,6904,1,1.000,0.000,0.003,58368,0.064,0.108,0.000,82.07,12744,0,4540.277,0.000,0.000,910501,1.00,17.93,0.000,0.000,0.000,6,6,8,41,11346,0.043,0.00,0.0073,0.125,733,0.118,0.000,0.116,0.000,2.91,1.44,7.27,0.00,0.000,1.00,1.00,1.00,0.118,0.00252,44.27,1.0565,12.59,3420.9,139736.5,37.502,0.1489,81.908,342.031,0.554,0.000,132774.0,81.920,6.604,22,43.9,6.11,0.327
