step,place,pop,mass,hard,muscle,sensor,digestive,bite,shell,biters,cover,plant_intake,meat_intake,lineages,movers,foot,shell_front,shell_back,dead,carrion,soil,barren,regrowth,cells,rain,trees
110000,0,694,8.13,0.00,0.00,0.00,8.13,0.00,1.00,0.000,0.065,360380.6,3547.4,1,52,3.24,1.00,1.00,0.4178,3.44,93430.7,0.0000,35.0098,5462,9.4189,6
110000,1,673,8.11,0.00,0.00,0.00,8.11,0.00,1.00,0.000,0.062,360364.6,3522.8,1,60,3.26,1.00,1.00,0.4157,7.08,38348.8,0.0128,35.0069,5461,17.4151,14
110000,2,667,8.18,0.00,0.00,0.00,8.18,0.00,1.00,0.000,0.063,359688.2,3611.1,1,59,3.24,1.00,1.00,0.4246,5.31,4249.0,0.1185,34.9601,5461,25.5584,10
120000,0,672,8.00,0.00,0.00,0.00,8.00,0.00,1.00,0.000,0.061,360163.1,3589.7,1,54,3.29,1.00,1.00,0.4231,4.93,93346.3,0.0000,35.0144,5462,9.4113,14
120000,1,703,7.95,0.00,0.00,0.00,7.94,0.00,1.00,0.000,0.064,359935.5,3588.5,1,58,3.25,1.00,1.00,0.4247,3.90,38372.6,0.0099,34.9860,5461,17.4009,12
120000,2,681,8.03,0.00,0.00,0.00,8.03,0.00,1.00,0.000,0.063,359259.1,3600.9,1,47,3.22,1.00,1.00,0.4264,4.88,4245.5,0.1355,34.9016,5461,25.5375,6
130000,0,683,8.01,0.00,0.01,0.00,8.00,0.00,1.00,0.000,0.062,359410.8,3627.7,1,49,3.21,1.00,1.00,0.4296,6.34,93417.7,0.0000,34.9424,5462,9.3869,9
130000,1,699,7.75,0.00,0.00,0.00,7.75,0.00,1.00,0.000,0.062,358661.4,3551.4,1,47,3.29,1.00,1.00,0.4191,5.13,38407.3,0.0099,34.8782,5461,17.3559,7
130000,2,671,7.81,0.00,0.00,0.00,7.81,0.00,1.00,0.000,0.060,357521.1,3489.1,1,40,3.21,1.00,1.00,0.4107,4.49,4248.0,0.1474,34.7894,5461,25.4715,5
140000,0,694,7.72,0.00,0.00,0.00,7.72,0.00,1.00,0.000,0.061,357300.9,3594.5,1,61,3.28,1.00,1.00,0.4240,6.94,93521.6,0.0000,34.7926,5462,9.3556,17
140000,1,696,7.71,0.00,0.00,0.00,7.71,0.00,1.00,0.000,0.062,357278.1,3526.6,1,48,3.29,1.00,1.00,0.4161,5.32,38322.9,0.0116,34.7914,5461,17.2979,13
140000,2,691,7.75,0.00,0.00,0.00,7.75,0.00,1.00,0.000,0.061,356316.0,3492.9,1,45,3.27,1.00,1.00,0.4115,8.53,4146.6,0.1846,34.6937,5461,25.3864,15
150000,0,686,7.94,0.00,0.00,0.00,7.94,0.00,1.00,0.000,0.062,357548.7,3616.3,1,51,3.26,1.00,1.00,0.4273,6.57,93508.4,0.0000,34.7972,5462,9.3562,17
150000,1,673,7.79,0.00,0.00,0.00,7.79,0.00,1.00,0.000,0.061,357455.0,3509.2,1,59,3.27,1.00,1.00,0.4118,7.00,38317.0,0.0108,34.7946,5461,17.2990,13
150000,2,677,7.78,0.00,0.00,0.00,7.78,0.00,1.00,0.000,0.060,356237.9,3479.6,1,53,3.25,1.00,1.00,0.4084,4.14,4190.5,0.1594,34.6792,5461,25.3881,8
160000,0,687,7.92,0.01,0.00,0.00,7.91,0.00,1.00,0.000,0.062,358175.7,3595.3,1,60,3.27,1.00,1.00,0.4230,9.27,93419.3,0.0000,34.8482,5462,9.3584,18
