run,censuses,grown_med,kinds_at,kinds_held,ways_mean5,share_cv,season,ways_seen,spell_med,spell_p90,spell_whole,form_spell_med,ends,ends_forms_gone,ends_come_back,ends_top_changed,top_changes,null_at,null_held,at_0.03,held_0.03,almost_0.03,at_0.05,held_0.05,almost_0.05,at_0.1,held_0.1,almost_0.1
control 9,51,2211,7.450980392156863,1,9,0.6763546767593219,0.09179974591623771,14,2,18,1,1.0,55,7,49,3,4,7.443137254901961,1,9.803921568627452,3,5,7.450980392156863,1,3,3.3529411764705883,0,1
control 10,51,2224,8.27450980392157,1,9,0.4490235354468274,0.12092554209413223,16,3,10,1,1.0,64,10,57,3,2,8.297058823529412,1.4,10.764705882352942,4,7,8.27450980392157,1,4,3.0980392156862746,0,0
control 11,51,1959,7.254901960784314,1,8,0.6229277293945474,0.08656801167653025,16,2,14,1,1,55,11,47,35,26,7.258823529411765,1.5,9.333333333333334,4,5,7.254901960784314,1,4,3.5686274509803924,0,1
control 12,51,1456,7.764705882352941,0,9,0.6647223863704684,0.08696931735719148,16,2,14,0,1,68,15,59,28,20,7.665686274509804,0.05,10.392156862745098,2,6,7.764705882352941,0,2,3.0980392156862746,0,0
control 13,51,1441,7.2745098039215685,2,8,0.5240771035086603,0.04831717628450212,15,3,11,2,1,62,13,52,7,6,7.23921568627451,1.6,9.509803921568627,2,6,7.2745098039215685,2,3,3.4705882352941178,0,1
control 14,51,1599,7.607843137254902,0,9,0.5507898117626107,0.08055883499587455,17,2.0,9,0,1.0,75,18,65,49,31,7.583333333333333,0.15,10.686274509803921,3,4,7.607843137254902,0,3,3.019607843137255,0,0
light 9,51,2442,7.215686274509804,1,7,0.6019030640600394,0.11885377787968315,16,2.0,19,1,1,47,8,40,5,7,7.263725490196078,0.9,9.686274509803921,4,5,7.215686274509804,1,4,2.764705882352941,0,0
light 10,51,1646,6.9411764705882355,0,8,0.706888881062951,0.15787317706881254,19,2,6,0,1,85,26,74,26,14,7.0,0.05,10.333333333333334,1,4,6.9411764705882355,0,3,2.8627450980392157,0,0
light 11,51,3104,7.098039215686274,2,6,0.5125539338732888,0.10971832102957038,16,2,12,2,1,48,2,39,7,11,7.066666666666666,1.6,9.764705882352942,5,5,7.098039215686274,2,5,2.6666666666666665,0,0
light 12,51,2002,6.882352941176471,2,7,0.5856688083847233,0.1565235380050926,20,2,11,2,1.0,59,6,45,13,11,6.873529411764705,1.6,10.019607843137255,3,5,6.882352941176471,2,3,3,0,0
light 13,51,1226,6.117647058823529,1,5,0.6966927526223569,0.09000054972718607,20,2.0,7,1,1,75,16,60,3,2,6.179411764705883,1,9.588235294117647,2,4,6.117647058823529,1,2,2.6862745098039214,0,1
light 14,51,1769,7.686274509803922,0,8,0.7473590283907713,0.1676924157703776,19,2.0,13,0,1,58,10,45,8,8,7.708823529411765,0.3,10.352941176470589,3,5,7.686274509803922,0,4,2.9411764705882355,0,0
