run,censuses,from,to,every,span,grown_bodies,blocks,grown_age,kind_share,flesh_lo,flesh_hi,light_share,tooth,roam,keep_to_a_place,bodies_for_a_form
control 9,51,50000,100000,1000,50000,114233,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
control 10,51,50000,100000,1000,50000,114665,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
control 11,51,50000,100000,1000,50000,108393,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
control 12,51,50000,100000,1000,50000,79004,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
control 13,51,50000,100000,1000,50000,75259,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
control 14,51,50000,100000,1000,50000,82927,hard|muscle|sensor|digestive,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
light 9,51,50000,100000,1000,50000,126900,hard|muscle|sensor|digestive|leaf,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
light 10,51,50000,100000,1000,50000,89328,hard|muscle|sensor|digestive|leaf,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
light 11,51,50000,100000,1000,50000,163656,hard|muscle|sensor|digestive|leaf,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
light 12,51,50000,100000,1000,50000,102483,hard|muscle|sensor|digestive|leaf,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
light 13,51,50000,100000,1000,50000,63073,hard|muscle|sensor|digestive|leaf,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
light 14,51,50000,100000,1000,50000,90180,hard|muscle|sensor|digestive|leaf,300,0.05,0.3333333333333333,0.6666666666666666,0.5,2,8.0,0.9,20
