run,step,way,share
control 9,53000,plant / no tooth / stays / land,0.06907256499805976
control 9,54000,plant / no tooth / stays / land,0.10600303951367782
control 9,55000,plant / no tooth / stays / land,0.07202602230483271
control 9,56000,plant / no tooth / stays / land,0.09245283018867924
control 9,57000,plant / no tooth / stays / land,0.021604938271604937
control 9,58000,plant / no tooth / stays / land,0.0405727923627685
control 9,59000,plant / no tooth / stays / land,0.08041060735671514
control 9,60000,plant / no tooth / stays / land,0.12182116488925349
control 9,61000,plant / no tooth / stays / land,0.15095261358085002
control 9,62000,plant / no tooth / stays / land,0.05896805896805897
control 9,63000,plant / no tooth / stays / land,0.033707865168539325
control 9,64000,plant / no tooth / stays / land,0.021715526601520086
control 9,65000,plant / no tooth / stays / land,0.02566883586406363
control 9,66000,plant / no tooth / stays / land,0.06846062524732885
control 9,67000,plant / no tooth / stays / land,0.043824701195219126
control 9,68000,plant / no tooth / stays / land,0.10844748858447488
control 9,69000,plant / no tooth / stays / land,0.05048661800486618
control 9,70000,plant / no tooth / stays / land,0.04597079502433748
control 9,71000,plant / no tooth / stays / land,0.015196285352469396
control 9,72000,plant / no tooth / stays / land,0.014254859611231102
control 9,73000,plant / no tooth / stays / land,0.01765650080256822
control 9,74000,plant / no tooth / stays / land,0.02399183256763655
control 9,75000,plant / no tooth / stays / land,0.015774647887323943
control 9,76000,plant / no tooth / stays / land,0.03595132743362832
control 9,77000,plant / no tooth / stays / land,0.02591792656587473
control 9,78000,plant / no tooth / stays / land,0.038403990024937655
control 9,79000,plant / no tooth / stays / land,0.028690662493479395
control 9,80000,plant / no tooth / stays / land,0.01568627450980392
control 9,81000,plant / no tooth / stays / land,0.007583417593528817
control 9,82000,plant / no tooth / stays / land,0.021860095389507155
control 9,83000,plant / no tooth / stays / land,0.013801261829652996
control 9,84000,plant / no tooth / stays / land,0.013646702047005308
control 9,85000,plant / no tooth / stays / land,0.025979744605900485
control 9,86000,plant / no tooth / stays / land,0.00909090909090909
control 9,87000,plant / no tooth / stays / land,0.012404232032105071
control 9,88000,plant / no tooth / stays / land,0.013067624959163672
control 9,89000,plant / no tooth / stays / land,0.018832391713747645
control 9,90000,plant / no tooth / stays / land,0.026718703092164516
control 9,91000,plant / no tooth / stays / land,0.018215613382899627
control 9,92000,plant / no tooth / stays / land,0.02247567930224757
control 9,93000,plant / no tooth / stays / land,0.010240427426536063
control 9,94000,plant / no tooth / stays / land,0.013872832369942197
control 9,95000,plant / no tooth / stays / land,0.06016672707502718
control 9,96000,plant / no tooth / stays / land,0.09527590313616514
control 9,97000,plant / no tooth / stays / land,0.042698998418555616
control 9,98000,plant / no tooth / stays / land,0.03211216644052465
control 9,99000,plant / no tooth / stays / land,0.017272185824895772
control 9,100000,plant / no tooth / stays / land,0.013225255972696246
control 9,50000,flesh / no tooth / roams / shore,0.002230897936419409
control 9,51000,flesh / no tooth / roams / shore,0.0
