run,step,grown,kinds,top_lineage,top_share
control 9,50000,1793,9,837,0.2381483547127719
control 9,51000,2142,7,837,0.2880485527544351
control 9,52000,1971,8,837,0.2207001522070015
control 9,53000,2577,9,837,0.5320139697322468
control 9,54000,2632,8,837,0.2549392097264438
control 9,55000,2152,7,2522,0.25232342007434944
control 9,56000,1590,7,837,0.19622641509433963
control 9,57000,1944,6,837,0.20987654320987653
control 9,58000,1676,5,837,0.31145584725536996
control 9,59000,2338,5,837,0.29897348160821213
control 9,60000,2438,7,837,0.2686628383921247
control 9,61000,2047,7,837,0.33756717147044457
control 9,62000,1628,5,837,0.35196560196560195
control 9,63000,1780,8,837,0.34662921348314607
control 9,64000,1842,6,837,0.3729641693811075
control 9,65000,2766,5,837,0.3778018799710774
control 9,66000,2527,6,837,0.36683814800158293
control 9,67000,2008,6,837,0.2798804780876494
control 9,68000,1752,7,837,0.375
control 9,69000,1644,6,837,0.27007299270072993
control 9,70000,1849,9,837,0.26230394808004326
control 9,71000,2369,11,837,0.2097931616715914
control 9,72000,2315,9,837,0.29028077753779696
control 9,73000,1869,7,837,0.3001605136436597
control 9,74000,1959,7,837,0.22103113833588567
control 9,75000,1775,7,837,0.3092957746478873
control 9,76000,1808,6,837,0.33573008849557523
control 9,77000,2315,8,837,0.273866090712743
control 9,78000,2005,7,837,0.24738154613466334
control 9,79000,1917,8,837,0.2712571726656234
control 9,80000,1785,8,3486,0.23025210084033612
control 9,81000,1978,8,837,0.20525783619817997
control 9,82000,2516,8,837,0.2543720190779014
control 9,83000,2536,8,837,0.27996845425867506
control 9,84000,2638,9,837,0.3282789992418499
control 9,85000,2271,8,837,0.2619991193306913
control 9,86000,2310,9,837,0.21818181818181817
control 9,87000,2741,8,837,0.31338927398759575
control 9,88000,3061,8,837,0.24861156484808886
control 9,89000,3717,8,837,0.2195318805488297
control 9,90000,3331,7,837,0.23386370459321526
control 9,91000,2690,6,837,0.1862453531598513
control 9,92000,2981,7,837,0.17141898691714189
control 9,93000,2246,10,837,0.25111308993766696
control 9,94000,2595,8,837,0.23352601156069364
control 9,95000,2759,8,837,0.31134469010511057
control 9,96000,2519,8,837,0.4096863834855101
control 9,97000,1897,7,837,0.33684765419082763
control 9,98000,2211,8,837,0.3071008593396653
control 9,99000,1679,8,837,0.32042882668254913
control 9,100000,2344,8,837,0.2854095563139932
control 10,50000,1597,8,1,0.3406386975579211
control 10,51000,1962,8,1,0.308868501529052
control 10,52000,1987,9,1,0.2858580775037745
control 10,53000,2272,10,1,0.39436619718309857
control 10,54000,2371,8,1,0.4010965837199494
control 10,55000,1856,8,1,0.33135775862068967
control 10,56000,1585,7,1,0.30157728706624604
control 10,57000,1752,6,1,0.3219178082191781
control 10,58000,2135,7,1,0.3217798594847775
control 10,59000,2549,8,1,0.3369948999607689
control 10,60000,2570,9,1,0.4385214007782101
control 10,61000,2919,8,1,0.3398424117848578
control 10,62000,2637,8,3401,0.229806598407281
control 10,63000,2935,8,3401,0.24190800681431004
control 10,64000,3118,7,3401,0.24695317511225146
control 10,65000,3123,8,1,0.19052193403778417
control 10,66000,3468,9,1,0.26412918108419836
control 10,67000,2641,7,1,0.18932222642938282
control 10,68000,2262,8,1,0.21883289124668434
control 10,69000,1845,8,1,0.183739837398374
control 10,70000,2247,8,1,0.27592345349354697
control 10,71000,2806,9,1,0.406272273699216
control 10,72000,2803,9,1,0.4067070995362112
control 10,73000,2826,10,1,0.2813163481953291
control 10,74000,2652,9,1,0.3559577677224736
control 10,75000,2224,8,1,0.15872302158273383
control 10,76000,2897,7,1,0.24956851915774939
control 10,77000,2868,7,1,0.33158995815899583
control 10,78000,3135,9,1,0.1448165869218501
control 10,79000,1788,7,1,0.15771812080536912
control 10,80000,1722,9,1,0.17421602787456447
control 10,81000,1328,7,1,0.3629518072289157
control 10,82000,1809,8,1,0.2570480928689884
control 10,83000,2060,9,1,0.3378640776699029
control 10,84000,2323,8,1,0.5639259578131727
control 10,85000,1745,8,1,0.5037249283667622
control 10,86000,1524,9,1,0.4389763779527559
control 10,87000,1638,9,1,0.22893772893772893
control 10,88000,1742,9,1,0.3541905855338691
control 10,89000,2180,11,1,0.4990825688073395
control 10,90000,2297,10,1,0.3352198519808446
control 10,91000,1786,7,1,0.22788353863381858
control 10,92000,1630,6,1,0.24294478527607363
control 10,93000,1477,8,1,0.3276912660798917
control 10,94000,2032,8,1,0.3735236220472441
control 10,95000,2123,11,1,0.26424870466321243
control 10,96000,2246,10,1,0.3165627782724844
control 10,97000,2197,9,1,0.2048247610377788
control 10,98000,2493,8,1,0.3293221018852788
control 10,99000,2346,7,1,0.2693947144075021
control 10,100000,2137,9,1,0.2091717360786149
control 11,50000,2112,7,2476,0.4180871212121212
control 11,51000,2343,8,2476,0.44174135723431496
control 11,52000,2998,7,2476,0.4346230820547031
control 11,53000,3288,6,2476,0.4187956204379562
control 11,54000,3414,6,2476,0.4302870533099004
control 11,55000,2962,7,2476,0.37474679270763
control 11,56000,3254,5,2476,0.3712354025814382
control 11,57000,2806,6,2476,0.37170349251603707
control 11,58000,2462,8,2476,0.2124289195775792
control 11,59000,2796,8,3444,0.2685979971387697
control 11,60000,2782,7,3444,0.26383896477354424
control 11,61000,2430,7,2476,0.26666666666666666
control 11,62000,1738,8,2476,0.18699654775604144
control 11,63000,1837,8,4487,0.16167664670658682
control 11,64000,1931,9,3444,0.1144484722941481
control 11,65000,2390,7,3444,0.28117154811715483
control 11,66000,1885,7,3444,0.2440318302387268
control 11,67000,1586,8,4647,0.20744010088272383
control 11,68000,1269,7,4860,0.16784869976359337
control 11,69000,1312,6,4860,0.22332317073170732
control 11,70000,1640,8,3444,0.3225609756097561
control 11,71000,1780,8,5109,0.18370786516853932
control 11,72000,1734,8,5109,0.2041522491349481
control 11,73000,1583,7,3444,0.24826279216677194
control 11,74000,1377,5,3444,0.38344226579520696
control 11,75000,1364,6,4647,0.1935483870967742
control 11,76000,1710,7,4647,0.24035087719298245
control 11,77000,2560,8,3444,0.127734375
control 11,78000,2359,6,4868,0.1254768969902501
control 11,79000,2266,6,5369,0.15048543689320387
control 11,80000,1935,5,5369,0.23772609819121446
control 11,81000,2418,5,5369,0.3680727874276261
control 11,82000,2574,4,5369,0.20124320124320125
control 11,83000,3199,7,5253,0.2650828383869959
control 11,84000,2042,8,5253,0.17238001958863858
control 11,85000,1613,9,5880,0.1425914445133292
control 11,86000,1733,8,3444,0.13906520484708598
control 11,87000,1712,8,3444,0.16121495327102803
control 11,88000,1724,8,4957,0.12238979118329467
control 11,89000,2333,8,3444,0.13287612516073724
control 11,90000,1726,8,3444,0.21205098493626884
control 11,91000,2178,8,4957,0.10973370064279155
control 11,92000,1959,7,5907,0.1362940275650842
control 11,93000,2518,8,5821,0.11278792692613185
control 11,94000,2375,9,5907,0.16126315789473683
control 11,95000,1628,8,5907,0.11302211302211303
control 11,96000,2264,8,3444,0.2946113074204947
control 11,97000,1778,8,6582,0.2761529808773903
control 11,98000,1670,7,6582,0.3077844311377245
control 11,99000,1627,10,3444,0.1333743085433313
control 11,100000,1419,8,6582,0.23749119097956306
control 12,50000,1176,6,2845,0.1598639455782313
control 12,51000,1189,7,3605,0.2111017661900757
control 12,52000,1245,6,3605,0.1927710843373494
control 12,53000,1726,6,3986,0.23870220162224798
control 12,54000,1340,7,1362,0.2626865671641791
control 12,55000,1299,6,4002,0.11778290993071594
control 12,56000,1065,6,4172,0.13427230046948357
control 12,57000,1147,8,1362,0.1011333914559721
control 12,58000,1118,9,1362,0.18246869409660108
control 12,59000,1298,10,1362,0.24268104776579352
control 12,60000,1454,8,1362,0.24621733149931224
control 12,61000,928,9,1362,0.44073275862068967
control 12,62000,933,9,1362,0.24866023579849947
control 12,63000,886,8,1362,0.28442437923250563
control 12,64000,1093,7,1362,0.2717291857273559
control 12,65000,1029,9,1362,0.23809523809523808
control 12,66000,1456,9,1362,0.15247252747252749
control 12,67000,1217,8,4288,0.11750205423171733
control 12,68000,1086,10,1362,0.1685082872928177
control 12,69000,1302,9,1362,0.23425499231950844
control 12,70000,1521,8,1362,0.1755424063116371
control 12,71000,1575,7,4288,0.22158730158730158
control 12,72000,1580,9,4633,0.19683544303797468
control 12,73000,1545,9,1362,0.227831715210356
control 12,74000,1703,8,4633,0.22431004110393424
control 12,75000,1354,7,1362,0.21861152141802068
control 12,76000,1392,8,1362,0.21048850574712644
control 12,77000,1431,6,1362,0.13906359189378056
control 12,78000,1616,8,1362,0.1311881188118812
control 12,79000,1606,6,1927,0.2590286425902864
control 12,80000,1571,6,1362,0.36155315085932527
control 12,81000,1264,8,4983,0.16772151898734178
control 12,82000,1266,7,4983,0.19352290679304898
control 12,83000,2097,7,4983,0.1497377205531712
control 12,84000,2146,8,4983,0.14911463187325255
control 12,85000,2154,6,1362,0.15366759517177345
control 12,86000,1980,8,5513,0.3
control 12,87000,2480,8,5513,0.23790322580645162
control 12,88000,2384,7,5513,0.24412751677852348
control 12,89000,2821,7,5513,0.10031903580290677
control 12,90000,2829,8,1362,0.1392718275008837
control 12,91000,1764,8,1362,0.18140589569160998
control 12,92000,1300,9,1362,0.13230769230769232
control 12,93000,1436,8,1362,0.23607242339832868
control 12,94000,1625,8,1362,0.25476923076923075
control 12,95000,1615,8,1362,0.29659442724458207
control 12,96000,1839,10,1362,0.37955410549211527
control 12,97000,1577,9,1362,0.23462270133164237
control 12,98000,1674,9,5985,0.2060931899641577
control 12,99000,1865,7,5985,0.2552278820375335
control 12,100000,2007,7,5985,0.23617339312406577
control 13,50000,1600,6,937,0.839375
control 13,51000,1502,9,937,0.7909454061251664
control 13,52000,1492,10,937,0.556970509383378
control 13,53000,1598,8,937,0.5056320400500626
control 13,54000,2039,7,937,0.717999019127023
control 13,55000,1586,7,937,0.5699873896595208
control 13,56000,1200,7,937,0.29
control 13,57000,1429,6,937,0.3086074177746676
control 13,58000,1205,8,937,0.46224066390041496
control 13,59000,1484,7,937,0.545822102425876
control 13,60000,1671,8,937,0.708557749850389
control 13,61000,1465,9,937,0.5522184300341297
control 13,62000,1556,8,937,0.5970437017994858
control 13,63000,1354,8,937,0.7481536189069424
control 13,64000,1406,8,937,0.7041251778093883
control 13,65000,1725,6,937,0.43130434782608695
control 13,66000,1607,8,937,0.5295581829495956
control 13,67000,1547,7,937,0.6308985132514544
control 13,68000,1166,6,3008,0.31989708404802747
control 13,69000,1100,7,3008,0.4018181818181818
control 13,70000,1448,7,937,0.36049723756906077
control 13,71000,1885,9,937,0.810079575596817
control 13,72000,1351,7,937,0.7579570688378978
control 13,73000,1158,8,937,0.6882556131260794
control 13,74000,1051,8,937,0.60418648905804
control 13,75000,1943,8,937,0.7292846114256305
control 13,76000,1820,8,937,0.7554945054945055
control 13,77000,1434,7,937,0.6610878661087866
control 13,78000,1384,6,937,0.33164739884393063
control 13,79000,1338,9,937,0.5710014947683109
control 13,80000,1164,7,937,0.4063573883161512
control 13,81000,1053,6,937,0.6153846153846154
control 13,82000,1423,5,3215,0.3626141953619115
control 13,83000,1435,7,937,0.667595818815331
control 13,84000,1620,7,937,0.7320987654320987
control 13,85000,1441,5,3246,0.40111034004163776
control 13,86000,1041,6,937,0.7195004803073968
control 13,87000,1234,8,937,0.8857374392220422
control 13,88000,1188,8,937,0.7760942760942761
control 13,89000,1539,8,937,0.6653671215074723
control 13,90000,1248,7,937,0.6498397435897436
control 13,91000,1268,7,937,0.5425867507886435
control 13,92000,1453,7,937,0.23606331727460428
control 13,93000,1196,10,937,0.42725752508361203
control 13,94000,2020,9,937,0.5445544554455446
control 13,95000,2002,8,937,0.501998001998002
control 13,96000,2210,6,937,0.6977375565610859
control 13,97000,1901,5,937,0.5554971067859021
control 13,98000,1324,7,937,0.270392749244713
control 13,99000,1392,6,937,0.46695402298850575
control 13,100000,1563,5,937,0.4510556621880998
control 14,50000,1859,6,2544,0.12641204948897256
control 14,51000,1922,7,2544,0.1753381893860562
control 14,52000,1887,9,2999,0.10916799152093269
control 14,53000,2396,8,2463,0.1285475792988314
control 14,54000,2232,8,2999,0.23297491039426524
control 14,55000,1586,7,3422,0.12547288776796975
control 14,56000,1602,7,3250,0.14856429463171036
control 14,57000,1549,7,2940,0.15687540348612009
control 14,58000,1539,9,2999,0.24171539961013644
control 14,59000,2473,8,3615,0.14718964820056613
control 14,60000,1599,10,2999,0.22951844903064414
control 14,61000,1464,9,2999,0.2978142076502732
control 14,62000,1224,7,3523,0.20669934640522875
control 14,63000,1517,9,2999,0.23665128543177325
control 14,64000,1493,8,3523,0.13663764233087744
control 14,65000,1614,8,2999,0.17038413878562578
control 14,66000,1983,7,3967,0.10136157337367625
control 14,67000,1520,8,3523,0.1506578947368421
control 14,68000,1568,9,2956,0.1639030612244898
control 14,69000,1538,6,4000,0.11248374512353707
control 14,70000,1143,10,4000,0.16185476815398075
control 14,71000,1410,7,4000,0.19858156028368795
control 14,72000,1759,8,4047,0.33712336554860717
control 14,73000,1570,7,4047,0.26305732484076433
control 14,74000,1241,9,4047,0.12651087832393232
control 14,75000,1367,8,4047,0.26627651792245793
control 14,76000,1329,6,3738,0.15349887133182843
control 14,77000,1422,7,4478,0.13783403656821377
control 14,78000,1697,7,4478,0.12139068945197407
control 14,79000,1752,5,4000,0.23059360730593606
control 14,80000,1956,4,3738,0.2939672801635992
control 14,81000,1417,7,4000,0.43966125617501767
control 14,82000,1648,8,4000,0.28640776699029125
control 14,83000,1492,8,4000,0.23525469168900803
control 14,84000,1670,9,4000,0.14251497005988023
control 14,85000,1866,9,4000,0.4046087888531618
control 14,86000,1866,7,4000,0.3285101822079314
control 14,87000,2094,7,4000,0.44173829990448904
control 14,88000,2119,7,4000,0.3001415762151958
control 14,89000,1917,6,5118,0.2576943140323422
control 14,90000,1919,7,5118,0.27670661803022406
control 14,91000,1949,7,5118,0.13340174448435094
control 14,92000,1698,6,4000,0.1354534746760895
control 14,93000,1185,7,5118,0.21518987341772153
control 14,94000,1450,7,5405,0.1793103448275862
control 14,95000,1607,10,4000,0.14001244555071563
control 14,96000,1840,8,4047,0.11141304347826086
control 14,97000,907,8,5576,0.1587651598676957
control 14,98000,914,12,4047,0.16849015317286653
control 14,99000,1047,6,4047,0.44412607449856734
control 14,100000,1111,7,4047,0.3033303330333033
light 9,50000,2521,5,1,0.14994049980166602
light 9,51000,2394,6,1,0.12823725981620718
light 9,52000,3077,5,1,0.16054598635034123
light 9,53000,3381,5,1,0.1668145519077196
light 9,54000,3081,7,1,0.19961051606621227
light 9,55000,2045,6,1,0.21222493887530564
light 9,56000,2442,6,1,0.17526617526617527
light 9,57000,1938,6,3162,0.18163054695562436
light 9,58000,2334,6,3162,0.19108826049700087
light 9,59000,2974,7,3210,0.15870880968392737
light 9,60000,2921,7,1,0.19753509072235537
light 9,61000,2701,7,1,0.16956682710107368
light 9,62000,2327,6,1,0.1087236785560808
light 9,63000,2625,7,1,0.11047619047619048
light 9,64000,3314,7,1,0.1451418225709113
light 9,65000,3073,7,1,0.10152945004881224
light 9,66000,2856,6,1,0.18067226890756302
light 9,67000,2329,7,1,0.14040360669815372
light 9,68000,2457,8,1,0.16035816035816036
light 9,69000,2628,6,1804,0.1506849315068493
light 9,70000,2994,7,1,0.2845691382765531
light 9,71000,3611,7,1,0.4741068955967876
light 9,72000,3196,8,1,0.48153942428035046
light 9,73000,2486,9,1,0.36524537409493163
light 9,74000,2362,8,1,0.270956816257409
light 9,75000,2364,9,1,0.19500846023688664
light 9,76000,2849,6,1,0.23727623727623728
light 9,77000,2767,7,1,0.2862305746295627
light 9,78000,2648,8,1,0.1782477341389728
light 9,79000,2789,6,1,0.20329867335962712
light 9,80000,3400,6,5305,0.19088235294117648
light 9,81000,3053,7,5305,0.18637405830330822
light 9,82000,2291,8,1,0.3958969882147534
light 9,83000,3056,6,1,0.6230366492146597
light 9,84000,2437,8,1,0.5798112433319655
light 9,85000,1808,7,1,0.6001106194690266
light 9,86000,1447,9,1,0.42225293711126466
light 9,87000,1688,9,1,0.37203791469194314
light 9,88000,1832,9,1,0.35425764192139736
light 9,89000,2296,9,1,0.42770034843205573
light 9,90000,2081,7,1,0.276790004805382
light 9,91000,1746,6,1,0.23367697594501718
light 9,92000,2132,9,1,0.30347091932457787
light 9,93000,2006,7,1,0.13310069790628115
light 9,94000,2132,8,1,0.30956848030018763
light 9,95000,2720,9,1,0.26948529411764705
light 9,96000,2359,11,1,0.5086901229334464
light 9,97000,1696,8,1,0.30129716981132076
light 9,98000,1692,6,1,0.4119385342789598
light 9,99000,1559,8,1,0.345734445157152
light 9,100000,1985,9,1,0.3103274559193955
light 10,50000,1587,7,412,0.3629489603024575
light 10,51000,2237,6,412,0.3397407241841752
light 10,52000,2500,6,412,0.5504
light 10,53000,2132,8,412,0.3339587242026266
light 10,54000,2459,10,412,0.6791378609190728
light 10,55000,1492,7,412,0.5435656836461126
light 10,56000,1605,9,412,0.7034267912772586
light 10,57000,1472,7,412,0.5896739130434783
light 10,58000,1393,7,412,0.5096913137114142
light 10,59000,2030,8,412,0.7507389162561576
light 10,60000,1525,7,412,0.3888524590163934
light 10,61000,1507,8,412,0.5520902455209025
light 10,62000,1721,8,412,0.6728646135967461
light 10,63000,2395,6,1994,0.40292275574112735
light 10,64000,3012,6,412,0.8572377158034529
light 10,65000,2667,6,2022,0.2879640044994376
light 10,66000,2117,8,412,0.5139348134152102
light 10,67000,1445,8,412,0.5916955017301038
light 10,68000,1553,7,2076,0.33354797166773986
light 10,69000,1391,7,412,0.1308411214953271
light 10,70000,1955,4,2000,0.1432225063938619
light 10,71000,1763,5,412,0.3823028927963698
light 10,72000,1997,7,412,0.49624436654982473
light 10,73000,1614,7,412,0.4714993804213135
light 10,74000,1355,5,412,0.47306273062730625
light 10,75000,1467,7,2238,0.25766871165644173
light 10,76000,1667,6,412,0.76124775044991
light 10,77000,1840,7,412,0.5054347826086957
light 10,78000,1646,7,412,0.6057108140947752
light 10,79000,1399,9,412,0.6511794138670479
light 10,80000,1662,7,412,0.36341756919374246
light 10,81000,1201,5,412,0.3713572023313905
light 10,82000,1525,6,412,0.5665573770491803
light 10,83000,2089,5,412,0.3326950694112015
light 10,84000,1862,7,412,0.34156820622986034
light 10,85000,1770,8,412,0.34124293785310733
light 10,86000,1582,7,412,0.4892541087231353
light 10,87000,1692,6,412,0.5466903073286052
light 10,88000,2118,6,412,0.5472143531633616
light 10,89000,2161,5,2500,0.34104581212401663
light 10,90000,1906,10,412,0.7660020986358866
light 10,91000,1538,7,412,0.7867360208062418
light 10,92000,1198,9,412,0.8589315525876461
light 10,93000,1390,8,412,0.8007194244604317
light 10,94000,1984,8,412,0.748991935483871
light 10,95000,1984,6,412,0.4652217741935484
light 10,96000,1470,6,412,0.4965986394557823
light 10,97000,1283,9,412,0.7778643803585347
light 10,98000,1242,6,412,0.2745571658615137
light 10,99000,1232,5,2588,0.387987012987013
light 10,100000,1496,8,412,0.8322192513368984
light 11,50000,2398,7,3130,0.19641367806505422
light 11,51000,2498,7,3130,0.18054443554843874
light 11,52000,2982,7,3979,0.16901408450704225
light 11,53000,3810,7,4152,0.18635170603674542
light 11,54000,3812,8,4152,0.20068205666316893
light 11,55000,3126,7,4152,0.19257837492002558
light 11,56000,2603,7,1,0.19938532462543218
light 11,57000,3160,7,1,0.1949367088607595
light 11,58000,3757,6,1,0.23236624966728772
light 11,59000,4198,7,4882,0.20295378751786566
light 11,60000,3629,8,4152,0.20914852576467347
light 11,61000,2581,8,4152,0.21774506005424255
light 11,62000,2263,7,4152,0.206805125939019
light 11,63000,2253,8,4152,0.21793164669329781
light 11,64000,2880,8,4152,0.21215277777777777
light 11,65000,3701,6,4152,0.19724398811132127
light 11,66000,3550,6,4152,0.24450704225352113
light 11,67000,3435,6,1,0.18951965065502183
light 11,68000,3448,7,1,0.24738979118329466
light 11,69000,3543,7,1,0.25882020886254586
light 11,70000,4140,6,1,0.22922705314009661
light 11,71000,4077,7,4152,0.2891832229580574
light 11,72000,4179,8,4152,0.31442928930366115
light 11,73000,2905,9,4152,0.3697074010327022
light 11,74000,2419,10,4152,0.302190988011575
light 11,75000,2633,10,4152,0.3289023927079377
light 11,76000,2747,7,4152,0.3298143429195486
light 11,77000,3009,7,4152,0.34562977733466266
light 11,78000,2784,6,4152,0.305316091954023
light 11,79000,2924,6,1,0.22229822161422708
light 11,80000,2852,5,1,0.30539971949509115
light 11,81000,3252,5,1,0.2835178351783518
light 11,82000,4208,6,1,0.29182509505703425
light 11,83000,3852,6,1,0.20924195223260644
light 11,84000,4028,8,4152,0.4217974180734856
