run,way,at,forms,forms_left,share_before,share_after,kept,comes_back,why,top_changed
control 9,mixed / no tooth / stays / shore,74000,16,11,0.051364365971107544,0.026544155181214904,0.5416666666666666,1,under the line,0
control 9,mixed / tooth / stays / land,68000,26,22,0.06573705179282868,0.04280821917808219,0.5681818181818182,1,under the line,0
control 9,mixed / tooth / stays / land,90000,34,29,0.06133979015334948,0.03902731912338637,0.5701754385964912,1,under the line,0
control 9,mixed / no tooth / stays / bottom,58000,18,5,0.2705761316872428,0.03579952267303103,0.11406844106463879,1,forms gone,0
control 9,mixed / no tooth / stays / bottom,62000,9,4,0.05227161700048852,0.03746928746928747,0.5700934579439252,1,under the line,0
control 9,mixed / no tooth / stays / bottom,72000,13,7,0.06627268889826932,0.023758099352051837,0.3503184713375796,1,under the line,0
control 9,mixed / no tooth / stays / bottom,74000,8,4,0.0749063670411985,0.019397651863195507,0.2714285714285714,1,under the line,0
control 9,mixed / no tooth / stays / bottom,95000,27,17,0.08362235067437379,0.03443276549474447,0.4377880184331797,1,under the line,0
control 9,mixed / no tooth / stays / bottom,97000,19,11,0.05478364430329496,0.03110173958882446,0.427536231884058,1,under the line,0
control 9,mixed / no tooth / roams / bottom,52000,13,10,0.0742296918767507,0.041603247082699135,0.5157232704402516,1,under the line,0
control 9,mixed / no tooth / roams / bottom,64000,5,4,0.05112359550561798,0.02768729641693811,0.5604395604395604,1,under the line,0
control 9,mixed / no tooth / roams / bottom,71000,5,5,0.05300162249864792,0.027859856479527226,0.673469387755102,1,under the line,0
control 9,mixed / no tooth / roams / bottom,88000,21,15,0.10069317767238234,0.03626265926167919,0.40217391304347827,1,under the line,0
control 9,plant / no tooth / stays / bottom,51000,12,4,0.06023424428332404,0.021475256769374416,0.42592592592592593,1,under the line,0
control 9,plant / no tooth / stays / bottom,54000,4,3,0.0543267365153279,0.004939209726443769,0.09285714285714286,1,forms gone,0
control 9,plant / no tooth / stays / bottom,64000,7,5,0.05,0.03257328990228013,0.6741573033707865,1,under the line,0
control 9,plant / no tooth / stays / bottom,75000,4,4,0.05666156202143951,0.03830985915492958,0.6126126126126126,1,under the line,0
control 9,plant / no tooth / stays / bottom,94000,31,19,0.0881567230632235,0.037379576107899805,0.4898989898989899,0,under the line,0
control 9,plant / no tooth / stays / shore,56000,11,7,0.13104089219330856,0.04150943396226415,0.23404255319148937,1,under the line,1
control 9,plant / no tooth / stays / shore,59000,8,7,0.06264916467780429,0.041916167664670656,0.9333333333333333,1,under the line,0
control 9,plant / no tooth / stays / shore,64000,10,6,0.05056179775280899,0.011943539630836048,0.24444444444444444,1,under the line,0
control 9,plant / no tooth / stays / shore,66000,9,6,0.05929139551699204,0.018994855559952513,0.2926829268292683,1,under the line,0
control 9,plant / no tooth / stays / shore,69000,11,6,0.06335616438356165,0.006690997566909975,0.0990990990990991,1,forms gone,0
control 9,plant / no tooth / stays / shore,73000,18,12,0.07127429805615551,0.047619047619047616,0.5393939393939394,1,under the line,0
control 9,plant / no tooth / stays / shore,80000,13,9,0.13458528951486698,0.017366946778711485,0.12015503875968993,1,forms gone,1
control 9,plant / no tooth / stays / shore,85000,25,18,0.08832448824867324,0.04667547335975341,0.45493562231759654,1,under the line,0
control 9,plant / no tooth / stays / shore,90000,31,24,0.07263922518159806,0.03212248574001801,0.3962962962962963,1,under the line,0
control 9,plant / no tooth / roams / surface,65000,12,8,0.13897937024972856,0.038322487346348515,0.4140625,1,under the line,0
control 9,plant / no tooth / roams / surface,87000,12,5,0.08917748917748917,0.04013133892739876,0.5339805825242718,1,under the line,0
control 9,plant / no tooth / roams / surface,89000,9,7,0.06337798105194381,0.03712671509281679,0.711340206185567,1,under the line,0
control 9,plant / no tooth / roams / surface,96000,8,7,0.052917723812975714,0.028582770940849545,0.4931506849315068,1,under the line,0
control 9,mixed / tooth / roams / shore,51000,7,6,0.06915783602900168,0.049953314659197015,0.8629032258064516,1,under the line,0
