run,way,from,to,censuses,steps,whole,share_max,share_min
control 9,plant / no tooth / stays / shore,57000,58000,2,2000,0,0.06264916467780429,0.060699588477366256
control 9,plant / no tooth / stays / shore,63000,63000,1,1000,0,0.05056179775280899,0.05056179775280899
control 9,plant / no tooth / stays / shore,65000,65000,1,1000,0,0.05929139551699204,0.05929139551699204
control 9,plant / no tooth / stays / shore,68000,68000,1,1000,0,0.06335616438356165,0.06335616438356165
control 9,plant / no tooth / stays / shore,70000,72000,3,3000,0,0.0899113550021106,0.06273661438615467
control 9,plant / no tooth / stays / shore,75000,79000,5,5000,0,0.17667386609071276,0.07154929577464789
control 9,plant / no tooth / stays / shore,83000,84000,2,2000,0,0.08832448824867324,0.055993690851735015
control 9,plant / no tooth / stays / shore,86000,89000,4,4000,0,0.11163808828894564,0.0670995670995671
control 9,plant / no tooth / stays / shore,92000,100000,9,9000,0,0.09595375722543352,0.058753473600635174
control 9,plant / no tooth / roams / surface,50000,64000,15,15000,0,0.13897937024972856,0.05065055762081784
control 9,plant / no tooth / roams / surface,66000,86000,21,21000,0,0.15773353751914243,0.0505998956703182
control 9,plant / no tooth / roams / surface,88000,88000,1,1000,0,0.06337798105194381,0.06337798105194381
control 9,plant / no tooth / roams / surface,93000,95000,3,3000,0,0.08439306358381503,0.05120213713268032
control 9,plant / no tooth / roams / surface,97000,100000,4,4000,0,0.0714711137581894,0.054274084124830396
control 9,mixed / tooth / roams / shore,50000,50000,1,1000,0,0.06915783602900168,0.06915783602900168
control 9,mixed / tooth / roams / shore,52000,54000,3,3000,0,0.07838571982925883,0.06003039513677812
control 9,mixed / tooth / roams / shore,56000,56000,1,1000,0,0.06540880503144654,0.06540880503144654
control 9,mixed / tooth / roams / shore,68000,68000,1,1000,0,0.05593607305936073,0.05593607305936073
control 9,mixed / tooth / roams / shore,71000,73000,3,3000,0,0.07127429805615551,0.050232165470662726
control 9,plant / no tooth / stays / land,53000,56000,4,4000,0,0.10600303951367782,0.06907256499805976
control 9,plant / no tooth / stays / land,59000,62000,4,4000,0,0.15095261358085002,0.05896805896805897
control 9,plant / no tooth / stays / land,66000,66000,1,1000,0,0.06846062524732885,0.06846062524732885
control 9,plant / no tooth / stays / land,68000,69000,2,2000,0,0.10844748858447488,0.05048661800486618
control 9,plant / no tooth / stays / land,95000,96000,2,2000,0,0.09527590313616514,0.06016672707502718
control 9,mixed / no tooth / stays / land,60000,60000,1,1000,0,0.05291222313371616,0.05291222313371616
control 9,mixed / no tooth / stays / land,71000,74000,4,4000,0,0.11077080142930067,0.06393088552915767
control 9,mixed / tooth / stays / shore,70000,72000,3,3000,0,0.11447084233261338,0.0638182801514332
control 9,mixed / tooth / stays / shore,74000,75000,2,2000,0,0.08218478815722308,0.07042253521126761
control 9,flesh / no tooth / roams / shore,61000,61000,1,1000,0,0.07865168539325842,0.07865168539325842
control 9,flesh / no tooth / roams / shore,64000,64000,1,1000,0,0.06351791530944625,0.06351791530944625
control 9,flesh / no tooth / roams / shore,67000,67000,1,1000,0,0.05727091633466135,0.05727091633466135
control 9,flesh / no tooth / roams / shore,71000,71000,1,1000,0,0.054453355846348674,0.054453355846348674
control 9,flesh / no tooth / roams / shore,77000,77000,1,1000,0,0.054427645788336934,0.054427645788336934
control 9,flesh / no tooth / roams / shore,79000,82000,4,4000,0,0.11071789686552073,0.05206677265500795
control 9,flesh / no tooth / roams / shore,90000,90000,1,1000,0,0.08045631942359652,0.08045631942359652
control 9,flesh / no tooth / roams / shore,93000,93000,1,1000,0,0.05520926090828139,0.05520926090828139
control 9,mixed / no tooth / roams / shore,70000,72000,3,3000,0,0.08653440270156185,0.06922660897782586
control 9,mixed / no tooth / roams / shore,74000,75000,2,2000,0,0.05859154929577465,0.055640632976008166
control 9,mixed / no tooth / roams / shore,77000,100000,24,24000,0,0.18466353677621283,0.0748917748917749
control 10,mixed / no tooth / stays / bottom,50000,53000,4,4000,0,0.09914443885254152,0.05941901408450704
control 10,mixed / no tooth / stays / bottom,55000,100000,46,46000,0,0.26214833759590794,0.07793696275071633
