run,tag,way,same_form,side,cells,born_size,born_hard,born_muscle,born_sensor,born_digestive,born_bite,travel,medium
c1225_life9_donor,A,plant/no tooth/stays/shore,0.24299065420560748,9,444444444444444444444444444004444400004444400000444000000000000000000000000000000,40,0,0,0,40,0,0.00,2
c1225_life9_donor,B,mixed/tooth/roams/land,0.146875,6,111111122221224422244442224422222222,36,8,20,0,8,4,50.75,2
c1225_life10_donor,A,plant/no tooth/stays/shore,0.1796875,9,222000000220000000200000000200000000200000000200000044200000444444444444444444444,33,0,10,0,23,0,15.75,1
c1225_life10_donor,B,mixed/tooth/roams/land,0.13076923076923078,5,1111122222222224222444444,25,5,13,0,7,3,32.50,0
c1225_life11_donor,A,plant/no tooth/stays/shore,0.18396226415094338,4,4444444444444444,16,0,0,0,16,0,0.00,2
c1225_life11_donor,B,mixed/tooth/roams/land,0.05204460966542751,6,001111004441002222002222002222000444,23,5,12,0,6,3,55.50,0
