run,seed,world,draw,invader,pop_end,pop_mean,pop_min,pop_land,pop_surface,pop_bottom,err,kills_half,browse_half,donor_hunters,donor_grazers,grazer_n0,grazer_end,grazer_max,grazer_alive,grazer_r_1k,grazer_share,grazer_grown,grazer_kills,grazer_wood,grazer_tooth,grazer_way,grazer_land,hunter_n0,hunter_end,hunter_max,hunter_alive,hunter_r_1k,hunter_share,hunter_grown,hunter_kills,hunter_wood,hunter_tooth,hunter_way,hunter_land,kills_1k,kills_10k,tooth_1k,tooth_10k,residents_at_inject,res_kills_at_inject,res_tooth_at_inject,res_hunters_at_inject,res_grazers_at_inject,residents_20k,res_kills_20k,res_tooth_20k,res_hunters_20k,res_grazers_20k,residents_30k,res_kills_30k,res_tooth_30k,res_hunters_30k,res_grazers_30k,residents_end,res_kills_end,res_tooth_end,res_hunters_end,res_grazers_end,kinds_at_inject,back_at_inject,back_n_at_inject,kinds_at,kinds_held,placed_at,back_end,back_n_end,hunter_kinds_end,grazer_kinds_end
c1225_life9_oA_s1,9,oA,1,hunter,9157.0,9915.857142857143,7037.0,4008.5714285714284,1586.2857142857142,4321.0,3.81e-14,0.25677233221383133,0.026016373703917073,0.10362473347547975,0.20383795309168443,100.0,974.0,3312.0,True,0.07587470392181479,0.1063667139892978,245,0.17994044892116715,0.0,0.012244897959183673,plant/no tooth/roams/shore,0.10061601642710473,100.0,5529.8,8220.0,True,0.133757891383633,0.6038877361581304,1433,0.36023038526358697,0.08727500903957094,0.6531751570132589,mixed/tooth/stays/shore,0.6129335599840863,0.19491441866653986,0.1644313165969678,0.008,0.016,9232,0.1916371160666239,0.009207105719237435,0.0003249566724436742,0.42341854419410746,2688,0.2497420710532974,0.002976190476190476,0.0,0.3757440476190476,1452,0.29033057896627756,0.004132231404958678,0.0,0.29545454545454547,765,0.26458385765968706,0.0,0.0,0.3241830065359477,3,-,0,6.333333333333333,5,4.666666666666667,-,0,1,1
c1225_life9_oA_s2,9,oA,2,hunter,9531.2,10452.285714285714,8048.0,3980.904761904762,1426.095238095238,5045.285714285715,3.41e-14,0.2709909279336653,0.024197354980653618,0.10362473347547975,0.20383795309168443,100.0,0.0,1559.0,False,-0.17661057888493453,0.0,0,nan,nan,nan,-,nan,100.0,5079.6,6801.0,True,0.1309272537108929,0.5329444351183482,915,0.33583362339470846,0.10611039523646003,0.5683060109289617,mixed/tooth/roams/shore,0.4655484683833373,0.19491441866653986,0.1644313165969678,0.008,0.016,9232,0.1916371160666239,0.009207105719237435,0.0003249566724436742,0.42341854419410746,3012,0.20836164986803865,0.0016600265604249668,0.00033200531208499334,0.3940903054448871,3526,0.262425744992366,0.01588201928530913,0.0008508224617129892,0.3885422575155984,1588,0.2925296261387305,0.0012594458438287153,0.0,0.29408060453400503,3,-,0,8,6,4.333333333333333,-,0,1,1
c1225_life9_oB_s1,9,oB,1,grazer,8451.6,9042.619047619048,7005.0,3809.3333333333335,1576.0,3657.285714285714,4.49e-14,0.280374779525137,0.026694927082190564,0.10362473347547975,0.20383795309168443,100.0,2009.2,3706.0,True,0.10001072419625995,0.23773013393913578,700,0.31984687203057427,0.0,0.002857142857142857,mixed/no tooth/stays/bottom,0.12631893290862034,101.0,252.4,2125.0,True,0.030529820460859954,0.029864167731553787,82,0.4012677887284877,0.14229542867507414,0.8414634146341463,mixed/tooth/roams/land,0.7781299524564184,0.2889628608104684,0.26148868253999225,0.657,0.363,1522,0.3035974837109115,0.4231274638633377,0.16754270696452037,0.1366622864651774,967,0.22518515952436977,0.48190279214064113,0.17993795243019647,0.19027921406411583,1345,0.29414630533489355,0.5226765799256505,0.21115241635687731,0.12565055762081784,1174,0.2899615427037296,0.5085178875638842,0.2018739352640545,0.09369676320272573,4,"plant/no tooth/stays/shore (197, kills 21%)",197,8.333333333333334,5,4.666666666666667,"plant/no tooth/stays/shore (201, kills 9%)",196,1,1
c1225_life9_oB_s2,9,oB,2,grazer,10318.8,10468.238095238095,7518.0,4058.4285714285716,1529.047619047619,4880.761904761905,2.76e-14,0.2672673551637036,0.024738227187753013,0.10362473347547975,0.20383795309168443,100.0,4665.6,6793.0,True,0.12809338454620642,0.45214559832538675,1945,0.2567036660590158,0.0,0.0005141388174807198,mixed/no tooth/stays/shore,0.2329389574759945,100.0,49.8,1649.0,False,-0.023238506731916138,0.0048261425747179905,0,nan,nan,nan,-,1.0,0.2889628608104684,0.2614898224069524,0.657,0.363,1522,0.3035974837109115,0.4231274638633377,0.16754270696452037,0.1366622864651774,951,0.23833220761159324,0.45320715036803366,0.17770767613038907,0.2092534174553102,1098,0.33440319135045016,0.6457194899817851,0.2568306010928962,0.08014571948998178,1220,0.28103537028430575,0.6778688524590164,0.19508196721311474,0.06639344262295081,4,"plant/no tooth/stays/shore (197, kills 21%)",197,7.666666666666667,5,5,-,0,1,0
c1225_life10_oA_s1,10,oA,1,hunter,9746.6,8951.42857142857,6101.0,3354.6190476190477,1760.2380952380952,3836.5714285714284,3.27e-14,0.26013537496468564,0.02839436002848802,0.1020121665886757,0.24941506785212916,100.0,1404.8,4034.0,True,0.08808266789642535,0.14413231280651714,406,0.14184284131116803,0.00010973951016257061,0.15270935960591134,plant/no tooth/stays/shore,0.11403758542141229,100.0,0.0,1662.0,False,-0.17661057888493453,0.0,0,nan,nan,nan,-,nan,0.07266541954779951,0.22679058542313907,0.15,0.234,1548,0.21398702186352808,0.21253229974160207,0.06782945736434108,0.20607235142118863,1042,0.27689226635875586,0.22840690978886757,0.10556621880998081,0.22744721689059502,1924,0.3367803159236382,0.22713097713097713,0.10395010395010396,0.2531185031185031,1887,0.22666613687990295,0.1886592474827769,0.08850026497085321,0.33916269210386857,7,-,0,6,3,3,-,0,0,0
c1225_life10_oA_s2,10,oA,2,hunter,7823.2,8240.380952380952,5166.0,3349.5238095238096,1812.2380952380952,3078.6190476190477,3.23e-14,0.26089372210430023,0.030041301318079937,0.1020121665886757,0.24941506785212916,100.0,1031.8,2553.0,True,0.07779633142741527,0.13188976377952755,400,0.12784205476518332,0.0,0.035,plant/no tooth/stays/shore,0.016863733281643728,100.0,0.0,1417.0,False,-0.17661057888493453,0.0,0,nan,nan,nan,-,nan,0.07266541954779951,0.2267926000859454,0.15,0.234,1548,0.21398702186352808,0.21253229974160207,0.06782945736434108,0.20607235142118863,1253,0.22791617504909803,0.2681564245810056,0.07901037509976057,0.20031923383878691,1930,0.23112212968207002,0.27409326424870467,0.11968911917098446,0.2917098445595855,1463,0.23377949891088012,0.2303485987696514,0.1114149008885851,0.3246753246753247,7,-,0,8.333333333333334,5,3,"mixed/tooth/roams/land (142, kills 45%)",142,1,2
c1225_life10_oB_s1,10,oB,1,grazer,8254.6,8387.238095238095,5752.0,3483.6190476190477,1779.4761904761904,3124.1428571428573,4.73e-14,0.25350121930392566,0.027902294702800742,0.1020121665886757,0.24941506785212916,100.0,688.6,2820.0,True,0.06431634549721106,0.08342015361131974,84,0.16046101285721404,1.8283636667572142e-05,0.03571428571428571,plant/no tooth/stays/shore,0.07464420563462097,100.0,243.0,3481.0,True,0.029596375245081904,0.029438131466091633,78,0.24639165852564515,0.0,0.0,mixed/no tooth/stays/shore,0.3325102880658436,0.30288277060601054,0.22790053358444667,0.707,0.337,1594,0.21373083467046974,0.34316185696361357,0.08657465495608532,0.14303638644918445,1033,0.17282337304623865,0.3339787028073572,0.0968054211035818,0.2855759922555663,1613,0.2627833662221166,0.41661500309981403,0.13453192808431494,0.23620582765034098,1312,0.25967500300451074,0.5160060975609756,0.14253048780487804,0.14634146341463414,6,"plant/no tooth/stays/shore (95, kills 11%)",95,7.333333333333333,4,4.666666666666667,"plant/no tooth/stays/shore (172, kills 5%)",162,1,1
c1225_life10_oB_s2,10,oB,2,grazer,7714.0,8077.190476190476,6624.0,3149.809523809524,1877.6666666666667,3049.714285714286,2.97e-14,0.2380529683360317,0.03074837432541938,0.1020121665886757,0.24941506785212916,100.0,1344.0,4138.0,True,0.08660784450316679,0.17422867513611615,338,0.13110647127754643,1.8476756575699606e-05,0.23076923076923078,plant/no tooth/stays/shore,0.036458333333333336,100.0,680.8,1946.0,True,0.0639366130423691,0.08825512056002073,179,0.38731539117346775,0.02096677156900925,0.3743016759776536,mixed/no tooth/stays/shore,0.7106345475910694,0.30288277060601054,0.2279020113751053,0.707,0.337,1594,0.21373083467046974,0.34316185696361357,0.08657465495608532,0.14303638644918445,752,0.2700176861539469,0.4375,0.16622340425531915,0.21675531914893617,1145,0.26531716053314197,0.41746724890829695,0.17292576419213973,0.1703056768558952,1177,0.28112056295372556,0.3874256584536958,0.11894647408666101,0.1469838572642311,6,"plant/no tooth/stays/shore (95, kills 11%)",95,7,4,3.6666666666666665,-,0,0,0
c1225_life11_oA_s1,11,oA,1,hunter,11301.6,10521.142857142857,8511.0,4155.0952380952385,1542.2380952380952,4823.809523809524,2.77e-14,0.2734772672207399,0.023625693404941212,0.11768851303735024,0.21846370683579985,101.0,0.0,101.0,False,-0.17694225658004017,0.0,0,nan,nan,nan,-,nan,100.0,5520.0,12699.0,True,0.13369876510943499,0.4884264174984073,744,0.3723466442913211,0.09124921567124915,0.7190860215053764,mixed/tooth/roams/shore,0.5551811594202899,0.16737998771471438,0.16070536099690985,0.0,0.006,9759,0.19272162278461544,0.00020493903063838507,0.0,0.4061891587252792,1500,0.3027442444185443,0.0006666666666666666,0.0,0.25266666666666665,2422,0.2711362046995866,0.002064409578860446,0.0,0.3236994219653179,2381,0.23662951277234878,0.0,0.0,0.4157916841663167,4,-,0,6.333333333333333,5,3.6666666666666665,-,0,1,0
c1225_life11_oA_s2,11,oA,2,hunter,9635.6,9713.47619047619,7553.0,3692.809523809524,1561.3809523809523,4459.285714285715,2.86e-14,0.26500060526035624,0.02568100163510483,0.11768851303735024,0.21846370683579985,100.0,0.0,1625.0,False,-0.17661057888493453,0.0,0,nan,nan,nan,-,nan,100.0,5760.0,8212.0,True,0.13511741892339485,0.5977832205571008,933,0.28399653092440347,0.05833733183694469,0.48981779206859594,mixed/no tooth/stays/shore,0.5254861111111111,0.16737998771471438,0.16070604774348224,0.0,0.006,9759,0.19272162278461544,0.00020493903063838507,0.0,0.4061891587252792,1983,0.21364668177803106,0.005042864346949067,0.0005042864346949068,0.4664649520927887,1168,0.3067070588701258,0.003424657534246575,0.0,0.2517123287671233,1908,0.2005264080872528,0.0005241090146750524,0.0,0.4827044025157233,4,-,0,5.666666666666667,1,3,-,0,0,0
