run,seed,world,draw,way,n,held,kills,wood,tooth,grazer_mark,hunter_mark
c1225_life10_oA_s1,10,oA,1,mixed/no tooth/stays/bottom,514,True,0.23853882941222693,0.0,0.007782101167315175,0.06614785992217899,0.0
c1225_life10_oA_s1,10,oA,1,plant/no tooth/stays/bottom,356,False,0.10497802881782302,0.0,0.0028089887640449437,0.0,0.0
c1225_life10_oA_s1,10,oA,1,mixed/no tooth/stays/shore,311,True,0.06318011542204381,0.0,0.003215434083601286,0.2379421221864952,0.0
c1225_life10_oA_s1,10,oA,1,plant/no tooth/stays/surface,263,False,0.09674319885054421,0.0,0.0076045627376425855,0.5893536121673004,0.0
c1225_life10_oA_s1,10,oA,1,mixed/tooth/roams/shore,260,True,0.4548715182862905,0.18064593566730602,0.9923076923076923,0.038461538461538464,0.0
c1225_life10_oA_s1,10,oA,1,mixed/no tooth/roams/bottom,119,False,0.41691133437477246,0.0,0.008403361344537815,0.0,0.0
c1225_life10_oA_s2,10,oA,2,mixed/no tooth/stays/bottom,405,False,0.25318475370825794,0.0,0.014814814814814815,0.06419753086419754,0.0
c1225_life10_oA_s2,10,oA,2,mixed/no tooth/stays/shore,270,True,0.10405120008514115,0.0,0.003703703703703704,0.25925925925925924,0.0
c1225_life10_oA_s2,10,oA,2,plant/no tooth/stays/bottom,223,False,0.06946152224855133,0.0,0.004484304932735426,0.13901345291479822,0.0
c1225_life10_oA_s2,10,oA,2,plant/no tooth/stays/shore,204,True,0.08562550431394196,0.0003921695633748317,0.04411764705882353,0.15196078431372548,0.0
c1225_life10_oA_s2,10,oA,2,plant/no tooth/stays/surface,168,False,0.14288825624813534,0.0,0.005952380952380952,0.6726190476190477,0.0
c1225_life10_oA_s2,10,oA,2,mixed/tooth/roams/land,142,True,0.45226366605252133,0.0943789092461827,1.0,0.0,0.0
c1225_life10_oA_s2,10,oA,2,mixed/tooth/roams/shore,138,True,0.470818735060213,0.15248237788156713,0.8333333333333334,0.10869565217391304,0.0
c1225_life10_oA_s2,10,oA,2,plant/no tooth/roams/shore,124,False,0.15398702803475822,0.0032803462344814247,0.1532258064516129,0.7338709677419355,0.0
c1225_life10_oA_s2,10,oA,2,mixed/tooth/stays/shore,98,True,0.2845037893404731,0.03951855015539966,0.5714285714285714,0.16326530612244897,0.0
c1225_life10_oB_s1,10,oB,1,mixed/no tooth/stays/bottom,221,True,0.22502272771420367,2.979850212184658e-05,0.17647058823529413,0.19457013574660634,0.24434389140271492
c1225_life10_oB_s1,10,oB,1,mixed/tooth/roams/land,217,True,0.4286964523715976,0.10461821453784981,0.9907834101382489,0.0,0.0
c1225_life10_oB_s1,10,oB,1,plant/no tooth/stays/shore,172,True,0.05468562557312255,0.020893562388372932,0.1744186046511628,0.0,0.05813953488372093
c1225_life10_oB_s1,10,oB,1,mixed/tooth/roams/shore,166,True,0.4272800919716535,0.28026950695249453,0.9156626506024096,0.0,0.0
c1225_life10_oB_s1,10,oB,1,mixed/tooth/stays/land,137,False,0.2670090113506198,0.10512427679696465,0.8978102189781022,0.0,0.0
c1225_life10_oB_s1,10,oB,1,mixed/no tooth/stays/shore,130,False,0.23609512986194847,0.000652522234413218,0.07692307692307693,0.0,0.023076923076923078
c1225_life10_oB_s1,10,oB,1,plant/no tooth/roams/surface,117,False,0.2187418589761626,0.0,0.0,0.0,0.0
c1225_life10_oB_s1,10,oB,1,plant/no tooth/stays/bottom,112,False,0.09089550680703075,0.0,0.008928571428571428,0.29464285714285715,0.0
c1225_life10_oB_s2,10,oB,2,mixed/no tooth/stays/bottom,323,True,0.24450845018860703,9.753612993663809e-05,0.043343653250773995,0.0,0.006191950464396285
c1225_life10_oB_s2,10,oB,2,mixed/tooth/stays/shore,275,False,0.23475989454665422,0.054994809199670244,0.64,0.0,0.0
c1225_life10_oB_s2,10,oB,2,plant/no tooth/stays/surface,238,True,0.10794383850625097,0.0,0.0,0.8907563025210085,0.0
c1225_life10_oB_s2,10,oB,2,mixed/no tooth/roams/shore,175,True,0.41303311690383077,0.16976802311063727,0.6285714285714286,0.0,0.0
c1225_life10_oB_s2,10,oB,2,plant/no tooth/roams/surface,120,False,0.16721464009627296,7.06319883485472e-05,0.18333333333333332,0.0,0.0
c1225_life10_oB_s2,10,oB,2,mixed/no tooth/stays/shore,106,False,0.41877424899132454,0.005204905365068505,0.1792452830188679,0.0,0.7641509433962265
c1225_life10_oB_s2,10,oB,2,mixed/tooth/roams/shore,102,True,0.49696652416171644,0.2032119749571413,0.9803921568627451,0.0,0.0
c1225_life10_oB_s2,10,oB,2,plant/no tooth/stays/bottom,89,False,0.09967702895401229,0.0,0.0449438202247191,0.5730337078651685,0.0
c1225_life11_oA_s1,11,oA,1,plant/no tooth/stays/bottom,687,True,0.0561546983546755,0.0,0.0,0.0,0.0
c1225_life11_oA_s1,11,oA,1,mixed/no tooth/stays/bottom,589,True,0.2575572990903254,0.0,0.0,0.0,0.04584040747028863
c1225_life11_oA_s1,11,oA,1,mixed/no tooth/roams/shore,467,True,0.4037822888030196,0.0,0.0,0.0,0.0
c1225_life11_oA_s1,11,oA,1,mixed/tooth/roams/land,421,True,0.45092907833379026,0.1432686526893546,0.9429928741092637,0.0,1.0
c1225_life11_oA_s1,11,oA,1,mixed/no tooth/stays/shore,272,True,0.3131564830429616,0.004089794074956057,0.10294117647058823,0.0,0.2757352941176471
c1225_life11_oA_s1,11,oA,1,mixed/no tooth/roams/bottom,185,False,0.27456314857998587,0.0,0.0,0.0,0.0
c1225_life11_oA_s2,11,oA,2,plant/no tooth/stays/bottom,957,False,0.1340115565952668,0.0,0.0,0.0,0.05642633228840126
c1225_life11_oA_s2,11,oA,2,mixed/no tooth/roams/shore,433,False,0.2719709444221749,0.0,0.0,0.0,0.0
c1225_life11_oA_s2,11,oA,2,mixed/no tooth/stays/bottom,367,True,0.24702452617784137,0.0,0.0,0.0,0.0
c1225_life11_oA_s2,11,oA,2,mixed/tooth/roams/shore,312,False,0.41885117926127097,0.1334005485536712,0.875,0.0,1.0
c1225_life11_oA_s2,11,oA,2,mixed/tooth/stays/shore,279,False,0.24976912052631195,0.03250781565554712,0.5734767025089605,0.0,1.0
c1225_life11_oA_s2,11,oA,2,plant/no tooth/stays/surface,196,False,0.1583587449334019,0.0,0.0,0.0,0.7908163265306123
c1225_life11_oB_s1,11,oB,1,mixed/no tooth/stays/bottom,202,False,0.32249187013575403,0.0,0.0297029702970297,0.0,0.0
c1225_life11_oB_s1,11,oB,1,mixed/tooth/stays/shore,190,True,0.35098901364772656,0.05924922611241227,0.9368421052631579,0.0,0.18421052631578946
c1225_life11_oB_s1,11,oB,1,mixed/no tooth/stays/shore,173,True,0.14872895601846065,0.0,0.011560693641618497,0.0,0.011560693641618497
c1225_life11_oB_s1,11,oB,1,plant/no tooth/roams/shore,154,True,0.14843159694835323,2.244670461656194e-06,0.03896103896103896,0.0,0.012987012987012988
c1225_life11_oB_s1,11,oB,1,mixed/tooth/roams/land,149,True,0.47547330362149337,0.25977533780219314,0.9865771812080537,0.0,0.020134228187919462
c1225_life11_oB_s1,11,oB,1,mixed/tooth/roams/shore,133,False,0.39928801230009026,0.24945139138845562,0.9849624060150376,0.0,0.0
c1225_life11_oB_s1,11,oB,1,plant/no tooth/stays/surface,93,False,0.13409863943217742,0.0,0.021505376344086023,0.0,0.0
c1225_life11_oB_s2,11,oB,2,mixed/no tooth/roams/bottom,369,True,0.4189642682361426,0.0,0.0,0.975609756097561,0.0
c1225_life11_oB_s2,11,oB,2,mixed/no tooth/stays/bottom,303,True,0.14987317828956442,0.0,0.009900990099009901,0.7755775577557755,0.0
c1225_life11_oB_s2,11,oB,2,mixed/tooth/stays/shore,252,True,0.2730454746596383,0.0390742864345475,0.5476190476190477,0.0,0.0
c1225_life11_oB_s2,11,oB,2,mixed/tooth/roams/shore,216,True,0.40126394014915046,0.22067231419244462,0.8287037037037037,0.0,0.0
c1225_life11_oB_s2,11,oB,2,mixed/no tooth/roams/shore,190,True,0.22297233578640052,0.029462900266950833,0.1631578947368421,0.4789473684210526,0.0
