step,mass,born_mass,hard,muscle,sensor,digestive,bite,shell,open,speed,age,energy,plant,meat,lineage,place,born_place,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,fat,size,density
100000,116.00,64,0,27,0,31,0,1.00,0,0.233,2248,6.39,271.17,664.24,1949,0,0,0,1.00,1.00,1.00,6,8,8,23.0,330.703,58,2.000
100000,128.00,64,0,16,0,48,0,1.00,0,0.125,2178,6.60,538.83,1172.23,1949,0,0,0,1.00,1.00,1.00,9,8,8,17.0,348.480,64,2.000
100000,128.00,64,0,16,0,48,0,1.00,0,0.125,1861,9.68,396.65,642.78,2394,0,0,0,1.00,1.00,1.00,9,8,8,23.1,297.760,64,2.000
100000,128.00,64,0,16,0,48,0,1.00,0,0.125,1836,6.71,484.30,566.81,2394,0,0,0,1.00,1.00,1.00,6,8,8,22.4,293.760,64,2.000
100000,128.00,64,0,16,0,48,0,1.00,0,0.125,1811,14.16,495.99,562.13,1949,0,0,0,1.00,1.00,1.00,9,8,8,15.2,289.760,64,2.000
100000,128.00,64,0,16,0,48,0,1.00,0,0.125,1715,9.36,278.87,444.81,2259,0,0,0,1.00,1.00,1.00,9,8,8,21.3,274.400,64,2.000
100000,128.00,64,0,16,0,48,0,1.00,0,0.125,1663,9.55,277.99,754.27,2338,0,2,0,1.00,1.00,1.00,6,8,8,19.7,266.080,64,2.000
100000,128.00,64,0,16,0,48,0,1.00,0,0.125,1660,5.32,209.99,574.70,2062,0,0,0,1.00,1.00,1.00,9,8,8,19.9,265.600,64,2.000
100000,116.00,64,0,24,0,34,0,1.00,0,0.207,1636,5.37,420.68,528.09,2448,0,0,0,1.00,1.00,1.00,9,8,8,18.0,239.540,58,2.000
100000,128.00,64,0,16,0,48,0,1.00,0,0.125,1599,11.51,338.46,385.39,2425,0,0,0,1.00,1.00,1.00,4,8,8,19.2,255.840,64,2.000
100000,128.00,64,0,44,0,20,0,1.00,0,0.344,1585,8.91,230.07,290.48,2430,0,0,0,1.00,1.00,1.00,9,8,8,16.4,253.600,64,2.000
