step,event,lineage,other,size
75000,split,1804,1567,5
75000,extinct,1686,0,12
75000,extinct,1803,0,12
75000,extinct,1834,0,81
75000,merge,1888,3,132
75000,extinct,1899,0,9
75000,extinct,1917,0,17
76000,split,1941,1834,97
76000,split,1944,1815,6
76000,split,1945,1736,18
76000,split,1949,1815,28
76000,extinct,1804,0,5
77000,split,1938,1803,25
77000,split,1963,1834,56
77000,split,1977,1815,6
77000,extinct,1702,0,23
78000,split,1981,1963,214
78000,split,1982,1965,219
78000,split,1993,1803,32
78000,extinct,1567,0,5
79000,split,2016,1941,28
79000,extinct,1977,0,6
80000,split,2034,1868,7
80000,split,2035,2012,33
80000,split,2040,1736,56
80000,extinct,1941,0,37
80000,extinct,1963,0,46
81000,split,2047,1963,43
81000,extinct,2016,0,21
82000,split,2062,1815,205
82000,split,2067,1941,43
82000,split,2069,1815,39
83000,split,2020,1815,8
83000,split,2095,1815,30
83000,split,2100,1945,56
83000,extinct,1736,0,16
83000,extinct,1981,0,20
83000,extinct,1993,0,31
84000,split,2106,1982,38
84000,extinct,1944,0,10
84000,extinct,2034,0,21
84000,extinct,2069,0,17
85000,split,2125,3,36
85000,extinct,1982,0,10
85000,extinct,2067,0,7
86000,split,2137,2035,7
86000,split,2139,1868,42
86000,split,2140,2106,103
86000,split,2160,2067,234
86000,extinct,1945,0,10
86000,extinct,2020,0,5
87000,split,2117,2062,26
87000,extinct,2106,0,25
87000,extinct,2125,0,8
88000,split,2180,1868,50
88000,split,2181,2106,128
88000,extinct,2047,0,13
89000,split,2208,2062,63
89000,split,2210,2160,91
89000,split,2211,1949,66
89000,split,2212,2035,25
89000,split,2215,2160,14
89000,split,2227,1868,24
90000,split,2241,1868,19
90000,extinct,1815,0,77
90000,extinct,2140,0,84
90000,extinct,2215,0,14
91000,split,2226,1949,15
92000,split,2284,2210,92
92000,extinct,1868,0,5
92000,extinct,2181,0,12
92000,extinct,2210,0,66
92000,extinct,2227,0,17
93000,split,2295,2181,208
93000,split,2297,2160,31
93000,extinct,2040,0,5
93000,extinct,2100,0,14
93000,extinct,2160,0,9
93000,extinct,2211,0,11
93000,extinct,2226,0,5
94000,split,2321,2295,113
94000,split,2326,2181,45
94000,split,2338,2139,13
94000,extinct,2137,0,7
94000,extinct,2180,0,12
95000,extinct,2139,0,5
95000,extinct,2297,0,31
96000,split,2369,2100,34
96000,extinct,2117,0,5
96000,extinct,2208,0,15
96000,extinct,2212,0,6
97000,split,2259,2062,66
97000,split,2377,1938,6
97000,extinct,2095,0,9
98000,split,2394,2035,103
98000,extinct,2326,0,9
99000,split,2402,1949,30
99000,extinct,2284,0,8
100000,split,2405,3,151
100000,split,2407,2326,33
100000,split,2409,2284,281
100000,split,2410,2062,30
