step,lineage,size,mass,hard,muscle,sensor,digestive,bite,shell,open,bodies,age,plant,meat,p0,p1,pnone,bite_any,shell_front,shell_back,shell_side,foot,len_fwd,len_side,height,density
5000,3,1779,15.5,0.5,0.2,0.2,14.3,0.0,1.16,13.0,754,112,5.83,7.50,882,520,377,0.0,1.11,1.20,1.18,3.40,4.20,5.37,27.9,0.998
5000,23,325,20.1,0.6,0.5,0.5,19.1,0.0,1.12,9.2,196,107,6.83,8.36,215,82,28,0.0,1.07,1.19,1.11,4.14,5.69,5.80,26.9,0.960
5000,8,249,89.4,0.0,27.0,0.2,21.4,0.0,1.01,2.3,201,133,8.73,54.04,193,35,21,0.0,1.01,1.01,1.00,6.27,7.43,7.59,20.6,1.839
5000,2,150,9.9,0.0,0.2,0.0,9.8,0.0,1.00,16.9,88,93,4.06,5.08,127,21,2,0.0,1.00,1.00,1.00,2.78,4.67,2.90,16.2,0.990
5000,52,92,15.7,3.3,0.0,0.3,9.9,0.0,1.83,16.0,47,252,12.87,17.19,0,2,90,0.0,2.13,1.64,1.76,3.18,4.34,3.70,39.8,0.936
5000,78,86,21.4,1.4,0.1,0.7,20.1,0.0,1.62,11.1,49,77,5.97,5.47,0,18,68,0.0,1.71,1.17,1.81,4.15,5.34,5.42,42.0,0.923
5000,13,64,28.4,1.3,0.3,1.5,28.3,0.0,1.34,5.5,51,82,7.36,5.96,1,7,56,0.0,1.20,1.49,1.33,5.20,6.25,7.03,43.6,0.876
5000,49,63,27.2,0.7,3.1,0.0,20.4,0.0,1.26,9.2,36,117,6.92,11.79,50,7,6,0.0,1.25,1.21,1.31,4.24,6.35,5.21,25.0,1.079
5000,53,47,9.9,0.2,0.1,0.0,9.6,0.0,1.07,16.3,33,128,6.23,7.67,47,0,0,0.0,1.09,1.09,1.05,2.77,4.34,3.85,23.9,0.971
5000,19,47,14.1,0.5,0.0,0.0,14.8,0.0,1.19,13.0,40,99,6.88,6.20,39,5,3,0.0,1.22,1.27,1.13,3.47,5.96,4.66,24.4,0.892
5000,1,32,8.4,0.0,0.0,0.0,8.8,0.0,1.00,13.6,15,157,11.05,10.73,32,0,0,0.0,1.00,1.00,1.00,2.66,7.00,2.38,14.4,0.962
5000,38,16,14.1,0.0,0.0,0.0,15.5,0.0,1.00,14.1,12,79,6.36,7.11,0,11,5,0.0,1.00,1.00,1.00,3.38,5.94,3.00,37.2,0.896
6000,3,2141,15.2,0.2,0.7,0.2,14.8,0.0,1.05,12.7,724,101,4.95,6.71,946,553,642,0.0,1.03,1.07,1.06,3.43,4.16,5.58,29.7,0.957
6000,107,487,14.3,0.0,0.5,0.0,17.1,0.0,1.01,11.8,253,87,4.25,5.70,117,210,160,0.0,1.01,1.01,1.01,3.69,3.58,6.60,33.0,0.803
6000,8,446,95.2,0.0,23.5,0.1,26.8,0.0,1.00,2.0,305,120,9.91,54.00,275,105,66,0.0,1.00,1.00,1.00,6.64,7.57,7.54,24.6,1.890
6000,23,416,20.3,0.8,0.3,0.2,20.1,0.0,1.21,9.0,219,92,5.71,6.71,174,139,103,0.0,1.11,1.29,1.25,4.13,5.12,6.44,31.0,0.930
6000,101,403,89.5,0.2,27.3,0.0,19.5,0.0,1.04,3.1,331,127,10.62,48.22,252,99,52,0.0,1.03,1.05,1.04,6.22,7.16,7.32,26.9,1.890
6000,2,302,9.8,0.1,0.4,0.0,9.5,0.0,1.04,17.2,150,111,5.14,6.47,273,27,2,0.0,1.03,1.05,1.04,2.59,3.99,3.48,14.4,0.959
6000,106,203,17.5,0.8,0.0,0.0,15.7,0.0,1.26,12.8,88,120,6.26,9.41,33,126,44,0.0,1.11,1.30,1.31,3.53,3.92,5.83,32.4,1.007
6000,102,167,22.8,0.2,1.3,0.1,18.4,0.0,1.07,12.4,108,102,5.98,8.28,113,31,23,0.0,1.11,1.09,1.05,3.69,5.33,4.49,26.9,1.127
6000,108,141,11.7,0.5,0.3,0.9,16.5,0.0,1.13,11.7,88,80,4.15,5.41,10,59,72,0.0,1.16,1.12,1.11,3.71,4.81,5.43,38.4,0.634
6000,49,99,28.1,0.7,6.5,0.0,16.9,0.1,1.13,8.3,66,98,7.20,11.65,61,33,5,0.1,1.11,1.17,1.13,4.59,5.70,6.27,25.2,1.159
6000,52,92,13.3,2.8,0.0,0.1,8.5,0.0,1.67,17.1,41,345,16.78,23.05,0,7,85,0.0,1.85,1.29,1.74,3.02,4.12,3.36,39.2,0.933
6000,98,79,16.4,0.1,0.0,0.0,15.6,0.0,1.01,11.9,46,118,6.08,9.17,76,3,0,0.0,1.00,1.02,1.02,3.49,5.16,4.91,17.6,1.043
6000,53,61,8.6,0.1,0.9,0.0,8.0,0.0,1.05,17.9,33,72,3.12,4.47,61,0,0,0.0,1.06,1.06,1.03,2.57,3.75,3.33,24.0,0.931
6000,1,53,5.1,0.0,0.0,0.0,5.1,0.0,1.06,20.1,27,206,10.42,11.71,53,0,0,0.0,1.04,1.04,1.09,2.11,4.38,1.62,14.9,0.993
