step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std
10000,7930,2.232,0.481,8.53,766510,636306,2,95165,32946,6459043,2679738.0,5645446.0,0.073,0.633,0.197,0.097,33,25.51,30.72,0.22,1.82,4.01,9.46,0.17,1.58,16.17,11.29,0.00,0.14,0.081,0.179,3209,0.100,0.039,0.938,0.000,0.023,1183634,900106,20,0.354,0.394,0.028,4733422,0.203,1.676,0.033,120.16,418669,122,0.874,0.349,0.654,34534500,1.06,10.81,0.061,0.344,0.001,5.8,13.3,60.8,177.3,163094,0.156,0.00,0.0021,0.054,1991,0.593,0.000,0.726,0.402,3.93,4.88,5.80,0.03,0.009,1.04,1.08,1.07,0.629,0.01152,18.11,694.6997,20271.29,64334.1,167917.5,461.781,299.1342,733.344,1210.648,0.946,0.026,94.7,91.379,810.862,1844,4612.5,50.60,93.349,263.918,4289.7,208.652,0.135,2.00,6.3346,50233.2,0.6024,0.4040,20.57,1.070,0.353,1.3183,0.0000
20000,6835,2.334,0.425,8.19,659931,549685,0,82378,28963,4664260,1937655.1,4038468.8,0.028,0.664,0.218,0.089,46,27.45,34.16,0.14,1.40,4.63,9.81,0.13,1.26,15.68,10.83,0.00,0.05,0.086,0.179,2356,0.162,0.049,0.932,0.000,0.019,714635,537834,10,0.472,0.271,0.018,1756395,0.199,1.705,0.028,92.05,236735,107,0.866,0.371,0.644,19811930,1.04,10.81,0.072,0.347,0.001,6.1,13.3,81.6,133.9,140667,0.134,0.00,0.0018,0.050,1464,0.414,0.000,0.679,0.200,3.98,4.99,5.67,0.05,0.018,1.02,1.05,1.04,0.450,0.01131,12.43,406.1706,17668.14,72392.0,167917.5,182.834,175.0180,508.154,1087.735,0.888,0.037,82.9,77.275,403.644,1473,3531.3,70.30,54.865,159.440,4080.2,128.630,0.135,2.00,7.0024,47861.2,0.6156,0.3921,20.58,1.111,0.384,0.6817,0.0000
30000,7642,2.249,0.443,10.31,767497,617318,12,104939,44421,5648817,2372732.8,5193011.5,0.027,0.650,0.219,0.104,40,26.88,32.16,0.11,1.16,4.52,9.86,0.25,2.02,15.03,10.51,0.00,0.08,0.082,0.162,3096,0.069,0.044,0.927,0.000,0.028,1127643,877376,8,0.632,0.276,0.037,1526433,0.216,1.614,0.030,97.88,366219,128,0.919,0.348,0.638,29727664,1.04,10.72,0.060,0.400,0.000,5.7,15.1,65.9,152.0,152151,0.145,0.00,0.0021,0.057,1904,0.500,0.000,0.735,0.379,3.92,4.75,5.98,0.01,0.004,1.03,1.04,1.04,0.533,0.01073,31.83,595.1841,17983.19,68829.3,167917.5,491.706,258.1083,627.949,786.088,0.926,0.036,102.5,81.970,753.292,1747,4572.5,45.82,40.696,242.555,4007.0,196.025,0.134,2.00,6.3664,48652.2,0.5831,0.4580,19.91,1.165,0.475,1.3183,0.0000
40000,7301,2.237,0.426,11.52,705744,588394,1,89324,28366,5311864,1944431.8,4235345.0,0.027,0.702,0.184,0.087,44,26.67,31.13,0.20,1.90,4.00,8.28,0.10,1.15,15.81,11.39,0.00,0.11,0.081,0.156,3145,0.017,0.035,0.933,0.000,0.032,759117,531773,4,0.699,0.087,0.015,1794702,0.178,1.651,0.026,97.30,304987,106,0.797,0.367,0.649,22531271,1.06,9.71,0.046,0.438,0.001,5.1,15.4,66.0,201.9,146811,0.140,0.00,0.0017,0.055,1773,0.414,0.000,0.626,0.194,4.11,4.83,6.47,0.02,0.008,1.05,1.07,1.06,0.453,0.01137,16.50,413.4208,17469.59,75663.3,167917.5,177.162,170.7400,532.164,990.242,0.888,0.037,93.9,83.036,392.962,1442,3538.3,59.30,52.552,155.792,4307.1,126.495,0.135,2.00,6.0299,44024.6,0.5732,0.3810,20.11,1.135,0.526,0.6817,0.0000
50000,7320,2.534,0.432,10.55,789062,645555,6,105102,38380,6137959,2514380.8,5432820.5,0.028,0.679,0.200,0.093,39,31.93,40.55,0.06,0.94,3.48,7.87,0.11,1.16,19.46,13.87,0.00,0.01,0.056,0.132,2364,0.054,0.044,0.937,0.000,0.019,1109374,827998,6,0.612,0.190,0.019,1136179,0.218,1.741,0.030,106.58,410690,122,0.885,0.342,0.664,30508196,1.02,9.81,0.128,0.326,0.000,6.1,14.8,128.0,128.0,169173,0.161,0.00,0.0018,0.055,1981,0.478,0.000,0.678,0.353,4.20,4.85,6.33,0.01,0.003,1.01,1.02,1.02,0.514,0.01428,34.70,623.0544,19060.75,60169.5,167917.5,475.212,247.9873,685.917,972.318,0.955,0.026,119.4,104.522,762.406,1352,3367.6,49.40,45.298,247.474,3940.4,206.264,0.135,2.00,7.6633,56095.4,0.5537,0.4233,23.11,1.107,0.490,1.3183,0.0000
60000,7035,2.508,0.393,10.62,664815,574014,1,65462,25623,4127602,2021576.6,4207823.5,0.021,0.693,0.199,0.086,46,31.67,40.15,0.11,1.12,3.26,7.40,0.12,1.46,19.64,13.80,0.00,0.04,0.055,0.135,2222,0.058,0.046,0.934,0.000,0.019,714155,515680,6,0.759,0.058,0.018,1102001,0.196,1.561,0.027,93.03,265885,109,1.019,0.352,0.648,21787118,1.03,9.26,0.125,0.320,0.001,6.2,15.1,128.0,167.9,162688,0.155,0.00,0.0015,0.056,1976,0.422,0.000,0.615,0.194,4.28,4.92,6.53,0.02,0.010,1.01,1.04,1.03,0.452,0.01244,15.60,452.4203,17075.21,65146.2,167917.5,171.639,172.4901,551.999,1167.063,0.929,0.031,102.1,87.517,398.018,1275,3009.5,66.13,49.912,166.479,3533.1,139.557,0.134,2.00,7.7950,54837.9,0.5475,0.3905,23.13,1.094,0.500,0.6817,0.0000
70000,6432,2.569,0.422,11.67,712719,599793,27,83438,30064,5139609,2468735.5,4987066.0,0.027,0.699,0.185,0.089,41,32.15,39.33,0.08,1.06,3.86,7.48,0.07,1.26,18.86,13.82,0.00,0.00,0.071,0.142,2232,0.074,0.039,0.939,0.000,0.021,920906,662443,10,0.610,0.266,0.009,929360,0.208,1.987,0.025,104.53,361358,114,0.970,0.348,0.671,28056042,1.02,9.35,0.123,0.332,0.000,6.2,15.2,128.0,162.0,147131,0.140,0.00,0.0020,0.049,1737,0.478,0.000,0.638,0.307,4.23,4.78,6.63,0.02,0.006,1.01,1.03,1.02,0.510,0.01472,32.09,597.1255,19313.80,54974.2,167917.5,493.918,242.2735,647.531,921.463,0.868,0.030,82.7,94.667,765.547,1202,2699.8,85.46,45.973,233.429,3173.7,195.433,0.135,2.00,10.0368,64556.4,0.5904,0.3940,22.87,1.154,0.546,1.3183,0.0000
80000,6009,2.558,0.363,12.20,580477,506804,3,49624,24469,3354281,1912668.0,3741179.2,0.028,0.715,0.178,0.078,48,32.30,40.58,0.06,1.03,3.81,7.48,0.06,0.85,19.24,13.99,0.01,0.16,0.074,0.157,2073,0.072,0.046,0.931,0.000,0.023,613978,449414,15,0.719,0.133,0.009,640806,0.168,1.718,0.021,88.87,256228,110,1.115,0.355,0.664,19063290,1.01,8.54,0.130,0.290,0.002,6.6,14.2,128.0,200.0,139245,0.133,0.00,0.0017,0.049,1623,0.407,0.000,0.564,0.197,4.40,4.91,6.96,0.01,0.004,1.01,1.02,1.01,0.433,0.01139,18.05,430.3337,16301.18,59506.5,167917.5,189.515,171.1876,487.066,808.731,0.785,0.033,71.3,68.458,380.900,985,2087.7,95.59,39.209,150.327,2970.3,126.571,0.135,2.00,10.8677,65304.2,0.5981,0.3791,23.17,1.122,0.539,0.6817,0.0000
90000,5742,2.699,0.401,12.81,576007,499584,75,50563,26052,3711758,2341866.8,4409435.0,0.030,0.726,0.167,0.076,44,34.84,41.45,0.14,1.55,4.14,7.13,0.10,1.01,19.58,14.92,0.01,0.23,0.094,0.161,2250,0.078,0.035,0.941,0.000,0.024,732960,542602,21,0.628,0.149,0.019,740994,0.171,1.907,0.023,95.09,321784,120,1.188,0.338,0.692,23594851,1.03,8.21,0.139,0.344,0.001,6.5,15.8,128.0,224.0,137516,0.131,0.00,0.0021,0.056,1639,0.466,0.000,0.569,0.310,4.53,4.97,7.06,0.03,0.010,1.03,1.03,1.04,0.492,0.01232,39.30,553.8196,18522.84,51104.6,167917.5,518.110,234.9555,550.594,609.106,0.818,0.029,69.9,70.760,719.146,1032,2200.4,67.83,32.199,211.470,2847.8,178.215,0.135,2.00,12.3606,70974.5,0.6242,0.3857,23.95,1.191,0.569,1.3183,0.0000
100000,5509,2.836,0.389,12.94,509229,451312,16,37892,20242,3078420,1879491.8,3522097.0,0.022,0.730,0.186,0.062,48,37.13,42.10,0.13,1.43,4.54,7.59,0.06,0.89,20.32,14.85,0.00,0.13,0.098,0.167,2051,0.076,0.042,0.930,0.000,0.028,548767,407509,18,0.575,0.043,0.012,858778,0.159,1.820,0.021,86.36,232358,116,1.144,0.343,0.662,18231682,1.03,7.38,0.147,0.313,0.001,7.7,16.2,128.0,188.0,137993,0.132,0.00,0.0017,0.048,1511,0.422,0.000,0.550,0.211,4.75,5.16,7.33,0.02,0.012,1.02,1.04,1.04,0.447,0.01163,19.33,416.8794,17264.11,58605.4,167917.5,194.176,169.9146,459.874,716.412,0.781,0.033,69.2,64.084,372.093,1148,2480.2,66.83,34.987,146.889,3025.1,123.389,0.135,2.00,11.6224,64027.8,0.5827,0.3713,25.05,1.234,0.575,0.6817,0.0000
