step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std
10000,2091,1.887,0.416,8.84,170303,153176,26,6221,10209,404002,663523.7,1342303.5,0.080,0.554,0.218,0.148,145,17.12,13.71,0.23,1.52,2.13,5.05,0.31,1.85,12.36,8.67,0.00,0.09,0.071,0.144,895,0.022,0.023,0.955,0.000,0.022,279647,234729,13,0.261,0.303,0.071,1678276,0.199,1.813,0.025,22.68,92429,177,3.323,0.347,0.796,9059308,1.04,13.44,0.004,0.223,0.001,4.8,13.6,36.4,112.6,31424,0.120,0.00,0.0026,0.038,275,0.692,0.000,0.796,0.431,3.62,4.27,5.16,0.03,0.007,1.02,1.04,1.06,0.703,0.00465,6.77,172.2266,4832.79,7062.8,41760.9,132.971,67.2383,158.221,160.493,0.589,0.008,8.6,9.723,187.939,289,604.8,89.50,14.369,53.579,591.3,43.516,0.134,2.00,11.0992,23208.4,1.3774,0.5783,15.03,1.169,0.309,1.3183,0.0000
20000,1564,2.164,0.408,6.35,140743,130206,17,4037,7010,271096,447489.7,980207.0,0.070,0.617,0.183,0.129,189,22.86,20.67,0.21,1.94,3.52,9.30,0.44,2.12,16.16,7.85,0.01,0.14,0.061,0.160,535,0.066,0.044,0.941,0.000,0.015,180073,148746,2,0.581,0.155,0.109,1338578,0.173,1.733,0.027,16.92,61811,154,3.616,0.340,0.720,7084184,1.05,9.80,0.013,0.207,0.005,8.0,16.2,59.0,127.9,31784,0.121,0.00,0.0018,0.072,294,0.607,0.000,0.740,0.299,4.20,4.50,6.68,0.03,0.010,1.04,1.06,1.05,0.616,0.00524,3.65,121.5103,4633.22,15700.1,41760.9,57.538,43.1733,117.199,118.559,0.736,0.041,10.5,8.188,92.809,203,415.7,51.57,7.480,33.578,1082.1,28.677,0.134,2.00,9.7591,15263.3,0.7152,0.5505,20.32,1.057,0.159,0.6817,0.0000
30000,2037,1.990,0.397,6.06,158345,140613,50,7882,9327,462678,596846.1,1278199.9,0.096,0.636,0.139,0.129,176,18.32,20.36,0.10,1.17,1.59,6.26,0.18,1.79,13.67,7.31,0.00,0.05,0.024,0.089,494,0.125,0.039,0.946,0.000,0.015,254274,220530,5,0.868,0.066,0.023,793549,0.230,1.720,0.025,17.45,75159,172,2.763,0.315,0.761,8979462,1.01,11.24,0.017,0.135,0.001,7.0,14.0,26.9,119.3,31675,0.121,0.00,0.0021,0.057,343,0.628,0.000,0.761,0.422,3.64,4.52,5.92,0.02,0.008,1.01,1.01,1.02,0.638,0.00498,7.31,152.7643,4887.16,10783.7,41760.9,137.671,60.3672,139.144,131.812,0.725,0.026,9.9,10.147,183.576,210,376.4,57.31,6.210,53.551,698.1,44.107,0.135,2.00,9.6539,19664.9,0.9058,0.6043,15.55,1.078,0.213,1.3183,0.0000
40000,2133,1.743,0.355,5.57,144228,133609,8,3635,6880,225854,440207.0,936723.6,0.086,0.667,0.130,0.117,198,14.52,15.06,0.04,0.58,0.64,4.00,0.08,1.21,12.10,6.57,0.00,0.06,0.011,0.065,307,0.415,0.031,0.951,0.000,0.017,174105,156932,4,0.925,0.027,0.013,276362,0.219,1.498,0.022,15.46,50282,147,4.147,0.336,0.770,8055613,1.01,11.42,0.014,0.063,0.000,7.1,10.2,20.1,129.4,27449,0.105,0.00,0.0017,0.055,298,0.609,0.000,0.737,0.253,3.62,4.34,6.95,0.01,0.002,1.00,1.01,1.01,0.615,0.00359,3.57,118.4544,4366.82,10557.3,41760.9,57.912,42.5158,115.017,119.235,0.614,0.025,5.6,7.668,95.536,180,349.4,49.34,6.412,34.751,596.2,29.678,0.135,2.00,9.8629,21037.7,0.9839,0.5739,12.87,1.073,0.187,0.6817,0.0000
50000,2061,1.946,0.445,6.86,169138,150692,48,8765,9705,449445,572428.9,1239750.8,0.067,0.643,0.123,0.168,169,18.02,20.45,0.23,1.68,2.72,6.90,0.16,1.46,11.01,7.71,0.02,0.26,0.080,0.182,649,0.081,0.026,0.949,0.000,0.025,258571,226585,5,0.780,0.097,0.034,646319,0.189,1.832,0.027,17.91,74617,168,2.758,0.308,0.735,11640074,1.06,13.25,0.016,0.248,0.009,5.2,11.6,35.5,167.0,29112,0.111,0.00,0.0025,0.049,302,0.679,0.000,0.820,0.385,3.48,4.06,5.80,0.05,0.019,1.04,1.07,1.07,0.689,0.00454,6.63,146.8349,4998.20,10820.7,41760.9,142.038,57.9890,140.560,118.659,0.747,0.027,10.6,9.356,186.350,355,777.2,50.17,6.931,49.409,854.2,41.165,0.135,2.00,9.1621,18883.0,1.1857,0.6550,14.13,1.183,0.273,1.3183,0.0000
60000,1907,1.914,0.377,5.83,128686,118212,5,5210,5413,332623,441113.0,872014.8,0.064,0.663,0.138,0.135,196,18.30,25.51,0.26,1.88,1.98,7.54,0.25,2.09,11.88,7.18,0.01,0.18,0.024,0.084,431,0.381,0.042,0.938,0.000,0.020,156830,135204,3,0.912,0.003,0.037,594161,0.184,1.614,0.025,16.15,49502,158,2.622,0.289,0.686,7237931,1.06,11.45,0.037,0.152,0.005,6.5,10.2,32.1,159.4,27388,0.104,0.00,0.0019,0.043,411,0.593,0.000,0.744,0.261,3.70,4.43,6.87,0.03,0.010,1.05,1.08,1.06,0.603,0.00456,3.37,105.0362,4128.52,14860.3,41760.9,57.362,42.6565,106.471,124.829,0.742,0.038,7.7,8.703,94.725,248,488.4,49.26,7.067,34.804,1014.5,28.830,0.133,2.01,8.5802,16362.5,0.9298,0.5759,14.36,1.092,0.239,0.6817,0.0000
70000,1770,2.142,0.424,6.20,162196,144914,32,8543,8844,385775,583711.8,1207136.5,0.078,0.643,0.138,0.141,175,22.09,31.79,0.25,1.83,2.02,6.52,0.36,2.30,13.42,9.72,0.01,0.15,0.023,0.073,438,0.167,0.034,0.951,0.000,0.015,242873,217212,5,0.879,0.003,0.043,794483,0.206,2.112,0.025,16.57,72135,185,3.129,0.311,0.733,10642134,1.04,11.31,0.062,0.187,0.003,6.1,12.3,62.0,177.3,28393,0.108,0.00,0.0025,0.045,380,0.661,0.000,0.792,0.375,3.82,4.54,6.59,0.05,0.012,1.01,1.08,1.05,0.668,0.00508,6.85,146.2224,4986.70,10086.7,41760.9,139.737,59.9340,135.383,120.807,0.740,0.024,9.1,8.991,186.808,247,530.6,62.16,5.911,52.829,862.5,43.737,0.134,2.00,11.3787,20140.2,1.0120,0.7068,16.04,1.132,0.295,1.3183,0.0000
80000,2073,1.771,0.361,5.52,128800,117595,5,5716,5181,350374,450560.2,888868.8,0.066,0.691,0.129,0.114,197,15.68,19.61,0.08,1.08,1.00,5.45,0.18,1.41,12.26,6.70,0.00,0.07,0.014,0.073,368,0.294,0.038,0.946,0.000,0.016,157305,141027,2,0.964,0.022,0.022,773024,0.166,1.552,0.021,16.49,48120,161,2.537,0.304,0.737,7494429,1.02,11.27,0.024,0.115,0.001,6.5,12.3,20.0,165.1,28017,0.107,0.00,0.0018,0.060,455,0.592,0.000,0.710,0.261,3.69,4.28,7.08,0.01,0.001,1.02,1.03,1.02,0.601,0.00454,3.69,106.1480,4242.61,13500.0,41760.9,56.137,42.7974,106.925,133.650,0.740,0.031,10.3,9.402,95.072,189,396.8,52.61,6.940,35.367,754.3,29.430,0.135,2.00,8.6893,18012.9,0.9140,0.5704,13.52,1.057,0.184,0.6817,0.0000
90000,2053,2.086,0.438,6.78,176592,157353,23,10601,8635,483754,597446.9,1304367.9,0.064,0.658,0.138,0.140,173,20.31,29.90,0.12,1.24,2.64,9.00,0.08,1.05,12.12,8.49,0.01,0.22,0.030,0.099,533,0.192,0.037,0.942,0.000,0.021,261918,238375,3,0.896,0.072,0.011,230124,0.210,1.762,0.029,17.57,75486,174,2.696,0.307,0.682,12333949,1.03,12.14,0.050,0.258,0.004,4.4,11.8,38.8,163.7,30708,0.117,0.00,0.0024,0.055,388,0.673,0.000,0.782,0.365,3.65,4.34,6.35,0.02,0.006,1.03,1.04,1.03,0.682,0.00541,7.28,152.7532,5103.49,13675.4,41760.9,137.736,59.8965,146.048,137.486,0.864,0.031,16.8,11.098,187.700,280,602.1,55.01,6.206,53.411,859.7,44.568,0.135,2.00,7.6868,15781.0,0.9185,0.6551,14.96,1.121,0.298,1.3183,0.0000
100000,2316,1.655,0.348,5.16,145539,133400,1,5932,5943,329223,452890.4,929094.6,0.060,0.708,0.124,0.108,195,12.92,7.83,0.06,0.77,0.35,2.55,0.05,0.98,12.00,5.89,0.00,0.00,0.013,0.084,308,0.384,0.036,0.944,0.000,0.020,172741,157616,1,1.000,0.000,0.008,228465,0.194,1.393,0.023,16.65,51980,140,2.822,0.325,0.773,9243734,1.02,11.16,0.003,0.047,0.000,7.2,12.3,19.3,87.7,28873,0.110,0.00,0.0016,0.053,335,0.626,0.000,0.702,0.234,3.75,4.27,7.21,0.01,0.003,1.01,1.03,1.02,0.633,0.00392,3.92,113.5358,4356.08,10163.7,41760.9,55.556,42.7779,115.318,137.493,0.631,0.022,6.2,9.087,95.962,134,259.8,40.68,7.103,35.562,597.5,29.816,0.135,2.00,9.2672,21462.8,0.9938,0.5136,12.47,1.026,0.065,0.6817,0.0000
