step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90
10000,2556,0.918,0.498,14.68,141338,113159,0,26384,680,2460513,1283376.2,1074987.9,0.102,0.652,0.196,0.050,103,23.36,17.08,1.61,3.85,3.74,6.08,1.69,3.87,12.73,12.31,0.17,0.71,0.122,0.176,1910,0.047,0.054,0.921,0.005,0.020,257361,174082,9,0.336,0.234,0.280,7366472,0.226,1.459,0.042,116.70,109606,260,0.437,0.160,0.341,17863998,1.55,4.15,0.243,0.714,0.068,4.3,21.4,43.7,197.0,50549,0.193,0.00,0.0039,0.109,637,0.736,0.000,0.632,0.473,3.74,4.72,4.68,0.18,0.071,1.68,1.38,1.62,0.773,0.00715,88.27,51.1679,754.00,112833.6,140307.6,0.087,19.4751,275.557,0.000,1.000,0.240,87.4,115.032,102.974,1293,5606.5,13.04,97.447,6.10,6.524,42.9,4.176,0.136,2.00,6.1373,15686.9,0.5248,0.3043,19.78,1.196,0.568,1.5299,0.0000,0.608,0.151,0.718,0.0000,5.67,0.77,5,19,36,99,99.7935,0.0551,0.4491,0.0000,0.0000,39.0889,100.00,82.0795,268.6241,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0034,0.0014,0.000009,11,0.2699,0.0160,0.0149,50,156,487
20000,2222,1.142,0.548,13.07,45909,36988,0,9228,22,889893,490930.5,342591.8,0.032,0.786,0.163,0.019,193,25.80,18.39,0.65,2.68,5.21,8.05,3.85,5.75,12.73,14.67,0.01,0.14,0.136,0.166,1665,0.042,0.057,0.912,0.006,0.025,54037,28757,4,0.416,0.141,0.434,3472601,0.242,1.560,0.048,48.49,25671,362,0.385,0.121,0.378,4416748,1.18,4.69,0.241,0.734,0.008,3.9,24.1,48.4,127.4,49865,0.190,0.00,0.0017,0.118,564,0.418,0.000,0.516,0.244,3.97,4.92,4.91,0.03,0.018,1.21,1.15,1.18,0.452,0.00713,16.84,7.8782,807.17,115465.7,140307.6,0.003,3.3677,104.950,0.000,1.000,0.416,81.5,46.110,23.972,1379,6240.8,14.63,18.439,5.65,0.726,59.5,0.471,0.134,2.01,5.4475,12104.4,0.4423,0.3321,22.44,1.273,0.595,0.4701,0.0000,0.524,0.104,0.594,0.0000,6.03,0.88,5,21,41,77,34.9780,0.1503,0.3902,0.0000,0.0000,10.9559,100.00,109.2333,230.5044,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0030,0.0013,0.000010,5,0.1144,0.0104,0.0190,47,155,584
30000,2754,0.843,0.490,20.00,222532,164248,0,57640,109,3773021,1225282.5,1442354.6,0.082,0.742,0.134,0.043,70,19.99,12.27,0.47,2.21,3.29,4.43,2.05,3.19,11.59,12.64,0.00,0.09,0.128,0.157,1768,0.048,0.067,0.890,0.009,0.034,358408,213609,11,0.317,0.480,0.423,15554208,0.263,1.402,0.039,123.25,189900,201,0.382,0.204,0.344,25332214,1.15,3.61,0.326,0.646,0.003,4.0,20.0,33.0,106.0,47934,0.183,0.00,0.0038,0.113,714,0.713,0.000,0.651,0.401,3.43,4.28,4.28,0.08,0.039,1.12,1.17,1.15,0.760,0.00783,80.44,54.4423,599.17,112830.3,140307.6,0.000,19.6439,286.497,0.000,1.000,0.214,86.2,109.605,108.512,1303,5417.8,12.12,88.853,5.52,6.264,42.1,4.017,0.135,2.00,5.7889,15942.5,0.5538,0.2970,17.41,1.321,0.635,1.5299,0.0000,0.458,0.229,0.523,0.0000,5.13,1.04,5,16,36,81,91.1149,0.1108,0.4459,0.0000,0.0000,40.7121,100.00,87.3699,288.2826,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0039,0.0016,0.000010,3,0.1501,0.0123,0.0066,43,129,393
40000,2680,0.965,0.798,18.31,55335,45289,0,9305,778,549096,476781.8,258405.7,0.123,0.655,0.143,0.079,181,20.94,13.70,0.27,2.01,4.14,4.91,2.12,3.40,10.30,10.57,0.00,0.02,0.167,0.189,1720,0.065,0.084,0.878,0.008,0.030,58256,33361,5,0.380,0.540,0.377,3161691,0.467,1.936,0.077,47.62,31739,398,0.471,0.186,0.335,4402211,1.06,8.82,0.284,0.528,0.000,4.1,20.6,38.0,122.5,45091,0.172,0.00,0.0017,0.098,630,0.420,0.000,0.444,0.178,3.42,4.06,4.84,0.02,0.009,1.05,1.07,1.07,0.443,0.00344,17.88,6.6982,593.01,109158.5,140307.6,0.004,2.5233,101.664,0.000,1.000,0.367,76.9,45.339,20.341,2183,10472.8,14.78,14.537,4.83,0.609,144.5,0.364,0.133,2.01,5.3312,14287.7,0.5337,0.3912,16.83,1.357,0.542,0.4701,0.0000,0.401,0.154,0.256,0.0000,6.57,2.15,4,16,30,80,37.9585,0.8115,0.4235,0.0000,0.0000,10.9068,100.00,107.7981,220.3126,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0031,0.0014,0.000004,37,0.2942,0.0149,0.0221,48,134,599
50000,2992,0.966,0.555,15.18,196035,144446,0,47922,3337,2621515,1211177.5,1049699.5,0.093,0.692,0.144,0.072,76,22.60,16.67,0.20,1.42,4.96,5.52,1.31,3.07,10.57,8.86,0.00,0.03,0.201,0.214,1894,0.018,0.082,0.889,0.002,0.026,266907,153821,6,0.357,0.051,0.285,14493499,0.440,1.579,0.050,121.00,121372,215,0.400,0.205,0.406,22986063,1.06,11.28,0.189,0.568,0.001,3.5,17.7,47.0,191.0,51022,0.195,0.00,0.0038,0.104,765,0.744,0.000,0.670,0.301,3.32,3.91,4.98,0.05,0.018,1.05,1.07,1.08,0.779,0.00577,84.57,34.2878,614.28,109330.5,140307.6,0.000,11.6823,277.723,0.000,1.000,0.211,94.9,114.651,103.051,1512,6743.5,11.62,82.406,4.50,5.315,63.6,3.562,0.135,2.00,5.8674,17555.1,0.5297,0.3118,17.05,1.290,0.495,1.5299,0.0000,0.404,0.105,0.110,0.0000,7.22,1.69,4,16,28,100,99.8658,0.1077,0.4455,0.0000,0.0000,39.7753,100.00,85.5628,293.1998,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0036,0.0016,0.000006,18,0.7941,0.0434,0.0127,46,128,419
60000,2586,1.180,0.684,15.23,66628,50465,0,15055,1499,782795,489703.8,326545.3,0.060,0.736,0.105,0.100,174,23.81,17.70,0.35,2.09,4.88,5.39,1.72,3.78,11.10,9.96,0.00,0.03,0.193,0.211,1583,0.039,0.098,0.869,0.003,0.030,67400,35622,5,0.378,0.007,0.304,3695970,0.388,1.774,0.064,48.52,29498,293,0.417,0.161,0.355,6261532,1.10,10.74,0.190,0.560,0.001,4.1,19.3,46.5,122.0,46689,0.178,0.00,0.0017,0.111,598,0.516,0.000,0.554,0.124,3.46,3.96,5.23,0.07,0.028,1.06,1.10,1.12,0.543,0.00436,16.65,7.0870,539.55,109113.6,140307.6,0.007,2.7489,107.140,0.000,1.000,0.364,72.5,46.566,24.510,1893,8758.8,9.74,18.849,4.26,0.812,88.1,0.518,0.135,2.00,6.0432,15627.8,0.5301,0.3588,18.05,1.296,0.504,0.4701,0.0000,0.432,0.119,0.355,0.0000,7.23,1.68,4,18,28,81,37.6529,0.0997,0.3650,0.0000,0.0000,11.0264,100.00,108.4123,241.2783,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0033,0.0015,0.000006,15,0.3750,0.0205,0.0162,45,128,498
70000,3121,0.939,0.654,14.70,179865,128623,0,46373,4269,2292861,1194316.5,972751.6,0.062,0.714,0.131,0.093,85,22.39,17.47,0.42,2.27,4.68,5.21,1.40,3.34,10.09,7.86,0.00,0.13,0.191,0.214,1896,0.045,0.081,0.889,0.005,0.025,237876,143630,4,0.345,0.046,0.307,12780091,0.407,1.762,0.063,119.87,103496,222,0.424,0.196,0.363,22926624,1.12,10.98,0.158,0.608,0.002,4.2,16.4,46.0,179.0,51791,0.198,0.00,0.0038,0.098,758,0.753,0.000,0.679,0.283,3.32,3.97,5.11,0.12,0.038,1.09,1.14,1.14,0.782,0.00540,85.97,32.2143,596.51,105883.8,140307.6,0.000,11.0357,272.310,0.000,1.000,0.171,92.9,113.704,99.371,1764,8463.1,17.47,78.591,4.39,5.189,79.2,3.546,0.135,2.00,6.1791,19284.8,0.5555,0.3293,16.59,1.273,0.496,1.5299,0.0000,0.393,0.103,0.063,0.0000,7.23,1.59,4,16,25,81,99.1162,0.1059,0.4290,0.0000,0.0000,39.6309,100.00,84.3085,291.1597,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0034,0.0015,0.000005,65,1.2557,0.0500,0.0155,46,131,440
80000,2588,1.099,0.708,15.60,67820,49080,0,17703,1534,823916,490087.5,344376.4,0.068,0.722,0.124,0.086,171,25.25,19.50,0.30,2.25,5.37,6.62,1.98,3.98,10.68,8.94,0.00,0.00,0.172,0.208,1427,0.087,0.105,0.868,0.002,0.025,68051,36954,6,0.412,0.019,0.315,3564793,0.427,1.831,0.069,48.39,29101,260,0.418,0.176,0.347,6246267,1.09,11.19,0.240,0.519,0.000,3.8,19.9,47.0,158.0,47448,0.181,0.00,0.0018,0.096,646,0.527,0.000,0.570,0.133,3.42,4.09,5.15,0.06,0.023,1.06,1.10,1.12,0.555,0.00437,16.85,7.8669,546.68,108575.4,140307.6,0.003,3.0732,107.646,0.000,1.000,0.357,79.6,46.373,25.647,1937,9255.4,10.46,19.874,4.37,0.789,92.3,0.503,0.135,2.01,6.1432,15898.6,0.5370,0.3571,18.33,1.328,0.506,0.4701,0.0000,0.426,0.086,0.075,0.0000,7.35,1.82,4,17,29,85,37.3784,0.1089,0.4061,0.0000,0.0000,10.9862,100.00,108.0566,240.0170,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0033,0.0015,0.000006,36,0.4551,0.0209,0.0153,43,128,482
90000,3113,0.912,0.666,14.09,199129,132296,0,60753,5502,2200222,1183111.0,988109.7,0.066,0.673,0.149,0.113,88,20.69,18.51,0.33,2.12,4.77,5.18,1.18,2.87,8.98,7.80,0.01,0.20,0.230,0.231,1649,0.047,0.098,0.874,0.002,0.026,245073,148947,5,0.412,0.073,0.252,11010598,0.431,1.820,0.065,118.89,94086,203,0.449,0.216,0.370,21130157,1.10,12.20,0.157,0.522,0.003,3.5,13.1,46.0,196.0,47462,0.181,0.00,0.0042,0.113,865,0.705,0.000,0.714,0.238,3.15,3.77,4.70,0.10,0.036,1.06,1.11,1.11,0.735,0.00550,88.06,30.0990,476.08,107434.1,140307.6,0.000,10.2794,272.870,0.000,1.000,0.192,92.4,112.959,95.554,1796,8875.8,18.66,74.242,4.35,4.459,95.3,3.035,0.136,1.99,5.7004,17745.3,0.5833,0.3572,15.25,1.249,0.475,1.5299,0.0000,0.433,0.086,0.074,0.0000,7.25,1.46,4,13,25,98,98.2334,0.0843,0.4321,0.0000,0.0000,39.2536,100.00,86.0137,281.9411,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0033,0.0015,0.000006,53,1.0729,0.0456,0.0126,42,127,424
100000,2562,1.021,0.669,13.71,65253,48064,0,16110,1604,637051,492953.6,294083.7,0.056,0.733,0.099,0.112,181,22.77,19.58,0.33,2.42,4.60,5.21,1.39,3.78,10.81,9.26,0.00,0.12,0.202,0.209,1383,0.053,0.111,0.868,0.002,0.019,64957,36410,4,0.414,0.004,0.238,2896278,0.461,1.784,0.063,48.60,26579,278,0.462,0.176,0.298,6104297,1.10,12.08,0.187,0.502,0.000,3.8,14.1,46.0,162.0,43906,0.167,0.00,0.0018,0.105,678,0.492,0.000,0.607,0.119,3.36,3.85,5.06,0.08,0.025,1.06,1.11,1.12,0.514,0.00426,16.55,6.5937,433.68,109108.0,140307.6,0.005,2.5406,106.394,0.000,1.000,0.364,75.6,47.091,24.602,1807,8663.4,18.43,19.291,4.22,0.863,99.0,0.547,0.132,2.01,6.3964,16387.7,0.5969,0.3939,17.14,1.249,0.472,0.4701,0.0000,0.443,0.068,0.120,0.0000,7.44,1.51,4,14,30,81,38.7203,0.0832,0.3993,0.0000,0.0000,10.9928,100.00,108.2431,240.0404,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3773,0.0000,0.0000,0.0031,0.0015,0.000005,26,0.4199,0.0246,0.0173,44,135,531
