step,pop,mean_energy,mean_res,mean_genes,births,deaths_energy,deaths_age,deaths_broken,deaths_body,cells_broken,plant_intake,meat_intake,stay,forward,left,right,steps_per_sec,mass_mean,mass_std,hard_mean,hard_std,muscle_mean,muscle_std,sensor_mean,sensor_std,digestive_mean,digestive_std,bite_mean,bite_std,speed_mean,speed_std,distinct_bodies,top_body_share,diet_plants,diet_mixed,diet_meat,diet_none,births_with_neighbor,sexual_births,lineages,top_lineage_share,no_lineage_share,sensor_agents_share,sense_decisions,sense_used,res_std,res_above_half,regrowth,develops,prey_age_mean,meat_per_cell,kills_young_share,meat_majority,contacts,shell_mean,open_mean,full_share,damaged_share,biters_share,mass_p10,mass_p50,mass_p90,mass_max,occupied_cells,cover,wasted,intake_per_gut,crossers,pop_none,blocked,shoves,turns_blocked,births_no_room,foot_mean,len_fwd,len_side,bite_any_mean,biters_any_share,shell_front,shell_back,shell_side,pushes,move_spent,shaded,dead,carrion,soil,matter,barren,rot,spent,flow,soil_cells,deep,air,rain,shade,trees,tree_res,res_max,tree_eaten,tree_len,fruit,fruit_stock,fruit_eaten,clones,mutations,fat_mean,fat_stock,worth,kill_gain,size_mean,density_mean,density_std,sun,cloud_std,digest_mean,digest_std,flesh_guts,dung,side_mean,side_std,size_p10,size_p50,size_p90,size_max,fat_spent,fat_over,on_fat,breed_share,breed_denied,dry,water,leached,mixed,root_stock,stored,dug,fill_mean,drinking,deaths_thirst,pool,bare,grazed,short,unpaid,move_free,deaths_wear,worn,worn_bodies,worn_deaths,age_p10,age_p50,age_p90
10000,2965,1.607,1.404,18.56,100857,73242,0,24936,1081,1849924,1253193.5,941767.4,0.131,0.632,0.135,0.102,117,30.92,19.88,0.21,1.82,7.03,6.93,0.25,1.26,10.39,9.72,0.00,0.00,0.204,0.156,1883,0.056,0.039,0.942,0.004,0.015,194163,141435,3,0.076,0.913,0.061,3910059,0.220,2.725,0.162,113.83,73504,243,0.509,0.190,0.496,13537464,1.07,4.39,0.261,0.708,0.000,6.7,29.9,50.0,161.8,53025,0.202,0.00,0.0041,0.131,881,0.739,0.000,0.643,0.499,3.36,4.43,4.49,0.00,0.001,1.09,1.06,1.07,0.773,0.00685,84.35,45.8233,1895.05,98618.1,140185.7,0.094,19.1311,255.643,0.000,1.000,0.027,87.9,111.261,103.737,3335,19654.8,19.04,92.873,6.61,6.702,321.1,4.163,0.134,2.00,4.0063,11878.7,0.4270,0.3548,17.88,1.753,0.424,1.5345,0.0000,0.352,0.161,0.147,0.0000,5.50,1.10,4,16,33,81,94.0285,0.0304,0.3113,0.0000,0.0000,46.4348,100.00,79.5870,259.8210,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0028,0.0012,0.000005,63,1.2018,0.0067,0.0297,50,161,515
20000,2883,1.160,0.911,23.99,60322,44630,0,15597,161,1045020,507005.7,427478.2,0.157,0.706,0.070,0.067,150,24.04,15.24,0.48,2.52,5.39,6.82,0.16,1.28,9.96,11.34,0.00,0.07,0.183,0.189,1930,0.016,0.052,0.906,0.008,0.034,72401,36418,3,0.182,0.744,0.041,782665,0.237,2.131,0.094,48.70,40313,250,0.409,0.195,0.417,5119490,1.16,4.97,0.265,0.655,0.001,4.8,24.0,47.6,154.0,46119,0.176,0.00,0.0018,0.143,698,0.477,0.000,0.537,0.245,3.27,4.24,4.36,0.01,0.002,1.16,1.17,1.17,0.519,0.00557,12.55,10.7922,1043.61,107275.2,140185.7,0.000,5.2881,106.782,0.000,1.000,0.196,80.7,45.999,34.405,2317,12123.6,11.80,28.227,5.56,1.723,151.2,1.004,0.134,2.00,4.5688,13171.8,0.5127,0.3493,16.00,1.539,0.516,0.4655,0.0000,0.223,0.175,0.032,0.0000,5.45,1.36,4,15,30,81,33.3772,0.0871,0.3809,0.0000,0.0000,13.3038,100.00,107.5432,197.3188,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0032,0.0013,0.000008,16,0.1208,0.0083,0.0129,42,136,462
30000,3024,0.958,0.590,26.12,154897,121442,0,31879,1405,2087618,1193715.8,938165.9,0.101,0.730,0.104,0.065,76,24.07,13.01,0.33,2.02,4.84,5.40,0.03,0.48,10.14,8.73,0.00,0.11,0.158,0.164,1750,0.027,0.078,0.901,0.004,0.018,217127,113869,22,0.188,0.480,0.005,666095,0.221,1.665,0.056,118.73,119452,263,0.449,0.166,0.373,24003201,1.10,5.32,0.368,0.524,0.002,5.1,28.0,33.4,104.3,46375,0.177,0.00,0.0039,0.133,849,0.756,0.000,0.697,0.323,3.26,4.01,4.43,0.02,0.006,1.09,1.13,1.10,0.785,0.00639,78.73,31.3048,501.62,105896.6,140185.7,0.000,11.0748,267.731,0.000,1.000,0.135,91.4,113.636,110.058,1599,7539.1,15.64,84.204,5.14,6.116,79.8,4.030,0.134,2.00,6.6707,20172.1,0.6655,0.3471,15.34,1.556,0.505,1.5345,0.0000,0.192,0.208,0.037,0.0000,5.48,1.57,4,16,25,64,97.4552,0.0825,0.4365,0.0000,0.0000,47.8307,100.00,84.8999,273.4990,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0031,0.0013,0.000007,30,0.7085,0.0542,0.0165,47,158,524
40000,2478,0.958,0.542,27.49,42155,32537,0,9462,550,414969,471148.8,254518.7,0.086,0.735,0.124,0.054,182,25.59,16.13,0.13,1.35,5.41,5.70,0.01,0.21,9.64,6.50,0.00,0.00,0.153,0.151,1145,0.068,0.123,0.857,0.000,0.019,42254,19762,4,0.559,0.048,0.002,20028,0.202,1.576,0.049,46.73,27756,472,0.613,0.158,0.306,4783862,1.05,5.57,0.458,0.411,0.000,4.0,32.0,50.0,128.0,37630,0.144,0.00,0.0020,0.146,597,0.410,0.000,0.362,0.159,3.00,3.80,4.43,0.00,0.000,1.04,1.06,1.05,0.427,0.00511,16.46,6.8756,302.97,105268.1,140185.7,0.000,2.5283,97.930,0.000,1.000,0.201,75.2,44.638,18.672,1463,6807.2,10.05,13.357,4.11,0.498,73.5,0.330,0.139,1.99,9.0063,22317.6,0.8831,0.5050,15.19,1.563,0.544,0.4655,0.0000,0.217,0.160,0.007,0.0000,5.46,1.48,4,16,25,64,34.2268,1.5211,0.3939,0.0000,0.0000,12.5862,100.00,107.4782,189.9095,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0021,0.0010,0.000007,152,0.6183,0.0448,0.0381,45,159,803
50000,3073,0.713,0.484,31.87,69689,54975,0,12025,558,541329,1231075.0,459701.3,0.058,0.791,0.122,0.029,97,25.92,14.26,0.04,0.48,2.11,3.76,0.03,0.52,12.35,6.42,0.00,0.00,0.064,0.104,1663,0.136,0.066,0.925,0.001,0.008,84980,40568,26,0.204,0.372,0.015,76884,0.220,1.419,0.040,123.73,55642,297,0.849,0.168,0.101,25119072,1.01,3.51,0.375,0.521,0.000,6.0,30.0,48.0,98.0,44627,0.170,0.00,0.0032,0.142,755,0.788,0.000,0.483,0.233,3.00,3.87,4.32,0.00,0.001,1.00,1.01,1.01,0.795,0.00676,70.91,30.0958,810.70,80464.7,140185.7,1.294,9.4986,259.836,0.000,1.000,0.037,96.4,117.419,112.554,1282,5368.6,14.97,83.230,4.30,5.666,42.3,3.931,0.135,2.00,15.5906,47909.8,1.5043,0.4369,14.52,1.748,0.460,1.5345,0.0000,0.187,0.184,0.100,0.0000,4.93,1.28,5,16,25,49,102.6492,0.1698,0.5024,0.0000,0.0000,49.8088,100.00,56.1252,302.3973,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0014,0.0006,0.000005,1536,7.2383,0.3192,0.0898,54,201,1264
60000,2231,0.872,0.528,26.65,32061,24639,0,7007,639,235191,453460.4,216231.2,0.088,0.701,0.187,0.024,207,25.03,16.92,0.10,1.48,5.37,5.77,0.01,0.19,9.15,5.69,0.00,0.00,0.161,0.155,1026,0.116,0.132,0.854,0.000,0.014,29550,13467,5,0.290,0.215,0.002,190735,0.135,1.509,0.045,45.31,18873,600,0.919,0.135,0.261,3540833,1.03,5.96,0.439,0.444,0.000,3.3,30.0,50.0,162.0,32657,0.125,0.00,0.0022,0.155,574,0.319,0.000,0.280,0.113,2.98,3.74,4.47,0.00,0.000,1.02,1.04,1.04,0.329,0.00581,18.45,8.0145,214.33,104239.5,140185.7,0.000,2.4151,97.315,0.000,1.000,0.187,67.0,45.423,12.724,1425,6447.7,10.92,7.274,3.97,0.154,59.8,0.110,0.134,2.00,10.8317,24165.6,1.0169,0.6782,14.64,1.554,0.540,0.4655,0.0000,0.279,0.191,0.134,0.0000,5.55,1.50,4,16,25,81,35.7867,1.4570,0.4119,0.0000,0.0000,12.3587,100.00,106.3024,185.7747,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0016,0.0008,0.000007,618,1.7967,0.0816,0.0880,48,186,1485
70000,2884,0.633,0.321,31.07,58445,44318,0,10893,515,427126,1195562.5,464640.4,0.040,0.756,0.173,0.031,109,24.58,13.60,0.04,0.52,3.02,4.21,0.02,0.22,10.66,5.61,0.00,0.00,0.093,0.120,1554,0.100,0.072,0.922,0.000,0.006,69481,31019,37,0.242,0.239,0.014,235264,0.199,1.043,0.021,120.81,44935,347,1.088,0.145,0.172,22436896,1.01,3.90,0.377,0.543,0.000,5.1,28.0,44.0,72.0,39624,0.151,0.00,0.0039,0.142,743,0.748,0.000,0.428,0.225,2.98,3.74,4.30,0.00,0.000,1.00,1.02,1.01,0.755,0.00779,76.94,33.9139,737.29,88826.6,140185.7,2.391,9.7315,254.799,0.000,1.000,0.030,92.1,112.875,100.700,741,2715.1,12.60,72.829,4.25,3.340,10.1,2.497,0.136,2.00,14.8263,42759.0,1.4762,0.5012,13.74,1.730,0.459,1.5345,0.0000,0.237,0.179,0.097,0.0000,4.94,1.25,4,15,23,43,98.0054,0.1953,0.4972,0.0000,0.0000,47.9261,100.00,54.0901,282.8995,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0012,0.0005,0.000004,2066,8.7401,0.3107,0.1174,56,211,1906
80000,2304,0.747,0.273,30.42,28196,21185,0,6570,396,225116,451513.6,209461.1,0.091,0.654,0.236,0.019,206,24.16,12.93,0.02,0.56,5.27,4.29,0.00,0.00,8.41,4.34,0.00,0.00,0.168,0.130,857,0.215,0.155,0.833,0.000,0.011,25742,12068,8,0.304,0.095,0.000,94298,0.170,0.909,0.016,45.11,18495,580,0.930,0.159,0.276,3383088,1.01,4.39,0.516,0.398,0.000,4.0,32.0,32.0,72.0,31582,0.120,0.00,0.0023,0.182,585,0.337,0.000,0.233,0.130,2.89,3.60,4.32,0.00,0.000,1.00,1.01,1.01,0.348,0.00584,18.63,7.8170,220.47,108304.6,140185.7,0.000,2.3680,95.750,0.000,1.000,0.209,70.0,44.797,11.444,597,2277.3,10.94,5.994,3.86,0.105,11.4,0.078,0.135,1.99,10.6379,24509.7,1.0204,0.6859,13.71,1.643,0.537,0.4655,0.0000,0.323,0.196,0.154,0.0000,5.01,1.39,4,16,17,49,35.0215,1.3604,0.4045,0.0000,0.0000,12.4249,100.00,105.9398,176.4231,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0014,0.0007,0.000006,625,1.9144,0.1155,0.0988,48,198,1681
90000,3159,0.726,0.666,37.33,61569,48458,0,9750,327,390729,1227778.6,432416.9,0.035,0.784,0.157,0.024,101,27.77,10.95,0.00,0.07,2.14,3.41,0.01,0.21,12.07,5.33,0.00,0.00,0.071,0.103,1399,0.258,0.061,0.934,0.000,0.004,72186,31353,40,0.179,0.406,0.002,90389,0.175,1.716,0.060,124.66,49267,307,1.107,0.164,0.073,26114680,1.00,1.23,0.519,0.459,0.000,11.8,32.0,32.0,116.0,44928,0.171,0.00,0.0032,0.136,771,0.785,0.000,0.448,0.209,2.88,3.92,4.03,0.00,0.000,1.00,1.00,1.00,0.790,0.00653,69.65,33.5304,831.60,71950.2,140185.7,2.558,10.2487,258.854,0.000,1.000,0.017,100.1,115.237,112.324,1882,8231.8,16.53,80.896,4.04,4.459,57.2,3.214,0.134,2.00,16.8321,53172.6,1.5544,0.4792,14.22,1.944,0.247,1.5345,0.0000,0.272,0.212,0.165,0.0000,4.25,0.71,7,16,16,58,101.2511,0.1606,0.5166,0.0000,0.0000,50.0748,100.00,50.4272,295.3334,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0012,0.0005,0.000004,2179,8.5796,0.3393,0.1191,57,212,2025
100000,2216,0.745,0.332,32.19,26104,20680,0,5194,310,173127,470139.2,187472.0,0.065,0.696,0.226,0.013,199,24.45,12.38,0.01,0.51,5.05,4.16,0.01,0.37,8.37,4.23,0.00,0.00,0.166,0.126,866,0.083,0.149,0.839,0.000,0.012,22794,9569,6,0.582,0.042,0.002,36837,0.202,1.072,0.022,46.30,16540,570,1.083,0.117,0.188,4419371,1.00,3.91,0.527,0.408,0.000,4.2,32.0,32.0,98.0,29791,0.114,0.00,0.0025,0.177,559,0.406,0.000,0.270,0.099,3.01,3.61,4.14,0.00,0.000,1.00,1.00,1.00,0.414,0.00657,16.87,9.3180,220.77,105668.9,140185.7,0.000,2.8112,99.278,0.000,1.000,0.188,69.5,47.155,16.417,779,3161.3,15.85,10.522,3.98,0.289,20.9,0.195,0.136,2.00,11.8559,26272.6,1.1295,0.6993,13.44,1.709,0.498,0.4655,0.0000,0.561,0.132,0.613,0.0000,4.82,1.31,4,16,16,49,37.5915,0.7778,0.4287,0.0000,0.0000,12.8046,100.00,103.9402,191.3731,0.0,0.0000,0.0000,1.0000,0.0000,0,0.3289,0.0000,0.0000,0.0013,0.0006,0.000006,863,2.5045,0.1643,0.1173,54,225,1980
