year,habitats,grass,wood,algae,litter,soil_land,soil_sea,air,share_grass,share_wood,share_algae,grown_grass,grown_wood,grown_algae,burnt,fires,largest_fire,land_matter,sea_matter,land_temp,rain_land,matter_err,water_err
1,9,142014.5,174697.9,155129.2,235449.8,711288.8,1202859.8,-0.000,0.3725,0.3418,0.2857,3.555e-4,4.677e-5,1.063e-3,0.4883,3,54078,9.664,10.336,28.85,1920.1,5.68e-15,2.54e-15
2,9,105383.5,275209.4,153297.0,298779.0,583737.0,1205034.1,-0.000,0.2698,0.4568,0.2734,2.567e-4,6.494e-5,1.070e-3,0.0007,1,2,9.664,10.336,28.85,1919.5,1.55e-14,9.12e-16
3,9,88084.2,314949.4,155346.3,293916.1,561255.4,1207888.6,-0.000,0.1998,0.5464,0.2538,2.081e-4,6.584e-5,1.072e-3,0.0389,3,4479,9.626,10.374,28.85,1922.3,7.99e-15,8.19e-16
4,9,86140.7,336508.2,153649.1,199588.4,605228.4,1240325.1,-0.000,0.1762,0.5769,0.2468,1.952e-4,6.875e-5,1.072e-3,0.2355,3,27385,9.394,10.606,28.85,1920.8,1.78e-15,8.46e-16
5,9,80441.6,352744.8,155477.7,252526.4,539726.0,1240523.6,-0.000,0.1600,0.5996,0.2404,1.777e-4,7.074e-5,1.074e-3,0.0135,2,1088,9.378,10.622,28.85,1924.2,5.15e-15,1.02e-16
6,9,79933.7,367200.3,154118.3,202111.1,552108.1,1265968.6,-0.000,0.1514,0.6117,0.2369,1.750e-4,7.323e-5,1.074e-3,0.2130,4,27128,9.196,10.804,28.86,1921.9,1.83e-14,4.57e-16
7,9,74580.7,375480.3,155527.6,233314.8,517859.9,1264676.7,-0.000,0.1398,0.6257,0.2344,1.592e-4,7.339e-5,1.075e-3,0.0076,2,996,9.195,10.805,28.85,1925.7,6.39e-15,7.45e-17
8,9,73995.4,377154.1,154641.6,244319.7,505535.9,1265793.3,-0.000,0.1363,0.6301,0.2336,1.567e-4,7.286e-5,1.076e-3,0.0000,0,0,9.195,10.805,28.86,1923.2,7.46e-15,6.88e-17
9,9,73747.7,379905.2,155569.4,237934.0,505967.3,1268316.4,-0.000,0.1347,0.6322,0.2331,1.559e-4,7.356e-5,1.077e-3,0.0568,2,7443,9.169,10.831,28.85,1927.6,2.36e-14,1.01e-16
10,9,73927.9,382851.9,155238.4,223762.4,512016.3,1273643.1,-0.000,0.1341,0.6334,0.2325,1.556e-4,7.398e-5,1.077e-3,0.0490,3,3676,9.132,10.868,28.86,1925.2,1.17e-14,1.84e-16
11,9,74327.9,384854.7,155531.2,212333.2,516396.7,1277996.3,-0.000,0.1326,0.6356,0.2317,1.546e-4,7.456e-5,1.078e-3,0.0746,3,9777,9.097,10.903,28.85,1928.8,8.88e-16,1.76e-16
