year,habitats,grass,wood,algae,litter,soil_land,soil_sea,air,share_grass,share_wood,share_algae,grown_grass,grown_wood,grown_algae,burnt,fires,largest_fire,land_matter,sea_matter,land_temp,rain_land,matter_err,water_err
1,13,84034.4,147631.8,7892.1,252458.8,1191698.0,937724.8,-0.000,0.3342,0.6338,0.0320,1.559e-4,2.591e-5,5.862e-5,0.0785,48,1912,9.976,10.043,3.29,388.9,1.01e-14,4.09e-15
2,13,76043.8,156816.1,7905.4,279603.9,1160557.7,940513.0,0.000,0.3216,0.6458,0.0326,1.406e-4,3.216e-5,5.770e-5,0.0539,38,2875,9.959,10.073,3.28,389.8,9.77e-15,7.06e-16
3,13,70257.5,174382.8,7715.6,281871.6,1143746.7,943465.7,0.000,0.2833,0.6853,0.0314,1.294e-4,3.713e-5,5.763e-5,0.0426,40,2514,9.943,10.102,3.28,389.1,5.33e-16,1.73e-15
4,13,66506.6,191735.3,7894.0,275356.3,1132700.8,947246.9,-0.000,0.2479,0.7222,0.0299,1.200e-4,4.044e-5,5.777e-5,0.0589,43,2323,9.919,10.144,3.28,389.4,2.26e-14,2.13e-16
5,13,63104.5,206698.0,7845.7,273449.8,1120376.4,949965.6,-0.000,0.2248,0.7468,0.0284,1.143e-4,4.246e-5,5.775e-5,0.0506,38,1580,9.903,10.173,3.28,390.1,1.21e-14,7.21e-16
6,13,61087.8,218253.6,7829.3,271717.9,1110262.7,952288.7,-0.000,0.2077,0.7650,0.0273,1.104e-4,4.407e-5,5.781e-5,0.0421,34,2636,9.890,10.197,3.29,389.3,2.38e-14,4.01e-16
7,13,59950.9,226993.8,7925.2,272536.2,1100049.4,953984.4,-0.000,0.1955,0.7780,0.0265,1.071e-4,4.503e-5,5.789e-5,0.0388,40,1432,9.879,10.216,3.28,390.0,2.42e-14,6.93e-16
8,13,58492.0,233064.7,7749.2,269217.2,1096774.6,956142.3,0.000,0.1878,0.7863,0.0259,1.052e-4,4.569e-5,5.785e-5,0.0380,41,3218,9.867,10.237,3.28,390.0,2.42e-14,8.23e-16
9,13,58626.0,236896.2,7913.4,265234.3,1094344.0,958426.1,0.000,0.1814,0.7930,0.0256,1.034e-4,4.629e-5,5.796e-5,0.0425,47,1478,9.853,10.263,3.29,389.7,8.35e-15,9.82e-16
10,13,57935.5,240033.5,7942.6,267579.3,1088199.3,959749.8,-0.000,0.1784,0.7962,0.0254,1.021e-4,4.634e-5,5.794e-5,0.0308,35,1613,9.845,10.277,3.28,390.5,1.35e-14,3.80e-16
11,13,57597.5,242221.5,7754.7,265856.0,1086655.5,961354.8,-0.000,0.1756,0.7992,0.0252,1.014e-4,4.661e-5,5.791e-5,0.0292,23,867,9.836,10.292,3.28,389.8,8.88e-15,9.86e-16
12,13,57544.5,244004.2,7932.1,263440.9,1085898.8,962619.6,-0.000,0.1736,0.8013,0.0251,1.009e-4,4.691e-5,5.804e-5,0.0262,28,1615,9.828,10.307,3.28,390.0,1.40e-14,5.81e-16
13,13,56650.5,244639.0,7878.4,261478.9,1086466.9,964326.3,-0.000,0.1714,0.8036,0.0250,9.952e-5,4.685e-5,5.799e-5,0.0357,28,1753,9.818,10.325,3.28,390.7,1.47e-14,3.64e-16
14,13,57089.0,245394.5,7860.3,262590.6,1083346.1,965159.5,-0.000,0.1706,0.8045,0.0250,9.936e-5,4.697e-5,5.802e-5,0.0168,32,941,9.813,10.334,3.29,389.9,1.88e-14,4.47e-16
15,13,56599.8,245967.3,7950.4,262555.0,1082367.1,966000.4,0.000,0.1700,0.8051,0.0250,9.898e-5,4.699e-5,5.807e-5,0.0214,43,923,9.808,10.344,3.28,390.5,1.12e-14,9.56e-17
16,13,56069.3,246208.1,7772.0,259728.1,1084306.5,967356.1,-0.000,0.1684,0.8067,0.0250,9.808e-5,4.698e-5,5.801e-5,0.0264,31,1593,9.801,10.356,3.28,390.5,2.11e-14,2.41e-16
