year,habitats,grass,wood,algae,litter,soil_land,soil_sea,air,share_grass,share_wood,share_algae,grown_grass,grown_wood,grown_algae,burnt,fires,largest_fire,land_matter,sea_matter,land_temp,rain_land,matter_err,water_err
1,9,232875.0,50183.0,26772.2,310353.3,652349.4,1348907.2,-0.000,0.6806,0.2537,0.0657,5.032e-4,8.673e-6,1.777e-4,0.5614,94,15134,9.509,10.491,28.85,1920.1,1.55e-14,2.54e-15
2,9,251284.6,40499.9,26458.6,348380.9,570163.7,1384652.3,-0.000,0.7910,0.1373,0.0717,5.092e-4,7.012e-6,1.791e-4,0.2996,73,13621,9.239,10.761,28.85,1919.5,3.73e-15,9.12e-16
3,9,255305.5,39192.8,26795.8,354536.3,534270.4,1411339.3,-0.000,0.8071,0.1214,0.0716,5.147e-4,7.475e-6,1.794e-4,0.3126,77,8100,9.033,10.967,28.85,1922.3,1.07e-15,8.19e-16
4,9,256815.8,41504.9,26536.4,358563.2,509502.1,1428517.7,-0.000,0.8058,0.1228,0.0714,5.116e-4,8.210e-6,1.795e-4,0.2804,75,12389,8.905,11.095,28.85,1920.8,2.72e-14,8.46e-16
5,9,254169.8,45129.5,26813.1,362991.6,495274.4,1437061.6,-0.000,0.7972,0.1316,0.0712,5.047e-4,9.032e-6,1.798e-4,0.1798,63,5054,8.837,11.163,28.85,1924.2,5.33e-15,1.02e-16
6,9,253046.8,49088.3,26633.6,358974.6,489124.0,1444572.7,-0.000,0.7867,0.1424,0.0709,5.003e-4,9.832e-6,1.799e-4,0.1551,58,5965,8.782,11.218,28.86,1921.9,1.03e-14,4.57e-16
7,9,250557.2,53031.6,26818.1,362777.7,479624.6,1448630.8,-0.000,0.7757,0.1536,0.0707,4.945e-4,1.058e-5,1.801e-4,0.1095,62,3361,8.749,11.251,28.85,1925.7,3.20e-15,7.45e-17
8,9,248632.3,56709.0,26735.7,359032.2,477526.3,1452804.4,0.000,0.7649,0.1645,0.0705,4.886e-4,1.125e-5,1.802e-4,0.1023,70,3212,8.718,11.282,28.86,1923.2,2.22e-14,6.88e-17
9,9,246786.5,59949.6,26827.7,356223.5,475692.7,1455960.0,-0.000,0.7554,0.1742,0.0704,4.839e-4,1.181e-5,1.804e-4,0.0817,58,3559,8.694,11.306,28.85,1927.6,1.78e-14,1.01e-16
10,9,244951.3,62693.9,26849.3,357643.7,471661.2,1457640.7,-0.000,0.7469,0.1828,0.0703,4.791e-4,1.228e-5,1.805e-4,0.0464,66,1472,8.681,11.319,28.86,1925.2,9.95e-15,1.84e-16
11,9,244340.2,64991.6,26827.4,353131.9,471754.3,1460394.6,-0.000,0.7398,0.1899,0.0703,4.757e-4,1.266e-5,1.806e-4,0.0667,63,3559,8.660,11.340,28.85,1928.8,2.93e-14,1.76e-16
